@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,10,12,14,17-19'

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
93,82,46,143,309,63,199,207,van
84,75,43,145,354,75,185,192,bus
83,54,53,125,238,82,179,183,saab
93,66,46,128,304,64,197,202,opel
106,98,31,171,691,74,187,197,saab
81,68,46,146,323,83,179,184,bus
96,98,31,175,683,76,185,193,opel
89,89,44,145,338,72,187,199,van
86,60,56,132,209,72,186,190,van
84,66,46,144,312,73,184,188,bus
100,100,32,147,611,72,189,195,opel
97,88,43,157,365,67,192,200,van
86,75,43,163,371,75,183,192,van
81,63,46,145,320,86,179,182,bus
100,85,42,163,387,71,189,196,van
110,103,26,169,928,85,184,183,bus
103,91,31,170,707,72,186,198,opel
93,84,44,165,354,73,185,195,van
102,106,32,164,638,71,189,200,saab
90,86,41,131,388,74,185,191,opel
81,72,44,146,347,81,182,186,bus
90,78,43,167,366,76,182,192,van
89,77,42,125,367,63,198,205,opel
86,65,45,141,335,85,179,183,bus
82,68,45,144,322,80,181,184,bus
86,66,50,136,266,74,180,187,opel
116,110,31,165,692,67,192,206,saab
98,66,51,138,251,69,191,194,van
89,81,44,160,347,90,183,192,van
93,83,43,155,364,75,184,197,van
94,88,39,131,435,66,195,204,saab
89,80,41,131,389,68,192,197,saab
109,103,30,175,720,71,187,200,saab
87,73,44,138,341,73,190,194,bus
101,106,28,164,833,81,185,185,bus
97,101,35,151,546,66,191,200,opel
89,81,41,149,388,72,187,193,opel
88,71,48,143,296,68,188,197,opel
96,77,47,150,294,62,201,208,van
86,71,45,144,322,72,189,196,bus
89,70,47,143,299,66,193,199,bus
96,74,43,127,341,69,201,205,bus
84,70,48,134,280,68,194,202,van
99,91,32,148,629,79,192,191,bus
104,105,32,162,641,72,187,197,saab
89,74,44,158,356,79,184,191,van
81,68,46,145,323,83,180,184,bus
78,70,46,145,319,77,181,186,bus
104,100,31,173,680,74,185,194,saab
91,72,46,132,314,77,184,189,saab
95,92,42,157,372,70,189,200,van
101,105,31,177,678,74,186,195,opel
101,103,33,156,601,69,189,196,opel
113,93,31,165,688,72,188,199,saab
96,87,44,149,351,67,192,201,van
109,103,30,172,707,71,188,199,saab
92,82,40,149,409,61,200,208,opel
84,66,54,132,232,70,185,190,opel
90,83,37,132,472,71,187,193,opel
98,68,52,144,251,72,186,187,van
102,101,33,157,616,65,193,203,opel
105,105,31,168,661,71,186,197,saab
100,88,38,155,440,59,201,210,saab
85,66,45,145,323,84,180,183,bus
110,109,27,169,928,82,183,183,bus
100,92,36,143,489,64,195,205,saab
96,83,39,152,438,67,195,201,opel
110,102,31,171,669,73,188,198,saab
97,88,38,140,459,63,196,205,saab
96,74,39,149,408,70,196,200,bus
105,108,31,168,687,68,189,201,saab
86,77,43,127,352,71,186,191,opel
109,104,31,162,691,67,189,199,saab
97,75,37,129,450,74,197,199,bus
111,103,31,156,663,68,190,200,saab
88,64,51,142,253,63,203,210,van
87,98,35,141,535,71,187,194,opel
115,100,31,165,697,72,188,197,saab
85,66,46,145,320,87,179,181,bus
88,80,45,144,318,71,188,197,van
84,60,50,130,261,75,185,188,opel
93,84,36,152,476,70,198,201,bus
104,101,33,161,587,64,195,204,opel
108,109,31,159,665,71,190,199,saab
89,84,43,159,368,72,186,197,van
