@relation vehicle

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
83,42,159,176,379,184,187,van
62,52,143,158,247,157,184,van
69,49,145,165,272,162,187,van
64,51,142,150,253,161,203,van
60,52,129,147,246,109,202,van
58,52,139,154,255,150,181,van
62,55,129,143,218,135,181,van
84,45,145,172,330,162,188,van
78,43,160,173,370,185,183,van
79,46,150,165,309,134,195,van
80,45,148,169,324,174,188,van
85,43,155,179,355,186,185,van
82,46,145,163,314,140,199,van
87,44,149,167,351,174,192,van
66,52,140,158,253,140,184,van
81,44,163,170,352,188,184,van
70,53,128,147,237,112,199,van
58,57,134,140,204,148,190,van
84,44,158,176,351,164,183,van
64,52,141,160,258,139,183,van
84,44,150,174,350,164,185,van
75,44,165,168,358,176,182,van
53,55,125,141,221,133,179,van
77,48,139,159,289,123,201,van
90,43,150,170,363,184,192,van
80,44,145,171,331,147,189,van
66,54,144,147,227,160,193,van
74,44,158,170,356,177,184,van
82,46,137,164,308,158,191,van
57,58,135,134,195,145,197,van
74,49,133,167,278,128,189,van
78,43,160,170,367,176,185,van
68,48,143,161,285,174,192,van
83,43,155,180,364,188,184,van
90,44,156,170,348,143,194,van
57,51,139,155,261,151,183,van
70,49,146,168,273,166,186,van
58,54,140,146,225,150,199,van
86,44,156,272,346,200,185,van
85,44,153,174,351,165,184,van
76,51,135,157,256,124,191,van
64,49,136,161,279,127,193,van
70,53,145,156,240,152,189,van
82,43,156,170,362,173,183,van
70,53,139,157,243,132,186,van
78,48,145,156,281,159,203,van
85,43,167,175,375,186,185,van
84,44,170,171,351,187,182,van
80,43,156,169,366,186,185,van
84,44,160,169,354,176,182,van
47,57,122,136,203,139,180,van
78,45,152,168,323,199,189,van
66,54,139,145,225,143,202,van
68,52,132,155,242,116,195,van
80,45,144,169,318,161,188,van
87,43,149,173,359,182,192,van
62,54,127,141,223,112,200,van
72,49,145,158,279,167,201,van
71,46,147,171,307,179,187,van
91,43,155,172,358,192,190,van
49,55,128,144,219,146,180,van
75,43,163,170,371,185,183,van
88,43,157,173,365,157,192,van
68,47,130,166,291,127,189,van
55,53,139,142,249,158,176,van
51,57,129,137,206,125,181,van
77,44,164,169,354,187,182,van
85,43,150,167,355,159,192,van
92,42,157,176,372,171,189,van
85,44,144,173,345,161,187,van
81,44,160,200,347,177,183,van
62,52,141,149,246,157,201,van
85,42,160,177,389,185,185,van
66,50,127,159,258,115,196,van
85,44,158,172,355,178,183,van
76,42,155,175,381,172,184,van
82,45,140,165,319,137,199,van
76,48,137,156,281,124,201,van
66,52,129,148,246,112,195,van
70,50,130,153,266,127,194,van
73,49,138,166,275,137,187,van
68,52,144,159,251,134,186,van
88,43,157,176,371,185,189,van
62,57,135,137,203,145,199,van
