@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,5,8-9,14,17-19'

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Praxis_rectangular numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
90,65,48,18,67,193,202,van
93,62,36,22,64,195,204,saab
96,65,32,23,74,186,194,opel
89,52,57,17,80,181,185,van
99,69,36,21,72,198,199,bus
101,53,26,28,83,180,184,bus
85,52,53,18,75,182,187,van
83,67,45,19,78,182,188,bus
98,69,30,25,74,187,195,opel
86,62,44,19,75,188,192,bus
92,62,58,17,72,190,194,van
99,64,34,23,65,194,205,opel
93,54,44,19,75,184,196,van
93,65,37,21,70,197,202,bus
91,66,44,19,70,189,199,van
107,64,33,23,65,197,206,opel
101,68,32,24,73,186,195,opel
97,63,36,21,64,199,203,opel
87,68,46,19,70,189,199,van
82,64,44,19,80,183,187,bus
84,59,44,19,77,183,187,saab
79,61,43,19,77,183,189,bus
95,73,41,19,71,199,204,bus
80,56,45,19,79,181,187,bus
109,68,31,24,68,189,202,saab
89,64,39,20,64,195,201,saab
93,57,50,18,67,193,201,van
109,51,27,26,84,184,183,bus
98,69,33,22,75,194,195,bus
106,61,32,24,70,190,203,saab
109,62,32,23,65,195,206,opel
96,67,33,23,67,192,201,opel
93,49,52,18,78,184,184,van
82,54,45,19,81,179,182,bus
89,54,45,19,68,188,193,opel
93,66,45,19,65,196,206,van
107,55,28,26,77,187,187,bus
99,62,32,23,77,191,190,bus
117,65,31,24,66,194,205,saab
100,63,35,22,62,197,205,opel
97,64,43,20,68,192,202,van
87,58,57,17,85,180,183,van
89,66,43,19,72,188,195,bus
107,64,32,23,65,194,205,saab
85,60,51,18,65,195,203,van
84,55,45,19,80,180,186,opel
99,64,35,22,66,194,201,opel
98,61,37,21,61,199,208,saab
82,57,44,19,75,181,187,opel
97,71,32,24,74,186,196,saab
89,63,43,20,73,185,194,van
102,56,31,25,72,186,196,opel
88,57,57,17,88,180,183,van
101,62,30,25,73,186,197,opel
115,64,30,25,71,189,199,saab
86,56,46,19,86,179,182,bus
92,60,45,19,62,206,211,opel
109,57,28,26,85,184,184,bus
96,68,42,20,69,190,197,saab
94,72,42,19,70,192,200,bus
90,62,38,21,70,189,195,saab
98,53,30,25,73,187,198,opel
84,57,49,18,72,183,191,opel
89,54,46,19,64,194,201,saab
87,51,46,19,85,178,182,bus
83,55,55,17,85,180,184,van
90,60,44,19,75,185,195,van
90,59,50,18,65,197,204,van
86,56,45,19,83,178,183,bus
87,58,46,19,79,181,185,saab
90,64,49,18,64,201,209,van
85,53,46,19,85,180,182,bus
89,57,55,17,82,181,184,saab
107,63,31,25,69,190,203,saab
104,53,30,25,74,188,198,opel
103,71,32,23,71,188,196,opel
114,52,26,28,85,182,184,bus
90,55,48,18,67,192,197,opel
96,58,38,21,68,191,200,saab
95,65,34,22,71,188,196,saab
98,65,39,20,67,192,199,saab
109,64,33,23,70,190,198,saab
107,68,30,25,70,187,197,saab
95,56,43,20,75,182,191,van
