@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,8,10-13,17,19'

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
70,45,144,241,325,188,180,bus
66,54,118,148,224,118,196,saab
68,44,146,173,336,186,183,bus
51,57,128,135,207,125,179,van
66,50,135,154,265,119,201,van
68,45,147,171,328,189,179,bus
100,31,173,219,669,201,187,opel
72,44,124,169,334,125,203,opel
72,50,135,159,260,150,191,saab
98,31,152,228,680,210,188,bus
72,46,147,166,312,169,191,bus
81,38,137,184,434,156,198,bus
76,42,148,184,371,186,190,opel
76,44,143,172,335,176,189,saab
72,46,143,173,317,183,181,bus
70,45,146,170,331,185,183,bus
103,30,176,228,708,219,186,opel
83,39,132,190,426,142,192,saab
104,33,152,221,604,199,188,saab
101,30,182,225,748,216,185,opel
80,46,148,161,316,161,199,van
73,45,147,170,334,188,180,bus
78,44,141,182,342,174,193,opel
73,44,145,170,335,176,189,bus
92,30,162,247,731,209,188,bus
109,30,176,234,725,236,188,opel
54,50,127,152,271,141,180,saab
84,46,148,163,312,166,199,van
69,50,137,155,260,151,203,opel
105,33,164,216,608,235,190,saab
72,40,144,178,399,186,196,bus
98,31,173,225,696,216,188,opel
71,44,148,177,347,190,182,bus
87,43,158,179,363,203,183,van
65,45,141,169,332,171,179,bus
66,47,124,165,298,117,201,saab
101,28,163,267,844,242,184,bus
104,31,175,224,670,223,186,opel
101,33,158,214,607,204,192,saab
105,30,173,226,706,250,187,opel
64,46,143,170,319,171,179,bus
82,43,149,176,359,161,186,van
78,45,125,172,331,137,191,opel
58,51,127,152,259,145,177,opel
69,48,131,164,291,126,193,saab
81,45,149,200,332,164,186,van
107,31,167,221,701,197,191,opel
76,41,147,184,381,177,190,saab
90,38,152,200,460,198,192,saab
86,39,134,186,418,129,197,saab
72,48,135,165,295,144,181,opel
86,37,153,197,471,209,192,opel
101,31,171,232,698,216,187,saab
70,41,124,184,371,117,202,bus
103,32,162,228,648,240,189,saab
83,37,156,207,481,210,189,opel
109,30,163,238,722,206,189,opel
105,30,167,226,713,202,186,saab
105,32,173,217,648,218,188,opel
85,43,167,173,365,186,182,van
96,31,173,219,685,218,184,opel
100,37,134,205,486,160,192,saab
101,32,166,218,664,202,188,saab
76,43,143,180,359,173,185,bus
85,43,158,177,362,173,183,van
96,35,161,208,543,235,191,opel
73,43,158,170,373,186,182,van
66,50,143,160,275,161,182,van
58,55,132,142,222,116,197,van
82,43,160,176,367,186,183,van
85,43,157,174,367,162,189,van
103,28,160,254,816,250,183,bus
66,50,142,163,268,164,191,van
51,57,124,139,207,127,181,van
73,40,127,189,401,125,200,bus
72,44,133,166,334,121,196,saab
64,51,142,161,249,153,194,van
83,47,128,163,298,137,193,saab
70,53,137,156,238,119,191,van
88,34,147,215,563,174,194,bus
108,31,172,226,707,203,189,saab
98,36,138,206,508,173,189,saab
96,30,172,223,713,218,186,opel
66,51,144,162,254,162,188,van
66,47,148,168,294,175,188,van
