@relation vehicle

@attribute Compactness numeric
@attribute Radius_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
86,143,8,18,167,71,196,van
94,127,7,18,155,66,196,van
83,161,8,18,169,71,199,van
88,113,3,17,137,88,183,van
90,157,9,18,162,67,202,van
96,111,8,18,160,80,184,van
89,131,6,17,143,65,199,van
93,159,9,19,160,63,207,van
89,141,8,18,166,73,196,van
89,138,7,17,147,64,207,van
92,130,5,17,135,72,194,van
86,140,7,17,140,61,207,van
89,133,11,20,169,74,192,van
89,147,10,19,175,74,197,van
87,139,8,18,168,73,196,van
98,160,8,18,160,63,207,van
86,119,4,17,140,78,186,van
89,109,6,17,137,80,185,van
93,123,7,18,164,78,185,van
89,125,10,20,171,78,191,van
88,135,12,20,176,75,195,van
90,114,7,18,155,85,182,van
93,169,9,19,169,67,204,van
85,167,8,18,173,71,199,van
90,142,11,20,173,76,192,van
93,163,11,20,172,74,195,van
96,117,6,18,154,86,182,van
93,133,10,19,174,75,196,van
98,136,8,18,159,72,187,van
90,231,46,19,200,91,196,van
90,149,10,19,179,75,196,van
90,141,11,20,173,75,192,van
82,250,55,18,231,99,199,van
90,306,49,19,272,118,194,van
84,145,9,18,159,68,202,van
96,120,8,18,162,80,183,van
90,157,8,18,158,64,209,van
90,134,11,20,169,76,192,van
93,145,11,20,180,77,194,van
91,138,8,18,157,69,192,van
91,141,9,19,170,72,199,van
91,160,25,18,162,67,202,van
85,115,5,17,139,81,184,van
89,131,11,20,175,77,193,van
88,155,8,18,156,63,209,van
89,159,9,19,168,70,200,van
97,151,8,18,148,66,200,van
93,117,7,18,160,78,184,van
86,150,9,18,161,69,201,van
86,136,10,20,170,75,192,van
93,124,7,18,164,77,185,van
93,165,8,18,161,67,204,van
88,136,11,19,174,73,196,van
94,146,9,18,161,69,195,van
95,139,11,20,173,75,191,van
89,160,11,19,173,72,196,van
94,136,10,19,176,74,197,van
89,322,48,20,229,97,194,van
88,133,6,17,147,66,198,van
89,246,43,20,200,90,192,van
83,113,6,17,143,79,185,van
96,162,9,19,161,64,207,van
95,162,11,20,175,74,193,van
89,138,7,18,167,72,193,van
89,111,5,17,138,82,183,van
92,125,7,18,160,81,184,van
89,150,11,20,170,73,194,van
90,144,7,18,154,65,204,van
93,166,10,19,170,66,203,van
86,110,2,17,139,90,183,van
94,162,10,19,177,74,196,van
88,105,5,17,135,86,183,van
87,150,10,18,157,67,201,van
89,134,6,17,148,76,188,van
97,173,10,20,173,67,200,van
89,137,6,18,168,78,187,van
85,119,5,18,148,75,187,van
85,145,6,18,150,65,203,van
94,159,10,20,179,75,194,van
85,150,8,19,171,72,196,van
90,147,6,18,149,61,208,van
94,163,10,20,170,73,195,van
91,157,9,19,165,64,207,van
94,147,9,18,159,66,201,van
88,143,7,18,147,62,209,van
87,150,10,18,157,67,201,van
93,142,10,20,180,75,197,van
92,163,9,19,165,64,206,van
95,178,10,20,176,70,197,van
93,139,8,18,158,67,201,van
84,140,11,20,166,74,193,van
94,150,7,18,154,69,196,van
88,140,6,18,148,63,206,van
95,142,10,19,173,71,200,van
85,154,9,19,169,71,199,van
86,143,9,18,153,66,202,van
89,141,9,19,172,72,200,van
94,333,49,19,320,135,196,van
87,162,10,19,167,70,199,van
93,162,8,18,156,63,210,van
87,116,6,17,135,74,190,van
89,149,8,18,153,62,209,van
96,160,8,18,161,62,208,van
98,130,7,18,160,69,194,van
88,147,8,19,169,71,197,van
93,126,9,18,156,71,190,van
92,124,6,18,164,79,185,van
91,142,9,18,163,69,197,van
90,157,8,18,159,65,203,van
90,152,7,18,165,75,191,van
83,114,6,18,142,86,183,van
89,163,11,20,173,72,197,van
83,116,7,18,145,84,183,van
86,115,5,17,141,72,190,van
95,158,10,19,163,64,206,van
93,150,11,20,171,73,195,van
90,137,11,20,170,76,193,van
92,144,8,17,149,62,210,van
84,150,7,18,156,64,205,van
86,140,7,17,141,64,208,van
90,145,9,19,175,73,197,van
89,147,11,20,170,76,193,van
91,151,7,18,166,72,194,van
89,144,10,19,173,72,197,van
85,126,6,17,134,64,202,van
86,150,8,18,163,71,195,van
90,143,11,20,172,75,193,van
97,164,9,20,173,68,202,van
94,137,11,20,178,75,194,van
94,162,10,20,179,75,195,van
93,158,9,18,163,71,201,van
100,164,11,20,176,71,196,van
87,117,4,17,138,85,183,van
91,133,8,18,159,70,194,van
88,151,8,18,150,63,210,van
90,144,9,19,173,75,195,van
95,174,9,19,168,65,204,van
86,129,6,17,137,64,204,van
91,162,8,19,171,70,199,van
96,166,10,19,167,67,202,van
94,151,8,18,154,62,208,van
85,110,3,17,136,89,184,van
92,111,7,19,159,85,183,van
95,162,11,20,176,71,198,van
93,159,8,19,165,67,203,van
96,169,10,19,167,67,201,van
98,125,8,18,157,74,185,van
86,139,7,17,145,63,208,van
85,121,9,20,168,77,191,van
93,139,6,18,166,73,188,van
84,121,5,17,141,82,183,van
88,114,7,18,142,87,183,van
100,172,9,20,170,67,200,van
89,137,7,17,146,63,206,van
89,149,11,20,177,75,193,van
91,148,9,19,168,70,200,van
91,126,6,17,139,67,198,van
91,131,9,18,159,72,194,van
94,137,10,20,176,76,192,van
85,133,11,20,170,76,193,van
92,136,6,17,142,64,203,van
89,154,9,19,168,71,197,van
91,148,8,18,161,68,201,van
89,125,7,18,162,73,191,van
89,135,9,20,170,79,191,van
90,133,11,20,173,77,192,van
83,112,5,17,144,85,184,van
93,170,9,19,164,65,206,van
95,159,11,20,176,70,200,van
89,147,11,19,170,72,199,van
90,143,11,20,169,74,193,van
86,164,9,18,168,70,201,van
97,161,10,19,166,65,205,van
95,126,8,18,158,78,183,van
87,149,9,19,171,72,198,van
94,160,10,20,174,68,199,van
94,166,9,19,164,66,202,van
86,125,5,17,140,69,194,van
91,153,8,18,159,62,209,van
85,136,6,19,164,77,186,saab
109,210,11,25,229,71,199,saab
107,228,12,25,223,67,204,saab
88,178,8,21,200,68,199,saab
105,206,12,25,226,71,203,saab
104,168,10,24,220,72,197,saab
102,213,12,25,226,71,199,saab
97,184,9,21,192,63,205,saab
110,191,12,24,226,68,199,saab
108,200,10,23,227,72,198,saab
111,211,11,23,217,64,205,saab
90,172,8,19,174,61,209,saab
109,193,10,24,225,70,202,saab
107,182,11,24,226,72,198,saab
95,208,9,22,210,68,200,saab
90,136,6,17,148,65,202,saab
86,135,5,18,152,70,191,saab
90,130,6,17,137,68,195,saab
87,132,6,18,154,71,192,saab
108,189,11,25,229,70,201,saab
91,189,9,21,197,69,198,saab
93,197,11,22,202,64,204,saab
96,170,7,21,197,68,200,saab
105,184,11,24,224,71,197,saab
97,219,9,24,222,74,196,saab
96,187,8,20,183,69,197,saab
97,186,9,22,208,67,206,saab
82,126,7,18,148,72,187,saab
102,217,10,23,220,68,197,saab
89,156,8,19,179,70,192,saab
97,195,9,22,202,66,199,saab
91,166,8,20,189,72,191,saab
90,187,7,21,205,70,195,saab
78,115,6,19,162,77,185,saab
101,231,10,24,232,72,197,saab
89,174,8,21,202,70,196,saab
105,195,10,23,214,67,200,saab
97,202,9,22,216,72,197,saab
91,170,8,21,197,72,194,saab
89,188,9,20,190,66,201,saab
107,213,11,25,221,70,197,saab
89,169,7,20,186,68,197,saab
106,207,12,25,229,73,205,saab
103,194,10,22,202,62,208,saab
107,231,11,25,226,71,196,saab
96,178,8,21,205,68,202,saab
112,197,11,24,223,67,202,saab
92,180,8,19,180,69,195,saab
93,177,7,20,180,70,199,saab
84,122,4,17,135,76,190,saab
86,140,7,19,165,82,185,saab
116,231,12,24,231,67,206,saab
108,212,11,24,228,71,197,saab
99,219,11,23,221,68,201,saab
104,211,10,22,207,65,206,saab
107,210,11,24,221,71,197,saab
104,209,11,24,217,64,207,saab
111,199,11,24,223,68,200,saab
113,197,11,24,221,72,199,saab
93,192,9,22,206,70,197,saab
101,195,10,23,213,66,205,saab
108,181,11,25,226,72,199,saab
101,228,12,24,229,71,199,saab
98,202,11,23,207,61,208,saab
83,118,4,18,146,81,184,saab
85,127,6,17,137,70,189,saab
82,134,7,18,151,82,185,saab
108,203,11,23,216,68,200,saab
88,155,8,19,180,69,193,saab
105,234,12,24,226,68,201,saab
106,222,12,25,228,70,201,saab
97,175,9,20,180,63,206,saab
98,191,9,20,184,62,205,saab
87,123,8,18,158,75,186,saab
89,169,8,20,189,72,193,saab
94,179,7,21,188,66,204,saab
108,234,10,25,232,73,197,saab
92,167,7,20,181,68,196,saab
83,119,6,18,143,82,183,saab
95,208,10,22,202,64,211,saab
108,182,12,24,229,72,201,saab
91,192,9,21,194,66,205,saab
115,205,11,25,229,71,199,saab
112,186,11,24,232,71,202,saab
106,211,9,24,224,68,202,saab
89,147,8,19,163,64,201,saab
91,176,7,20,190,67,199,saab
98,213,9,23,223,72,196,saab
99,196,10,23,221,73,197,saab
98,192,9,21,189,61,208,saab
93,200,7,21,197,66,202,saab
103,174,11,24,222,73,196,saab
107,213,12,23,216,65,205,saab
104,204,11,25,226,71,203,saab
100,190,10,21,186,59,210,saab
92,174,7,19,181,70,195,saab
113,208,9,23,216,64,204,saab
91,142,7,19,168,72,191,saab
