@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
95,49,82,11,43,162,185,van
90,39,57,7,51,139,151,van
93,39,78,8,48,140,126,van
89,46,78,11,43,160,176,van
94,35,66,9,50,127,115,van
91,44,66,7,48,146,167,van
89,47,80,11,43,163,174,van
90,44,69,7,49,145,162,van
89,40,60,6,56,137,153,van
92,40,82,9,45,140,137,van
89,36,51,6,57,129,125,van
86,39,60,7,55,134,141,van
86,38,76,8,47,131,138,van
96,40,70,8,50,141,139,van
86,39,58,5,57,134,148,van
98,39,68,7,51,142,134,van
90,47,85,9,44,155,184,van
97,45,88,10,43,157,157,van
94,45,85,10,44,156,176,van
93,42,64,9,49,142,170,van
91,39,77,8,48,139,123,van
93,45,83,10,43,155,188,van
83,40,59,7,52,137,157,van
90,49,85,11,43,167,186,van
89,46,84,11,43,159,176,van
93,43,85,10,44,153,165,van
94,36,66,8,50,135,119,van
97,47,87,9,43,149,182,van
90,46,73,11,43,158,186,van
93,40,73,6,49,138,137,van
84,37,70,9,48,134,140,van
94,48,83,10,43,153,187,van
83,37,49,5,55,128,146,van
94,50,84,10,44,170,187,van
89,46,74,9,44,158,177,van
100,46,85,11,42,163,170,van
93,36,64,8,49,136,127,van
98,44,88,10,43,149,154,van
84,37,53,5,55,125,133,van
93,40,62,7,52,145,156,van
85,45,73,8,46,148,176,van
93,41,82,9,46,143,127,van
88,44,85,11,43,155,175,van
95,47,88,11,43,157,185,van
88,42,64,8,51,142,161,van
83,37,62,6,55,129,135,van
91,36,60,6,56,130,118,van
91,39,82,10,46,137,158,van
89,44,76,10,44,151,176,van
95,43,76,10,44,149,159,van
98,39,68,8,52,144,134,van
96,39,58,6,52,139,150,van
90,43,81,46,45,149,164,van
93,42,64,7,51,144,155,van
85,37,68,6,51,130,121,van
89,43,85,11,43,151,174,van
96,45,80,9,46,148,161,van
90,48,77,10,44,164,187,van
93,42,70,7,53,145,152,van
89,42,89,11,44,145,163,van
90,44,72,8,48,144,171,van
93,37,70,9,53,137,119,van
86,48,75,10,43,163,185,van
