@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,4,6,9,11,14,18-19'

@attribute Compactness numeric
@attribute Radius_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
104,209,10,23,223,73,196,saab
101,215,10,24,227,74,193,opel
102,193,6,22,217,76,193,bus
80,129,7,19,168,83,185,saab
87,177,8,20,186,63,205,opel
97,227,11,25,225,70,198,opel
77,144,6,19,167,80,187,opel
109,221,12,25,226,72,201,saab
85,128,8,19,168,82,184,bus
89,119,5,18,151,79,185,saab
98,121,7,18,164,75,186,van
88,130,5,18,141,74,188,saab
93,131,7,18,156,74,190,van
91,154,6,19,170,66,198,opel
98,186,10,24,223,73,195,opel
88,186,6,20,185,73,197,bus
86,130,7,19,177,81,185,bus
101,168,11,24,219,74,192,opel
94,194,9,21,191,63,209,opel
90,169,7,19,175,71,197,bus
88,139,11,20,176,76,195,van
100,189,10,25,225,71,197,opel
93,161,12,19,179,76,196,van
91,157,7,19,177,65,201,saab
106,193,10,24,224,73,197,saab
90,188,10,21,211,69,199,saab
82,155,7,19,172,72,195,bus
105,220,10,25,232,73,199,saab
87,127,8,19,169,85,182,bus
106,201,10,21,197,62,209,opel
89,125,10,20,163,76,193,van
102,190,10,25,224,71,198,opel
88,137,5,19,163,86,183,saab
87,164,8,19,181,70,196,opel
95,176,7,20,196,67,198,saab
84,148,6,19,168,75,187,bus
104,193,11,24,232,72,201,saab
82,117,7,18,146,78,184,saab
98,186,6,20,189,71,203,bus
91,136,6,19,165,69,191,saab
98,195,11,23,227,71,196,opel
90,136,11,20,172,77,191,van
91,164,10,19,164,68,201,van
106,211,8,23,218,67,201,opel
100,206,6,21,206,73,199,bus
105,173,4,25,254,83,184,bus
94,181,8,20,190,67,198,opel
88,156,7,20,184,67,198,opel
109,186,11,23,212,65,201,opel
98,176,10,20,173,66,202,van
108,246,6,26,264,82,185,bus
85,121,7,19,169,87,182,bus
89,140,6,19,170,71,198,opel
101,191,11,21,192,62,210,saab
85,120,7,19,173,85,182,bus
85,129,6,17,138,65,203,van
96,161,5,22,215,75,196,bus
93,164,8,18,157,64,208,van
97,133,7,18,158,78,186,van
96,160,9,19,173,70,199,van
96,215,9,22,214,67,201,saab
90,161,10,20,177,73,195,van
110,223,10,24,223,67,203,saab
94,175,12,20,172,69,200,van
97,183,7,23,214,74,191,bus
108,206,10,23,214,65,205,saab
92,184,6,19,184,71,202,bus
106,192,11,24,228,71,198,opel
100,206,10,23,224,72,196,saab
94,186,8,19,171,67,206,bus
96,174,10,19,173,69,202,van
85,141,7,19,178,84,184,bus
94,138,10,20,171,77,191,van
106,154,4,26,263,82,184,bus
81,148,7,19,175,80,185,bus
97,197,11,24,219,75,194,opel
90,132,10,20,169,78,191,van
81,154,22,19,186,88,185,bus
90,157,11,20,175,74,195,van
95,170,9,19,163,64,207,van
86,149,8,20,185,74,190,opel
92,154,6,20,185,71,191,saab
94,169,8,20,181,67,199,saab
86,146,7,18,155,66,195,saab
85,123,5,17,140,73,190,van
