@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,7-8,14,17,19'

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
95,83,178,72,162,42,70,187,van
107,106,172,50,255,26,85,181,bus
89,85,144,58,152,44,72,187,van
85,80,154,64,147,45,71,188,van
107,98,203,65,218,31,72,187,saab
100,90,172,67,157,43,67,192,van
89,81,147,64,156,44,76,184,van
101,62,175,67,149,43,65,202,bus
86,62,140,62,150,45,82,180,saab
104,94,208,66,208,31,76,193,bus
99,92,203,65,209,31,78,191,bus
110,106,180,51,261,26,83,181,bus
89,83,322,133,158,43,97,184,van
90,80,171,58,157,42,60,201,saab
104,96,211,65,187,35,65,195,saab
94,84,216,74,184,35,73,196,bus
82,53,125,59,133,51,87,177,opel
92,78,165,57,153,43,60,203,saab
110,104,191,57,213,31,68,191,saab
98,70,125,52,130,53,74,186,van
100,75,205,71,176,36,72,197,bus
92,86,167,60,158,42,68,190,saab
86,69,150,63,138,48,71,189,van
93,79,159,63,144,46,67,195,van
85,59,132,58,149,46,83,179,bus
95,66,126,52,133,52,78,184,van
92,69,158,56,149,44,63,198,opel
82,73,154,65,151,44,76,185,bus
88,84,136,55,154,44,73,185,van
88,57,132,62,135,50,83,180,saab
87,76,159,65,155,42,76,189,bus
90,75,164,64,151,43,66,195,bus
98,77,171,61,172,37,72,199,bus
89,68,149,60,133,50,62,201,van
107,103,186,57,214,31,66,189,opel
98,96,203,66,188,35,68,191,saab
98,90,192,63,177,37,65,193,saab
109,109,193,59,207,32,70,191,saab
82,59,134,63,135,51,82,179,saab
80,60,122,56,139,49,80,179,opel
100,107,207,63,227,30,72,186,opel
108,106,177,51,256,26,87,182,bus
88,73,173,68,150,44,69,196,bus
80,71,133,60,150,45,81,180,bus
86,89,176,59,169,39,67,193,opel
112,104,197,58,208,32,67,191,saab
98,109,202,59,199,34,61,194,saab
92,74,178,62,161,41,63,197,opel
92,62,144,59,127,52,62,204,van
86,66,128,57,131,52,76,183,opel
97,94,209,67,195,34,70,188,opel
101,112,201,59,214,32,65,190,saab
89,74,138,59,136,49,72,189,van
89,63,134,59,123,55,76,186,van
92,74,187,74,157,41,70,195,bus
88,58,140,59,127,52,63,199,van
88,70,151,61,143,46,68,196,bus
107,103,182,56,213,31,72,188,saab
86,66,126,57,148,46,86,179,bus
105,96,181,56,219,30,74,187,opel
99,100,199,62,200,33,70,189,opel
89,78,153,61,146,46,69,187,opel
104,105,223,70,223,30,75,188,opel
93,63,146,58,128,52,63,198,saab
84,75,136,55,140,48,71,189,saab
98,84,207,72,184,35,72,196,bus
103,107,179,54,208,32,66,191,opel
108,105,230,68,218,30,69,190,opel
91,98,196,62,193,34,69,190,opel
90,79,185,69,160,40,66,198,bus
110,100,197,61,193,34,65,194,saab
90,75,133,55,160,43,77,182,van
93,83,165,60,167,40,73,187,opel
93,78,162,64,137,48,63,203,van
105,100,195,61,193,34,65,194,opel
91,76,138,55,132,51,69,191,van
96,68,190,70,155,41,67,202,bus
115,100,201,60,196,34,62,198,saab
103,106,172,55,212,32,73,187,saab
84,70,123,54,151,45,81,181,bus
94,72,146,60,133,50,69,192,van
100,104,163,52,206,32,69,188,opel
89,80,191,66,162,40,66,194,opel
105,105,213,67,200,33,68,190,opel
