@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
88,36,53,57,180,183,van
90,44,72,48,196,203,van
94,43,82,43,186,197,van
92,35,58,55,197,203,van
82,43,70,48,190,199,van
85,36,51,57,181,184,van
86,39,58,57,190,194,van
91,41,84,45,189,199,van
90,48,78,43,184,193,van
90,48,81,44,185,195,van
87,47,81,45,188,198,van
89,46,77,44,183,191,van
96,40,70,50,183,183,van
89,41,84,45,188,200,van
88,39,76,48,201,209,van
89,46,84,43,186,197,van
86,39,62,57,199,204,van
83,40,53,53,176,183,van
89,47,84,44,182,192,van
86,36,70,50,194,202,van
88,42,66,54,193,198,van
88,44,84,44,183,195,van
89,46,74,44,184,191,van
94,45,85,43,189,199,van
88,44,85,43,184,195,van
93,42,64,49,192,201,van
86,40,66,54,202,208,van
88,42,64,51,203,210,van
90,43,81,45,186,196,van
100,46,85,42,189,196,van
86,39,60,55,200,207,van
90,46,80,43,185,193,van
87,42,64,50,193,201,van
88,35,60,52,202,209,van
97,47,87,43,192,202,van
96,39,58,52,181,182,van
87,37,52,58,186,190,van
91,36,60,56,192,198,van
92,41,66,50,182,184,van
93,47,85,44,183,195,van
93,48,84,44,185,195,van
95,49,82,43,182,191,van
96,39,77,47,201,208,van
83,37,62,55,181,185,van
98,44,78,47,201,207,van
90,41,62,52,201,208,van
90,47,85,42,185,195,van
85,45,73,46,190,199,van
89,40,79,46,188,197,van
89,43,85,43,185,196,van
97,45,88,43,192,200,van
85,39,57,58,197,202,van
83,37,49,55,180,184,van
89,44,76,44,184,193,van
90,44,69,49,187,191,van
93,44,90,44,194,203,van
98,39,68,51,186,186,van
91,41,64,51,194,201,van
94,36,66,50,201,208,van
94,42,68,52,192,196,van
95,46,92,42,189,200,van
93,42,64,51,185,185,van
98,38,66,51,191,194,van
88,41,80,45,188,197,van
96,44,85,43,192,202,van
86,43,68,48,192,201,van
87,36,53,57,180,183,van
92,38,60,58,190,194,van
84,44,80,44,183,193,van
94,47,85,43,188,196,van
91,41,66,53,191,194,van
88,37,51,57,179,183,van
93,37,70,53,191,190,van
85,45,82,43,183,193,van
94,49,87,43,183,194,van
95,41,82,46,199,207,van
93,43,88,45,196,206,van
86,38,58,57,184,186,van
90,39,57,51,183,182,van
94,48,87,43,184,195,van
89,36,51,57,181,185,van
84,37,53,55,179,183,van
84,37,70,49,196,205,van
90,46,73,43,182,193,van
90,47,85,43,185,196,van
96,46,88,43,194,202,van
90,48,78,43,183,192,van
90,48,78,43,182,192,van
94,45,81,46,194,202,van
94,49,87,43,183,194,van
86,44,78,46,190,201,van
95,46,76,42,184,193,van
93,41,75,49,184,185,van
89,45,85,43,183,193,van
89,44,70,49,186,187,van
90,47,73,42,183,191,van
93,46,82,43,183,194,van
83,40,59,52,177,183,van
96,39,64,52,183,184,van
93,47,85,43,184,196,van
94,48,83,43,185,196,van
98,39,68,52,186,187,van
92,40,82,45,199,206,van
93,46,85,44,195,204,van
92,40,66,50,182,183,van
89,46,78,43,185,194,van
93,42,70,53,189,190,van
90,48,85,43,185,195,van
93,39,78,48,201,208,van
95,42,85,44,196,204,van
85,35,64,57,196,203,van
93,40,62,52,184,184,van
85,39,68,53,182,187,van
83,45,73,46,191,199,van
91,44,66,48,188,194,van
97,35,66,52,195,200,van
91,46,78,45,189,200,van
86,48,75,43,183,192,van
89,40,58,54,199,206,van
87,45,66,47,188,196,van
94,49,82,43,183,192,van
91,39,82,46,191,201,van
91,39,77,48,201,209,van
95,43,76,44,187,200,van
98,44,88,43,194,202,van
89,36,68,47,189,196,van
93,45,83,43,184,197,van
90,48,86,44,185,194,van
95,47,88,43,189,198,van
84,37,70,48,194,202,van
91,43,88,45,197,207,van
94,46,91,43,190,200,van
92,43,70,49,183,185,van
94,35,66,50,196,201,van
90,43,66,48,193,202,van
90,49,85,43,182,192,van
93,41,82,46,199,207,van
86,38,76,47,189,196,van
85,35,47,57,180,184,van
91,42,80,44,189,199,van
87,42,64,50,193,201,van
85,45,71,46,187,196,van
89,45,81,44,183,192,van
97,45,91,45,197,205,van
90,43,72,49,201,209,van
94,50,84,44,182,191,van
86,35,44,57,180,183,van
85,37,68,51,195,203,van
94,45,85,44,187,195,van
89,42,89,44,187,199,van
88,40,55,53,176,183,van
94,36,68,52,195,196,van
85,36,66,56,186,190,van
89,35,70,53,199,207,van
91,42,66,50,191,197,van
86,37,60,56,186,190,van
96,45,87,44,192,201,van
89,47,80,43,182,193,van
89,42,66,51,188,191,van
85,47,75,44,182,191,van
89,40,60,56,193,199,van
93,36,63,50,193,201,van
89,47,85,44,186,197,van
91,38,70,47,192,202,van
89,40,77,46,190,200,van
97,41,62,52,184,186,van
96,45,80,46,199,207,van
93,43,85,44,184,196,van
86,34,62,54,200,208,van
93,40,73,49,187,188,van
93,36,64,49,193,204,van
89,37,51,56,181,183,van
95,44,84,46,199,206,van
91,43,70,51,190,194,van
87,40,81,46,189,199,van
90,42,63,50,197,204,van
90,48,77,44,182,191,van
90,47,85,44,186,197,van
96,46,88,44,192,199,van
85,33,40,61,181,183,saab
98,42,90,37,199,208,saab
84,35,53,59,183,190,saab
91,43,72,45,186,191,saab
91,39,83,38,188,194,saab
102,51,104,32,188,197,saab
102,54,106,32,189,200,saab
