@relation vehicle

@attribute Circularity numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
34,127,18,113,206,van
39,139,18,126,208,van
35,128,18,112,200,van
37,136,18,140,202,van
42,152,19,161,197,van
47,155,19,186,196,van
48,160,20,185,192,van
40,144,19,149,197,van
36,133,18,119,209,van
46,160,20,171,200,van
45,145,19,179,202,van
35,119,17,137,183,van
36,136,18,127,204,van
45,157,20,157,200,van
44,137,18,167,194,van
44,156,20,176,193,van
43,151,19,159,200,van
44,137,18,171,203,van
41,144,19,134,203,van
42,133,18,159,201,van
50,156,20,187,191,van
40,144,19,143,200,van
47,155,19,187,196,van
47,153,19,186,197,van
42,127,18,152,190,van
37,137,18,121,205,van
43,137,18,159,210,van
45,143,18,176,199,van
39,143,19,158,201,van
38,118,17,152,186,van
45,159,20,173,193,van
39,131,18,134,187,van
49,159,20,185,191,van
41,149,19,158,199,van
39,135,18,151,182,van
38,136,18,128,193,van
42,133,18,159,201,van
48,160,20,185,192,van
40,136,18,137,188,van
39,116,17,145,204,van
46,160,20,171,192,van
42,131,18,162,204,van
36,119,17,118,198,van
45,147,19,174,199,van
36,118,17,125,185,van
38,140,18,130,202,van
46,159,20,186,193,van
35,128,18,109,209,van
45,142,18,179,199,van
36,120,17,131,190,van
39,134,18,134,186,van
44,155,20,164,195,van
39,134,18,139,184,van
37,133,18,128,195,van
45,154,19,174,201,van
44,142,18,171,207,van
41,130,18,157,186,van
35,116,17,123,203,van
45,157,20,176,195,van
42,153,19,150,204,van
38,133,18,140,183,van
46,151,19,179,204,van
44,156,20,176,193,van
36,132,18,121,201,van
41,149,19,162,200,van
38,130,18,132,185,van
47,163,20,185,195,van
40,122,17,150,206,van
36,139,18,127,196,van
39,139,18,123,209,van
47,157,20,176,191,van
38,114,17,137,194,van
36,133,18,127,202,van
48,156,20,188,195,van
39,140,18,124,208,van
46,160,20,176,194,van
47,158,20,176,194,van
48,161,20,185,192,van
41,126,18,155,194,van
44,142,18,171,201,van
44,155,19,159,202,van
43,137,18,164,202,van
36,127,18,116,196,van
48,150,19,200,195,van
35,126,17,112,207,van
45,157,20,188,197,van
