@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
84,55,158,176,75,183,195,van
83,56,155,180,75,184,197,van
70,50,141,162,80,183,183,van
88,67,157,173,67,192,200,van
85,64,163,176,71,189,196,van
75,58,163,170,75,183,192,van
66,53,144,162,73,188,191,van
68,60,134,153,62,201,209,van
80,63,148,161,64,199,207,van
53,53,140,142,86,176,183,van
70,56,145,156,74,189,190,van
88,64,157,176,71,189,198,van
62,49,145,160,78,184,184,van
85,66,144,168,65,196,204,van
73,58,138,166,73,187,188,van
69,64,145,165,75,187,191,van
85,57,167,173,75,182,192,van
85,56,155,176,76,184,195,van
62,59,139,149,62,204,210,van
63,57,136,158,67,193,201,van
78,68,147,168,70,190,201,van
87,54,162,178,75,183,194,van
84,66,159,173,72,186,197,van
66,52,143,160,81,182,184,van
76,54,151,163,76,184,193,van
57,48,139,155,85,183,182,van
79,64,139,168,71,188,197,van
68,59,130,166,73,189,196,van
66,56,144,159,72,191,194,van
80,58,157,166,74,183,193,van
62,60,141,149,61,201,208,van
68,56,144,159,72,186,187,van
60,62,132,135,72,190,194,van
70,61,140,156,64,196,205,van
64,57,125,138,65,196,203,van
58,55,134,140,69,190,194,van
76,55,135,157,69,191,192,van
81,64,163,170,76,184,193,van
82,56,160,176,76,183,192,van
81,68,139,167,70,189,199,van
81,60,156,173,75,185,195,van
68,54,132,155,66,195,196,van
85,58,155,175,73,186,197,van
78,60,159,172,75,184,193,van
80,62,144,169,71,188,197,van
82,65,145,163,64,199,207,van
77,56,164,169,78,182,191,van
82,56,162,173,75,182,191,van
85,68,156,170,73,187,195,van
85,60,155,179,75,185,196,van
70,58,146,168,78,186,187,van
90,65,156,170,66,194,203,van
51,54,127,138,82,181,183,van
81,97,149,200,91,186,196,van
49,55,128,144,85,180,184,van
76,57,149,173,71,187,200,van
51,56,124,139,81,181,184,van
73,58,158,170,76,182,193,van
81,102,160,200,90,183,192,van
88,61,157,165,64,197,207,van
70,52,137,156,71,191,190,van
75,53,165,168,77,182,191,van
85,64,151,173,72,185,196,van
60,59,129,147,62,202,209,van
77,52,160,171,78,183,191,van
70,55,146,159,70,190,194,van
85,63,157,174,68,189,199,van
77,62,150,161,62,201,208,van
60,56,137,143,65,193,199,van
51,52,129,137,80,181,185,van
83,133,163,229,97,184,194,van
62,56,143,158,78,184,186,van
80,62,156,169,74,185,193,van
85,54,153,174,75,184,196,van
72,64,145,158,64,201,209,van
81,67,147,164,66,194,202,van
66,52,140,158,78,184,183,van
58,59,130,148,63,199,206,van
51,52,128,135,86,179,183,van
84,57,170,171,77,182,191,van
68,64,143,154,69,192,196,van
64,64,142,157,67,193,201,van
83,64,153,177,74,185,196,van
88,67,149,173,66,194,202,van
73,68,144,169,71,191,199,van
68,49,142,164,75,186,186,van
66,55,138,160,69,191,194,van
84,63,165,171,73,185,195,van
60,54,132,141,72,186,190,van
85,64,160,177,73,185,195,van
82,58,160,180,77,183,194,van
84,62,148,163,64,199,206,van
64,61,142,161,68,194,201,van
66,58,142,163,69,191,197,van
78,59,160,173,76,183,192,van
78,63,160,170,73,185,194,van
80,64,148,169,71,188,199,van
85,138,155,320,135,188,196,van
66,59,139,145,63,202,208,van
70,52,144,164,79,183,185,van
60,60,134,140,61,200,207,van
85,59,158,177,75,183,193,van
78,66,140,157,64,201,208,van
70,105,145,231,99,190,199,van
83,72,159,176,70,187,197,van
66,55,128,140,73,186,190,van
68,64,143,161,69,192,201,van
58,51,139,154,86,181,182,van
82,54,149,176,74,186,197,van
58,56,129,140,78,184,186,van
66,58,148,168,73,188,196,van
66,48,140,159,85,182,183,van
70,58,128,147,64,199,207,van
74,59,133,167,72,189,193,van
58,58,132,142,64,197,203,van
85,66,158,172,74,183,195,van
64,68,142,163,71,192,201,van
53,57,128,137,88,180,183,van
87,67,149,167,67,192,201,van
53,59,125,141,82,179,183,van
66,61,135,154,62,201,208,van
78,56,167,169,76,182,192,van
64,48,141,160,80,183,184,van
62,59,135,137,64,199,204,van
63,59,137,148,76,186,188,van
70,61,130,153,66,194,202,van
68,60,130,150,65,195,203,van
90,67,150,170,67,192,200,van
69,63,134,163,71,189,195,van
47,55,122,136,89,180,184,van
76,66,155,175,74,184,193,van
76,59,131,167,71,189,196,van
62,53,129,143,79,181,185,van
88,64,148,173,70,192,199,van
82,56,156,170,76,183,193,van
88,66,147,164,65,196,206,van
68,52,135,148,75,182,187,van
85,66,150,167,67,192,202,van
66,63,146,166,72,188,194,van
91,70,155,172,69,190,200,van
87,64,149,173,68,192,202,van
85,64,167,175,74,185,195,van
85,58,151,175,74,186,197,van
80,54,163,175,77,182,193,van
82,68,137,164,68,191,201,van
87,64,158,179,75,183,194,van
80,66,145,171,70,189,199,van
89,61,145,170,72,187,199,van
73,58,153,172,77,183,191,van
70,62,134,159,68,194,202,van
82,63,143,160,63,199,207,van
75,51,141,164,77,184,185,van
78,64,145,156,63,203,210,van
84,55,150,174,73,185,196,van
70,52,139,157,74,186,185,van
71,63,147,171,72,187,196,van
84,58,145,172,72,188,200,van
74,59,158,170,79,184,191,van
60,56,130,139,67,192,198,van
53,58,125,138,85,180,183,van
72,60,135,161,69,192,195,van
77,65,141,168,70,190,200,van
81,62,152,171,72,188,198,van
85,65,157,179,76,184,196,van
85,66,147,169,67,195,204,van
70,66,139,162,67,192,202,van
44,54,121,139,90,180,183,van
66,65,146,162,67,193,202,van
88,68,148,173,69,194,202,van
79,63,150,165,67,195,203,van
85,58,144,173,72,187,197,van
64,62,142,150,63,203,210,van
92,63,157,176,70,189,200,van
52,54,126,135,74,186,190,van
84,57,143,170,72,189,199,van
78,63,148,160,63,201,207,van
63,59,142,154,65,197,204,van
75,55,161,173,77,182,192,van
84,55,160,169,74,182,192,van
109,69,169,226,72,188,201,saab
80,58,132,172,60,201,209,saab
79,59,148,184,62,199,208,saab
83,54,132,177,74,185,191,saab
100,60,160,202,62,198,208,saab
100,61,173,225,74,185,195,saab
106,65,167,223,66,192,202,saab
103,63,172,229,71,188,199,saab
81,64,147,180,70,192,199,saab
94,67,158,214,67,193,201,saab
90,69,156,211,70,189,196,saab
96,62,170,221,71,187,198,saab
90,61,158,211,69,191,199,saab
64,61,138,165,80,182,185,saab
50,53,118,136,83,179,185,saab
101,64,172,218,74,187,196,saab
77,59,143,175,77,183,187,saab
57,62,125,151,83,180,184,saab
76,57,143,172,69,189,194,saab
81,59,152,196,67,191,198,saab
98,62,151,216,64,193,204,saab
98,66,169,221,71,188,197,saab
100,61,149,214,67,192,200,saab
85,64,153,188,64,195,201,saab
52,57,125,139,82,181,184,saab
103,63,175,229,71,187,200,saab
107,68,173,232,71,188,199,saab
112,59,162,223,65,190,206,saab
104,59,163,220,70,187,198,saab
90,61,144,189,61,199,208,saab
80,67,129,180,69,190,195,saab
108,62,163,232,72,189,200,saab
83,56,148,185,71,186,191,saab
96,64,150,219,70,190,198,saab
66,55,118,148,65,196,202,saab
88,59,140,192,63,196,205,saab
95,66,144,216,72,190,197,saab
98,60,169,224,73,188,197,saab
107,61,153,227,70,190,203,saab
78,65,136,197,67,192,199,saab
77,56,126,177,65,195,201,saab
76,63,134,191,67,192,197,saab
98,62,146,202,64,195,204,saab
83,61,150,189,72,187,193,saab
77,60,148,181,67,193,199,saab
109,61,159,229,71,190,199,saab
96,66,157,207,68,191,199,saab
89,63,144,210,68,191,199,saab
103,56,162,226,72,188,198,saab
105,61,150,213,66,192,205,saab
69,59,143,175,67,193,198,saab
104,57,162,226,68,191,199,saab
59,63,128,151,82,179,185,saab
53,57,123,135,76,183,190,saab
54,61,127,152,85,180,183,saab
85,62,139,184,61,200,210,saab
101,67,173,228,70,187,201,saab
105,54,162,220,72,187,197,saab
63,56,135,152,70,187,191,saab
57,57,127,137,68,190,195,saab
109,59,156,225,70,191,202,saab
109,59,154,207,61,194,208,saab
87,64,134,200,72,188,195,saab
106,68,166,217,69,189,199,saab
82,56,149,180,69,188,193,saab
108,63,168,226,71,189,203,saab
51,53,126,150,86,181,182,saab
63,58,134,149,63,198,204,saab
54,57,125,143,82,179,183,saab
100,61,149,209,65,194,203,saab
98,64,135,194,66,195,205,saab
85,59,131,189,71,186,192,saab
108,64,163,216,65,194,205,saab
104,67,167,223,72,187,196,saab
98,60,161,219,67,192,201,saab
100,62,165,229,72,188,197,saab
77,60,128,174,66,196,203,saab
75,55,125,166,71,189,195,saab
106,55,168,220,73,187,197,saab
103,60,156,223,68,190,200,saab
78,57,128,169,60,203,211,saab
95,65,160,220,71,188,196,saab
92,62,143,200,64,195,205,saab
108,59,163,232,72,190,201,saab
58,60,131,163,86,180,183,saab
103,68,172,221,70,187,197,saab
72,56,140,168,72,186,191,saab
105,56,163,222,73,187,196,saab
104,66,164,223,67,190,203,saab
66,58,136,164,79,181,185,saab
86,59,134,186,63,197,204,saab
90,60,152,200,68,192,199,saab
110,65,163,228,66,194,205,saab
71,53,127,158,75,181,186,saab
63,58,130,141,74,184,188,saab
101,66,143,218,73,189,197,saab
75,53,131,165,69,186,191,saab
76,60,149,180,63,198,206,saab
103,66,167,229,70,188,201,saab
81,64,138,184,62,197,205,saab
72,55,132,170,77,184,189,saab
105,60,162,207,64,196,205,saab
63,51,130,162,77,181,185,saab
66,59,133,162,74,186,190,saab
98,63,138,206,70,189,197,saab
77,64,151,190,66,194,201,saab
105,71,167,226,70,186,200,saab
105,64,152,214,64,192,204,saab
72,60,133,166,63,196,205,saab
108,64,172,226,71,189,203,saab
88,60,131,188,66,195,204,saab
105,66,165,221,68,191,201,saab
108,63,168,228,69,190,203,saab
103,64,168,224,73,188,199,saab
106,66,149,217,70,191,199,saab
66,56,136,155,74,183,189,saab
89,62,132,200,70,189,195,saab
100,63,159,214,65,194,205,saab
100,58,134,205,68,192,202,saab
106,64,158,224,68,190,202,saab
108,68,170,223,67,190,204,saab
101,64,158,214,65,192,204,saab
82,59,129,179,70,187,192,saab
101,72,171,232,72,187,197,saab
83,61,128,163,63,193,200,saab
96,65,156,207,65,195,206,saab
110,56,159,232,71,191,202,saab
55,55,128,153,81,180,183,saab
105,57,168,224,71,186,197,saab
75,56,134,173,76,182,187,saab
106,68,164,228,71,189,200,saab
40,57,119,130,86,181,183,saab
100,66,173,224,74,185,194,saab
101,59,138,208,67,194,206,saab
80,59,131,186,68,192,197,saab
104,67,162,220,68,188,197,saab
106,66,158,223,73,188,196,saab
101,67,177,226,71,187,199,saab
98,54,171,235,74,187,197,saab
104,63,152,221,73,188,197,saab
76,57,147,184,69,190,195,saab
108,64,168,229,73,190,205,saab
85,64,125,187,66,195,203,saab
104,58,159,223,67,191,202,saab
66,59,124,165,61,201,207,saab
110,67,165,231,67,192,206,saab
108,70,168,226,68,189,201,saab
109,55,171,229,72,189,201,saab
105,62,164,216,68,190,200,saab
108,69,168,229,71,188,199,saab
108,61,168,226,67,188,201,saab
69,63,131,164,66,193,204,saab
103,73,174,232,73,187,197,saab
83,60,133,189,72,186,191,saab
54,53,127,151,79,184,185,saab
103,65,162,228,71,189,197,saab
71,66,133,181,70,189,195,saab
78,58,139,197,68,191,200,saab
62,62,133,165,82,180,185,saab
78,58,124,155,66,190,195,saab
104,60,162,220,67,189,199,saab
88,60,155,186,59,201,210,saab
74,68,134,183,69,190,197,saab
77,62,129,174,71,188,193,saab
86,60,134,191,68,191,199,saab
60,57,129,154,71,186,192,saab
80,62,139,166,74,185,189,saab
75,54,131,171,75,183,188,saab
93,62,165,221,72,188,199,saab
89,58,133,202,70,189,196,saab
90,63,155,195,65,193,201,saab
109,68,169,226,68,189,202,saab
77,54,146,163,64,194,201,saab
86,60,131,181,68,190,196,saab
102,65,164,224,72,187,196,saab
102,64,171,222,73,188,198,saab
69,56,141,162,61,202,209,saab
100,69,170,232,73,187,199,saab
100,60,162,207,62,198,208,saab
81,61,154,189,63,198,207,saab
72,59,144,174,61,203,209,saab
96,63,144,202,66,191,199,saab
98,65,167,229,72,187,199,saab
104,71,171,222,74,186,196,saab
63,55,130,168,83,180,185,saab
85,60,153,192,62,197,210,saab
108,61,167,217,64,196,205,saab
83,59,132,190,67,192,199,saab
101,65,152,216,68,189,197,saab
101,63,166,218,74,188,198,saab
54,53,126,146,78,180,184,saab
105,64,150,202,64,198,211,saab
101,62,162,208,67,193,202,saab
72,59,135,159,68,191,195,saab
100,64,166,229,71,189,199,saab
88,63,132,197,69,191,198,saab
106,51,172,275,83,181,184,bus
75,71,138,204,72,197,197,bus
68,67,142,164,65,198,203,bus
64,69,142,169,68,199,206,bus
70,69,143,166,69,188,193,bus
75,68,146,176,74,188,194,bus
73,70,152,184,69,200,206,bus
109,56,175,288,85,182,183,bus
103,47,166,266,85,181,183,bus
74,74,149,185,70,196,200,bus
68,53,147,170,86,179,183,bus
68,64,142,168,75,183,187,bus
76,65,138,184,76,189,193,bus
103,64,169,280,85,184,183,bus
70,70,153,179,68,200,205,bus
73,63,145,170,71,189,196,bus
91,74,148,234,79,192,191,bus
81,67,158,206,74,197,198,bus
68,70,145,179,67,202,206,bus
68,64,144,175,80,182,185,bus
68,69,147,186,88,180,185,bus
81,69,137,184,68,198,204,bus
68,64,143,169,80,181,184,bus
77,61,139,197,72,199,201,bus
86,69,161,212,75,194,195,bus
102,55,171,243,77,187,187,bus
66,54,147,169,87,179,182,bus
88,60,148,214,74,192,191,bus
76,64,143,179,75,187,193,bus
70,64,138,172,72,187,195,bus
65,56,143,169,85,180,182,bus
92,60,162,247,80,188,186,bus
66,56,145,166,85,179,182,bus
75,72,133,175,70,192,200,bus
82,55,141,215,75,195,196,bus
103,49,172,269,83,179,186,bus
107,67,171,285,86,180,184,bus
84,74,154,208,74,195,195,bus
63,55,145,166,86,179,182,bus
68,62,145,172,83,180,184,bus
74,66,134,173,70,195,200,bus
74,61,149,175,77,183,189,bus
66,58,145,170,84,180,183,bus
78,73,134,185,73,193,197,bus
84,72,161,199,72,196,199,bus
84,74,145,208,73,196,197,bus
77,71,150,184,69,200,203,bus
70,58,146,171,79,181,186,bus
71,70,146,172,71,187,191,bus
64,55,146,167,85,179,182,bus
95,58,158,262,82,187,186,bus
72,52,147,174,82,180,185,bus
79,68,153,202,74,195,195,bus
106,51,170,285,87,182,181,bus
70,65,146,170,77,183,188,bus
73,57,147,170,82,180,184,bus
66,57,143,173,86,180,183,bus
66,55,146,172,83,180,183,bus
59,58,144,166,83,179,182,bus
72,66,147,166,69,191,198,bus
71,68,138,175,71,192,197,bus
74,68,148,180,71,189,195,bus
66,53,145,173,85,180,182,bus
65,56,145,170,81,179,184,bus
60,51,141,169,85,178,182,bus
77,64,134,205,74,196,198,bus
70,66,129,167,65,201,208,bus
68,59,146,172,74,185,191,bus
75,68,129,199,74,197,199,bus
66,54,145,168,87,179,181,bus
70,103,144,241,127,180,183,bus
68,54,145,171,85,179,183,bus
70,54,146,173,81,181,184,bus
106,51,171,278,83,181,182,bus
63,55,142,173,81,180,184,bus
69,64,147,171,75,183,188,bus
76,76,136,174,72,193,197,bus
68,62,142,179,75,188,192,bus
74,74,128,188,72,196,200,bus
75,71,128,180,69,195,202,bus
68,57,146,169,83,179,184,bus
76,75,143,180,77,185,190,bus
70,61,136,164,69,192,199,bus
71,66,146,175,73,186,190,bus
84,71,152,190,70,198,201,bus
73,68,137,174,69,196,200,bus
66,67,144,174,78,182,188,bus
69,62,145,178,84,181,184,bus
66,56,142,177,81,181,185,bus
93,51,165,240,81,188,188,bus
74,74,143,179,70,195,201,bus
68,73,146,173,75,183,189,bus
66,66,140,169,67,201,207,bus
79,65,158,189,70,197,202,bus
70,56,145,166,86,179,182,bus
93,54,159,254,83,186,184,bus
66,54,141,172,88,180,182,bus
66,57,145,170,86,179,182,bus
91,65,161,231,78,192,192,bus
71,56,147,171,79,181,187,bus
73,68,131,175,68,196,205,bus
76,73,157,194,72,197,200,bus
73,73,127,189,72,200,204,bus
98,59,168,258,80,186,184,bus
64,54,143,170,87,179,182,bus
72,69,144,181,69,193,198,bus
109,57,169,272,82,183,183,bus
74,70,127,178,69,201,205,bus
65,56,144,170,87,179,182,bus
79,69,130,178,66,198,205,bus
70,61,143,163,68,196,203,bus
66,53,143,169,85,180,182,bus
83,69,139,189,68,196,198,bus
92,65,159,232,78,191,189,bus
70,65,145,169,77,181,186,bus
80,71,159,214,75,194,194,bus
73,71,127,171,67,197,206,bus
73,64,138,175,73,190,194,bus
94,66,161,227,76,193,191,bus
96,57,170,267,85,184,184,bus
70,68,136,189,71,200,203,bus
73,65,143,178,76,185,189,bus
72,60,146,180,81,182,186,bus
102,75,167,264,82,186,185,bus
70,65,141,168,71,188,195,bus
65,55,148,169,82,179,183,bus
70,75,141,167,69,194,201,bus
72,61,143,173,81,181,185,bus
73,73,126,184,71,199,204,bus
89,54,153,238,78,190,189,bus
75,66,136,175,72,188,195,bus
102,52,169,287,85,182,184,bus
66,126,144,237,119,181,185,bus
75,64,131,168,66,195,204,bus
77,69,139,202,72,198,199,bus
95,68,150,216,73,192,194,bus
70,59,142,177,78,185,188,bus
