@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
90,85,43,155,355,75,185,196,van
95,88,43,157,371,71,189,198,van
84,53,55,125,221,82,179,183,van
95,82,43,162,365,75,182,191,van
90,63,50,142,259,65,197,204,van
86,78,46,147,305,70,190,201,van
92,82,45,140,319,64,199,206,van
93,88,45,147,334,65,196,206,van
87,53,57,125,205,85,180,183,van
93,85,44,153,351,75,184,196,van
86,58,57,129,208,78,184,186,van
94,87,43,158,363,75,183,194,van
94,68,52,143,246,69,192,196,van
91,70,51,146,253,70,190,194,van
94,72,50,135,262,69,192,195,van
89,77,44,160,351,78,183,191,van
96,88,44,148,339,70,192,199,van
91,66,48,146,280,72,188,194,van
87,52,58,126,196,74,186,190,van
91,66,50,142,268,69,191,197,van
91,60,56,130,211,67,192,198,van
94,85,43,155,354,135,188,196,van
92,70,49,144,282,79,183,185,van
97,62,52,143,247,78,184,186,van
93,75,49,141,284,77,184,185,van
93,73,49,138,275,73,187,188,van
83,73,46,144,305,71,191,199,van
96,85,43,150,355,67,192,202,van
94,83,43,153,357,74,185,196,van
89,68,50,134,265,62,201,209,van
98,70,53,139,243,74,186,185,van
97,91,45,148,334,65,197,205,van
92,66,50,143,275,81,182,184,van
89,85,43,151,356,72,185,196,van
89,84,45,145,330,72,188,200,van
88,76,48,137,281,63,201,209,van
89,51,57,129,206,80,181,185,van
98,88,43,149,367,66,194,202,van
94,81,46,147,313,66,194,202,van
87,81,46,139,317,70,189,199,van
93,62,52,145,249,78,184,184,van
89,77,46,141,314,70,190,200,van
100,90,43,150,363,67,192,200,van
93,79,46,150,309,67,195,203,van
85,66,56,128,212,73,186,190,van
88,84,44,158,351,75,183,195,van
95,85,44,144,347,65,196,204,van
93,64,51,144,262,78,185,185,van
