@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
89,66,53,162,254,191,van
88,85,56,176,363,195,van
89,85,59,177,362,193,van
94,81,67,164,313,202,van
94,87,64,179,363,195,van
89,68,59,166,291,196,van
90,81,60,173,333,195,van
89,85,58,173,345,197,van
90,77,56,169,354,191,van
85,57,56,134,195,202,van
89,81,102,200,347,192,van
90,78,56,169,366,192,van
93,62,49,160,249,184,van
94,82,54,176,359,197,van
91,66,63,166,280,194,van
90,72,64,158,279,209,van
100,85,64,176,387,196,van
90,85,64,175,375,195,van
88,80,62,169,318,197,van
83,53,53,142,247,183,van
94,82,56,176,367,192,van
83,49,55,144,219,184,van
86,68,64,161,285,201,van
89,63,59,148,223,188,van
97,87,64,173,359,202,van
90,75,55,173,369,192,van
98,68,49,164,261,186,van
92,66,48,159,277,183,van
92,58,58,142,222,203,van
86,76,59,167,301,196,van
88,53,57,137,204,183,van
91,84,57,170,330,199,van
92,82,63,165,319,206,van
94,83,64,177,357,196,van
88,66,57,147,227,198,van
97,91,63,166,334,205,van
91,82,68,164,308,201,van
85,68,60,150,253,203,van
86,44,54,139,208,183,van
90,85,57,173,365,192,van
95,83,72,176,379,197,van
89,78,63,170,367,194,van
92,62,59,149,241,210,van
94,91,70,172,358,200,van
93,70,56,156,240,190,van
95,82,56,173,365,191,van
85,64,57,138,200,203,van
89,80,54,175,369,193,van
93,85,66,169,339,204,van
90,78,59,173,370,192,van
90,85,64,177,389,195,van
87,64,64,157,264,201,van
94,85,138,320,354,196,van
90,81,97,200,332,196,van
92,60,62,135,194,194,van
93,85,66,172,355,195,van
95,85,66,168,347,204,van
89,76,54,163,352,193,van
96,80,63,161,316,207,van
93,83,56,180,364,197,van
82,70,105,231,289,199,van
89,81,64,170,352,193,van
91,64,61,161,249,201,van
89,60,56,143,209,199,van
85,75,53,168,358,191,van
89,58,58,146,225,206,van
89,70,58,147,237,207,van
93,85,65,179,354,196,van
92,70,52,164,282,185,van
95,76,66,175,381,193,van
90,63,59,154,259,204,van
90,62,60,149,246,208,van
89,84,66,173,368,197,van
96,58,51,154,255,182,van
88,55,53,142,249,183,van
86,62,59,137,203,204,van
93,63,57,158,260,201,van
86,69,63,163,284,195,van
93,64,69,161,279,204,van
97,88,67,173,365,200,van
89,68,60,153,265,209,van
86,70,61,153,266,202,van
86,58,55,140,204,194,van
95,88,64,176,371,198,van
94,72,60,161,262,195,van
90,57,48,155,261,182,van
96,70,50,162,269,183,van
85,51,56,139,207,184,van
84,53,59,141,221,183,van
93,84,63,171,354,195,van
93,90,65,170,348,203,van
85,82,56,170,362,193,van
95,92,63,176,372,200,van
93,78,64,156,281,210,van
100,90,67,170,363,200,van
96,88,64,173,339,199,van
93,82,58,180,371,194,van
87,66,58,168,294,196,van
88,84,55,174,350,196,van
90,73,58,172,376,191,van
98,66,55,160,251,194,van
85,66,55,140,212,190,van
98,70,52,157,243,185,van
91,77,59,159,289,209,van
89,83,133,229,364,194,van
85,71,63,171,307,196,van
86,75,58,170,371,192,van
96,85,66,167,355,202,van
89,85,58,175,349,197,van
90,86,126,272,346,194,van
94,87,64,179,363,194,van
93,78,66,157,290,208,van
96,64,48,160,258,184,van
98,88,67,173,367,202,van
87,53,58,138,205,183,van
91,66,58,163,268,197,van
84,80,58,166,349,193,van
89,84,58,172,330,200,van
91,70,55,159,253,194,van
85,68,52,148,241,187,van
96,88,68,173,354,202,van
94,66,61,154,265,208,van
86,66,59,145,225,208,van
94,68,54,155,242,196,van
89,70,58,168,273,187,van
87,81,62,171,325,198,van
91,78,61,168,323,200,van
89,84,55,169,354,192,van
92,66,52,160,275,184,van
95,82,65,163,314,207,van
94,87,54,178,366,194,van
94,68,64,154,246,196,van
93,70,52,156,238,190,van
95,66,52,158,253,183,van
83,59,53,145,250,183,van
88,58,59,148,243,206,van
93,85,54,174,351,196,van
90,73,58,170,373,193,van
89,85,64,173,356,196,van
97,62,56,158,247,186,van
90,66,65,162,281,202,van
93,73,58,166,275,188,van
94,85,68,170,357,195,van
85,80,64,169,324,199,van
98,68,56,159,251,187,van
89,89,61,170,338,199,van
89,77,65,168,314,200,van
89,74,59,167,278,193,van
88,84,55,176,351,195,van
97,66,64,148,246,200,van
91,80,66,171,331,199,van
90,72,64,159,283,203,van
93,88,66,164,334,206,van
95,84,62,163,312,206,van
88,64,62,150,253,210,van
89,74,59,170,356,191,van
93,79,63,165,309,203,van
86,58,56,140,208,186,van
88,76,62,156,281,209,van
87,81,68,167,317,199,van
88,51,52,135,207,183,van
85,47,55,136,203,184,van
91,88,61,165,326,207,van
87,64,64,157,265,201,van
86,60,54,141,209,190,van
91,76,55,157,256,192,van
94,66,62,159,258,201,van
89,51,52,137,206,185,van
96,87,67,167,351,201,van
90,85,60,179,355,196,van
93,82,63,160,309,207,van
94,85,63,174,367,199,van
84,70,62,159,280,202,van
85,73,69,173,307,199,van
96,77,62,161,294,208,van
94,84,57,171,351,191,van
93,64,51,164,262,185,van
86,62,61,141,223,208,van
89,77,52,171,351,191,van
108,100,63,214,576,205,saab
106,101,64,214,607,204,saab
86,66,56,155,274,189,saab
92,86,60,181,373,196,saab
89,54,53,151,266,185,saab
82,54,53,146,229,184,saab
86,86,60,191,433,199,saab
107,98,66,221,704,197,saab
86,77,60,174,331,203,saab
93,88,66,197,452,202,saab
109,109,69,226,712,201,saab
84,75,55,166,290,195,saab
104,105,61,217,637,207,saab
109,103,63,229,720,200,saab
86,64,61,165,333,185,saab
96,101,66,218,552,197,saab
91,72,55,170,314,189,saab
105,105,60,207,545,205,saab
89,77,54,163,308,201,saab
85,75,56,173,339,187,saab
104,108,61,226,694,201,saab
93,98,62,202,505,204,saab
84,83,54,177,327,191,saab
109,103,63,229,707,199,saab
98,109,59,207,586,208,saab
98,96,66,207,533,199,saab
90,89,62,200,458,195,saab
91,83,61,163,298,200,saab
86,63,56,152,262,191,saab
98,78,65,197,430,199,saab
88,63,58,141,230,188,saab
109,109,59,225,635,202,saab
95,71,61,178,365,208,saab
103,100,60,202,518,208,saab
103,106,55,220,660,197,saab
90,66,55,148,224,202,saab
104,107,68,232,703,199,saab
108,103,65,228,648,197,saab
105,100,61,214,586,200,saab
107,103,68,221,709,197,saab
89,77,62,174,327,193,saab
91,72,56,168,327,191,saab
117,110,65,228,668,205,saab
97,95,66,216,526,197,saab
91,88,63,197,457,198,saab
89,80,62,166,308,189,saab
103,106,66,217,612,199,saab
104,108,64,226,707,203,saab
100,92,62,200,489,205,saab
101,98,60,219,572,201,saab
108,105,62,216,608,200,saab
