@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
59,11,43,183,193,van
63,7,48,188,194,van
54,2,57,180,183,van
59,8,48,201,209,van
64,9,43,192,202,van
68,10,46,189,199,van
59,6,55,186,188,van
63,8,48,189,195,van
59,6,52,199,206,van
54,10,44,184,196,van
64,11,44,184,193,van
55,5,56,186,190,van
61,8,51,194,201,van
67,10,44,192,201,van
56,10,43,184,197,van
64,10,50,193,201,van
66,9,44,195,204,van
70,12,43,190,200,van
55,5,57,190,194,van
57,10,44,182,191,van
64,8,49,201,209,van
69,8,46,190,199,van
63,10,45,197,205,van
65,10,44,194,203,van
68,8,46,191,199,van
61,8,50,201,208,van
66,8,44,189,199,van
64,8,48,203,210,van
48,7,50,182,183,van
58,9,50,191,197,van
48,7,51,183,182,van
62,8,47,201,208,van
57,10,44,187,200,van
59,7,50,197,204,van
54,6,58,186,190,van
66,11,44,183,195,van
56,7,53,189,190,van
64,11,43,185,196,van
50,8,50,183,183,van
56,9,53,191,194,van
60,9,44,185,195,van
64,10,42,185,195,van
59,6,57,199,204,van
59,5,55,179,183,van
51,7,49,184,185,van
57,6,54,193,198,van
56,6,58,197,202,van
54,11,43,182,193,van
54,5,56,186,190,van
60,7,55,200,207,van
72,10,42,187,197,van
105,55,48,190,199,van
63,11,43,185,194,van
53,7,51,188,191,van
63,8,47,201,207,van
66,11,43,186,197,van
64,10,43,185,196,van
55,7,51,191,194,van
68,9,46,190,201,van
67,10,43,194,202,van
56,11,43,182,191,van
66,8,48,201,208,van
63,9,46,199,207,van
49,7,52,184,184,van
52,5,57,179,183,van
53,7,53,176,183,van
58,11,43,183,194,van
59,7,49,189,193,van
58,6,55,197,203,van
58,4,57,180,183,van
61,9,45,197,207,van
57,11,43,182,192,van
64,9,46,188,197,van
54,11,43,183,194,van
63,9,45,199,206,van
56,6,56,192,198,van
62,10,46,199,206,van
66,10,43,192,202,van
62,9,48,194,202,van
62,9,50,196,201,van
57,3,57,180,183,van
63,11,44,185,195,van
64,11,43,185,195,van
52,6,57,181,185,van
54,7,52,195,196,van
62,8,48,201,209,van
54,10,43,186,197,van
58,6,49,187,188,van
56,11,43,182,192,van
58,8,47,188,196,van
65,12,43,184,196,van
57,8,50,193,201,van
56,10,43,183,192,van
53,9,44,182,191,van
53,6,55,181,185,van
138,49,43,188,196,van
59,9,44,184,191,van
63,9,46,199,207,van
133,48,43,184,194,van
58,10,44,187,197,van
64,8,52,195,200,van
66,9,45,196,206,van
57,6,57,196,203,van
64,10,50,193,201,van
63,11,42,189,200,van
58,6,49,186,187,van
54,5,56,181,183,van
51,6,52,181,182,van
64,9,45,188,199,van
61,7,54,200,208,van
62,8,51,203,210,van
58,10,44,186,197,van
55,8,51,190,194,van
61,11,44,187,199,van
52,10,44,183,191,van
66,25,47,192,202,van
69,8,49,193,204,van
52,8,53,186,185,van
55,8,51,191,192,van
61,7,49,196,205,van
59,7,52,202,209,van
60,8,50,201,209,van
63,8,46,187,196,van
62,8,45,188,197,van
66,11,42,184,193,van
126,49,44,185,194,van
52,9,53,191,190,van
102,43,44,183,192,van
48,8,52,183,184,van
64,11,42,189,196,van
56,4,57,184,186,van
67,10,43,192,200,van
62,11,43,185,193,van
55,5,55,180,184,van
