@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1-3,6,8,10,13,19'

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
95,48,83,10,42,159,184,van
107,57,106,6,26,169,264,bus
89,42,85,10,44,144,161,van
85,45,80,9,45,148,174,van
107,54,98,11,31,167,216,saab
100,46,90,9,43,150,184,van
89,47,81,11,44,163,188,van
101,42,62,6,43,139,165,bus
86,40,62,7,45,133,173,saab
104,52,94,5,31,161,218,bus
99,51,92,5,31,159,214,bus
110,58,106,6,26,171,257,bus
89,47,83,48,43,163,176,van
90,37,80,9,42,132,115,saab
104,50,96,10,35,156,195,saab
94,44,84,6,35,145,154,bus
82,38,53,5,51,128,146,opel
92,36,78,8,43,128,124,saab
110,51,104,12,31,162,190,saab
98,38,70,8,53,139,132,van
100,41,75,5,36,138,151,bus
92,37,86,7,42,131,144,saab
86,37,69,8,48,134,124,van
93,41,79,8,46,150,134,van
85,42,59,7,46,144,172,bus
95,38,66,8,52,140,140,van
92,43,69,7,44,143,168,opel
82,43,73,7,44,143,160,bus
88,43,84,11,44,150,164,van
88,37,57,6,50,125,144,saab
87,42,76,5,42,138,157,bus
90,38,75,7,43,131,139,bus
98,40,77,6,37,139,141,bus
89,36,68,8,50,134,119,van
107,52,103,11,31,162,189,opel
98,51,96,10,35,157,231,saab
98,50,90,9,37,155,197,saab
109,49,109,10,32,156,213,saab
82,37,59,7,51,128,143,saab
80,39,60,6,49,131,142,opel
100,57,107,11,30,180,205,opel
108,57,106,5,26,170,261,bus
88,40,73,7,44,137,151,bus
80,43,71,7,45,146,176,bus
86,38,89,9,39,132,148,opel
112,50,104,11,32,159,186,saab
98,47,109,11,34,154,165,saab
92,38,74,9,41,135,132,opel
92,40,62,8,52,139,150,van
86,36,66,8,52,127,139,opel
97,46,94,10,34,147,194,opel
101,51,112,11,32,162,194,saab
89,38,74,7,49,133,128,van
89,41,63,6,55,137,150,van
92,45,74,7,41,143,183,bus
88,34,58,6,52,130,113,van
88,44,70,8,46,143,173,bus
107,51,103,11,31,162,217,saab
86,45,66,8,46,145,186,bus
105,55,96,9,30,175,216,opel
99,54,100,9,33,166,241,opel
89,38,78,7,46,127,142,opel
104,55,105,10,30,177,218,opel
93,39,63,7,52,134,158,saab
84,36,75,6,48,125,138,saab
98,51,84,7,35,161,198,bus
103,49,107,12,32,159,183,opel
108,55,105,11,30,171,210,opel
91,52,98,9,34,161,244,opel
90,38,79,6,40,130,133,bus
110,46,100,9,34,149,160,saab
90,46,75,11,43,161,171,van
93,47,83,7,40,147,201,opel
93,43,78,8,48,145,159,van
105,46,100,9,34,150,161,opel
91,37,76,8,51,135,124,van
96,44,68,7,41,145,166,bus
115,51,100,12,34,162,184,saab
103,53,106,10,32,168,223,saab
84,43,70,8,45,146,176,bus
94,37,72,9,50,135,128,van
100,51,104,10,32,164,193,opel
89,44,80,6,40,143,180,opel
105,54,105,10,33,163,214,opel
