@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R5,10-11,13,17-19'

@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
61,173,225,220,185,195,saab
63,134,191,139,192,197,saab
51,130,162,146,181,185,saab
70,168,236,245,188,197,opel
63,161,214,185,198,204,opel
56,137,170,156,184,188,opel
68,147,168,171,190,201,van
55,135,172,144,181,193,opel
55,125,142,132,178,184,opel
62,156,169,186,185,193,van
54,145,171,176,179,183,bus
64,139,168,149,188,197,van
64,143,169,184,181,184,bus
68,131,175,135,196,205,bus
66,140,169,159,201,207,bus
59,168,258,245,186,184,bus
64,149,183,178,191,198,opel
55,146,167,172,179,182,bus
56,126,163,130,187,192,opel
68,166,217,218,189,199,saab
53,147,170,178,179,183,bus
59,163,220,197,187,198,saab
68,142,163,170,192,201,van
74,128,188,136,196,200,bus
56,145,170,186,179,184,bus
51,141,164,149,184,185,van
65,165,229,249,188,196,opel
67,142,164,177,198,203,bus
60,134,140,141,200,207,van
53,129,143,135,181,185,van
51,172,275,232,181,184,bus
71,127,171,132,197,206,bus
58,146,171,187,181,186,bus
59,161,210,195,196,202,opel
56,144,159,155,191,194,van
54,127,138,147,181,183,van
63,148,160,171,201,207,van
59,161,206,205,193,200,opel
62,135,158,162,183,190,opel
59,145,175,177,202,208,opel
61,150,213,195,192,205,saab
58,155,175,184,186,197,van
66,139,162,130,192,202,van
56,124,135,135,177,184,opel
56,130,139,118,192,198,van
68,144,169,179,191,199,van
57,177,225,204,186,198,opel
60,159,172,186,184,193,van
60,149,180,169,198,206,saab
57,143,173,168,180,183,bus
68,170,222,214,189,201,opel
68,170,223,224,190,204,saab
58,133,202,155,189,196,saab
60,133,189,155,186,191,saab
54,144,174,177,180,182,bus
63,168,226,201,189,203,saab
66,167,229,212,188,201,saab
55,148,169,176,179,183,bus
62,144,175,174,182,188,bus
61,140,156,121,196,205,van
58,138,165,151,199,206,opel
69,143,166,170,188,193,bus
73,157,194,186,197,200,bus
69,139,189,163,196,198,bus
62,131,182,117,203,211,opel
63,140,197,136,197,204,opel
59,129,147,109,202,209,van
61,150,189,190,187,193,saab
67,129,180,144,190,195,saab
59,134,147,144,193,200,opel
62,139,184,133,200,210,saab
64,152,214,178,192,204,saab
61,178,228,204,187,201,opel
66,134,173,139,195,200,bus
65,152,216,174,189,197,saab
53,147,169,176,179,184,bus
64,145,165,162,187,191,van
62,170,221,217,187,198,saab
54,126,135,144,186,190,van
56,149,180,170,188,193,saab
56,163,222,222,187,196,saab
53,127,158,145,181,186,saab
54,188,223,213,185,198,opel
57,149,173,159,187,200,van
67,173,228,200,187,201,saab
