@relation vehicle

@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
62,6,61,van
66,6,66,van
66,8,73,van
62,8,62,van
74,9,79,van
90,10,66,van
86,49,118,van
64,10,67,van
81,9,66,van
87,10,67,van
85,49,135,van
70,8,80,van
85,11,76,van
85,11,75,van
82,10,76,van
80,8,71,van
58,5,69,van
84,9,72,van
84,9,72,van
78,8,63,van
66,9,67,van
57,6,64,van
66,5,73,van
64,8,67,van
66,9,66,van
78,9,70,van
87,11,75,van
88,9,64,van
57,7,85,van
84,10,64,van
53,5,82,van
87,10,75,van
82,10,68,van
62,7,64,van
82,11,77,van
87,9,68,van
72,9,69,van
73,8,71,van
73,11,77,van
55,7,87,van
88,11,71,van
80,8,70,van
85,10,73,van
69,8,71,van
81,11,76,van
68,7,69,van
82,9,64,van
60,5,72,van
58,7,63,van
82,11,75,van
85,11,75,van
70,7,74,van
88,10,69,van
72,8,65,van
66,9,69,van
84,11,73,van
77,8,62,van
78,11,76,van
83,10,75,van
77,10,78,van
70,9,68,van
68,8,62,van
85,12,76,van
82,9,63,van
63,8,67,van
70,6,79,van
81,9,75,van
85,11,71,van
66,8,66,van
77,10,78,van
84,10,77,van
73,6,73,van
84,11,72,van
64,8,63,van
68,5,75,van
77,8,62,van
62,6,64,van
78,8,64,van
64,8,80,van
85,10,72,van
80,11,74,van
85,11,74,van
63,7,65,van
60,6,65,van
60,5,72,van
82,11,76,van
80,11,77,van
91,10,65,van
66,7,85,van
76,10,76,van
87,10,75,van
47,3,89,van
78,11,76,van
70,9,66,van
85,10,73,van
84,12,75,van
68,8,73,van
66,8,62,van
53,4,85,van
73,11,76,van
80,9,64,van
66,7,72,van
63,6,76,van
70,6,78,van
81,46,91,van
70,8,70,van
85,9,67,van
85,10,75,van
71,8,72,van
68,7,75,van
66,7,63,van
82,10,74,van
84,11,74,van
83,10,74,van
70,55,99,van
70,9,71,van
