@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R4,8,10,13,17,19'

@attribute Radius_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
121,55,125,133,179,van
173,43,142,177,199,bus
160,43,151,174,185,van
137,43,162,186,183,van
220,31,167,232,192,saab
176,40,148,179,199,saab
120,50,141,139,183,van
191,37,137,151,192,opel
111,55,128,147,176,opel
127,52,132,116,195,van
158,39,130,155,190,opel
124,46,144,171,179,bus
252,45,144,185,181,bus
198,33,146,167,193,bus
202,30,168,214,188,saab
199,35,153,171,195,bus
150,46,147,179,187,van
155,45,139,155,184,bus
186,36,138,168,194,saab
150,50,142,159,193,van
194,31,161,172,192,opel
186,40,145,178,199,opel
166,46,147,179,194,van
137,49,146,166,186,van
194,35,160,178,198,saab
157,45,157,140,197,van
137,45,146,183,185,bus
125,44,160,177,183,van
155,46,141,147,188,bus
125,45,140,172,180,bus
171,44,144,179,195,bus
182,31,171,214,189,saab
147,44,151,186,186,van
189,29,158,217,187,bus
132,52,129,132,186,saab
195,35,144,166,191,saab
333,43,155,187,188,van
158,44,126,136,191,opel
117,52,139,150,181,van
141,45,132,149,185,saab
197,35,162,203,193,saab
183,39,150,182,192,opel
175,31,175,222,186,opel
201,30,163,202,189,saab
209,31,170,196,187,opel
143,47,131,138,189,van
177,41,147,188,192,saab
167,31,174,223,187,opel
137,44,134,160,182,saab
202,35,144,175,190,saab
195,38,152,185,200,bus
213,30,177,213,187,saab
111,50,140,148,182,van
208,33,151,183,193,saab
131,43,163,174,182,van
197,31,172,222,187,saab
127,53,124,133,183,opel
199,39,150,180,200,bus
129,57,135,145,199,van
110,59,119,121,179,opel
191,40,128,135,195,bus
104,59,118,127,179,saab
123,51,128,148,177,opel
197,36,142,139,195,opel
159,45,131,123,197,opel
158,44,145,173,183,bus
183,42,136,153,191,bus
197,35,162,194,196,saab
170,45,146,189,187,bus
195,33,149,186,192,saab
172,40,134,145,189,opel
127,54,125,123,184,opel
166,43,150,159,192,van
125,57,134,148,190,van
137,45,151,179,179,bus
139,45,142,156,185,bus
165,45,140,152,188,bus
211,32,167,216,196,saab
185,31,173,219,186,opel
180,43,131,143,195,bus
196,30,173,214,186,opel
193,37,154,171,198,opel
183,26,174,255,181,bus
140,51,120,114,201,opel
183,40,134,149,188,saab
