@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Praxis_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
69,63,48,18,van
84,63,44,20,van
64,48,52,18,van
82,54,43,19,van
70,52,49,18,van
87,64,43,20,van
60,56,56,17,van
75,51,49,18,van
87,64,43,20,van
90,65,44,19,van
66,62,50,18,van
66,61,50,18,van
81,60,44,19,van
77,62,47,18,van
77,65,46,19,van
92,63,42,20,van
82,56,43,20,van
85,54,44,19,van
70,105,48,18,van
58,58,54,17,van
81,64,44,20,van
66,52,50,18,van
74,59,44,20,van
80,54,43,20,van
57,48,51,18,van
49,55,55,17,van
81,97,45,19,van
80,62,45,19,van
85,57,43,20,van
62,59,52,17,van
80,66,44,19,van
64,68,49,18,van
84,58,45,19,van
66,58,47,18,van
72,64,49,18,van
76,62,48,18,van
70,61,49,18,van
87,67,44,19,van
85,63,43,20,van
78,59,43,20,van
51,56,57,17,van
62,49,52,18,van
60,59,52,18,van
84,55,44,20,van
84,55,44,19,van
81,62,45,19,van
78,63,47,18,van
88,66,45,19,van
66,64,52,18,van
85,68,44,20,van
79,64,46,19,van
70,58,49,18,van
59,53,52,18,van
82,63,45,19,van
68,60,50,18,van
75,58,43,20,van
66,57,54,17,van
84,55,44,20,van
60,62,58,17,van
87,54,43,20,van
76,55,51,18,van
66,53,51,18,van
51,52,57,17,van
88,64,43,20,van
82,63,46,19,van
85,138,43,19,van
70,62,48,18,van
78,68,46,18,van
82,56,43,20,van
66,56,53,18,van
77,59,48,18,van
85,60,43,19,van
77,52,44,20,van
72,60,50,18,van
51,54,56,17,van
85,66,44,19,van
78,63,43,20,van
58,58,55,17,van
66,48,50,19,van
84,62,46,19,van
85,64,42,20,van
70,50,50,18,van
62,53,55,17,van
84,66,43,20,van
78,56,43,20,van
75,53,44,20,van
64,64,50,18,van
82,58,43,20,van
60,56,56,17,van
88,67,43,20,van
68,64,48,18,van
66,55,51,18,van
71,63,46,19,van
81,67,46,19,van
75,55,43,20,van
66,65,48,18,van
87,64,43,20,van
85,59,43,20,van
58,59,52,18,van
68,56,52,18,van
78,64,48,18,van
80,58,44,20,van
60,60,55,17,van
85,64,43,19,van
63,59,55,17,van
53,53,53,18,van
85,66,43,19,van
68,52,53,18,van
85,66,44,20,van
73,68,46,18,van
83,133,43,20,van
83,64,43,19,van
53,58,57,17,van
51,52,57,17,van
91,63,45,19,van
66,52,52,18,van
57,56,58,17,van
76,57,44,19,van
58,56,57,17,van
78,60,43,20,van
63,57,50,18,van
81,102,44,20,van
76,59,47,18,van
68,59,47,18,van
82,56,43,20,van
70,66,47,18,van
68,64,52,18,van
68,60,51,18,van
84,57,45,19,van
74,59,49,18,van
88,61,45,19,van
53,57,57,17,van
85,58,44,19,van
62,60,52,18,van
44,54,57,17,van
83,72,42,20,van
66,59,54,17,van
85,58,44,19,van
53,59,55,17,van
80,63,46,19,van
76,66,42,20,van
70,52,53,18,van
81,68,46,19,van
85,58,44,19,van
70,61,50,18,van
47,55,57,17,van
90,67,43,20,van
73,58,43,20,van
85,66,44,19,van
72,64,48,18,van
89,61,44,19,van
70,55,51,18,van
64,51,51,18,van
60,54,56,17,van
62,61,54,17,van
55,53,53,18,van
73,69,46,18,van
69,64,49,18,van
70,52,53,18,van
62,59,57,17,van
79,63,46,19,van
64,69,49,18,van
58,51,52,18,van
64,61,51,18,van
73,58,49,18,van
80,64,45,19,van
64,64,50,18,van
68,54,52,18,van
86,126,44,19,van
80,62,43,20,van
64,62,51,18,van
52,54,58,17,van
63,59,50,18,van
66,58,50,18,van
83,56,43,20,van
66,63,48,18,van
78,61,45,19,van
70,58,53,17,van
58,55,57,17,van
83,54,45,19,saab
79,59,40,20,saab
112,59,32,24,saab
74,58,44,19,saab
75,55,48,18,saab
53,58,58,17,saab
60,57,52,18,saab
85,62,39,20,saab
69,56,47,18,saab
74,68,42,20,saab
80,62,46,19,saab
101,62,35,22,saab
75,54,46,19,saab
102,64,31,24,saab
77,54,46,19,saab
109,55,31,24,saab
57,57,56,17,saab
83,60,41,20,saab
105,64,33,23,saab
88,63,38,21,saab
69,63,48,18,saab
78,65,39,20,saab
83,63,37,21,saab
77,62,45,19,saab
108,61,32,23,saab
83,61,40,20,saab
63,51,47,19,saab
100,61,31,24,saab
100,61,34,22,saab
93,62,31,24,saab
64,61,45,19,saab
101,67,30,25,saab
104,63,33,23,saab
76,63,40,20,saab
54,57,53,18,saab
101,65,33,23,saab
100,61,33,23,saab
72,60,44,19,saab
55,55,48,19,saab
85,64,41,20,saab
100,59,33,23,saab
108,63,31,25,saab
82,59,43,19,saab
105,61,34,23,saab
104,67,32,23,saab
95,66,35,22,saab
90,63,37,21,saab
80,67,43,19,saab
103,65,32,24,saab
72,56,50,18,saab
76,57,41,20,saab
88,59,38,21,saab
63,58,52,18,saab
103,64,30,25,saab
109,59,32,24,saab
106,64,32,24,saab
98,54,31,24,saab
90,69,36,22,saab
100,60,35,22,saab
77,58,47,18,saab
81,64,40,20,saab
104,58,32,24,saab
98,66,31,24,saab
57,62,50,18,saab
104,57,31,24,saab
96,64,33,23,saab
103,73,30,25,saab
104,60,34,23,saab
76,60,42,20,saab
85,59,41,20,saab
86,59,39,20,saab
66,59,49,18,saab
98,63,36,22,saab
71,66,43,19,saab
110,56,31,24,saab
77,64,41,20,saab
81,64,41,20,saab
101,63,32,24,saab
83,61,47,19,saab
83,59,39,20,saab
96,66,35,22,saab
72,59,50,18,saab
103,63,30,25,saab
103,63,30,25,saab
63,56,50,18,saab
106,68,32,24,saab
78,58,38,21,saab
101,59,36,22,saab
66,59,47,18,saab
83,60,38,21,saab
100,60,34,23,saab
104,59,32,24,saab
50,53,59,17,saab
80,58,42,20,saab
106,55,32,24,saab
105,54,32,24,saab
107,61,32,24,saab
105,60,35,22,saab
106,68,32,24,saab
54,55,52,18,saab
105,56,32,24,saab
96,62,31,24,saab
105,71,30,25,saab
104,71,32,24,saab
98,62,36,22,saab
105,64,36,22,saab
53,57,59,17,saab
105,62,33,23,saab
100,64,30,25,saab
89,63,35,22,saab
98,65,31,25,saab
101,64,31,24,saab
74,60,42,19,saab
100,58,37,21,saab
104,67,32,23,saab
71,53,49,18,saab
66,54,52,18,saab
76,57,44,19,saab
88,66,38,21,saab
109,59,34,23,saab
66,55,54,17,saab
103,60,31,24,saab
40,57,61,17,saab
103,68,30,25,saab
104,60,31,24,saab
108,68,31,25,saab
98,60,34,22,saab
101,64,33,23,saab
109,68,31,24,saab
90,61,37,21,saab
78,57,43,19,saab
72,59,42,19,saab
106,65,31,24,saab
88,60,38,21,saab
103,66,31,24,saab
100,66,31,24,saab
69,59,43,19,saab
90,60,38,21,saab
66,58,48,19,saab
95,65,34,22,saab
101,66,34,22,saab
92,62,36,21,saab
98,64,38,21,saab
88,60,39,21,saab
85,64,39,20,saab
108,61,31,24,saab
109,61,31,24,saab
77,60,45,19,saab
103,62,32,23,saab
108,64,31,25,saab
108,63,31,25,saab
51,53,50,18,saab
80,59,41,20,saab
66,58,46,19,saab
89,62,38,21,saab
110,65,31,24,saab
96,63,36,22,saab
98,62,33,23,saab
105,57,31,24,saab
96,65,35,22,saab
108,62,30,25,saab
101,67,30,25,saab
81,61,40,20,saab
75,56,44,19,saab
104,56,31,25,saab
62,62,45,19,saab
108,70,31,24,saab
77,59,44,19,saab
87,64,40,20,saab
107,68,31,24,saab
103,56,31,24,saab
59,63,51,18,saab
104,71,31,25,saab
82,56,43,19,saab
72,56,45,19,saab
101,65,31,24,saab
100,62,31,24,saab
104,66,35,22,saab
86,60,42,20,saab
