@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,8-11,16,19'

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Minor_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
84,45,19,143,170,14,van
70,50,18,130,153,10,van
70,46,18,136,164,2,bus
105,32,23,165,221,6,saab
71,43,19,133,181,24,saab
96,36,22,144,202,8,saab
63,52,18,130,145,21,opel
86,35,22,145,203,4,bus
76,44,19,136,174,8,bus
84,45,19,145,172,18,van
108,31,24,156,232,29,opel
80,46,19,139,166,13,saab
85,44,19,144,168,5,van
68,52,18,143,154,5,van
68,45,19,145,170,12,bus
77,46,19,141,168,5,van
50,59,17,122,132,4,opel
88,43,20,157,176,13,van
78,43,20,160,173,11,van
57,56,17,127,137,23,saab
77,45,19,128,174,32,saab
76,44,19,135,169,17,bus
72,42,19,144,174,9,saab
78,45,19,128,168,24,opel
103,31,24,160,222,3,opel
103,27,27,166,266,11,bus
60,55,17,124,141,16,opel
106,33,23,149,217,10,saab
103,30,25,172,227,6,opel
100,31,24,175,217,14,opel
81,45,19,152,171,6,van
81,34,22,158,206,1,bus
66,49,18,136,155,14,saab
98,31,24,169,221,0,saab
47,57,17,122,136,9,van
73,42,20,146,182,15,opel
103,30,25,176,231,4,opel
80,44,20,157,166,17,van
110,31,24,159,232,27,saab
93,35,22,147,202,2,opel
98,38,21,135,194,35,saab
63,45,19,142,173,15,bus
105,36,22,150,202,32,saab
101,30,25,178,228,20,opel
69,44,19,147,171,0,bus
88,36,21,141,208,12,opel
77,38,20,150,188,16,bus
70,44,19,145,177,12,bus
108,31,24,168,226,9,saab
91,32,23,161,231,14,bus
70,49,18,144,164,16,van
62,52,18,141,149,4,van
105,30,25,179,234,1,opel
71,44,19,147,174,11,bus
86,45,19,134,174,18,opel
108,31,24,162,219,21,opel
96,30,25,170,231,12,opel
103,27,28,172,269,30,bus
66,54,17,139,145,11,van
84,44,20,158,176,11,van
66,49,18,133,162,14,saab
68,47,18,130,166,1,van
79,38,21,138,200,29,opel
103,30,25,174,232,3,saab
108,31,25,168,229,38,saab
77,44,19,141,174,0,opel
75,46,19,131,171,25,saab
76,44,19,143,179,20,bus
109,30,25,182,234,13,opel
80,33,22,159,214,20,bus
70,45,19,144,170,5,bus
107,26,28,171,285,31,bus
71,45,19,142,172,2,bus
96,37,21,141,199,29,opel
85,44,20,156,170,11,van
104,32,23,162,220,19,saab
72,45,19,140,168,23,saab
101,34,22,143,218,19,saab
66,46,19,145,166,11,bus
85,41,20,131,189,13,saab
68,48,18,143,161,0,van
53,53,18,140,142,7,van
66,45,19,146,172,15,bus
70,43,19,129,167,16,bus
