@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R9-10,13-14,17,19'

@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
19,144,188,127,180,bus
17,118,118,65,196,saab
19,146,186,75,183,bus
17,128,125,86,179,van
18,135,119,62,201,van
19,147,189,88,179,bus
24,173,201,76,187,opel
19,124,125,62,203,opel
18,135,150,68,191,saab
24,152,210,77,188,bus
19,147,169,69,191,bus
20,137,156,68,198,bus
20,148,186,69,190,opel
19,143,176,69,189,saab
19,143,183,81,181,bus
19,146,185,77,183,bus
25,176,219,73,186,opel
20,132,142,67,192,saab
23,152,199,73,188,saab
25,182,216,71,185,opel
19,148,161,64,199,van
19,147,188,82,180,bus
19,141,174,68,193,opel
19,145,176,71,189,bus
25,162,209,80,188,bus
25,176,236,70,188,opel
18,127,141,85,180,saab
19,148,166,64,199,van
18,137,151,61,203,opel
23,164,235,68,190,saab
20,144,186,70,196,bus
24,173,216,72,188,opel
19,148,190,80,182,bus
20,158,203,75,183,van
19,141,171,85,179,bus
18,124,117,61,201,saab
26,163,242,85,184,bus
24,175,223,74,186,opel
23,158,204,65,192,saab
24,173,250,73,187,opel
19,143,171,87,179,bus
19,149,161,74,186,van
19,125,137,67,191,opel
18,127,145,87,177,opel
18,131,126,66,193,saab
19,149,164,91,186,van
24,167,197,66,191,opel
20,147,177,69,190,saab
21,152,198,68,192,saab
20,134,129,63,197,saab
19,135,144,77,181,opel
21,153,209,67,192,opel
24,171,216,72,187,saab
19,124,117,71,202,bus
24,162,240,71,189,saab
21,156,210,71,189,opel
25,163,206,73,189,opel
25,167,202,70,186,saab
24,173,218,72,188,opel
20,167,186,75,182,van
24,173,218,75,184,opel
21,134,160,68,192,saab
24,166,202,74,188,saab
19,143,173,77,185,bus
20,158,173,75,183,van
22,161,235,68,191,opel
20,158,186,76,182,van
18,143,161,81,182,van
17,132,116,64,197,van
20,160,186,76,183,van
20,157,162,68,189,van
26,160,250,82,183,bus
18,142,164,69,191,van
17,124,127,81,181,van
20,127,125,72,200,bus
19,133,121,63,196,saab
18,142,153,68,194,van
19,128,137,63,193,saab
18,137,119,71,191,van
22,147,174,73,194,bus
25,172,203,71,189,saab
22,138,173,70,189,saab
25,172,218,73,186,opel
18,144,162,73,188,van
18,148,175,73,188,van
