@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
39,82,68,10,46,158,van
45,71,63,8,46,179,van
49,85,57,11,43,186,van
45,85,68,10,44,176,van
46,85,64,11,42,170,van
42,70,56,7,53,152,van
43,84,55,11,44,164,van
38,70,52,8,53,132,van
43,68,64,9,48,174,van
46,80,62,11,43,186,van
36,64,69,8,49,127,van
39,58,55,5,57,148,van
45,81,67,9,46,179,van
48,85,64,11,43,186,van
43,70,55,8,51,156,van
41,64,61,8,51,153,van
47,85,66,11,44,178,van
37,60,54,5,56,129,van
37,51,54,5,56,147,van
47,73,58,11,42,185,van
44,66,63,7,48,167,van
46,88,64,9,44,182,van
41,84,57,9,45,158,van
48,86,126,49,44,200,van
42,64,62,8,51,161,van
41,66,52,7,50,161,van
48,83,64,10,43,187,van
49,87,54,11,43,186,van
35,70,58,7,53,112,van
36,68,60,8,50,119,van
50,84,57,10,44,187,van
45,88,67,10,43,157,van
37,69,63,8,48,124,van
40,58,58,7,54,150,van
46,91,70,12,43,192,van
47,75,53,9,44,176,van
39,77,62,8,47,124,van
35,64,57,6,57,123,van
46,88,68,10,43,182,van
36,68,54,7,52,116,van
45,82,56,11,43,173,van
42,85,58,10,44,161,van
49,87,64,10,43,203,van
40,70,50,8,50,139,van
45,85,63,10,43,162,van
48,84,63,11,44,188,van
41,75,51,7,49,149,van
45,80,63,9,46,161,van
39,76,62,8,48,124,van
43,76,57,10,44,159,van
45,85,59,11,43,173,van
48,87,64,10,43,186,van
43,82,54,10,43,161,van
41,66,56,9,53,155,van
37,76,55,8,51,124,van
48,78,59,11,43,185,van
40,73,58,6,49,137,van
42,68,64,7,52,159,van
42,85,66,9,44,150,van
35,44,54,2,57,137,van
44,69,64,7,49,162,van
37,62,53,6,55,135,van
41,82,65,9,46,140,van
47,85,65,12,43,178,van
37,70,61,7,49,121,van
36,70,61,9,50,127,van
47,84,55,11,44,176,van
46,84,66,11,43,176,van
43,70,105,55,48,172,van
43,81,97,46,45,164,van
46,78,61,9,45,199,van
47,85,58,9,44,184,van
36,51,56,5,57,127,van
40,55,53,7,53,158,van
39,60,60,7,55,141,van
45,80,64,9,45,174,van
48,77,56,10,44,187,van
42,89,61,11,44,163,van
38,58,56,4,57,152,van
40,66,48,7,50,148,van
40,60,56,6,56,153,van
45,66,58,8,47,175,van
44,78,63,8,47,171,van
48,78,60,11,43,186,van
