@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
89,59,278,189,193,van
90,64,279,201,209,van
93,54,351,184,196,van
88,62,281,201,209,van
91,61,249,194,201,van
86,59,225,202,208,van
90,60,333,185,195,van
95,72,379,187,197,van
90,65,281,193,202,van
89,59,291,189,196,van
86,56,208,184,186,van
82,105,289,190,199,van
97,63,334,197,205,van
94,64,363,184,195,van
95,66,347,196,204,van
87,64,265,193,201,van
90,64,389,185,195,van
88,62,318,188,197,van
90,58,345,186,197,van
89,56,209,193,199,van
90,126,346,185,194,van
97,64,246,195,200,van
90,60,246,201,208,van
93,65,354,184,196,van
89,102,347,183,192,van
90,60,374,184,193,van
92,58,222,197,203,van
97,56,247,184,186,van
92,62,194,190,194,van
90,60,355,185,196,van
89,59,356,184,191,van
88,59,243,199,206,van
87,68,317,189,199,van
98,55,251,191,194,van
90,64,272,187,191,van
89,59,223,186,188,van
96,64,339,192,199,van
93,58,275,187,188,van
84,62,280,194,202,van
90,64,283,196,203,van
90,57,365,182,192,van
93,49,249,184,184,van
95,62,312,199,206,van
89,52,206,181,185,van
83,53,250,177,183,van
85,56,362,183,193,van
86,61,223,200,208,van
94,60,262,192,195,van
90,59,370,183,192,van
91,68,308,191,201,van
90,55,369,182,192,van
89,54,352,184,193,van
85,57,200,196,203,van
89,65,314,190,200,van
89,58,237,199,207,van
91,61,323,189,200,van
89,53,254,188,191,van
94,64,246,192,196,van
88,55,351,183,195,van
95,63,372,189,200,van
94,70,358,190,200,van
98,49,261,186,186,van
89,63,367,185,194,van
95,56,365,182,191,van
91,56,237,191,194,van
91,57,330,189,199,van
86,63,284,189,195,van
95,64,371,189,198,van
83,55,219,180,184,van
93,64,281,203,210,van
94,64,363,183,194,van
85,55,203,180,184,van
90,48,261,183,182,van
88,52,207,179,183,van
89,55,354,182,192,van
93,66,334,196,206,van
97,64,359,192,202,van
86,54,209,186,190,van
90,56,366,182,192,van
94,57,351,182,191,van
87,58,205,180,183,van
85,69,307,190,199,van
93,65,348,194,203,van
89,133,364,184,194,van
89,64,352,184,193,van
90,97,332,186,196,van
92,52,282,183,185,van
89,60,265,201,209,van
88,62,253,203,210,van
91,63,280,188,194,van
87,62,325,188,198,van
93,66,355,183,195,van
98,67,367,194,202,van
96,48,258,183,184,van
93,66,339,195,204,van
93,51,262,185,185,van
87,58,294,188,196,van
94,63,367,189,199,van
85,52,241,182,187,van
88,55,350,185,196,van
93,63,354,185,195,van
91,66,296,192,202,van
87,54,196,186,190,van
88,56,363,184,195,van
93,63,309,195,203,van
88,53,249,176,183,van
97,67,365,192,200,van
85,56,207,181,184,van
93,58,371,183,194,van
96,62,294,201,208,van
91,66,331,189,199,van
95,66,381,184,193,van
89,58,225,199,206,van
89,64,311,188,197,van
93,56,240,189,190,van
86,61,266,194,202,van
94,68,357,187,195,van
86,64,285,192,201,van
94,54,359,186,197,van
98,63,300,201,207,van
100,67,363,192,200,van
85,53,358,182,191,van
86,54,208,180,183,van
83,68,305,191,199,van
88,57,227,193,198,van
96,63,316,199,207,van
93,52,238,191,190,van
93,66,290,201,208,van
90,58,376,183,191,van
98,56,251,186,187,van
