@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
46,67,157,150,192,200,van
43,65,137,146,193,202,van
48,72,162,159,187,197,van
42,56,127,145,189,190,van
46,63,160,160,185,194,van
44,68,142,147,190,201,van
35,54,119,121,180,183,van
40,48,139,140,182,183,van
48,64,161,167,185,195,van
39,66,139,140,201,208,van
48,60,161,159,184,193,van
47,138,155,155,188,196,van
45,67,157,157,192,200,van
40,64,144,139,188,197,van
45,68,142,144,191,199,van
45,63,143,147,187,196,van
36,52,118,129,181,185,van
36,57,118,128,180,183,van
35,59,128,129,202,209,van
45,56,157,155,184,197,van
42,58,152,144,187,197,van
46,52,156,160,183,191,van
46,70,157,155,190,200,van
42,66,148,145,189,199,van
44,58,136,146,186,187,van
40,56,118,137,193,199,van
36,55,120,128,186,190,van
46,58,161,158,182,193,van
35,55,117,122,180,184,van
39,56,131,144,186,187,van
45,58,140,148,188,196,van
39,51,133,139,181,182,van
41,51,140,141,184,185,van
43,54,155,153,184,196,van
46,66,162,155,184,193,van
47,60,155,155,185,196,van
43,57,151,149,187,200,van
44,56,157,155,184,195,van
43,52,139,144,183,185,van
37,53,122,129,181,185,van
39,60,119,134,200,207,van
35,58,126,128,199,207,van
40,65,144,141,190,200,van
48,59,160,160,183,192,van
40,59,122,139,202,208,van
48,56,157,164,182,191,van
41,56,126,144,191,194,van
45,64,147,148,188,199,van
43,64,137,145,203,210,van
45,56,159,156,183,193,van
47,64,156,149,192,202,van
38,56,118,129,184,186,van
34,59,127,130,199,206,van
49,56,159,162,182,191,van
48,64,156,153,185,196,van
43,66,150,147,196,206,van
46,64,163,163,189,196,van
41,60,128,141,201,208,van
37,54,115,126,186,190,van
35,57,116,125,196,203,van
40,68,146,139,189,199,van
43,54,155,149,186,197,van
45,63,146,148,199,207,van
42,68,134,142,192,201,van
49,57,159,167,182,192,van
40,50,137,141,183,183,van
47,54,160,163,182,193,van
36,58,118,125,180,183,van
45,68,157,156,187,195,van
39,55,117,134,190,194,van
39,68,143,137,191,201,van
39,49,134,142,186,186,van
46,62,159,156,185,193,van
42,59,131,142,197,204,van
47,65,155,157,184,196,van
47,58,161,153,183,191,van
36,54,127,132,195,196,van
37,52,119,128,179,183,van
43,105,139,145,190,199,van
44,62,145,148,199,206,van
47,62,147,152,188,198,van
42,66,153,144,196,204,van
41,63,144,150,195,203,van
44,66,155,150,192,202,van
46,66,159,159,186,197,van
41,58,149,145,188,200,van
39,52,128,135,182,187,van
41,59,123,137,186,188,van
42,64,133,142,193,201,van
39,62,140,150,201,208,van
42,62,130,142,203,210,van
50,57,156,170,182,191,van
40,49,131,145,184,184,van
37,60,133,135,192,195,van
38,66,140,139,192,202,van
46,58,159,160,183,194,van
45,67,145,147,194,202,van
36,56,119,124,181,184,van
37,63,138,134,189,195,van
37,62,136,134,194,202,van
41,52,139,143,182,184,van
37,55,132,135,191,192,van
41,62,146,144,188,197,van
41,63,144,143,199,207,van
40,53,132,140,176,183,van
44,63,142,148,201,207,van
43,55,130,146,190,194,van
41,56,130,143,184,186,van
44,67,158,149,194,202,van
36,61,133,135,201,208,van
47,53,157,165,182,191,van
43,64,136,145,201,209,van
45,63,158,157,189,199,van
46,66,151,147,195,204,van
37,61,137,140,196,205,van
46,64,151,148,192,199,van
40,58,136,138,187,188,van
49,54,158,162,183,194,van
47,58,153,151,186,197,van
44,65,153,156,194,203,van
38,55,130,138,191,194,van
47,64,156,163,184,193,van
39,48,135,139,183,182,van
38,52,130,139,186,185,van
47,58,152,155,186,197,van
48,58,161,163,183,192,van
36,61,133,130,194,202,van
43,64,138,143,192,201,van
39,59,116,135,199,204,van
37,55,122,128,180,184,van
46,55,160,161,182,192,van
46,68,155,148,194,202,van
44,63,137,146,188,194,van
47,66,156,158,183,195,van
44,58,156,157,183,193,van
36,57,132,136,193,201,van
49,56,159,160,183,192,van
36,59,139,130,189,196,van
42,58,134,142,191,197,van
44,54,156,151,184,193,van
41,65,145,145,199,207,van
47,55,157,160,182,192,van
47,64,159,157,189,198,van
45,59,158,158,183,193,van
38,62,114,132,190,194,van
45,102,155,160,183,192,van
43,55,154,150,185,196,van
41,57,149,143,189,199,van
45,67,154,149,192,201,van
36,60,133,134,201,209,van
37,54,120,127,181,183,van
43,64,155,151,185,196,van
37,54,119,132,186,190,van
37,52,127,137,191,190,van
37,59,123,125,179,183,van
44,55,155,158,183,195,van
44,64,135,145,187,191,van
35,58,122,132,197,203,van
46,59,157,158,184,191,van
36,56,119,130,192,198,van
41,61,129,142,194,201,van
47,64,163,160,185,195,van
38,59,142,131,189,196,van
42,64,128,143,192,196,van
40,59,127,139,204,210,van
37,60,130,130,195,203,van
47,133,158,163,184,194,van
38,59,136,133,189,193,van
42,53,131,144,188,191,van
43,61,149,157,197,207,van
42,61,151,145,187,199,van
39,48,134,141,183,184,van
49,64,157,158,183,194,van
46,63,160,157,189,200,van
48,56,160,167,182,192,van
43,97,150,149,186,196,van
38,52,133,140,184,183,van
48,60,150,156,185,195,van
48,63,156,165,185,195,van
54,69,221,170,187,199,saab
53,64,206,163,194,205,saab
46,61,193,149,194,203,saab
51,57,213,162,191,199,saab
37,58,125,130,184,188,saab
55,68,218,173,188,199,saab
50,60,211,156,190,200,saab
40,62,169,139,200,210,saab
53,64,220,172,189,203,saab
38,55,146,130,180,185,saab
41,59,175,140,196,205,saab
40,62,150,133,180,185,saab
53,61,217,168,188,201,saab
55,68,219,172,187,197,saab
43,59,152,143,193,198,saab
39,59,169,132,192,199,saab
39,59,167,134,197,204,saab
44,59,152,143,183,187,saab
40,59,137,133,186,190,saab
38,59,153,129,187,192,saab
51,59,214,162,190,206,saab
38,65,169,136,192,199,saab
36,64,160,125,195,203,saab
36,63,140,131,193,204,saab
55,71,211,171,186,196,saab
50,56,214,159,191,202,saab
45,56,154,149,188,193,saab
46,61,166,154,198,207,saab
44,63,185,144,191,199,saab
43,54,144,146,194,201,saab
38,60,170,131,195,204,saab
53,65,193,160,188,196,saab
35,57,122,125,181,184,saab
36,55,140,125,189,195,saab
48,65,197,152,189,197,saab
54,68,207,164,189,200,saab
38,54,149,132,185,191,saab
54,68,218,170,190,204,saab
52,64,221,168,190,205,saab
49,59,207,156,191,202,saab
41,58,148,136,181,185,saab
39,58,128,134,198,204,saab
39,63,175,132,191,198,saab
52,65,212,163,194,205,saab
53,64,220,166,189,199,saab
53,63,222,168,189,203,saab
39,62,175,132,189,195,saab
37,60,158,131,190,196,saab
45,60,157,149,198,206,saab
52,60,215,162,189,199,saab
52,62,217,165,188,197,saab
53,57,211,168,186,197,saab
46,66,203,149,191,199,saab
48,60,175,152,192,199,saab
54,65,213,167,192,202,saab
39,55,146,132,184,189,saab
51,56,210,163,187,196,saab
53,69,221,169,188,201,saab
42,63,185,138,189,197,saab
53,54,216,171,187,197,saab
53,61,207,167,196,205,saab
36,57,153,128,203,211,saab
45,66,192,143,189,197,saab
48,64,169,153,195,201,saab
50,65,187,156,195,206,saab
49,60,185,160,198,208,saab
52,59,208,163,187,198,saab
38,53,137,127,181,186,saab
52,64,201,158,192,204,saab
37,58,157,132,201,209,saab
47,64,198,150,190,198,saab
41,56,136,136,183,189,saab
38,53,144,131,186,191,saab
40,59,132,135,191,195,saab
37,63,164,134,192,197,saab
37,57,128,129,186,192,saab
40,64,177,135,195,205,saab
54,66,214,167,188,201,saab
53,67,217,165,192,206,saab
53,63,219,172,188,199,saab
50,66,207,158,188,196,saab
40,56,133,135,187,191,saab
45,61,198,149,192,200,saab
47,59,199,154,194,208,saab
51,66,188,157,191,199,saab
51,63,196,159,194,205,saab
48,62,203,151,193,204,saab
54,70,215,168,189,201,saab
37,63,135,128,179,185,saab
54,62,202,164,190,200,saab
53,71,221,167,186,200,saab
54,68,208,166,189,199,saab
41,56,141,141,202,209,saab
39,59,163,131,186,192,saab
41,61,150,138,182,185,saab
37,53,134,127,184,185,saab
53,63,213,166,188,198,saab
51,67,204,162,188,197,saab
54,63,222,175,187,200,saab
47,59,168,152,191,198,saab
54,65,218,167,187,199,saab
42,62,144,139,185,189,saab
52,55,216,171,189,201,saab
53,55,212,168,187,197,saab
44,62,183,146,195,204,saab
45,64,160,147,192,199,saab
54,61,216,173,185,195,saab
45,57,159,147,190,195,saab
38,55,142,128,180,183,saab
37,67,154,129,190,195,saab
51,60,195,161,192,201,saab
50,67,187,158,193,201,saab
37,62,135,125,180,184,saab
51,69,183,156,189,196,saab
40,60,160,133,186,191,saab
34,55,123,118,196,202,saab
45,59,163,148,199,208,saab
46,60,158,148,193,199,saab
55,67,222,177,187,199,saab
54,62,218,170,187,198,saab
56,72,217,171,187,197,saab
50,61,181,158,191,199,saab
53,66,204,165,191,201,saab
49,61,212,159,190,199,saab
35,57,116,123,183,190,saab
54,67,222,173,187,201,saab
54,64,213,171,188,198,saab
51,60,196,162,198,208,saab
42,59,186,138,194,206,saab
36,61,142,128,193,200,saab
54,65,208,162,189,197,saab
49,64,208,158,190,202,saab
38,59,161,131,192,197,saab
38,54,147,131,183,188,saab
38,60,170,134,191,199,saab
36,58,135,124,190,195,saab
33,57,112,119,181,183,saab
53,63,219,168,190,203,saab
53,62,216,165,188,199,saab
38,51,142,130,181,185,saab
45,64,187,150,198,211,saab
55,67,206,167,187,196,saab
46,61,198,150,192,205,saab
51,56,213,162,188,198,saab
42,61,178,144,199,208,saab
56,73,221,174,187,197,saab
43,57,149,143,189,194,saab
47,60,171,155,201,210,saab
38,62,149,129,188,193,saab
45,64,161,151,194,201,saab
39,64,166,138,197,205,saab
51,60,191,162,196,205,saab
48,64,201,152,192,204,saab
53,64,220,168,188,199,saab
55,66,214,173,185,194,saab
33,53,115,118,179,185,saab
36,60,150,133,196,205,saab
48,61,207,153,190,203,saab
44,66,188,144,190,197,saab
36,56,155,126,195,201,saab
36,53,135,126,181,182,saab
47,61,164,150,187,193,saab
38,66,154,133,189,195,saab
52,62,188,162,193,202,saab
48,60,175,153,197,210,saab
43,62,180,143,195,205,saab
53,66,211,164,190,203,saab
50,58,208,159,191,202,saab
39,64,169,134,188,195,saab
54,68,214,169,189,202,saab
50,63,177,155,193,201,saab
51,62,220,163,189,200,saab
36,53,125,126,180,184,saab
51,59,217,163,190,201,saab
51,54,208,162,187,197,saab
40,56,152,134,182,187,saab
40,58,181,134,192,202,saab
36,60,150,128,196,203,saab
54,65,198,164,187,196,saab
38,60,148,131,180,183,saab
55,69,215,168,188,199,saab
40,58,177,133,189,196,saab
43,56,149,140,186,191,saab
43,63,186,144,191,199,saab
36,57,121,127,190,195,saab
34,59,140,124,201,207,saab
40,58,174,139,191,200,saab
46,56,160,148,186,191,saab
43,59,154,144,203,209,saab
53,60,215,169,188,197,saab
36,57,128,125,179,183,saab
54,66,218,169,188,197,saab
54,64,213,172,187,196,saab
48,63,201,152,188,197,saab
37,61,135,127,180,183,saab
37,68,159,134,190,197,saab
44,61,143,143,196,203,bus
57,56,260,175,182,183,bus
45,73,151,146,183,189,bus
45,69,150,144,195,201,bus
43,62,149,145,180,184,bus
54,47,247,166,181,183,bus
41,68,150,138,192,197,bus
45,69,151,147,180,185,bus
41,64,177,134,196,198,bus
48,68,199,150,192,194,bus
42,59,149,142,185,188,bus
43,68,151,145,183,188,bus
45,56,148,144,180,183,bus
36,70,149,127,201,205,bus
54,57,236,164,185,185,bus
42,58,149,144,179,182,bus
44,55,150,148,179,183,bus
49,65,173,158,197,202,bus
41,65,144,141,188,195,bus
46,59,148,146,185,191,bus
40,76,150,136,193,197,bus
51,65,201,159,193,193,bus
42,55,152,142,180,184,bus
