@relation vehicle

@attribute Radius_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
139,50,136,121,193,van
144,52,139,150,204,van
147,44,163,188,184,van
165,49,136,127,193,van
162,43,153,187,185,van
322,43,163,176,184,van
136,43,149,161,186,van
116,52,137,157,177,van
169,44,149,174,192,van
147,50,127,115,196,van
170,46,145,140,199,van
164,48,140,126,201,van
126,58,135,145,197,van
141,45,145,162,188,van
164,42,163,170,189,van
139,49,138,137,187,van
163,45,140,137,199,van
125,50,143,161,182,van
109,57,129,125,181,van
138,53,128,112,199,van
173,43,157,157,192,van
163,43,159,176,186,van
110,57,122,139,180,van
161,45,148,171,197,van
141,47,130,127,189,van
136,42,153,185,183,van
145,44,155,184,186,van
111,52,141,139,183,van
154,45,148,174,188,van
138,49,133,128,189,van
149,43,158,173,183,van
125,44,151,176,184,van
176,43,149,154,194,van
154,46,139,149,188,van
174,43,148,182,194,van
126,52,140,140,184,van
148,45,152,199,189,van
141,45,143,158,189,van
150,49,140,121,196,van
164,46,147,171,190,van
246,44,160,177,183,van
163,44,158,178,183,van
140,54,127,112,200,van
159,46,150,134,195,van
123,51,144,155,185,van
105,57,128,125,179,van
133,54,144,160,193,van
126,56,130,118,192,van
162,46,148,161,199,van
142,43,155,188,184,van
133,43,156,173,183,van
139,54,139,143,202,van
140,55,134,141,200,van
160,47,148,171,201,van
112,55,128,146,180,van
160,47,150,124,201,van
139,43,162,185,182,van
146,50,135,128,192,van
113,57,128,136,180,van
130,51,138,123,191,van
125,51,144,162,188,van
162,42,155,172,184,van
157,43,167,186,185,van
167,46,148,176,190,van
160,44,148,182,192,van
157,48,144,171,196,van
169,44,147,179,195,van
119,53,135,142,182,van
139,43,155,175,184,van
110,57,121,137,180,van
140,52,130,113,199,van
149,50,134,119,201,van
134,55,137,150,186,van
132,44,164,187,182,van
158,49,142,170,192,van
137,54,140,150,199,van
152,49,145,162,187,van
130,58,132,137,190,van
142,43,160,185,183,van
162,44,145,147,189,van
145,43,160,189,183,van
145,48,134,140,194,van
166,44,156,143,194,van
114,53,140,157,176,van
124,49,144,172,183,van
161,42,160,185,185,van
162,48,145,159,203,van
164,46,137,158,191,van
147,44,145,163,187,van
114,51,139,151,183,van
148,51,142,153,194,van
162,46,139,157,189,van
141,43,167,186,182,van
114,53,139,158,176,van
144,50,142,162,197,van
134,43,167,185,182,van
142,50,142,164,191,van
151,50,135,119,201,van
175,43,155,192,190,van
151,51,142,161,203,van
178,42,159,184,187,van
117,52,145,156,184,van
124,49,141,149,184,van
143,43,156,186,185,van
125,53,139,132,186,van
113,55,129,135,181,van
159,46,141,143,190,van
133,44,153,165,184,van
144,44,144,161,187,van
150,43,160,176,185,van
170,45,147,143,196,van
150,50,141,159,193,van
150,52,143,159,192,van
150,48,134,124,189,van
116,58,126,144,186,van
149,43,155,186,185,van
131,53,145,152,189,van
131,56,137,153,193,van
164,43,149,182,192,van
159,46,143,127,199,van
123,56,128,131,186,van
133,43,161,171,182,van
157,48,146,164,193,van
136,43,163,185,183,van
138,51,135,124,191,van
133,52,143,157,184,van
150,44,165,188,185,van
142,44,149,159,187,van
161,46,144,179,191,van
121,44,165,176,182,van
174,44,144,150,196,van
111,56,127,147,181,van
162,43,157,185,189,van
162,43,161,186,184,van
133,44,160,176,182,van
143,52,129,109,202,van
143,50,130,127,194,van
136,52,144,134,186,van
115,57,124,127,181,van
135,44,158,177,184,van
129,57,125,123,196,van
160,43,157,162,189,van
172,43,150,184,192,van
155,48,137,124,201,van
137,43,158,186,182,van
157,49,145,167,201,van
117,57,125,138,180,van
135,44,158,164,183,van
149,45,152,181,188,van
250,48,145,172,190,van
145,51,130,121,195,van
161,43,157,178,184,van
159,43,158,203,183,van
136,55,132,116,197,van
126,53,137,119,191,van
153,48,139,123,201,van
136,44,150,164,185,van
151,48,146,167,188,van
163,44,156,176,187,van
160,47,139,130,192,van
306,44,156,200,185,van
140,44,157,176,183,van
151,52,129,112,195,van
115,56,132,129,186,van
147,45,144,161,188,van
147,52,141,157,201,van
150,48,143,174,192,van
119,57,129,152,184,van
143,43,159,186,184,van
131,53,144,155,191,van
133,51,146,156,190,van
159,42,157,171,189,van
144,44,156,200,185,van
158,46,148,166,199,van
231,45,149,164,186,van
137,43,160,186,183,van
138,44,170,187,182,van
139,47,148,175,188,van
121,51,142,134,186,van
119,50,127,146,184,saab
234,30,174,214,187,saab
155,43,149,170,188,saab
197,34,149,160,194,saab
208,35,148,169,190,saab
172,42,144,158,203,saab
199,31,162,212,189,saab
181,31,167,214,189,saab
189,31,174,214,189,saab
222,31,173,229,188,saab
202,34,160,237,188,saab
213,32,163,202,194,saab
131,50,127,141,180,saab
144,50,123,125,200,saab
138,49,133,151,186,saab
199,31,156,188,190,saab
120,48,128,145,180,saab
136,47,131,149,186,saab
193,32,156,213,191,saab
189,38,132,156,191,saab
157,42,126,123,195,saab
215,35,158,214,193,saab
133,46,132,149,184,saab
118,52,127,140,180,saab
234,31,168,228,189,saab
146,52,134,158,198,saab
134,51,128,143,179,saab
149,44,143,176,189,saab
166,41,133,155,186,saab
121,55,125,128,181,saab
209,32,157,168,193,saab
188,41,151,174,194,saab
153,47,141,169,202,saab
139,50,135,150,191,saab
189,39,153,190,195,saab
171,42,128,123,197,saab
203,33,152,174,189,saab
190,32,166,202,188,saab
192,37,144,138,199,saab
161,45,129,153,188,saab
114,50,126,144,181,saab
201,32,162,194,190,saab
213,33,158,204,192,saab
207,31,168,200,190,saab
115,47,130,146,181,saab
196,33,152,199,188,saab
201,31,171,221,188,saab
182,31,162,217,188,saab
213,32,167,220,187,saab
209,36,156,230,189,saab
201,34,143,195,189,saab
203,31,165,214,188,saab
225,30,167,202,186,saab
169,40,150,190,187,saab
201,31,170,217,187,saab
215,32,166,218,189,saab
150,44,143,177,183,saab
165,43,128,124,203,saab
220,30,170,202,187,saab
203,35,157,231,191,saab
179,39,131,144,195,saab
201,34,162,184,198,saab
192,36,138,173,189,saab
206,33,164,240,187,saab
191,38,153,187,197,saab
126,52,127,142,183,saab
205,30,166,214,189,saab
187,40,154,175,198,saab
186,31,173,220,185,saab
201,31,173,221,185,saab
147,46,146,174,194,saab
203,31,167,216,187,saab
156,43,129,137,187,saab
211,35,156,195,195,saab
212,32,162,240,189,saab
211,32,158,184,190,saab
192,37,155,197,193,saab
186,39,139,133,200,saab
130,56,127,132,190,saab
151,46,139,170,185,saab
180,39,134,129,197,saab
140,46,136,178,181,saab
221,32,164,238,189,saab
176,39,132,142,192,saab
195,36,144,165,191,saab
225,31,169,212,189,saab
178,38,152,198,192,saab
204,31,159,215,190,saab
208,36,150,158,198,saab
228,31,170,224,190,saab
171,43,134,125,196,saab
181,38,132,154,189,saab
171,42,132,115,201,saab
184,41,125,139,195,saab
205,30,175,213,187,saab
211,31,168,198,190,saab
187,37,154,222,189,saab
115,61,119,127,181,saab
197,36,146,152,195,saab
202,34,154,165,194,saab
206,33,150,191,190,saab
199,31,168,221,187,saab
231,31,172,217,189,saab
217,32,162,195,188,saab
184,31,168,218,186,saab
137,46,131,157,180,saab
197,36,143,153,195,saab
158,47,124,117,201,saab
186,31,159,203,191,saab
210,30,172,212,188,saab
169,41,131,137,192,saab
167,42,131,144,190,saab
