@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Minor_kurtosis numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
47,65,155,157,9,184,196,van
45,68,157,156,11,187,195,van
45,102,155,160,17,183,192,van
45,67,157,157,12,192,200,van
49,57,159,167,11,182,192,van
41,59,123,137,3,186,188,van
42,53,131,144,17,188,191,van
44,66,155,150,10,192,202,van
36,55,120,128,18,186,190,van
41,58,149,145,18,188,200,van
35,57,116,125,23,196,203,van
47,58,152,155,2,186,197,van
48,59,160,160,11,183,192,van
49,56,159,160,7,183,192,van
35,55,117,122,9,180,184,van
47,62,147,152,6,188,198,van
38,52,133,140,8,184,183,van
42,64,133,141,0,193,201,van
45,58,140,148,12,188,196,van
44,58,136,146,3,186,187,van
46,59,157,158,3,184,191,van
36,56,119,130,14,192,198,van
46,61,147,152,11,189,200,van
40,48,139,140,19,182,183,van
44,62,145,148,6,199,206,van
43,55,154,150,2,185,196,van
42,56,127,145,4,189,190,van
45,59,158,158,16,183,193,van
41,52,139,143,19,182,184,van
36,57,118,128,14,180,183,van
41,57,149,143,14,189,199,van
34,61,122,127,14,200,208,van
47,54,160,163,7,182,193,van
46,63,160,157,21,189,200,van
46,55,160,161,16,182,192,van
37,60,133,135,7,192,195,van
40,53,132,139,7,176,183,van
47,133,158,163,14,184,194,van
40,59,127,139,1,204,210,van
40,64,144,139,7,188,197,van
45,63,143,147,3,187,196,van
40,50,137,141,13,183,183,van
37,54,120,127,4,181,183,van
38,59,142,131,10,189,196,van
42,64,133,142,1,193,201,van
46,52,156,160,17,183,191,van
42,51,135,144,12,185,185,van
43,64,155,151,9,185,196,van
46,66,159,159,20,186,197,van
46,67,157,150,7,192,200,van
37,52,127,137,13,191,190,van
46,64,151,148,11,192,199,van
41,51,140,141,15,184,185,van
39,68,143,137,9,191,201,van
48,126,153,156,15,185,194,van
42,59,131,142,3,197,204,van
46,58,161,158,9,182,193,van
40,59,122,139,11,202,208,van
