@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1-3,8,17-19'

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
95,48,83,42,187,197,van
107,57,106,26,181,183,bus
89,42,85,44,187,197,van
85,45,80,45,188,199,van
107,54,98,31,187,199,saab
100,46,90,43,192,200,van
89,47,81,44,184,193,van
101,42,62,43,202,209,bus
86,40,62,45,180,185,saab
104,52,94,31,193,191,bus
99,51,92,31,191,189,bus
110,58,106,26,181,182,bus
89,47,83,43,184,194,van
90,37,80,42,201,209,saab
104,50,96,35,195,206,saab
94,44,84,35,196,197,bus
82,38,53,51,177,183,opel
92,36,78,43,203,211,saab
110,51,104,31,191,199,saab
98,38,70,53,186,185,van
100,41,75,36,197,197,bus
92,37,86,42,190,196,saab
86,37,69,48,189,195,van
93,41,79,46,195,203,van
85,42,59,46,179,182,bus
95,38,66,52,184,183,van
92,43,69,44,198,203,opel
82,43,73,44,185,189,bus
88,43,84,44,185,196,van
88,37,57,50,180,184,saab
87,42,76,42,189,193,bus
90,38,75,43,195,204,bus
98,40,77,37,199,201,bus
89,36,68,50,201,209,van
107,52,103,31,189,198,opel
98,51,96,35,191,199,saab
98,50,90,37,193,201,saab
109,49,109,32,191,202,saab
82,37,59,51,179,185,saab
80,39,60,49,179,186,opel
100,57,107,30,186,198,opel
108,57,106,26,182,181,bus
88,40,73,44,196,200,bus
80,43,71,45,180,184,bus
86,38,89,39,193,202,opel
112,50,104,32,191,202,saab
98,47,109,34,194,208,saab
92,38,74,41,197,206,opel
92,40,62,52,204,210,van
86,36,66,52,183,187,opel
97,46,94,34,188,197,opel
101,51,112,32,190,206,saab
89,38,74,49,189,193,van
89,41,63,55,186,188,van
92,45,74,41,195,201,bus
88,34,58,52,199,206,van
88,44,70,46,196,203,bus
107,51,103,31,188,198,saab
86,45,66,46,179,182,bus
105,55,96,30,187,194,opel
99,54,100,33,189,198,opel
89,38,78,46,187,194,opel
104,55,105,30,188,196,opel
93,39,63,52,198,204,saab
84,36,75,48,189,195,saab
98,51,84,35,196,199,bus
103,49,107,32,191,200,opel
108,55,105,30,190,197,opel
91,52,98,34,190,199,opel
90,38,79,40,198,205,bus
110,46,100,34,194,203,saab
90,46,75,43,182,192,van
93,47,83,40,187,192,opel
93,43,78,48,203,210,van
105,46,100,34,194,202,opel
91,37,76,51,191,192,van
96,44,68,41,202,206,bus
115,51,100,34,198,208,saab
103,53,106,32,187,197,saab
84,43,70,45,181,184,bus
94,37,72,50,192,195,van
100,51,104,32,188,196,opel
89,44,80,40,194,199,opel
105,54,105,33,190,198,opel
