@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
8,18,243,186,185,van
5,17,194,190,194,van
5,17,219,180,184,van
25,18,296,192,202,van
7,18,261,186,186,van
11,20,365,182,192,van
6,17,218,181,185,van
7,18,251,191,194,van
9,20,358,182,191,van
9,18,268,191,197,van
6,18,275,187,188,van
11,20,381,184,193,van
5,17,213,181,183,van
2,17,208,180,183,van
8,18,294,201,208,van
10,19,308,191,201,van
9,18,237,191,194,van
10,19,351,192,201,van
7,17,212,200,207,van
8,18,249,194,201,van
9,19,333,185,195,van
11,20,363,184,195,van
7,17,225,199,206,van
11,20,368,186,197,van
11,20,367,185,194,van
7,19,277,182,183,van
9,20,359,192,202,van
6,17,196,186,190,van
9,19,323,189,200,van
11,20,362,183,193,van
11,20,366,185,193,van
11,20,387,189,196,van
55,18,289,190,199,van
48,20,364,184,194,van
8,18,279,193,204,van
9,19,313,194,202,van
11,19,356,185,196,van
8,19,331,189,199,van
8,18,260,193,201,van
9,19,334,196,206,van
8,18,289,201,209,van
10,19,351,184,196,van
3,17,204,180,183,van
5,17,207,181,184,van
11,20,365,182,191,van
10,19,312,199,206,van
6,17,211,192,198,van
11,20,366,183,194,van
10,20,364,184,197,van
7,18,280,188,194,van
43,20,347,183,192,van
9,19,339,192,199,van
11,20,354,185,195,van
7,18,242,195,196,van
7,18,272,187,191,van
7,17,237,199,207,van
11,20,373,182,193,van
7,18,249,184,184,van
6,17,195,197,202,van
6,17,203,199,204,van
8,18,281,203,210,van
8,18,265,201,208,van
6,17,223,186,188,van
11,19,350,185,196,van
10,19,339,187,200,van
4,17,205,180,183,van
9,19,319,199,206,van
10,20,351,183,191,van
11,19,338,187,199,van
10,19,354,194,202,van
10,20,354,182,191,van
10,19,355,185,196,van
11,20,375,185,195,van
8,18,281,201,209,van
7,17,223,200,208,van
11,20,372,189,200,van
9,19,309,199,207,van
10,20,352,184,193,van
6,17,227,193,198,van
8,18,246,195,200,van
49,19,346,185,194,van
8,19,309,195,203,van
6,17,200,196,203,van
7,18,250,177,183,van
10,20,365,192,200,van
10,20,367,183,192,van
6,18,273,186,187,van
10,20,367,189,199,van
9,18,238,191,190,van
8,18,253,190,194,van
9,18,280,194,202,van
5,18,241,182,187,van
8,18,256,191,192,van
8,18,269,183,183,van
10,19,317,189,199,van
11,20,374,184,193,van
11,20,362,183,193,van
7,18,254,188,191,van
6,18,255,181,182,van
8,18,251,186,187,van
9,18,258,196,201,van
7,18,261,183,182,van
7,18,259,197,204,van
8,18,253,184,183,van
5,17,221,179,183,van
5,17,212,186,190,van
7,18,246,202,209,van
8,18,258,183,184,van
9,18,281,193,202,van
10,20,379,187,197,van
11,20,355,183,195,van
7,18,284,184,185,van
8,18,265,201,209,van
10,19,334,197,205,van
7,18,247,184,186,van
6,17,222,197,203,van
8,19,307,187,196,van
9,19,316,199,207,van
8,18,300,201,207,van
8,18,283,196,203,van
9,18,268,192,201,van
11,20,366,182,192,van
10,20,363,183,194,van
46,19,332,186,196,van
10,20,367,194,202,van
8,18,284,189,195,van
9,19,326,197,207,van
8,18,301,189,196,van
6,18,253,195,203,van
10,20,351,182,191,van
49,19,354,188,196,van
10,20,371,183,192,van
7,18,249,176,183,van
10,19,345,187,197,van
9,18,305,190,201,van
10,19,355,192,202,van
10,19,349,186,197,van
10,18,265,193,201,van
8,18,290,201,208,van
11,20,354,182,192,van
10,19,359,186,197,van
5,17,207,179,183,van
11,20,352,184,193,van
10,19,348,194,203,van
7,18,275,182,184,van
6,17,206,181,185,van
11,20,376,183,191,van
9,20,356,184,191,van
9,19,311,188,197,van
9,19,339,195,204,van
8,17,241,204,210,van
11,20,369,182,193,van
5,17,209,186,190,van
10,20,363,184,195,van
5,17,204,190,194,van
8,18,307,190,199,van
6,17,209,193,199,van
9,19,345,186,197,van
12,20,358,190,200,van
7,18,240,189,190,van
6,18,243,199,206,van
8,19,318,188,197,van
8,18,253,203,210,van
11,20,371,183,194,van
11,20,369,182,192,van
9,18,262,192,195,van
10,20,389,185,195,van
7,18,262,185,185,van
8,18,305,191,199,van
12,19,354,184,196,van
7,18,278,189,193,van
10,18,264,193,201,van
10,19,357,185,196,van
7,18,278,196,205,van
9,20,363,192,200,van
8,18,279,201,209,van
9,19,314,199,207,van
8,18,294,188,196,van
4,17,208,184,186,van
9,19,324,188,199,van
11,24,667,190,206,saab
6,19,295,182,186,saab
7,21,435,195,204,saab
7,18,246,198,204,saab
11,24,663,190,200,saab
9,20,365,196,208,saab
10,24,691,187,197,saab
10,22,533,191,199,saab
8,21,458,189,195,saab
6,17,224,196,202,saab
9,20,370,198,206,saab
10,23,587,187,196,saab
10,24,698,187,197,saab
8,21,445,188,194,saab
8,20,405,192,197,saab
12,25,721,187,201,saab
7,19,327,185,191,saab
9,20,430,200,210,saab
7,18,252,183,187,saab
12,24,687,189,201,saab
10,23,635,189,198,saab
10,23,578,192,205,saab
4,18,268,181,182,saab
6,19,299,181,185,saab
6,19,305,186,191,saab
5,18,262,187,191,saab
12,24,675,192,202,saab
11,25,704,190,203,saab
9,23,629,187,196,saab
9,20,404,199,208,saab
10,22,518,198,208,saab
11,25,720,187,200,saab
11,25,707,189,203,saab
9,23,586,190,198,saab
11,21,458,197,210,saab
6,18,291,193,204,saab
11,22,505,195,204,saab
10,24,660,187,197,saab
10,24,635,190,203,saab
7,18,264,179,185,saab
10,25,711,188,199,saab
7,20,425,191,198,saab
9,21,457,191,198,saab
10,24,680,185,194,saab
9,24,645,190,202,saab
8,19,351,187,192,saab
8,19,334,196,205,saab
7,20,426,192,199,saab
11,24,688,188,199,saab
9,21,480,199,208,saab
9,22,511,194,206,saab
4,17,193,179,185,saab
9,22,526,190,197,saab
11,24,639,191,202,saab
9,23,583,191,198,saab
12,24,687,189,201,saab
9,23,578,189,197,saab
10,23,586,192,200,saab
11,25,705,189,196,saab
7,21,455,191,200,saab
10,24,686,185,195,saab
12,24,691,189,199,saab
10,22,527,195,206,saab
6,18,290,189,195,saab
7,19,339,182,187,saab
8,18,293,198,205,saab
6,17,197,185,189,saab
8,20,383,186,191,saab
7,19,335,189,194,saab
7,20,383,192,199,saab
12,25,719,187,199,saab
11,24,667,187,198,saab
7,19,314,180,185,saab
11,24,637,193,207,saab
7,20,381,190,195,saab
6,18,265,180,184,saab
7,19,314,184,189,saab
10,23,576,194,205,saab
12,24,668,194,205,saab
11,24,650,187,196,saab
11,25,696,187,199,saab
8,20,430,192,199,saab
