@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R8,10,13-14,17-19'

@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
46,143,127,63,199,207,van
43,145,184,75,185,192,bus
53,125,139,82,179,183,saab
46,128,120,64,197,202,opel
31,171,218,74,187,197,saab
46,146,172,83,179,184,bus
31,175,221,76,185,193,opel
44,145,163,72,187,199,van
56,132,129,72,186,190,van
46,144,177,73,184,188,bus
32,147,189,72,189,195,opel
43,157,157,67,192,200,van
43,163,185,75,183,192,van
46,145,172,86,179,182,bus
42,163,170,71,189,196,van
26,169,239,85,184,183,bus
31,170,198,72,186,198,opel
44,165,188,73,185,195,van
32,164,238,71,189,200,saab
41,131,147,74,185,191,opel
44,146,178,81,182,186,bus
43,167,185,76,182,192,van
42,125,126,63,198,205,opel
45,141,172,85,179,183,bus
45,144,184,80,181,184,bus
50,136,165,74,180,187,opel
31,165,222,67,192,206,saab
51,138,123,69,191,194,van
44,160,177,90,183,192,van
43,155,188,75,184,197,van
39,131,144,66,195,204,saab
41,131,137,68,192,197,saab
30,175,213,71,187,200,saab
44,138,152,73,190,194,bus
28,164,253,81,185,185,bus
35,151,169,66,191,200,opel
41,149,197,72,187,193,opel
48,143,174,68,188,197,opel
47,150,124,62,201,208,van
45,144,176,72,189,196,bus
47,143,173,66,193,199,bus
43,127,127,69,201,205,bus
48,134,140,68,194,202,van
32,148,186,79,192,191,bus
32,162,221,72,187,197,saab
44,158,177,79,184,191,van
46,145,171,83,180,184,bus
46,145,168,77,181,186,bus
31,173,221,74,185,194,saab
46,132,149,77,184,189,saab
42,157,171,70,189,200,van
31,177,223,74,186,195,opel
33,156,174,69,189,196,opel
31,165,196,72,188,199,saab
44,149,174,67,192,201,van
30,172,212,71,188,199,saab
40,149,164,61,200,208,opel
54,132,139,70,185,190,opel
37,132,157,71,187,193,opel
52,144,134,72,186,187,van
33,157,186,65,193,203,opel
31,168,218,71,186,197,saab
38,155,169,59,201,210,saab
45,145,185,84,180,183,bus
27,169,268,82,183,183,bus
36,143,153,64,195,205,saab
39,152,196,67,195,201,opel
31,171,221,73,188,198,saab
38,140,147,63,196,205,saab
39,149,191,70,196,200,bus
31,168,228,68,189,201,saab
43,127,145,71,186,191,opel
31,162,212,67,189,199,saab
37,129,137,74,197,199,bus
31,156,188,68,190,200,saab
51,142,161,63,203,210,van
35,141,178,71,187,194,opel
31,165,214,72,188,197,saab
46,145,174,87,179,181,bus
45,144,161,71,188,197,van
50,130,141,75,185,188,opel
36,152,201,70,198,201,bus
33,161,204,64,195,204,opel
31,159,215,71,190,199,saab
43,159,176,72,186,197,van
