@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
101,1.611111,21.555555,29.222221,-2.666667,1
64,2.388889,22,28.88889,-1.444444,1
101,1.277778,21.222221,26.777779,-0.222222,1
80,2.5,24,34.444447,-6,1
57,2.111111,24.666666,34.444447,-4.888889,1
96,2.777778,22.11111,27.333334,0.666667,1
70,1.722222,24.444445,34,-4.777778,1
143,0.5,7.555555,6.444445,5.666666,1
114,1,7.555555,7.444445,4,1
124,1,8.222222,8.777778,3.444444,1
114,2.111111,16.11111,17.11111,4.777778,1
143,0.444444,6.777778,6.777778,4,1
120,0.444445,7.777778,6.777778,5.444445,1
100,2.666667,20.88889,25.555555,0.777778,1
147,0.722222,4.111111,7.444445,-1.444444,1
56,1.333333,21.11111,30.222221,-4.888889,1
70,1.833333,23,30.11111,-2,1
139,0.833333,7.555555,7.222222,4.333334,1
60,1.277778,19.333334,25.777779,-1.777778,1
74,2.166667,22.555555,30.555555,-3.111111,1
130,1,8.444445,7.222222,5.444445,1
128,0.333333,7.333334,7.222222,4.111111,1
89,3.666667,21.666666,28.444445,-2,1
115,3.888889,20.555555,24.11111,1.888889,1
81,1.833333,20.333334,24.666666,1.444444,1
134,0.666667,6.444445,5.222222,5.111111,1
96,2.833333,20.777779,27.777779,-2.888889,1
108,1.611111,19,19.88889,5.666666,1
140,1,7.888889,7.333334,4.666666,1
117,0.555556,6.333334,7.555555,1.666667,1
75,3.777778,24,31.666666,-2.555556,1
62,1.833333,20.555555,27.222221,-1.888889,1
118,0.666667,7.555555,8.111112,3.333333,1
60,2.888889,24.666666,35.22222,-6.222222,1
108,1.388889,19,21.11111,4,1
101,2.222222,19.666668,23.555555,1.888889,1
106,0.722222,19.555555,23.666666,1.333333,1
107,1.611111,18.333334,20.666668,3.444444,1
40,1.111112,15.666667,23.333334,-4.555555,1
95,0.944444,21.333334,26.666666,-0.222222,1
67,2.111111,25.11111,35.88889,-6.111111,1
101,1.722222,20.333334,25,0.777778,1
124,0.833333,7.555555,7.444445,4,1
56,1.5,22.11111,31.333334,-4.777778,1
103,1.888889,20.222221,22.777779,3.777778,1
67,1.555556,22.88889,30.777779,-2.555556,1
104,2.666666,20.88889,28.333334,-2.666667,1
110,2.666667,18.88889,21.444445,2.888889,1
104,1.5,19.222221,23.222221,1.555556,1
111,0.888889,7,7.666666,2.888889,1
124,0.888889,7.111111,7.111111,3.666667,1
87,2.722222,18.222221,21,2.666667,1
135,0.888889,7.111111,6.444445,4.777778,1
113,0.722222,7.111111,6.333334,4.888889,1
115,0.777778,7.333334,7.888889,3.111111,1
126,0.444445,7.444445,6.777778,5,1
123,0.388889,8,6.777778,5.666666,1
114,0.833333,7,7.444445,3.333333,1
116,0.444445,7.555555,8.222222,3.222222,1
116,0.333333,6.777778,7,3.444444,1
116,4.777777,17,20,2.444444,1
101,1.777778,18.333334,19.88889,4.222222,1
90,2,23.666666,32.22222,-3.555556,1
73,1.611112,19.777779,26.777779,-2.555556,1
118,0.777778,6.222222,6.222222,3.666667,1
84,1.611111,23.555555,30,-0.888889,1
121,0.611111,8,7.444445,4.777778,1
51,1.611111,18.777779,25.666666,-2.444444,1
111,1.611111,19.777779,24.88889,-0.444444,1
83,3.611111,19.11111,23.222221,1.111111,1
88,1.722222,21.444445,26.333334,0.888889,1
124,0.888889,7.111111,7.111111,3.666667,1
116,1.555556,21.222221,27.555555,-1.444444,1
77,2.444445,23.444445,31.555555,-3.111111,1
136,0.666667,8.333334,8,4.555555,1
66,1.5,18.555555,24,-0.333333,1
56,2.722222,26.11111,37.666668,-7.555555,1
109,1.944444,19.222221,20,5.888889,1
124,0.666667,7.666666,7.333334,4.444445,1
149,0.722222,4.111111,8.666667,-4,1
133,1.166667,7.777778,7.888889,4,1
102,2.611111,22.11111,29.777779,-2.888889,1
91,2.166666,22,28.777779,-1.444444,1
139,0.777778,6.555555,6.444445,3.666667,1
95,0.944444,21.333334,26.666666,-0.222222,1
60,2.166666,22.444445,31,-4,1
108,1.388889,19,21.11111,4,1
136,1,7.777778,7.222222,4.555555,1
94,3.666667,20.666668,27.333334,-1.666667,1
61,1.555555,20.333334,28.777779,-4.222222,1
137,1.111111,7.777778,6.444445,5.777778,1
100,1.388889,21.777779,28.444445,-1.333333,1
34,1.5,18.222221,27.88889,-6.333334,1
74,0.666667,21.666666,28.88889,-2.222222,1
118,1.055556,7,6.666666,4.111111,1
72,1.777778,23.555555,35.77778,-8.777778,1
126,1,7.666666,8,3.555556,1
103,1.111111,19.222221,22.555555,2.666667,1
133,0.5,8.333334,7.777778,5,1
113,2.777778,17.11111,16.88889,7.222222,1
142,1.277778,6.222222,5.222222,4.888889,1
115,0.333333,7.777778,8.555555,3,1
143,0.666667,6.666666,6.222222,4.111111,1
59,2.944445,22.333334,34.333336,-8.222222,1
103,1.833333,21.222221,28,-1.888889,1
135,1.055556,7.444445,6.444445,5.222222,1
117,1.611111,20.666668,24.11111,2.333333,1
121,2,21.666666,30.11111,-4.333334,1
120,3.222222,22.11111,30.444445,-4.666666,1
98,1.055555,18.333334,20.777779,2.555556,1
83,2.444445,19.555555,24.444445,0.333333,1
61,3.111111,18.666668,24.222221,-0.888889,1
131,0.333333,7.222222,5.444445,6,1
86,1.666667,23.555555,31.333334,-2.222222,1
80,3,24.333334,31.555555,-1.444444,1
116,0.888889,21.333334,28.11111,-2.333333,1
106,1.611111,22,29.88889,-3.111111,1
140,0.666667,6.555555,5.555555,4.666666,1
110,1.944444,4.333334,6.333334,0.333333,1
69,1.611111,22,32.555557,-7,1
149,1,4.111111,8.777778,-4.222222,1
111,1.055556,6.888889,7,3.555556,1
60,2.444445,21.333334,30,-3.888889,1
142,0.944444,6.555555,5.777778,4.555555,1
119,2.555556,21.333334,27.333334,-0.777778,1
90,5.111111,22,29.11111,-1.888889,1
130,1.055556,7.333334,6.888889,4.444445,1
71,4.5,21.777779,28.555555,-1.666667,1
132,0.222222,7.111111,6.111111,5.222222,1
85,1.777778,18.88889,21.88889,2.777778,1
125,0.666667,7.333334,7.666666,3.444444,1
75,1.5,22,29.333334,-2.222222,1
116,0.222222,6.555555,6.777778,3.444444,1
114,3.888888,19,20.11111,5.333334,1
129,0.666667,7.888889,7.333334,4.666666,1
116,0.555555,7.555555,8.444445,2.777778,1
136,1,7.777778,7.222222,4.555555,1
122,0.333333,7,6.666666,4.333334,1
143,0.444445,6.555555,5.888889,4.555555,1
122,0.5,7.222222,7.333334,3.666667,1
116,0.333333,6.777778,7,3.444444,1
125,0.666667,7.333334,7.666666,3.444444,1
135,0.833333,6.888889,5.444445,5.666666,1
