@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,8-9,11-12,16,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Hedge-mean numeric
@attribute Hedge-sd numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
197,9,2.611111,1.925463,44.22222,61.555557,-19.777779,6
120,9,1.555555,1.833839,44.77778,56.333332,-16.222221,4
97,9,0.611111,0.574133,46,54.333332,-13.222222,4
152,9,1.222222,0.82963,1,2.888889,-2.555556,5
89,9,3.666667,4.044442,21.666666,28.444445,-16.333334,1
124,9,1.111111,1.051852,0.222222,6.111111,-3.888889,3
238,9,2.333333,2.440401,6.333334,6.555555,14.888889,7
157,9,2.222222,1.718518,18.222221,32,-11.777778,4
75,9,1.5,2.21111,22,29.333334,-17.555555,1
15,9,1.444443,1.229631,133.88889,149.55556,-8.555555,2
125,9,8.555554,5.725834,41.666668,49,-11.777778,4
108,9,27.277779,15.930981,41.77778,61.11111,-9.777778,3
61,9,0.5,0.459468,4.666667,12.222222,-8.222222,5
163,9,18.166666,41.988934,34.555557,48,-7.666666,6
154,9,0,0,0,0,0,5
172,9,9.166667,5.856622,38,51.22222,-13.666667,6
13,9,0.944445,0.685187,137.11111,148.88889,-7.111111,2
125,9,2.666667,3.777778,1.555556,7.777778,-4.444445,3
193,9,2.222222,1.80944,53.666668,76.55556,-22.222221,6
25,9,0.611111,0.64693,60.666668,89,-26.333334,4
131,9,0,0,0,0,0,5
187,9,1.444444,0.750309,11.666667,10.333334,16.444445,7
191,9,7.777778,40.02962,23.555555,29.88889,-8.555555,6
87,9,1.166667,0.623611,55.77778,80.333336,-24.11111,4
94,9,0.444445,0.42963,16,28.777779,-13,5
151,9,0.111111,0.172133,0,0.333333,-0.333333,5
142,9,0.888889,1.408966,1.666667,7.222222,-3.555556,3
44,9,2.38889,1.529629,17.333334,25.222221,-15.222222,1
20,9,0.611112,0.327729,98.44444,129.55556,-13.777778,2
167,9,7.555555,4.607406,11.666667,16.777779,-0.888889,7
134,9,0.611111,0.240741,1.111111,6.444445,-4.888889,5
113,9,0.444444,0.118519,6.888889,6.666666,-7.555555,1
68,9,2.166667,0.877779,24.222221,36.88889,-20.222221,1
126,9,0.444445,0.251852,7.444445,6.777778,-8,1
212,9,1.555556,1.985185,6,6.777778,9.888889,7
95,9,0.944444,0.551851,21.333334,26.666666,-15.555555,1
240,9,2.444444,5.007407,10.888889,13,13.222222,7
101,9,0.611109,0.329633,126.44444,147.22223,-11.444445,2
114,9,1.166667,0.255555,0.111111,4.666667,-3.222222,3
177,9,1.666666,1.173788,45,61,-21.333334,6
120,9,0.444445,0.118518,7.777778,6.777778,-7.888889,1
223,9,1.777778,0.93492,13.222222,13.444445,19.11111,7
113,9,0.277778,0.151852,7.222222,7.777778,-8.111111,1
67,9,0.888889,0.58373,112.333336,138.44444,-15,2
83,9,1.055552,0.507406,74.55556,116.888885,-30.555555,2
181,9,2.055555,2.037609,13.555555,13.888889,15.444445,7
56,9,0.833333,0.566668,115.888885,140.66667,-13.666667,2
58,9,0.888891,0.860663,112.55556,137.44444,-12,2
242,9,4.666667,1.920648,19.222221,22.444445,19.444445,7
140,9,1.388889,0.685185,17.88889,32.22222,-12.333333,4
131,9,0,0,0,0,0,5
61,9,0.5,0.459468,4.666667,12.222222,-8.222222,5
124,9,2.055555,0.490655,35.77778,51.444443,-16.11111,4
141,9,0.777778,0.162963,6,16.555555,-8.555555,5
106,9,0.722222,1.174074,19.555555,23.666666,-15,1
29,9,1.055553,0.907417,119.22222,142.88889,-15.666667,2
107,9,10.333333,3.011091,26.88889,35.88889,-13,4
186,9,6.055555,2.815959,45.666668,60.22222,-17.222221,6
144,9,0.333333,0.365148,0.111111,1.111111,-1,5
123,9,0.611111,0.418518,0.111111,2.666667,-1.888889,3
117,9,0,0,0,0,0,3
18,9,1.277777,1.25462,114,142,-14.222222,2
47,9,1.000001,1.155558,116,141.66667,-14.777778,2
26,9,0.888888,0.207411,131,146.55556,-11.333333,2
215,9,2.5,1.615894,18.11111,22.666666,20.555555,7
125,9,0.666667,0.177778,7.222222,6.888889,-7.222222,1
58,9,1.388889,2.285186,20,27.333334,-16.444445,1
47,9,1.111109,0.38519,129,146.33334,-11.555555,2
125,9,0.833333,0.691215,0.444444,3.888889,-2.333333,3
192,9,4.944445,3.866763,51.77778,72,-22.666666,6
120,9,0.722222,0.596296,0.111111,4.111111,-3.555556,3
103,9,1.111111,0.962963,0.111111,5.666666,-4.444445,3
179,9,4.555556,7.274074,31.333334,44.11111,-13.444445,6
92,9,2.333333,3.822222,23.11111,30.333334,-18.333334,1
115,9,3.888889,2.829631,20.555555,24.11111,-14.444445,1
240,9,2.277778,1.705113,9.777778,9.333334,15.555555,7
89,9,0.166667,0.278887,2.888889,3.777778,-1.333333,5
197,9,4.555556,2.146487,49.11111,69.55556,-23.333334,6
38,9,0.888888,1.068055,113.333336,141.66667,-15.888889,2
141,9,0.722222,0.151852,0.111111,3.666667,-2,3
142,9,0,0,0,0,0,5
179,9,1.555556,0.562963,9.777778,9.444445,13.222222,7
211,9,1.666667,1.822222,13.777778,14.666667,12.888889,7
199,9,0.833334,0.255555,15.222222,15.444445,15.777778,7
92,9,0.77778,0.296297,74.888885,115.44444,-29,2
165,9,1.777778,0.918519,12.888889,16.444445,16,7
99,9,2.444444,1.128749,11.222222,23.777779,-12.111111,5
36,9,0.5,0.278887,4.777778,13,-8.222222,5
73,9,0.777777,1.003696,45.666668,51.11111,-12.555555,4
91,9,3.277778,9.040739,2.444444,12.111111,-6.111111,3
188,9,7.38889,37.218513,27.444445,37.77778,-12.111111,6
124,9,1.833333,6.433335,1.444444,5.888889,-4,3
128,9,0.388889,0.151852,0,2.222222,-2.222222,3
185,9,3.111111,2.277101,44,60.666668,-19.777779,6
68,9,1.111111,1.344399,38.333336,42.333336,-10.444445,4
143,9,0.5,0.033333,7.555555,6.444445,-8,1
115,9,4.166667,4.211112,21.333334,28,-15.777778,1
88,9,1.555556,1.274074,0.666667,7.666666,-5.222222,3
162,9,1.944445,1.356739,19.555555,24.11111,16.11111,7
57,9,0.999999,0.365148,59.444443,79.44444,-22.444445,4
103,9,2.277778,2.151852,17.666668,19.11111,-13.444445,1
60,9,1.277778,0.729629,19.333334,25.777779,-15.777778,1
250,9,1.444444,1.025599,6.555555,7.333334,13.666667,7
195,9,2.944445,1.526313,11.666667,12.444445,16.11111,7
48,9,1.277781,1.26297,127.55556,146.11111,-11.888889,2
159,9,2.222222,1.455513,25.222221,29.555555,-7.666666,4
93,9,0.388889,0.389682,10.444445,23.444445,-12.777778,5
211,9,1.611111,1.254622,16.11111,19.222221,17.11111,7
58,9,1.055559,0.680414,96.333336,126.44444,-13.888889,2
124,9,0.388889,0.107407,7.444445,7.333334,-8.111111,1
207,9,6.444444,2.802115,50.444443,70.111115,-20.777779,6
246,9,1.722222,1.751852,9.555555,10.111111,-2.555556,7
152,9,1.222222,0.82963,1,2.888889,-2.555556,5
184,9,10.611111,45.085182,28.777779,38,-10.111111,6
232,9,1.5,1.722401,6.555555,7.222222,11.555555,7
111,9,0.611111,0.151852,6.888889,6.333334,-7.222222,1
133,9,1.166666,1.069786,41.555557,62.555557,-20.333334,4
90,9,6.777779,63.76296,4.777778,15.666667,-7.333334,3
58,9,1.000001,0.711108,76.888885,118.55556,-30.11111,2
81,9,0.833332,0.077779,77.22222,118.44444,-33.88889,2
61,9,1.555555,1.940741,20.333334,28.777779,-16.88889,1
68,9,2.388889,1.218517,17.666668,23,-15.777778,1
26,9,0.444444,0.403686,98.333336,130.88889,-14.333333,2
180,9,1.944444,1.262962,9.666667,13.111111,14.777778,7
143,9,0.888889,0.607407,0.888889,9.444445,-5.888889,3
141,9,2.166667,1.278019,7.888889,18.555555,-3.333333,3
123,9,0.5,0.166667,0,4.222222,-3.555556,3
133,9,1.166667,0.211111,7.777778,7.888889,-8.333333,1
126,9,1.833334,2.122222,16.11111,28.666666,-11,4
114,9,0.611111,0.062963,11.444445,25,-12.222222,5
185,9,5.777777,5.556445,40.666668,55,-17.222221,6
