@relation segment

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Hedge-mean numeric
@attribute Hedge-sd numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
130,9,1.055556,0.685185,7.333334,6.888889,-7.555555,1
116,9,1.555556,0.874074,21.222221,27.555555,-16.11111,1
73,9,1.611112,2.507408,19.777779,26.777779,-15.888889,1
122,9,0.777778,0.118519,7.333334,6.888889,-7.555555,1
60,9,2.888889,2.874074,24.666666,35.22222,-19.222221,1
136,9,1,0.444444,7.777778,7.222222,-7.444445,1
53,9,2.833333,3.011111,22.777779,38.333336,-20.88889,1
107,9,1.611111,1.92963,18.333334,20.666668,-13.888889,1
128,9,0.333333,0.044444,7.333334,7.222222,-7.888889,1
95,9,2.499999,7.188887,21.11111,26.222221,-15.333333,1
121,9,2,2.444443,21.666666,30.11111,-16.666666,1
96,9,2.777778,3.362961,22.11111,27.333334,-17,1
85,9,1.777778,0.962963,18.88889,21.88889,-14.555555,1
73,9,2.611111,3.129627,19.222221,24.11111,-15.555555,1
124,9,1,0.444444,8.222222,8.777778,-8.555555,1
77,9,4.444445,6.56296,24.11111,32.333336,-18.222221,1
129,9,0.666667,0.177778,7.888889,7.333334,-7.666666,1
131,9,0.777778,0.207407,6.666666,6,-6.888889,1
133,9,1.166667,0.211111,7.777778,7.888889,-8.333333,1
124,9,0.833333,0.388889,7.555555,7.444445,-7.666666,1
75,9,0.722222,0.196296,21.11111,27.11111,-16.666666,1
101,9,1.722222,1.885187,20.333334,25,-15.555555,1
138,9,0.833333,0.3,7.333334,6.555555,-7.222222,1
139,9,0.833333,0.522222,7.555555,7.222222,-7.666666,1
95,9,0.944444,0.551851,21.333334,26.666666,-15.555555,1
74,9,1.388889,0.907407,21,26.88889,-16.777779,1
132,9,0.222222,0.162963,7.111111,6.111111,-7.444445,1
133,9,0.5,0.077778,8.333334,7.777778,-8.333333,1
128,9,0.666667,0.311111,6.888889,6.666666,-7.333334,1
134,9,0.388889,0.062963,6.777778,6.222222,-7.222222,1
107,9,3.333333,2.266665,19.444445,23,-15.555555,1
89,9,1.666667,3.688889,23.11111,30.444445,-17.333334,1
116,9,0.888889,0.074074,21.333334,28.11111,-15.666667,1
64,9,2.388889,3.440744,22,28.88889,-17.777779,1
69,9,1.88889,2.562964,23.444445,34.444447,-19.666666,1
145,9,0.722222,0.062963,6.333334,6.555555,-6.888889,1
114,9,3.888888,3.762962,19,20.11111,-14,1
145,9,0.5,0.122222,5.333334,5,-6.555555,1
125,9,0.666667,0.311111,7.333334,7.666666,-7.888889,1
144,9,0.722222,0.32963,6,5.777778,-6.444445,1
107,9,1.777778,1.540741,18.777779,19.444445,-14.444445,1
123,9,0.888889,1.096297,7.888889,8.444445,-7.222222,1
75,9,3.777778,8.296293,24,31.666666,-17.88889,1
149,9,1.055556,0.507407,5.555555,11.888889,-7.222222,1
131,9,1.333333,0.711111,6.888889,6.111111,-7,1
118,9,0.666667,0.4,7.555555,8.111112,-8.333333,1
66,9,2.944444,3.885185,25.333334,38.22222,-20.222221,1
98,9,1.055555,0.551853,18.333334,20.777779,-12.444445,1
122,9,0.5,0.166667,8.111112,7.222222,-7.555555,1
100,9,2.666667,3.644445,20.88889,25.555555,-15.555555,1
90,9,5.111111,3.274074,22,29.11111,-17.555555,1
116,9,0.444445,0.207407,7.555555,8.222222,-8.444445,1
108,9,1.388889,0.951852,19,21.11111,-14.333333,1
74,9,0.666667,0.133333,21.666666,28.88889,-17.222221,1
124,9,0.666667,0.311111,7.666666,7.333334,-7.888889,1
85,9,1.777778,0.962963,18.88889,21.88889,-14.555555,1
111,9,2.555555,0.385187,4.111111,5.555555,-6.111111,1
116,9,0.444445,0.207407,7.555555,8.222222,-8.444445,1
45,9,3.277778,1.44074,20.555555,28.777779,-16.444445,1
103,9,1.833333,2.166668,21.222221,28,-16.555555,1
103,9,1.111111,1.54074,19.222221,22.555555,-15.333333,1
117,9,1,0.444445,21.11111,26.333334,-15,1
67,9,2.444445,3.185185,19.555555,25.88889,-16.333334,1
56,9,1.333333,1.6,21.11111,30.222221,-17.555555,1
134,9,0.722222,0.062963,7.666666,6.666666,-7.666666,1
40,9,1.111112,2.118518,15.666667,23.333334,-13.888889,1
138,9,0.833333,0.3,7.333334,6.555555,-7.222222,1
109,9,1.333334,0.800001,19.222221,21,-14,1
114,9,0.833333,0.122222,7,7.444445,-8,1
