@relation segment

@attribute Short-line-density-2 numeric
@attribute Intensity-mean numeric
@attribute Rawblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0,28.407408,38.22222,1
0,6.444445,7.888889,1
0,14.703704,16.88889,1
0,21.222221,26.333334,1
0,5.851852,6.888889,1
0,23.444445,31.11111,1
0,19.851852,25.444445,1
0,23.851852,30.88889,1
0,6.074074,7.111111,1
0,23.037037,29.88889,1
0,6.222222,7.444445,1
0,22.703703,28.777779,1
0,23.592592,30.555555,1
0,26.74074,35.22222,1
0,18.074074,23.666666,1
0,5.925926,7.222222,1
0,5.62963,6.666666,1
0,4.814815,5.777778,1
0,6.481482,8,1
0,5.740741,6.555555,1
0,23.851852,30,1
0,25.666666,34.444447,1
0,18.88889,25.11111,1
0,16.148148,19.11111,1
0,5.407407,6.333334,1
0,6.666666,7.888889,1
0,5.777778,6.777778,1
0,23.777779,31,1
0,5.333334,6.444445,1
0,5.814815,6.666666,1
0,20.481482,26.11111,1
0,26.74074,35.22222,1
0,5.407407,5.666666,1
0,6.037037,7.333334,1
0,23.074074,29.777779,1
0,20,25.88889,1
0,26.296297,34.444447,1
0,5.444445,8.666667,1
0,5.407407,6.777778,1
0,7.296296,8.222222,1
0,23.88889,30.444445,1
0,19.037037,23.555555,1
0,24.481482,31.555555,1
0,6.740741,8,1
0,17.962963,21.88889,1
0,18.88889,22.88889,1
0,18.62963,22.222221,1
0,17.703703,23,1
0,6.333334,7.333334,1
0,21.592592,28.444445,1
0,6.481482,8.222222,1
0,18.74074,23.222221,1
0,22.62963,30,1
0,21.814816,28.777779,1
0,4.925926,5.777778,1
0,23.11111,30.11111,1
0,21.555555,27.444445,1
0,26.407408,34.444447,1
0,20.074074,25,1
0,23.666666,30.11111,1
0,21.222221,27.333334,1
0,22.62963,29.88889,1
0,6.111111,7.222222,1
0,21.925926,28.777779,1
0,21.703703,27.555555,1
0,6.777778,8.555555,1
0,5.962963,6.777778,1
0,6.259259,7.222222,1
0,6.111111,7.666666,1
0,5.851852,6.444445,1
0,5.851852,6.888889,1
0,26.444445,36,1
0,17.666666,21.11111,1
0,4.518518,5.444445,1
0,5.518518,8.777778,1
0,4.148148,4.777778,1
0,22.88889,29.777779,1
