@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-sd numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
53,0.433333,21.555555,20.88889,-1.662177,1
130,0.151852,5.333334,6.888889,-0.889024,1
103,1.096296,18.962963,20.222221,-1.334127,1
116,0.874074,21.703703,21.222221,-1.632243,1
124,0.02963,5.111111,6.666666,-0.877707,1
90,3.274074,22.62963,22,-1.622331,1
145,0.374074,3.925926,5.555555,-0.57094,1
141,0.385185,5.407407,7,-0.843732,1
122,0.166667,6.407407,8.111112,-0.83212,1
125,0.177778,5.851852,7.222222,-0.944272,1
116,3.096297,16.185184,17,-1.162844,1
113,2.785182,14.703704,17.11111,-0.9757,1
115,4.96296,16.555555,15.666667,-1.54801,1
131,0.207407,5.185185,6.666666,-0.874641,1
124,0.388889,6.222222,7.555555,-1.011484,1
147,0.077778,4.148148,3.888889,-1.475643,1
92,3.822222,23.666666,23.11111,-1.637777,1
54,4.329629,24.592592,22.777779,-1.760752,1
102,0.8,20.25926,20.333334,-1.555097,1
111,0.151852,5.407407,6.888889,-0.897859,1
111,1.022222,18.62963,19.777779,-1.333792,1
92,0.651851,22.88889,21.777779,-1.682651,1
137,0.474074,5.851852,7.777778,-0.744272,1
88,1.040741,20.592592,18.777779,-1.785147,1
130,0.566666,7.296296,8.555555,-1.056659,1
102,1.485186,23.074074,22.11111,-1.68544,1
128,0.044444,5.962963,7.333334,-1.005054,1
56,1.6,22.74074,21.11111,-1.759414,1
138,0.3,5.740741,7.333334,-0.862108,1
104,3.555556,21.777779,20.88889,-1.669752,1
108,0.151852,21.925926,21,-1.683529,1
44,1.529629,18.74074,17.333334,-1.753726,1
134,0.062963,5.296296,6.777778,-0.912631,1
126,0.251852,5.777778,7.444445,-0.895807,1
108,0.951852,17.666666,19,-1.302133,1
113,0.118519,5.518518,6.888889,-0.989308,1
123,0.118519,4.555555,6,-0.853547,1
145,0.062963,5.296296,6.333334,-1.068968,1
142,0.151852,4.592593,6.222222,-0.776334,1
117,0.074074,5.777778,6.333334,-1.353896,1
92,0.877778,19.074074,18.777779,-1.570588,1
107,2.266665,18.62963,19.444445,-1.370369,1
67,1.229631,27.148148,25.11111,-1.768356,1
124,0.340741,5.888889,7.111111,-1.037663,1
146,0.266667,5.111111,5.666666,-1.258358,1
113,0.207407,5.592593,7.111111,-0.942558,1
140,0.577778,6.333334,7.888889,-0.909267,1
135,0.374074,5.703704,7.444445,-0.787376,1
116,0.874074,21.703703,21.222221,-1.632243,1
66,3.885185,28.407408,25.333334,-1.844993,1
79,0.518519,16.814816,17.333334,-1.453114,1
139,0.522222,6.111111,7.555555,-0.965946,1
75,2.21111,22.74074,22,-1.641882,1
86,2.162964,23.814816,23.333334,-1.60859,1
121,2.444443,23.11111,21.666666,-1.740736,1
77,6.56296,25.185184,24.11111,-1.677308,1
142,0.522222,4.666666,6.777778,-0.604864,1
149,0.151852,5.444445,4.111111,-1.985703,1
103,2.151852,16.148148,17.666668,-1.219211,1
113,1.529629,20.25926,20,-1.585609,1
44,1.529629,18.74074,17.333334,-1.753726,1
149,0.151852,5.444445,4.111111,-1.985703,1
143,0.311111,5.296296,6.666666,-0.914813,1
118,4.285184,21.11111,20.222221,-1.620749,1
116,0.133333,5.62963,6.777778,-1.099624,1
55,0.862964,21.037037,20.555555,-1.634416,1
116,0.207407,6.481482,7.555555,-1.19107,1
115,0.133333,6.666666,8.222222,-0.965144,1
129,0.296296,6.407407,8,-0.912766,1
138,0.077778,4.962963,6.777778,-0.722894,1
84,2.285188,23.851852,23.555555,-1.598867,1
113,0.151852,6.148148,7.222222,-1.175454,1
142,0.374074,5.037037,6.555555,-0.829712,1
83,2.374072,18.74074,19.11111,-1.456819,1
139,0.207407,5.333334,6.555555,-1.004936,1
117,0.311111,6.444445,7.333334,-1.233256,1
118,0.118518,5.481482,6.555555,-1.053347,1
116,0.611111,6.111111,7.111111,-1.163245,1
60,2.874074,26.74074,24.666666,-1.776113,1
126,0.418519,5.407407,7.666666,-0.612886,1
129,0.177778,6.333334,7.888889,-0.932783,1
101,0.596295,22.444445,21.555555,-1.674318,1
61,7.185185,18.962963,18.666668,-1.591206,1
59,1.485185,23.851852,22.666666,-1.699326,1
123,0.151852,5.814815,7.111111,-0.988413,1
147,0.107407,6.037037,5.666666,-1.50837,1
56,1.84074,26.444445,23.333334,-1.863182,1
66,5.144446,22.62963,21.222221,-1.733544,1
128,0.207407,5.925926,7.888889,-0.7213,1
124,0.107407,6.037037,7.444445,-1.02473,1
108,0.951852,17.666666,19,-1.302133,1
110,1.022223,17.925926,18.88889,-1.345096,1
67,3.185185,20,19.555555,-1.623202,1
132,0.32963,5.740741,7.444445,-0.726018,1
66,1.01111,18.666666,18.555555,-1.569253,1
81,1.01111,19.851852,20.333334,-1.472378,1
138,0.074074,5.444445,7,-0.880521,1
113,0.151852,5.481482,7.111111,-0.851202,1
139,0.522222,6.111111,7.555555,-0.965946,1
91,1.277778,22.481482,22,-1.630409,1
117,0.062963,6.333334,7.666666,-0.983947,1
74,0.133333,22.407408,21.666666,-1.646671,1
89,3.688889,23.88889,23.11111,-1.664008,1
124,0.340741,5.888889,7.111111,-1.037663,1
74,0.907407,21.148148,21,-1.554234,1
133,0.211111,6.444445,7.777778,-1.077659,1
50,0.488889,23.037037,21.666666,-1.741254,1
111,0.429629,6.037037,7,-1.175773,1
70,2.196296,26.037037,24.444445,-1.74518,1
83,0.429631,19.444445,19.555555,-1.507007,1
68,0.877779,27.185184,24.222221,-1.848523,1
131,0.207407,5.962963,7.555555,-0.804846,1
111,0.118519,5.666666,7,-1.041434,1
103,1.54074,18.333334,19.222221,-1.397414,1
131,0.711111,5.333334,6.888889,-0.850783,1
61,1.940741,21.74074,20.333334,-1.737293,1
118,0.162963,6.259259,7.555555,-1.076198,1
51,2.107407,19.592592,18.777779,-1.68129,1
145,0.062963,5.296296,6.333334,-1.068968,1
132,0.162963,5.37037,7.111111,-0.808383,1
57,1.974073,26.814816,24,-1.837675,1
96,3.855554,21.74074,20.777779,-1.676921,1
115,0.177778,6.777778,7.777778,-1.210357,1
80,1.9,26,24,-1.773594,1
145,0.122222,4.074074,5.333334,-0.959485,1
56,1.574072,28.62963,26.11111,-1.819915,1
90,1.822224,18.11111,18.777779,-1.425885,1
86,1.318518,26.481482,24.222221,-1.804829,1
109,2.729629,17.25926,19.222221,-1.131204,1
84,2.285188,23.851852,23.555555,-1.598867,1
149,0.507407,7.518518,5.555555,-2.018631,1
111,0.385187,3.814815,4.111111,-1.43724,1
67,3.185185,20,19.555555,-1.623202,1
75,0.196296,21.333334,21.11111,-1.590164,1
128,0.311111,5.555555,6.888889,-0.985811,1
62,1.051853,21.222221,20.777779,-1.620398,1
124,0.107407,6.037037,7.444445,-1.02473,1
70,1.144442,23.666666,23,-1.649603,1
133,0.211111,6.444445,7.777778,-1.077659,1
89,4.862958,21.88889,21.333334,-1.611365,1
113,1.529629,20.25926,20,-1.585609,1
121,0.107407,6.407407,8,-0.914324,1
124,0.062963,5.111111,6.888889,-0.752669,1
67,1.544446,22.25926,22.555555,-1.524771,1
130,0.666667,6.62963,8.444445,-0.764077,1
111,0.122222,5.444445,6.444445,-1.181388,1
73,3.129627,19.074074,19.222221,-1.524253,1
55,0.785185,23.444445,21.666666,-1.771163,1
137,0.474074,5.851852,7.777778,-0.744272,1
106,1.174074,19.11111,19.555555,-1.48458,1
103,2.166668,21.851852,21.222221,-1.634396,1
128,0.151852,5.037037,6.888889,-0.688601,1
124,0.444444,7.074074,8.222222,-1.157082,1
95,7.188887,21.11111,21.11111,-1.555549,1
89,3.496296,18.962963,18.777779,-1.544214,1
60,0.729629,19.925926,19.333334,-1.650048,1
63,0.700001,18.074074,17.222223,-1.683847,1
117,0.211111,5.888889,6.888889,-1.179692,1
107,1.92963,17.185184,18.333334,-1.312499,1
114,0.044444,5.259259,6.555555,-0.91061,1
63,2.462962,22.37037,20.333334,-1.813886,1
77,5.618516,26.407408,24.555555,-1.768872,1
119,5.585183,21.592592,21.333334,-1.57896,1
72,0.577776,26.222221,23.777779,-1.807866,1
77,6.029632,24.481482,23.444445,-1.68954,1
116,0.133333,5.62963,6.777778,-1.099624,1
116,0.074074,22.11111,21.333334,-1.670314,1
117,0.444445,21.222221,21.11111,-1.574477,1
144,0.32963,4.814815,6,-0.969119,1
116,0.207407,6.481482,7.555555,-1.19107,1
129,0.177778,6.333334,7.888889,-0.932783,1
86,2.577779,24.296297,23.555555,-1.650844,1
57,1.718517,26.296297,24.666666,-1.739017,1
56,1.277777,23.703703,22.11111,-1.748835,1
122,0.118519,5.62963,7,-0.964797,1
149,1.244444,5.518518,4.111111,-2.009108,1
100,3.644445,20.62963,20.88889,-1.519702,1
45,1.44074,21.925926,20.555555,-1.73537,1
135,0.122222,5,6.888889,-0.692028,1
92,1.022222,19.37037,20.222221,-1.408242,1
111,0.818518,19.925926,19.777779,-1.58144,1
134,0.444444,4.740741,6.444445,-0.730465,1
60,2.874074,26.74074,24.666666,-1.776113,1
60,0.062963,19.333334,18.88889,-1.623392,1
95,0.551851,21.407408,21.333334,-1.567327,1
57,1.718517,26.296297,24.666666,-1.739017,1
118,0.107407,5.62963,7,-0.960827,1
64,0.462963,24.074074,22.666666,-1.724894,1
75,8.296293,24.851852,24,-1.652768,1
65,2.355557,20.814816,20.11111,-1.665853,1
123,1.096297,6.962963,7.888889,-1.18068,1
118,9.496296,22.74074,21.555555,-1.707392,1
80,3.866667,24.814816,24.333334,-1.620451,1
102,1.485186,23.074074,22.11111,-1.68544,1
115,2.829631,19.925926,20.555555,-1.440963,1
85,0.962963,17.962963,18.88889,-1.386867,1
111,0.151852,5.407407,6.888889,-0.897859,1
58,2.285186,20.925926,20,-1.685074,1
147,0.562963,6.777778,5.444445,-1.783388,1
91,2.162962,19.74074,19.777779,-1.55225,1
73,2.507408,20.62963,19.777779,-1.675465,1
53,3.011111,27.074074,22.777779,-1.937482,1
109,0.800001,17.777779,19.222221,-1.276562,1
87,4.374074,17.333334,18.222221,-1.318373,1
122,0.118519,5.851852,7.333334,-0.942559,1
92,1.277778,18.703703,18.777779,-1.548296,1
106,2.72963,23.037037,22,-1.695804,1
145,0.374074,3.925926,5.555555,-0.57094,1
89,4.044442,22.333334,21.666666,-1.625587,1
128,0.488889,5.666666,7.444445,-0.837598,1
114,0.533333,6.222222,7.555555,-1.0108,1
117,2.151851,19.88889,20.666668,-1.420087,1
104,2.000002,21.925926,20.555555,-1.72879,1
107,1.540741,16.703703,18.777779,-1.131973,1
126,0.074074,4.925926,6.444445,-0.877707,1
138,0.3,5.740741,7.333334,-0.862108,1
136,0.088889,6.814815,8.333334,-0.963931,1
55,0.785185,23.444445,21.666666,-1.771163,1
95,0.551851,21.407408,21.333334,-1.567327,1
41,1.777778,22.481482,20.777779,-1.77166,1
116,0.074074,5.407407,6.555555,-1.093148,1
101,1.885187,20.074074,20.333334,-1.520125,1
100,0.907407,22.222221,21.777779,-1.623301,1
98,0.551853,17.481482,18.333334,-1.360437,1
88,2.385183,22.148148,21.333334,-1.653787,1
125,0.311111,6.185185,7.333334,-1.121818,1
61,0.388889,23.74074,22.666666,-1.700913,1
126,0.355555,7.296296,8.777778,-0.913675,1
68,5.096297,21.592592,20.444445,-1.700324,1
122,0.177778,5.555555,7,-0.953435,1
