@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,14,16-17,20'

@attribute Region-centroid-row numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
185,-12,-18.666666,59.555557,6
85,-3,-17,28.11111,1
83,-16.11111,-8.777778,22.666666,3
11,-19.333334,-6.333334,150.11111,2
94,-18.88889,-24.222221,127.55556,2
42,-14,-17,47.77778,4
182,-11.111111,-18.777779,56.333332,6
167,-5.111111,7.555555,17.11111,7
19,-21.555555,-19.222221,58.77778,4
89,-6.333334,-7.333334,13,5
81,-1.111111,-15.777778,26.11111,1
194,-12.555555,-14.888889,50.444443,6
208,-11.111111,15.888889,24.555555,7
46,-30.11111,-14.777778,141,2
52,-31.88889,-20.88889,129.22223,2
194,-10.666667,11,20.444445,7
169,-11.444445,14.222222,21.333334,7
200,-19.11111,-23.11111,72.66667,6
146,-7.777778,-7.444445,15.666667,4
122,-1,-1,1,3
46,-41.22222,-13.555555,132.88889,2
17,-24.222221,-23.88889,86.55556,4
192,-3.888889,11.444445,13.777778,7
182,-17.555555,-24.88889,72.55556,6
207,-7.777778,13.222222,16.555555,7
244,-9.777778,13.222222,17.222223,7
149,0,0,0,5
63,-2.555556,-14.222222,23.666666,1
57,-33,-17,139,2
163,-16.333334,-7.666666,48.11111,6
201,-20.333334,-23.666666,74,6
14,-41.22222,-12.555555,130.66667,2
90,-7.111111,-7.444445,10,5
186,-5.111111,16.555555,21.11111,7
19,-39.77778,-14.444445,132.33334,2
88,-27.11111,-23.777779,127.55556,2
195,-19.88889,-24.555555,76.55556,6
128,4,-7.333334,7.111111,1
182,-7.666666,-9.333333,35.88889,6
96,-3.111111,-14.444445,61,4
128,5.555555,-6.777778,6.888889,1
143,-22.11111,-21.11111,64.77778,4
100,-15.111111,-19.444445,66.88889,4
147,0,0,0,5
117,-11.444445,-11.777778,39,4
131,-1.444444,-1.777778,1.888889,5
191,-22.777779,-25.444445,78.111115,6
197,-9.222222,16.444445,17.444445,7
62,-33.444443,-14.111111,139.33334,2
193,-23.222221,-22.222221,76.55556,6
76,-15.222222,-2.555556,19.444445,3
86,-38.666668,-16.333334,124.111115,2
116,-1.444444,-16.11111,27.555555,1
152,0,0,0,5
132,-3.888889,-2.888889,4.222222,3
92,-12.666667,-3,12.666667,3
208,-9.333333,20.333334,25.333334,7
138,-16.555555,-19.88889,66.77778,4
85,-5.888889,-2.222222,6.777778,3
152,0,0,0,5
41,-5.111111,-16.777779,29.777779,1
91,-17.555555,-7.555555,52.666668,3
111,-11.666667,-11.333333,23.777779,5
188,-21.666666,-23,76.55556,6
100,0.777778,-15.555555,25.555555,1
186,-14,-20.333334,59.88889,6
66,-11.444445,-17.444445,61.22222,4
130,5.444445,-7.222222,8.444445,1
180,-8.777778,-9.111111,36.333336,6
39,-30.88889,-17.555555,140.33334,2
159,-0.555556,-4.888889,22.333334,4
239,-8.111111,10.222222,13.777778,7
134,-15.111111,-6.444445,15.888889,3
116,2.444444,-13.888889,21.222221,1
149,-4,-5.666666,8.666667,1
79,-10.888889,-4.555555,10.555555,3
107,2.444444,-15.555555,23.11111,1
177,-11.444445,14.888889,24.555555,7
161,-15.333333,-12.333333,49.666668,6
104,-11.222222,-3.222222,23.444445,3
154,-19.777779,-14.444445,39.555557,4
101,-2.666667,-17.666666,29.222221,1
62,-6.888889,-8.222222,11.444445,5
44,-25.666666,-25,75.55556,4
42,-11.444445,-12.444445,36.22222,4
68,-25.88889,-12.888889,60.11111,3
54,-36.333332,-15,127.111115,2
172,-7.666666,15.666667,24.222221,7
124,-14.333333,-17.666666,64.44444,4
195,-6.555555,11.444445,12.333333,7
100,-9.444445,-5.111111,9.444445,3
187,-18.777779,-21.777779,69.66667,6
189,-11.333333,-12.333333,40.666668,6
124,3.444444,-8.555555,9,1
180,-9.444445,18.88889,27.555555,7
33,-40.666668,-21.333334,132,2
123,-2.111111,-1.777778,2,3
238,-8.333333,12,21.777779,7
68,-39.444443,-17.444445,126.333336,2
137,-6.111111,-10.111111,42.333336,4
110,-4.333334,-5.333334,7.444445,5
105,-7.555555,-6.222222,19.777779,5
26,-16.777779,-12.444445,146.77777,2
89,-1.666667,-16,27.777779,1
125,-22.333334,-14,30.666666,3
129,-1.555556,-1.555556,1.555556,3
185,-4.222222,13.777778,17.555555,7
194,-14.555555,-16.555555,55.444443,6
111,-12.444445,-13.444445,38.22222,4
86,-13.333333,-12,20.444445,5
70,-14.444445,-2.444444,26.666666,3
127,-7.444445,-1.444444,6.777778,3
162,-10.666667,15,22.333334,7
180,-15.333333,17,28.222221,7
100,-15.111111,-19.444445,66.88889,4
135,-1.444444,-3.777778,3,5
145,0,0,0,5
236,-8.888889,7.111111,18.555555,7
86,-13.666667,-10.666667,28.555555,5
66,-9.222222,-20.222221,38.22222,1
144,0,0,0,5
166,-13.888889,15.777778,22.222221,7
205,-16.11111,-18.444445,61.77778,6
90,-7.444445,-7.444445,15,5
153,0,0,0,5
43,-29.444445,-24.11111,82.55556,4
124,-10.444445,-5.444445,12.888889,3
199,-19.333334,-22.666666,71,6
116,-9.888889,-9.222222,23.222221,5
108,4,-14.333333,21.11111,1
172,-11.222222,14.444445,20.88889,7
102,-2.888889,-17.222221,29.777779,1
154,-0.555556,-1.222222,1.222222,5
75,-2.555556,-17.88889,31.666666,1
37,-47.444443,-28.11111,121.111115,2
126,-4.222222,-2.555556,3.666667,3
129,-1.555556,-1.555556,1.555556,3
41,-28.555555,-24.88889,131.22223,2
96,-22.444445,-22.777779,77,4
200,-13.888889,-17.555555,55.77778,6
180,-8.333333,-10.666667,37.77778,6
137,-1.222222,-1.888889,1.777778,5
112,-0.444444,-0.444444,0.444444,3
104,-2.666667,-17,28.333334,1
45,-14.888889,-17.222221,63.77778,4
139,-2,-1.333333,1.777778,3
180,-21.555555,-24.88889,77.55556,6
154,-6.444445,-6.444445,10.777778,5
85,-4,-1,3.444444,3
86,-2.222222,-18.88889,31.333334,1
181,-7.555555,12.777778,23.88889,7
155,-10,18,29.333334,7
99,-9.111111,-5.444445,9,3
99,-43.22222,-30.555555,118,2
124,4,-7.666666,8,1
138,-1.111111,-4.111111,3.111111,5
164,-6,2,16.88889,7
180,-15.555555,-20.222221,62.333332,6
50,-35.88889,-17.222221,138.88889,2
101,-11.888889,-12.888889,39.444443,4
81,-11.111111,-15.777778,47.22222,4
126,4.444445,-7.222222,8.888889,1
44,-39,-23.333334,126.77778,2
69,-7,-17.666666,32.555557,1
48,-39.333332,-24.333334,129.11111,2
103,2.666667,-15.333333,22.555555,1
103,-6.111111,-4.444445,5.666666,3
139,-6.888889,-6.222222,8.555555,5
64,-46.77778,-30.777779,118.666664,2
56,-9.333333,-19.333334,36,1
65,-2.111111,-15.777778,26.777779,1
102,-6.666666,-3.666667,6.333334,3
89,-11.777778,-11.111111,24.444445,5
70,-10.444445,-19.11111,64.88889,4
136,-19.555555,-9.888889,25.333334,3
106,-10.111111,-9.444445,24,5
36,-29.444445,-25.777779,84.77778,4
162,-18.222221,-9.222222,50.666668,6
60,-30.666666,-24.666666,128.22223,2
130,3.777778,-7.888889,9,1
84,-0.888889,-17.555555,30,1
73,-5.111111,-10.111111,47.333332,4
190,-11,-14.333333,40.11111,6
171,-14.777778,-19.11111,57.22222,6
107,-13,-9,35.11111,5
217,-3.888889,10.111111,9.666667,7
143,-9.888889,-5.888889,9.444445,3
244,-2.111111,3.888889,11.888889,7
12,-9,-9.666667,17.666668,5
182,-6.666666,18.666666,23,7
