@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,4,8,11-12,16,19-20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-5 numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
130,0,0.333333,0,2.555556,-2.333333,-2.123254,3
83,0,0.944444,23.333334,33.22222,-10.555555,-2.063242,4
182,0,3.611111,49.444443,68.111115,-23.11111,-1.980348,6
128,0,0.888889,7.888889,6.444445,-7.444445,-0.7213,1
201,0,2.500001,54.88889,76.44444,-24.222221,-2.034119,6
117,0,0.111111,0,3.111111,-2.888889,-2.132635,3
41,0,0.222222,0.555556,1.222222,-1.111111,-1.84512,5
176,0,2.666667,46,62.666668,-22,-1.95141,6
72,0,1.166667,79.22222,117.111115,-28.333334,-2.22578,2
180,0.111111,3,18.333334,21.444445,14.666667,2.453831,7
114,0,0.444444,6.111111,7.333334,-7.666666,-1.314533,1
161,0,0.777778,12.444445,14.333333,14.111111,2.345133,7
142,0.111111,1.5,6.777778,4.888889,-7,-0.604864,1
125,0,0.666667,7.333334,7.666666,-7.888889,-1.121818,1
120,0,1.444444,10.555555,33.11111,-16.555555,-2.231261,3
95,0,1.333333,6.777778,10.777778,-6.888889,-1.749258,5
169,0,1.611111,10.666667,9.777778,15.555555,1.993183,7
38,0,1.000001,50,74.333336,-25,-2.078504,4
190,0,2.611111,47.333332,66.88889,-21.11111,-2.052546,6
113,0,0.555556,18.11111,27.88889,-8.444445,-2.163633,5
146,0,0.666667,5.666666,6.777778,-6.666666,-1.258358,1
147,0,0.722222,4.111111,7.444445,-7.111111,-1.561754,1
63,0,0.388889,6.333334,14,-7.222222,-2.121837,5
31,0,0.777777,101.888885,132.55556,-13.555555,-2.384877,2
127,0,1.277778,10.888889,26.444445,-13.777778,-2.035808,3
144,0,0.333333,0,3,-3,-2.094395,3
187,0,2.055556,9.333334,9.666667,12.777778,2.156639,7
36,0,0.388889,5,13.666667,-8.444445,-2.107303,5
146,0.111111,1.111111,8,15.666667,-7.444445,-2.108911,4
38,0,1.111112,58.22222,78.44444,-22.222221,-2.038824,4
204,0,2.777777,51.444443,72,-23,-2.038543,6
35,0,1.444444,117.44444,142.55556,-14.666667,-2.311049,2
108,0,1.722222,20,30.444445,-9.111111,-2.154391,5
197,0,4.944445,44.666668,62.22222,-18.666666,-2.071221,6
122,0,0.555556,7,6.666666,-7.222222,-0.964797,1
180,0.111111,2.222222,53.22222,75.44444,-25.555555,-2.022148,6
121,0,0.611111,8,7.444445,-7.888889,-0.914324,1
101,0,1.277778,21.222221,26.777779,-16.222221,-1.558599,1
90,0,5.111111,22,29.11111,-17.555555,-1.622331,1
117,0,1.277778,39.555557,58.444443,-18.666666,-2.09948,4
18,0,0.555557,97.22222,130.44444,-10.333333,-2.45498,2
80,0,3,24.333334,31.555555,-18.777779,-1.620451,1
147,0,3.555555,6.444445,9.888889,-2.777778,-2.064514,3
88,0,2.888889,21.333334,28.444445,-16.444445,-1.653787,1
137,0,0.277778,0.111111,2.666667,-2.777778,-2.056155,5
57,0,0.77778,84,121.55556,-25.11111,-2.264402,2
195,0,0.611111,14.444445,13.333333,12.888889,1.94304,7
155,0,5.388889,6.666666,12.888889,-6.222222,-2.079296,5
40,0,1.111112,15.666667,23.333334,-13.888889,-1.783602,1
80,0,34.61111,60.333332,79.55556,-7,-2.434193,3
101,0,1.277778,21.222221,26.777779,-16.222221,-1.558599,1
71,0,1.499999,115.55556,140.88889,-13.555555,-2.339758,2
120,0,0.722222,1.111111,6.555555,-1.888889,-2.433795,3
111,0,1.500001,51.333332,71.66667,-22.333334,-2.045165,4
30,0,0.833332,112.77778,139.66667,-17.333334,-2.27951,2
115,0,0.777778,7.333334,7.888889,-7.888889,-1.175454,1
107,0,13.166667,49.444443,64.44444,-17.666666,-2.003607,4
129,0,3.444445,2.444444,2.555556,-1.222222,-1.101394,5
137,0,0.277778,2.111111,7.111111,-5.444445,-2.058451,5
39,0,1.222218,116.333336,142.44444,-13.888889,-2.336025,2
17,0.111111,5,40.333336,54,-15.444445,-2.030048,4
118,0,2.277778,20.222221,27.333334,-16,-1.620749,1
162,0,12.944446,35.666668,50.555557,-9.777778,-2.335371,6
116,0,1.333334,11.777778,29.555555,-11.555555,-2.259967,3
160,0,1.444444,17.777779,23.444445,15.888889,2.642597,7
71,0.111111,2.833333,21.88889,29.666666,-18,-1.66796,1
102,0,0.888889,53.444443,69.66667,-20,-1.985584,4
122,0,4.833334,3.333333,11.333333,-4.222222,-2.349017,3
186,0,1.5,9.333334,10.777778,12.111111,2.31952,7
71,0,21.888885,25.555555,40.22222,-6.222222,-2.401825,3
83,0,1.055552,74.55556,116.888885,-30.555555,-2.239053,2
158,0,1.444445,16.777779,29,-11.111111,-2.142701,4
187,0,0.833333,13.222222,12.777778,13.333333,2.038483,7
49,0,1.77778,113.111115,140.44444,-16.444445,-2.303412,2
176,0,2.388889,19,19.777779,16.777779,2.179845,7
76,0,0.388889,47.666668,61.555557,-17,-1.989922,4
118,0,0.055556,0,0.111111,-0.111111,-2.094395,3
56,0,0.833333,115.888885,140.66667,-13.666667,-2.326783,2
161,0,8.999999,36,52.22222,-12.444445,-2.282295,6
209,0,0.722222,17.666668,20.88889,19.444445,2.389391,7
118,0,0.333333,0,2.555556,-2.111111,-2.17128,3
124,0,1.833333,1.444444,5.888889,-4,-2.118937,3
200,0,4.333333,50.444443,69.66667,-22.11111,-2.021172,6
94,0,1.055556,15.777778,28.666666,-13.111111,-2.084255,5
124,0,1.111111,0.222222,6.111111,-3.888889,-2.267462,3
182,0,2.277777,31.555555,42.22222,-14.222222,-1.943038,6
64,0,0.277778,3.666667,10.333334,-7.777778,-2.015428,5
109,0,1.055555,36.11111,53.666668,-18.444445,-2.068644,4
90,0,1.27778,105.666664,128.33334,-23.333334,-2.078418,2
73,0,1.5,38.77778,53,-14.222222,-2.096415,4
70,0,1.722222,24.444445,34,-19.11111,-1.74518,1
116,0,0.777777,19.333334,31.444445,-11.888889,-2.104978,5
191,0.111111,3.111111,12.111111,14.888889,10.111111,2.545329,7
54,0,1,127.55556,145.55556,-13.333333,-2.231555,2
104,0.111111,3.055556,20.222221,24.88889,-14.222222,-1.555376,1
196,0,4.444445,44.333332,62.22222,-19.222221,-2.054753,6
134,0,0.222222,1,3.888889,-3.555556,-1.997796,5
183,0,4.722222,14.555555,19,18.444445,2.506807,7
110,0,1.277777,46.11111,60.444443,-15.666667,-2.032518,4
160,0,13.166667,34.11111,51.77778,-12.333333,-2.335837,6
15,0,0.555556,118.333336,144,-11.444445,-2.38244,2
64,0,1.055556,53.666668,78.111115,-23.333334,-2.118087,4
131,0,0.777778,7.555555,6.666666,-6.888889,-0.804846,1
98,0,1.277777,47.555557,64.66667,-19.555555,-2.025773,4
156,0,2,17.333334,25.444445,13.888889,2.864931,7
111,0,0.444445,30.333334,42.22222,-13,-2.005742,4
190,0,3.000001,42.444443,58.666668,-18.444445,-2.025942,6
95,0,1.611111,1,9.222222,-2.888889,-2.429449,3
162,0.222222,2.666667,15.777778,17.333334,14.666667,2.291415,7
165,0,16.444445,30.777779,42.88889,-6.111111,-2.470153,6
88,0,0.444445,7.555555,21.11111,-12.444445,-2.136677,5
30,0,1.666667,6.111111,13.111111,-6.777778,-2.05997,5
152,0,2.055556,1,2.333334,-1.777778,-2.007351,5
120,0.111111,3.722222,1.444444,7.666666,-4.888889,-2.180291,3
66,0,1.111113,79.111115,117.333336,-28.666666,-2.224845,2
247,0,7.111111,21.11111,25.11111,-7.111111,-1.755483,7
239,0.111111,2.277778,12.222222,14.555555,10.555555,2.482445,7
141,0,0.888889,0.444444,7.666666,-4.777778,-2.257122,3
102,0,29.888887,37.444443,52.666668,-6.111111,-2.416817,3
161,0,1.611111,15.111111,17,17.88889,2.292736,7
194,0,5.222222,52.88889,71.55556,-19.555555,-2.081891,6
161,0,11.777776,36.555557,51.22222,-11.555555,-2.38829,6
221,0,1.222222,10.222222,8.111112,17.666666,1.877146,7
44,0.111111,1.166665,113.44444,138.11111,-11.777778,-2.367282,2
121,0,4.888888,46.88889,66.88889,-19.333334,-2.110233,4
202,0,4.833333,52,71,-21,-2.045943,6
186,0,5.5,44.666668,61.11111,-20.666666,-1.974394,6
118,0,1.166667,50.11111,66.333336,-18.88889,-2.007117,4
111,0,1.055556,6.888889,7,-7.444445,-1.065066,1
18,0,1.166669,131.44444,147.88889,-10.666667,-2.27511,2
147,0,0.777778,5.444445,11,-8.666667,-1.783388,1
80,0,3.833333,6.555555,15.111111,-4.777778,-2.326257,3
200,0,3.944445,46.444443,67.333336,-20,-2.116733,6
74,0,0.500001,89.111115,123.22222,-25.88889,-2.220553,2
164,0,1.888889,21.777779,19.11111,16.222221,1.798302,7
163,0,14,35.444447,51.333332,-10.333333,-2.384441,6
206,0,2.166667,13.555555,14.555555,12.111111,2.252368,7
249,0,2.888889,8,7.555555,4.666666,1.917421,7
181,0,1.5,9,9.777778,13.666667,2.206642,7
33,0,0.500001,96.77778,128.66667,-12.777778,-2.408019,2
90,0,0.777779,105.888885,128.55556,-22.444445,-2.097815,2
211,0.222222,2.444444,8.888889,7.666666,15.222222,1.940832,7
144,0,0,0,0,0,0,5
152,0,2.388889,20.333334,37.666668,-14.666667,-2.165731,4
