@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,10-11,16,20'

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
229,17.74074,14.111111,10.444445,7
120,1.592593,0,-2.111111,3
62,110.18519,100.666664,-22.222221,2
146,21.37037,16.777779,-11.111111,4
92,12.074074,7.555555,-11.888889,5
136,15.518518,9,-9.888889,3
13,131.77777,122.111115,-10,2
138,4.962963,6.777778,-6.888889,1
75,88.55556,72,-32.333332,2
68,105.77778,95.111115,-25.333334,2
100,1.222222,0.111111,-1.333333,3
75,25.962963,23.333334,-18.555555,1
173,56.77778,49.88889,-23.666666,6
155,11.296296,7.777778,-8.222222,5
184,50.592594,45.88889,-21.11111,6
13,118.666664,106.55556,-15,2
233,12.592592,8.888889,13.222222,7
196,46.074074,40.444443,-16.222221,6
140,1.037037,0.777778,-1.777778,5
181,19.62963,17.11111,12.777778,7
187,18.666666,14.666667,19.333334,7
236,11.074074,9.444445,9.777778,7
186,48.814816,44.11111,-20.777779,6
75,55,47.444443,-8.666667,3
111,6.037037,7,-7.777778,1
81,41.925926,33.11111,-14.444445,3
108,45.592594,41.22222,-16.444445,4
147,49.77778,43.77778,-20,4
66,22.62963,21.222221,-17.555555,1
57,70.37037,60,-28.11111,4
54,109.96296,97.55556,-15.222222,2
131,1.555556,0.888889,-4.333334,5
94,20.222221,16,-13,5
190,58.11111,51.666668,-19.666666,6
85,93.55556,79.22222,-30.333334,2
161,7.148148,5.555555,-6.444445,4
223,6.666666,4.888889,11.333333,7
105,22.703703,19.11111,-9.777778,5
52,125.77778,115.55556,-12.666667,2
118,22.74074,21.555555,-15.222222,1
201,21.296297,16.666668,16.777779,7
203,19.518518,15.444445,17.777779,7
134,5.296296,6.777778,-7.222222,1
71,125.96296,115.55556,-13.555555,2
148,15.962963,12,9.111111,7
89,58.925926,51,-22.777779,4
158,8.444445,7,-7,4
58,110.37037,97.666664,-15.111111,2
193,51.74074,46.555557,-18.222221,6
65,60.62963,53.666668,-20.88889,4
140,9.925926,6,-3.777778,3
44,18.74074,17.333334,-15.222222,1
160,45.148148,37.88889,-17.777779,6
152,1.37037,1,-1.777778,5
