@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R8,10-11,20'

@attribute Hedge-mean numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
2.277778,6.444445,5.666666,7
0.888887,112.96296,99.44444,2
0.444445,8.333333,5.555555,5
0.888889,1.148148,0,3
2.277778,8.185185,3.555556,3
1.388889,12.518518,10.333334,7
4.722223,49.814816,46.22222,4
0.444445,8.333333,5.555555,5
1.722222,21.148148,21.444445,1
3.222222,23.666666,22.11111,1
1.055556,5.851852,7.333334,1
0.888889,8.888889,7.333334,4
5.722222,49.74074,44.22222,6
1.777778,26.481482,23.555555,1
1.333333,130.40741,119.666664,2
0.444445,5.037037,6.555555,1
4.333334,44.555557,39.555557,4
9.944444,42.814816,39.11111,4
3.444445,14.62963,12,7
0.444444,0.703704,0.222222,5
3.944445,8.703704,4.888889,3
6.222223,29.074074,26.333334,6
1.499999,60.48148,53.666668,6
0.777778,5,6.222222,1
0,0,0,5
1,12.703704,11,7
0.666667,29.333334,24.88889,5
0.5,1.148148,0.222222,3
3.444445,49.88889,44.333332,6
1.444445,10.740741,8.111112,7
3,7.037037,4.777778,5
1.05556,135.51852,129.44444,2
2.111111,43.51852,40.22222,6
1.222222,49.407406,42.555557,4
1.166666,30.481482,24.444445,5
4.111111,39.962963,36.444443,4
3.166667,13.962963,10.111111,7
0.944444,112.96296,99.333336,2
9.444444,14.37037,10.111111,3
2.500002,45,41.666668,6
1.833333,8.259259,3.777778,3
0.444444,0.296296,0.111111,3
1.555556,44.814816,39.555557,4
1.277779,106.07407,93.111115,2
8.555555,40.74074,38,4
3.888888,17.222221,19,1
1.777778,20.592592,12.222222,3
0.722222,17.11111,14.555555,5
0.999997,136.2963,130.33334,2
1.722222,67.03704,61,4
3.277777,21.407408,16.555555,7
0.944444,8.703704,5.888889,5
0,0,0,5
3.444444,6.777778,3.222222,3
0.777777,19.592592,15.333333,5
2.722223,15.074074,11.444445,7
0.333333,5.222222,7.222222,1
31.222223,42.851852,35.77778,3
4.166667,59.074074,52.333332,6
1.833333,55.333332,49,6
1.555556,23.74074,22.88889,1
0.722221,136.48148,131.22223,2
2.833333,19.777779,16.333334,5
6.333334,55.62963,48.22222,6
0.611112,111.59259,103.44444,2
1.833333,21.185184,20.555555,1
1.944444,4.222222,4.333334,1
0.777779,107.74074,93.888885,2
0.944444,127.03704,117,2
5.111111,41.037037,37,6
0.944447,116.25926,103.666664,2
2.722222,2.703704,1.222222,5
4.055555,56.333332,50.444443,6
1.222222,2.407408,0.444444,3
0.944444,25.444445,20.11111,7
14.944444,40.444443,34.444447,6
0.388889,112.22222,97.77778,2
2.833333,15.37037,12.444445,7
14.055556,40.296295,34.666668,6
1.555556,3.814815,1.111111,3
2.500001,21.11111,20.777779,1
1.611111,49.48148,44.77778,6
1.944445,12.185185,9.666667,7
2.166667,23.592592,22.555555,1
1.944444,12.407408,10,7
1.111113,122.85185,110.55556,2
5.222223,59.592594,52.333332,6
0.888891,111.81481,99.111115,2
2.111111,17.148148,13.555555,7
1.055556,2.962963,0.555556,3
2.166667,9.740741,7.444445,7
1.833335,103.03704,89.55556,2
1.388889,4.518518,1.555556,3
0.833336,64.44444,58.333332,4
9.777778,42.037037,38,6
0.666667,62.814816,53.77778,4
0.833333,22.333334,18.222221,5
2.388889,7.703704,3.222222,3
1.888889,18.88889,19.88889,1
1.888889,129.55556,118.77778,2
2.833333,11.703704,9.444445,7
4.444444,51.148148,45.333332,6
0.5,47.814816,46,4
2.666666,15.444445,12,7
4.388889,46.37037,41.11111,6
