@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,10-12,15,20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
153,0.111111,0.37037,0,1.111111,2.222222,5
145,0.222222,0.555556,0.333333,1.222222,2,5
142,2,1.814815,0.888889,3.666667,5.555555,5
173,1.444445,19.222221,16.444445,16.444445,-8.333333,7
122,0.333333,5.555555,7,6.666666,3.333333,1
145,1.777778,3.407408,2.333334,5.777778,7.111111,5
249,2.777778,10.518518,7.555555,8.111112,-7.222222,7
199,5.611111,55.666668,49.11111,69.77778,42.333332,6
103,1.777778,61.25926,56,73.44444,36.555557,4
41,1.111115,137.14815,130.66667,147.22223,30.222221,2
123,0.5,1.185185,0,3.333333,6.444445,3
188,2.333333,55.77778,49.666668,69.111115,40,6
250,1.444444,9.222222,6.555555,7.333334,-5.666666,7
134,1.111112,26.703703,20.333334,37.444443,32.22222,5
111,1.944444,18.037037,9.666667,30.11111,36.22222,3
211,2.166666,17.962963,14.444445,16.333334,-4.888889,7
200,3.777779,61.037037,54.11111,76.44444,46.22222,6
135,1.11111,32.703705,28.555555,41,24.88889,4
102,1.777779,51.703705,46.22222,64.333336,37.88889,4
184,0.777778,11.851851,9.777778,9.888889,-5.888889,7
61,0.722222,7,4.444445,12.333333,16,5
94,0.222222,1.185185,0.222222,3.222222,6.111111,5
174,2.888889,19.074074,15.111111,17.777779,-3.888889,7
85,0.888887,101.03704,88.77778,122.55556,64.55556,2
116,1.555556,21.703703,21.222221,27.555555,17.555555,1
189,2.666667,34.11111,30.11111,42.77778,26,6
86,0.277778,12.333333,7.777778,21.11111,26.333334,5
60,1.055556,123.666664,114,138.33334,44,2
162,13.388888,42.185184,36.444443,51.333332,27.444445,6
141,0.055556,0.037037,0,0.111111,0.222222,5
136,0.222222,2.555556,1,5.777778,9.666667,5
155,7.722223,8.259259,5.888889,12.666667,13.222222,5
73,0.777777,46.296295,45.666668,51.11111,14.444445,4
176,3.444444,53.666668,47.11111,67.66667,42,6
83,1.666666,49.851852,46,59.555557,29.11111,4
133,0.5,5.37037,3.666667,9,10.888889,5
77,1.277776,135.92592,128.55556,147.33334,34.22222,2
184,1.333333,19.444445,15.222222,18.222221,-3.666667,7
215,4.722222,23.037037,17.11111,22.555555,-1.444444,7
44,1.611109,47.814816,42.88889,58,30.555555,4
193,4.055555,49.11111,43.333332,61.22222,36.333332,6
42,1.166669,137.07408,130.44444,147.44444,31.11111,2
210,1.222222,17.481482,13.777778,16,-4.444445,7
141,0,0,0,0,0,5
188,3.111112,33.333332,29.666666,41.333336,24,6
169,1.833333,19.592592,15.111111,18.666668,-2.777778,7
149,1.055556,7.518518,5.555555,11.888889,13.111111,1
113,2.777778,14.703704,17.11111,16.88889,6.555555,1
186,2,49.51852,45.11111,61.11111,34.77778,6
120,0.5,1.444444,0,4,7.666666,3
195,3.944445,57.11111,51.333332,70.111115,39,6
64,0.666667,40,35.22222,50.11111,30.333334,4
78,2.944444,30.296297,27.11111,37.444443,21.444445,4
116,0.444445,6.481482,7.555555,8.222222,5.222222,1
226,2.388889,11.888889,10.111111,8,-11.666667,7
115,0.333333,6.666666,8.222222,7.888889,3.666667,1
49,0.722225,108.888885,97.111115,128.88889,60,2
17,1.277779,126.14815,115,141.88889,47.22222,2
79,2.111111,16.814816,17.333334,21,12.555555,1
180,3.833332,50.407406,45.22222,62.333332,35.77778,6
73,1.722222,4.851852,1.777778,9.666667,14.444445,3
110,2.277777,17.222221,9.222222,29,35.333332,3
194,2.277778,49.74074,44.444443,61.666668,35.77778,6
88,0.333333,7.333334,5.111111,12.222222,14.666667,5
53,0.944443,40.444443,36.88889,48.666668,24.666666,4
237,1.777778,5.851852,4.222222,4.555555,-3.888889,7
78,2.555556,43.814816,41.11111,51.88889,24.222221,4
135,0.555555,2.185185,0.777778,4.888889,8.111111,5
95,3,5.185185,2.222222,9.444445,12.777778,3
198,1.5,14.555555,12.111111,11.777778,-8.333333,7
111,0.555555,28.74074,24.555555,35.88889,21.444445,5
211,1.666667,15.444445,12.444445,15.222222,-0.666667,7
93,0.222222,17.925926,13.222222,27.11111,27.555555,5
50,1.333334,60.851852,53,75.77778,44.77778,4
81,22.111109,42.555557,34.88889,51.77778,27.666666,3
114,0.666667,5.259259,6.555555,6.111111,2.555556,1
41,1.888889,121.48148,110.22222,138.88889,52.22222,2
35,1.055555,69.44444,61.77778,85.333336,47.666668,4
52,0.777777,111.62963,101,129.22223,52.77778,2
133,0.111111,0.592593,0,1.777778,3.555556,5
111,0.944444,1.296296,0,3.555556,6.777778,3
70,8.777778,36.74074,33.666668,44.444443,23.11111,4
127,1.055556,17.592592,9,30.11111,37.555557,3
69,4.333333,11.074074,6.888889,16,14.777778,3
189,5.888889,29.62963,26.777779,36.555557,20.777779,6
177,1.666667,51.074074,46.333332,63.11111,36.11111,6
144,0,0,0,0,0,5
28,1.444441,122.51852,111,138.66667,48.444443,2
249,4.555555,18,14.666667,15.666667,-7,7
95,1.111111,2.259259,0.666667,3.888889,4.888889,3
129,0.666667,6.333334,7.888889,7.333334,3,1
136,0.388889,0.703704,0.111111,1.888889,3.555556,3
92,2.166667,18.703703,18.777779,23.777779,15.222222,1
182,0.611111,19.88889,16.88889,18.11111,-5.333334,7
176,1,18.481482,15.111111,17,-4.444445,7
129,1.111111,6.407407,8,7.444445,3.111111,1
121,2,23.11111,21.666666,30.11111,21,1
66,1.5,18.666666,18.555555,24,16,1
104,1.5,65.296295,59.77778,78,38.11111,4
145,1.277778,0.851852,0.333333,1.444444,1.777778,3
139,0.777778,5.333334,6.555555,6.444445,3.333333,1
92,2.5,19.074074,18.777779,24.11111,15.111111,1
29,0.444443,112.07407,98.55556,130.55556,55.444443,2
144,0,0,0,0,0,5
39,1.333333,113,99.44444,131.11111,54.333332,2
177,1.444444,19.592592,15.777778,18.444445,-3.444444,7
15,1.111111,70.07407,61,87.44444,52.11111,4
94,1.277776,95.296295,80.888885,119.22222,71.77778,2
176,1.555556,50.296295,45.444443,62.11111,35.444443,6
190,1.388889,52.407406,47.333332,64.55556,36.444443,6
65,1,8.925926,6.111111,14.333333,16.222221,5
21,2.055556,125.59259,113.44444,142.44444,50.555557,2
35,1.111113,124.55556,114.44444,140.11111,46.666668,2
114,0.277778,1.740741,0.777778,3.888889,6.444445,3
129,0.888889,6.666666,8.444445,7.555555,2.666667,1
128,0.666667,5.666666,7.444445,6.555555,2.666667,1
80,0.833334,58.333332,51.22222,72.111115,41.333332,4
64,1.833333,8,6.111111,12.555555,13.666667,5
191,5.722222,48.22222,43.88889,58.666668,31.333334,6
145,0.222222,0.555556,0.333333,1.222222,2,5
125,1.944445,37.444443,32.333336,47.555557,30.333334,4
77,1.611111,5,1.222222,10.222222,15.666667,3
102,0.444445,56.77778,51.11111,69.111115,37,4
95,0.944444,21.407408,21.333334,26.666666,15.777778,1
113,2.944444,20.25926,20,25.444445,15.555555,1
70,1.833333,23.666666,23,30.11111,19.333334,1
124,2.388889,14.666667,7.555555,24.11111,28.333334,3
132,0.555555,0.740741,0.111111,2,3.777778,3
174,1.666667,23.185184,20.666668,19.88889,-9.888889,7
110,2.666667,17.925926,18.88889,21.444445,10.555555,1
123,1.111111,57.48148,52.555557,68.55556,33.22222,4
33,0.888888,124.55556,113.22222,140.88889,49,2
25,1.277776,103.62963,89.111115,126.888885,69.77778,2
111,0.611111,5.925926,7.666666,6.888889,2.888889,1
139,0.111111,1.296296,0,3.888889,7.777778,5
178,5.222221,47.962963,42.666668,58.88889,32.77778,6
73,0.61111,43.851852,43,48.77778,14.777778,4
211,2,13.62963,10.777778,12.888889,-2.222222,7
123,13.222221,52.814816,48,64.111115,33.88889,4
12,1.611112,119.03704,107.22222,135.33334,48.88889,2
113,0.722222,20.851852,16.88889,28.444445,22.777779,5
78,2.611111,69.74074,59.666668,88.44444,56.11111,4
119,0.944446,39.851852,36.22222,48.22222,25.11111,4
105,2.166666,45.74074,41.22222,56.333332,31.777779,4
138,0.5,3.185185,1.444444,6.666666,10.444445,5
199,1.055556,17.518518,13.111111,17.88889,1.111111,7
200,3.444445,55.962963,49,70.22222,42.77778,6
66,10.944443,39.88889,32.333336,49.555557,29,3
132,0.222222,5.37037,7.111111,6.111111,2.222222,1
63,0.666668,120.22222,108.44444,137.55556,52,2
79,1.333333,4.851852,2,9.222222,13.111111,3
115,1.444445,132.77777,123.22222,145.33334,37.666668,2
115,0.555555,1.888889,0.222222,4.666667,8.333333,3
145,0.722222,5.296296,6.333334,6.555555,3.777778,1
79,0.777779,107.74074,93.888885,126.55556,56.444443,2
91,0.555555,6,4.555555,9.777778,11.333333,5
112,0.5,0.444444,0,1.222222,2.333333,3
80,2.5,26,24,34.444447,25.333334,1
69,0.944444,40.666668,40.88889,44.555557,11.666667,4
163,18.666666,39.444443,34,47.77778,25,6
191,1.5,7.333334,5.333334,5.444445,-5.666666,7
95,1.333333,7.62963,6.777778,10.777778,9.444445,5
193,2.555556,60.703705,54.444443,74.888885,42.555557,6
53,2.833333,27.074074,22.777779,38.333336,33.77778,1
172,2.333334,30.11111,24.555555,30.11111,0,7
46,2.166668,124.55556,112.77778,141,49.333332,2
124,0.444444,0.888889,0,2.444444,4.666666,3
89,0,0,0,0,0,5
131,9.222222,35.703705,30.666666,45.77778,30.222221,4
95,1.111111,6.481482,2.333334,12.555555,18.222221,3
210,1.5,11.851851,9.333334,8.888889,-8.888889,7
42,1.666668,108.92593,95.666664,126.22222,51.88889,2
170,0.944444,25.444445,20.11111,25.333334,-0.333333,7
66,1.444443,122.55556,111,139.77779,51.666668,2
