@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,11,15-16,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Rawred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
41,9,111.888885,50.22222,-16.777779,2
141,9,0,0.222222,-0.111111,5
197,9,56.22222,43.666668,-22.666666,6
134,9,2.222222,15.777778,-3.888889,3
146,9,0,0.222222,-0.111111,3
58,9,6,17.11111,-8.555555,5
182,9,48.555557,39.11111,-22.222221,6
120,9,11.222222,26.777779,-9.888889,3
130,9,0,0,0,5
138,9,0,7.111111,-2.888889,3
42,9,95.666664,51.88889,-12.111111,2
116,9,17.88889,22.777779,-10.555555,5
108,9,41.77778,33.88889,-9.777778,3
118,9,30.777779,22,-11.333333,4
136,9,4.111111,15.666667,-4,3
175,9,50.77778,44.77778,-23.555555,6
128,9,2.444444,12.777778,-4.222222,3
117,9,33.555557,32.22222,-15.777778,4
85,9,42.444443,38,-18.666666,4
158,9,6.333334,11.777778,-6.888889,4
32,9,103.888885,49.666668,-11,2
129,9,27.555555,27.222221,-13.777778,4
92,9,21.777779,20.666666,-17.333334,1
111,9,7,4.888889,-7.777778,1
94,9,0.222222,6.111111,-3.222222,5
94,9,0.111111,11.222222,-4.777778,3
129,9,19.11111,30.555555,-13.777778,4
13,9,134.33334,26.555555,-8.777778,2
202,9,50.22222,42.666668,-21.333334,6
98,9,1.222222,13.666667,-3.333333,3
93,9,1,9,-4.666666,5
139,9,57.88889,42.333332,-22,4
204,9,49.77778,40,-21.666666,6
247,9,6,-6.666666,13,7
33,9,114.666664,47.666668,-14,2
90,9,17.333334,32.77778,-14.222222,5
62,9,4.111111,15,-8,5
147,9,0.222222,0.444444,-0.222222,5
73,9,115.44444,45.11111,-14.888889,2
125,9,63.22222,41.333332,-23,4
69,9,19.222221,16.555555,-2.777778,3
98,9,2.333334,14.777778,-5.222222,3
112,9,12.111111,23.11111,-10.888889,5
232,9,11.222222,-3.444444,13.888889,7
169,9,13.444445,2.666667,8.333333,7
203,9,48.666668,37.77778,-20.222221,6
129,9,46.88889,29,-16.666666,4
140,9,7.444445,2.666667,-7,1
134,9,6.444445,1.444444,-6.555555,1
154,9,0.444444,2.444444,-1.555556,5
188,9,13.333333,-5.222222,12.444445,7
180,9,11.111111,-5.111111,12.555555,7
245,9,6.222222,-1.222222,1.777778,7
66,9,41.555557,11.333333,-9.666667,4
96,9,2.111111,13.666667,-4.333334,3
85,9,45,31.222221,-18.777779,4
21,9,116.22222,47.444443,-14.222222,2
68,9,37.555557,11.111111,-9.888889,4
232,9,11.333333,-3.666667,10.333333,7
223,9,4.888889,-6,11.333333,7
144,9,0,5.777778,-2.888889,3
86,9,8.777778,19.444445,-5.555555,3
134,9,1,7.666666,-4.333334,5
32,9,110.22222,50,-16.333334,2
140,9,0.222222,1.111111,-0.555556,5
64,9,22,19.222221,-17.777779,1
189,9,10.888889,-11.111111,17.222221,7
141,9,0,0.444444,-0.222222,5
122,9,17.88889,15.666667,-9.666667,3
162,9,37.444443,31.777779,-11.888889,6
89,9,0.777778,6.888889,-3.777778,5
67,9,0.777778,1.111111,-1.222222,5
133,9,0,2.222222,-1.111111,5
24,9,117.666664,42.11111,-12.222222,2
220,9,5.333334,-4.888889,8.777778,7
200,9,5.777778,-5.444445,11.222222,7
57,9,24,28.222221,-19.777779,1
82,9,4.333334,18.222221,-5.777778,3
140,9,2.666667,5.333334,-3.666667,5
201,9,6.222222,-6.666666,11.333333,7
131,9,0.222222,3.111111,-1.555556,3
243,9,9.888889,-3.666667,14,7
19,9,131.55556,26,-7.333334,2
67,9,99.44444,50.11111,-21.88889,2
193,9,53.11111,45,-24,6
222,9,8.555555,-5,7.333334,7
89,9,13,22.666666,-10.666667,5
197,9,4.111111,-6,11.666667,7
94,9,20.666668,18.333334,-16.666666,1
244,9,6.666666,-2.222222,5.444445,7
22,9,42.77778,39.666668,-19,4
136,9,3.666667,13.444445,-5.888889,5
194,9,51.77778,41.22222,-20.11111,6
189,9,10.444445,-10.333333,17.666666,7
35,9,96.44444,49,-11,2
236,9,13.111111,1.777778,7.111111,7
159,9,5.111111,10.444445,-5.888889,4
198,9,45.555557,37.666668,-19.333334,6
47,9,114.111115,47.77778,-18.555555,2
100,9,2.777778,16.444445,-6.555555,3
113,9,16.88889,22.777779,-10.888889,5
184,9,28.444445,17.777779,-9.555555,6
144,9,0,0,0,5
185,9,29.222221,21.333334,-11.333333,6
79,9,73.55556,77.666664,-30,2
189,9,28.333334,24.666666,-13.333333,6
80,9,37.77778,21.444445,-13.222222,4
194,9,44.22222,37,-19.333334,6
75,9,115.888885,45.444443,-14.888889,2
124,9,0.222222,4.555555,-1.777778,3
105,9,53.333332,35.11111,-19.222221,4
189,9,51.333332,42.11111,-20.88889,6
62,9,100.77778,48.88889,-21.11111,2
135,9,41,39.88889,-20.777779,4
185,9,49.88889,40.88889,-21.777779,6
21,9,120.77778,39.22222,-11.111111,2
124,9,1,8.222222,-2.777778,3
206,9,50.444443,43.444443,-21.88889,6
34,9,131.44444,28.88889,-12.111111,2
150,9,16.222223,25.444445,-11.888889,4
144,9,0.333333,2.888889,-1.777778,5
72,9,23.777779,27.666666,-20.333334,1
81,9,1,11.888889,-4.444445,3
117,9,21.11111,15.333333,-15,1
145,9,0,0,0,5
215,9,5.111111,-7.444445,12.888889,7
91,9,0.888889,12.666667,-3.666667,3
195,9,39.666668,31.444445,-15.222222,6
128,9,7.333334,3.777778,-7.888889,1
83,9,19.11111,13.444445,-14.555555,1
193,9,54.77778,48.22222,-24.444445,6
96,9,2.666667,16.777779,-5.888889,3
129,9,7.888889,3,-7.666666,1
135,9,0,4.111111,-1.888889,3
203,9,8.777778,-9.444445,16.88889,7
39,9,102.55556,55.88889,-23.444445,2
96,9,22.11111,16.333334,-17,1
154,9,0,1.555556,-0.777778,5
186,9,44,32,-19.333334,6
118,9,7.666666,2.777778,-7.555555,1
139,9,16,13.444445,-7.222222,3
53,9,112.333336,44.333332,-11,2
198,9,51.88889,42,-22.666666,6
135,9,20.222221,31.666666,-13,5
134,9,0.111111,6.333334,-1.333333,3
138,9,0,1.222222,-0.444444,3
183,9,12.666667,-8.777778,16.88889,7
200,9,41.333336,31.333334,-17,6
217,9,11.444445,-3.666667,13,7
185,9,44.11111,28.11111,-16.555555,6
59,9,109.22222,51.88889,-14.444445,2
103,9,53.333332,34.11111,-19.555555,4
123,9,0,7.222222,-3.111111,3
19,9,115.44444,47.333332,-13.666667,2
196,9,42.11111,33.11111,-17.88889,6
149,9,14.444445,2.333333,11.333333,7
208,9,13,-2.555556,14.111111,7
125,9,1.555556,11.555555,-4.444445,3
117,9,20.666668,12.666667,-15,1
201,9,14,-9,20.666666,7
41,9,95.111115,57.555557,-13.777778,2
112,9,7.111111,3.888889,-7.444445,1
48,9,107.44444,50,-25,2
186,9,31.11111,25.444445,-13.888889,6
128,9,6.888889,3.333333,-7.333334,1
240,9,10.888889,-3.444444,13.222222,7
184,9,28.777779,18.88889,-10.111111,6
137,9,18.666668,33.666668,-13.666667,5
102,9,22.11111,20.11111,-17.222221,1
120,9,48.22222,24.444445,-15.888889,4
141,9,7,2.444444,-7.222222,1
22,9,133,27.11111,-12.222222,2
73,9,35.666668,28.777779,-15.222222,4
103,9,20.222221,11.444445,-15.222222,1
190,9,46.88889,37.333332,-20.333334,6
91,9,7.555555,25.555555,-11.777778,5
89,9,23.11111,19.666666,-17.333334,1
129,9,33.11111,28.666666,-14.333333,4
186,9,46.555557,35.666668,-20,6
134,9,4.666667,12.777778,-5.888889,5
32,9,48.555557,49.22222,-25.777779,4
75,9,40.333336,13.666667,-11.333333,4
108,9,5.111111,16.333334,-5.666666,3
196,9,47.333332,37,-19,6
126,9,16.444445,21.666666,-10.666667,4
202,9,12,-1,10.333333,7
121,9,37.444443,25.222221,-14.444445,4
245,9,13.555555,-6.111111,14.555555,7
135,9,4,12.666667,-6,5
56,9,26.11111,27.11111,-19.555555,1
32,9,129.77779,30.11111,-10.555555,2
135,9,6.888889,1.333333,-7,1
57,9,114.22222,44.88889,-13.444445,2
63,9,19.666668,20.555555,-16.777779,1
69,9,23.444445,26.333334,-19.666666,1
193,9,11.666667,-5.666666,14,7
148,9,21.444445,37.444443,-14.555555,4
114,9,20,14.444445,-14.888889,1
86,9,13.222222,22.555555,-10.777778,5
191,9,55.333332,48.444443,-25.222221,6
90,9,41.22222,39.666668,-18.666666,4
221,9,10.666667,-4.888889,15.111111,7
98,9,18.333334,9.888889,-12.444445,1
210,9,45.444443,39.11111,-21.555555,6
110,9,29.11111,31,-16,4
56,9,22.11111,22.88889,-18.11111,1
121,9,0,6.555555,-3.111111,3
130,9,7.444445,2.666667,-7.666666,1
41,9,99,51.666668,-12.333333,2
19,9,121,38.22222,-11.444445,2
57,9,59.444443,41.22222,-22.444445,4
149,9,4.111111,9.777778,-5.555555,1
110,9,0.111111,8.333333,-3.666667,3
122,9,7.333334,3.111111,-7.555555,1
177,9,28.444445,23.666666,-11.666667,6
51,9,111.77778,47.11111,-12.888889,2
158,9,7,11.333333,-7,4
135,9,0,0.888889,-0.444444,5
