@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,9,13-14,16,19-20'

@attribute Region-centroid-row numeric
@attribute Hedge-sd numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
237,0.488889,8.888889,-4.666666,9.333333,2.097231,7
210,2.613356,44.11111,-17.555555,-21.555555,-2.020895,6
140,0.044444,1.222222,-3.777778,-5.444445,-1.985769,5
236,0.933333,17.222223,-8.888889,14.111111,2.267197,7
246,4.113663,34.11111,-14.333333,24.666666,2.214011,7
40,0.136083,1,-0.111111,-0.777778,-1.570796,5
157,0.162963,23.88889,-13.333333,16.666666,2.438615,7
140,0.722649,23.555555,-9,-8.666667,-2.100487,4
146,0,0,0,0,0,3
107,0.344444,1,-5.666666,-3.666667,-2.226355,3
85,0.962963,13.111111,2.777778,-14.555555,-1.386867,1
128,1.054092,46.333332,-20.777779,-20.777779,-2.091927,4
121,0.904721,36.22222,-10.777778,-14.444445,-1.995536,4
71,3.762964,97.888885,-27,-23.333334,-2.143159,2
192,4.134766,48,-18.333334,-16.333334,-2.164195,6
119,5.585183,16.11111,-0.777778,-16.444445,-1.57896,1
35,0.544333,120.44444,-34.22222,-14.222222,-2.346636,2
220,2.162964,19.222221,-9.222222,13.777778,2.306884,7
183,36.933327,28.222221,-8.444445,-12.111111,-1.970772,6
109,2.729629,12.555555,5.888889,-14.111111,-1.131204,1
123,0.355555,15.888889,-10.888889,-10.222222,-2.115734,4
57,1.718517,19.777779,-4.888889,-19.555555,-1.739017,1
39,0.879815,6.888889,-6.555555,-7.888889,-2.036228,5
92,5.688196,10.555555,-11.666667,-6.333334,-2.280561,3
95,3.096295,1.222222,-7.111111,-5.777778,-2.151958,3
182,3.618518,29.777779,-8.888889,-14.222222,-1.943038,6
183,1.597451,46.666668,-15.444445,-22.11111,-1.974959,6
226,1.751851,18.333334,-9.777778,14.555555,2.303853,7
137,1.751852,0.555556,-3,-3.333333,-2.071242,5
111,0.951851,16.222223,-11.333333,-9.333333,-2.153719,5
85,0.962963,13.111111,2.777778,-14.555555,-1.386867,1
225,1.289559,21.333334,-5.222222,15.444445,1.891015,7
144,0.32963,2.666667,3.555556,-6.444445,-0.969119,1
189,1.19257,23.222221,-8.222222,17.777779,2.060443,7
49,0.544332,34.333336,-7.111111,-11.111111,-1.949745,4
188,1.247218,43.444443,-15.555555,-20.222221,-2.00738,6
162,155.12964,37.88889,-19,-10.333333,-2.494607,6
235,3.574073,15.777778,-10,14.666667,2.316242,7
138,49.633343,9.111111,-11.888889,-9.222222,-2.172099,5
219,0.928957,17.222223,-7.444445,11.555555,2.255333,7
189,1.784709,44.22222,-16,-20.666666,-2.008931,6
65,0.329629,88.111115,-43.666668,-27.666666,-2.239144,2
51,0.772203,104,-40.555557,-14.222222,-2.383438,2
89,0.474074,0.333333,-6.555555,-5.888889,-2.123905,3
81,0.389682,52,-22.666666,-22.333334,-2.09885,4
94,0.033333,17,-13.666667,-13.333333,-2.100966,5
208,0.240741,20.777779,-10.222222,13.777778,2.391996,7
113,6.224503,22.333334,-32.333332,-16.666666,-2.29665,3
89,4.703426,13.444445,-12,-10.666667,-2.129746,5
134,0.296296,3.666667,4.111111,-7.222222,-0.966318,1
209,2.672217,42.555557,-17.333334,-18.666666,-2.06698,6
201,3.124574,46.77778,-19.777779,-20.777779,-2.075226,6
81,0.344443,37.77778,-10.444445,-15.444445,-1.970422,4
93,4.907409,76.111115,-46.88889,-30.555555,-2.231558,2
146,4.712474,36.666668,-18.777779,-19.444445,-2.081842,4
108,0.912871,1.666667,-3.888889,-0.555556,-2.463852,3
53,0.429629,104.888885,-26.444445,-24.777779,-2.117007,2
107,1.92963,12.555555,3.444444,-13.888889,-1.312499,1
133,0.077778,3.888889,5,-8.333333,-0.924817,1
84,0.459468,19.777779,-13.777778,-10.444445,-2.184862,5
179,1.881685,42.88889,-12.888889,-18.88889,-1.970398,6
89,0.474074,0.333333,-6.555555,-5.888889,-2.123905,3
138,0.272166,0,-2.333333,-3.666667,-1.949167,5
113,0.68853,25.777779,-12,-7.666666,-2.236251,5
82,0.474074,33.666668,-13,-15.666667,-2.028043,4
116,0.816497,28.777779,-12.222222,-13.222222,-2.068113,4
116,0.207407,3.888889,2.777778,-8.222222,-1.233945,1
21,0.869227,122.55556,-35.444443,-12.777778,-2.377814,2
65,25.537477,53,-12.111111,-11.111111,-1.970812,4
123,2.077778,15.888889,-20.555555,-17.222221,-2.149759,4
180,1.088663,42.555557,-13.333333,-18,-1.996042,6
138,2.428991,14.888889,-19.88889,-4.888889,-2.439538,3
93,1.730981,54.555557,-24.222221,-24.88889,-2.083715,4
41,0.172133,0.333333,-0.444444,-1.111111,-1.84512,5
87,1.746955,1.888889,-5.111111,-3.111111,-2.229493,3
201,5.795274,36.11111,-13.555555,-12.555555,-2.175826,6
190,3.234651,46.555557,-18.777779,-21.11111,-2.052546,6
120,1.833839,42.444443,-9.222222,-16.222221,-1.910735,4
17,0.311108,126.22222,-28.555555,-12.222222,-2.339493,2
102,0.860662,45.555557,-13.666667,-18.333334,-1.99488,4
159,1.455513,23.555555,-2.666667,-7.666666,-1.802554,4
39,0.699999,105.55556,-32.444443,-23.444445,-2.198158,2
28,0.860662,107.666664,-45.444443,-11.777778,-2.438585,2
19,1.985178,103,-37.88889,-21.88889,-2.264331,2
183,1.485735,37.333336,-8.888889,-17.555555,-1.887731,6
51,0.742867,118.888885,-33.555557,-16.555555,-2.30531,2
105,14.400001,2.444444,-7.444445,-5.111111,-2.205437,3
121,0.888194,3.111111,-6.888889,-0.888889,-2.519165,3
215,2.645052,29.444445,-17.777779,19.222221,2.561049,7
131,1.851852,0.666667,-1.888889,-2.222222,-2.051344,5
28,1.186343,107.22222,-46.22222,-12.888889,-2.425992,2
189,15.366663,28.222221,-8.777778,-11.111111,-2.022227,6
65,0.93492,50.11111,-21.88889,-22.88889,-2.077647,4
86,2.542237,4.555555,-6.111111,-6.444445,-2.054475,5
46,1.00741,99.77778,-40.88889,-23.222221,-2.270851,2
192,3.062316,48.77778,-20.222221,-24.88889,-2.024748,6
90,2.118518,1.444444,-7.555555,-5.888889,-2.16608,3
193,2.177325,52.11111,-21,-24,-2.047766,6
11,5.051852,142.55556,-19.666666,-2.666667,-2.521648,2
145,0.374074,2.222222,4.888889,-5.111111,-0.57094,1
105,1.825741,23.666666,-12.555555,-9.222222,-2.192406,5
218,1.022222,12.555555,-9,12.333333,2.361442,7
238,1.822697,17.444445,-10.777778,12.555555,2.508226,7
107,2.562963,0.555556,-4.666666,-3.666667,-2.146531,3
238,2.285184,12.444445,-3.222222,11.777778,1.844726,7
162,1.327766,29.555555,-16.333334,13.333333,2.769038,7
103,0.596285,51.77778,-20,-21.333334,-2.071134,4
185,2.277101,42.444443,-15.111111,-19.777779,-2.006186,6
177,0.562963,20.777779,-11.111111,13.555555,2.462118,7
77,6.56296,19.11111,-3.222222,-18.222221,-1.677308,1
109,0.389682,26.333334,-13.888889,-9.222222,-2.226161,5
143,0,0,0,0,0,5
99,0.355556,0.444444,-5.777778,-4.777778,-2.149743,3
251,1.605543,22.777779,2.333333,6.333334,1.28706,7
109,0.843276,95.77778,-39.11111,-20.11111,-2.297546,2
189,21.588884,27.666666,-8.777778,-11.111111,-2.020345,6
150,0,0,0,0,0,5
189,0.922222,16.444445,-7.666666,13.333333,2.194143,7
20,0.752773,120.44444,-33,-13.666667,-2.348006,2
93,1.396291,105,-25.222221,-21.88889,-2.141419,2
106,3.718517,2.111111,-8,-4.666666,-2.255541,3
106,0.596296,1.333333,-5.555555,-2.555556,-2.274071,3
135,0.074074,3,4.777778,-7.555555,-0.892179,1
183,4.196296,23.222221,-11.888889,15.111111,2.428022,7
193,3.631141,21,-8.555555,14.444445,2.222103,7
36,0.222216,131.22223,-20.222221,-12.222222,-2.247156,2
135,0.136083,0,-1.444444,-1.444444,-2.094395,5
74,0.077778,93.22222,-38.22222,-25.88889,-2.220553,2
119,0.772202,35.11111,-10.888889,-14.222222,-2.006,4
107,1.540741,11.888889,6.222222,-14.444445,-1.131973,1
188,1.781594,42.666668,-15.111111,-21.11111,-1.984565,6
77,6.029632,18.444445,-3.111111,-18.11111,-1.68954,1
98,0.772202,24.333334,-11.666667,-13.333333,-2.04294,4
110,0.211111,0.444444,-4.666666,-3.666667,-2.155984,3
122,0.699206,12.111111,-24.444445,-12.111111,-2.305989,3
187,2.431278,41.666668,-15.111111,-20.11111,-1.998547,6
60,2.874074,20.333334,-6.222222,-19.222221,-1.776113,1
148,0.136083,0,-0.111111,-0.111111,-2.094395,5
25,0.118518,123.888885,-30.666666,-12.333333,-2.354552,2
