@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
90,1.333334,13.444445,2,-1.425885,1
130,0.388889,2.888889,4.666666,-0.889024,1
117,1.611111,14.888889,2.333333,-1.420087,1
122,0.777778,3.333333,4.444445,-0.942559,1
128,0.333333,3.333333,4.111111,-1.005054,1
56,1.5,17.666668,-4.777778,-1.748835,1
67,1.555556,17.555555,-2.555556,-1.670171,1
116,0.555555,3.888889,2.777778,-1.233945,1
145,0.611111,2.222222,4.888889,-0.57094,1
57,2.111111,19.777779,-4.888889,-1.739017,1
111,0.444445,3,4,-1.041434,1
104,4,16.555555,-4.111111,-1.72879,1
60,2.166666,17.88889,-4,-1.713134,1
130,1.055556,3.333333,4.444445,-0.963048,1
62,3.388889,20.666668,-10.777778,-1.888408,1
75,2.222222,19.777779,-7.888889,-1.8356,1
110,2.666667,13.444445,2.888889,-1.345096,1
115,4.166667,16.777779,-2.111111,-1.619549,1
64,2.888888,17.88889,-5.555555,-1.756712,1
136,0.444444,3.333333,4.444445,-0.896533,1
98,1.055555,13.333333,2.555556,-1.360437,1
44,2.38889,13.666667,-4.222222,-1.753726,1
123,0.388889,3.444444,3.888889,-0.988413,1
119,2.555556,16.11111,-0.777778,-1.57896,1
108,1.388889,12.888889,4,-1.302133,1
124,0.611111,3.333333,4.333334,-0.987873,1
113,2.944444,15.333333,-0.777778,-1.585609,1
56,2.722222,22.11111,-7.555555,-1.819915,1
57,1.944445,20.222221,-8.444445,-1.837675,1
66,1.5,13.444445,-0.333333,-1.569253,1
118,0.777778,2.555556,3.666667,-1.047198,1
113,0.444444,3,4.111111,-0.989308,1
112,0.555555,3.444444,3.555556,-1.058277,1
135,0.666667,2,4.555555,-0.807848,1
117,1,3.777778,2.666667,-1.233256,1
138,0.5,2.666667,5.444445,-0.722894,1
88,2.944445,15.666667,-5.444445,-1.785147,1
138,0.444444,3,4.666666,-0.880521,1
60,2.444445,16.555555,-3.888889,-1.709389,1
128,0.666667,3,5.333334,-0.837598,1
50,1,17.444445,-4.111111,-1.741254,1
103,1.888889,13.888889,3.777778,-1.334127,1
51,1.611111,14.333333,-2.444444,-1.68129,1
133,0.5,3.888889,5,-0.924817,1
114,3.888888,12.555555,5.333334,-1.176662,1
124,0.888889,3.444444,3.666667,-1.037663,1
123,0.888889,4.555555,2.777778,-1.18068,1
42,1.388889,16.666668,-7.777778,-1.842494,1
114,0.444444,2.888889,2,-1.314533,1
149,1.055556,5.111111,-5.888889,-2.018631,1
139,0.833333,3.555556,4.333334,-0.965946,1
54,2.722222,18.444445,-5.444445,-1.760752,1
147,0.722222,3.222222,-1.111111,-1.50837,1
83,2.444445,14.333333,0.333333,-1.507007,1
77,4.444445,19.11111,-3.222222,-1.677308,1
140,0.666667,2.888889,4.666666,-0.783647,1
