@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,19-20'

@attribute Region-centroid-row numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
178,-2.040554,6
111,-0.897859,1
81,-2.438409,3
115,-2.065536,5
246,2.232849,7
249,2.743555,7
60,-1.776113,1
101,-1.520125,1
224,2.298255,7
90,-2.108813,4
120,-2.298085,3
140,-2.442323,3
81,-2.033487,2
196,-2.074616,6
87,-2.050388,4
107,-2.159464,5
28,-2.238865,2
131,-0.874641,1
19,-2.344188,2
188,-1.997746,6
87,-2.105073,4
53,-2.217488,2
216,2.447547,7
94,-2.159466,5
205,-2.038263,6
143,-2.094395,3
95,-2.445012,3
78,-2.053834,4
40,0,5
193,-1.992997,6
175,2.630157,7
107,-2.291762,3
115,-2.358386,3
94,-2.12934,5
43,-2.270653,2
181,2.420823,7
187,-1.990627,6
130,-2.137371,4
133,-2.138743,5
116,-1.163245,1
34,-2.286636,2
104,-2.113918,5
218,2.382684,7
145,-2.06232,3
181,-1.998368,6
40,-2.2949,2
49,-2.263738,2
14,-2.391113,2
115,-2.090649,3
91,-1.630409,1
59,-1.680812,1
196,-2.022599,6
219,2.0861,7
170,2.504391,7
45,-2.247816,2
128,-2.102441,4
190,-2.11269,6
115,-2.218655,5
140,-2.05389,4
16,-2.385001,2
111,-1.041434,1
62,-2.124459,4
158,-1.904651,4
120,-2.178769,3
175,-2.091209,6
93,0,5
240,2.420791,7
137,-2.200588,3
106,-1.695804,1
126,-1.118131,1
137,-2.094395,3
20,-2.133031,4
161,-2.338974,6
244,1.987902,7
188,-2.083566,6
160,-2.138726,4
98,-2.4238,3
195,-2.051671,6
147,0,5
18,-2.278452,2
100,-1.623301,1
59,-1.699326,1
91,-2.225735,3
123,-0.988413,1
70,-2.17166,2
160,-2.138726,4
130,-2.134924,4
91,-2.202425,5
118,-1.053347,1
113,-0.851202,1
136,-2.094395,5
87,-2.138617,5
83,-2.143761,5
91,-2.300486,2
77,-2.42468,2
160,2.827106,7
70,-2.589111,3
124,-1.037663,1
97,-2.269023,3
18,-2.340839,2
152,-2.000272,5
83,-2.027771,4
80,-1.942698,4
76,-2.340801,3
144,0,5
123,-2.111941,4
150,0,5
187,-1.966671,6
135,-1.880724,5
136,0,3
31,-2.310766,2
190,-2.160658,6
100,-2.289874,3
233,1.903686,7
115,-2.321865,3
75,-2.284187,3
187,-2.03348,6
143,-0.914813,1
191,-2.077651,6
215,2.437819,7
235,2.356024,7
81,-2.382261,2
21,-2.072158,4
93,-2.086083,5
30,-2.385308,2
187,-2.058211,6
119,-2.187781,5
31,-2.255012,2
34,-2.09452,4
154,-2.094395,5
79,-2.286295,3
91,-2.186723,3
135,-2.117548,3
42,-1.842494,1
149,-2.141787,4
89,-2.356793,3
124,-1.037663,1
164,2.291118,7
148,-2.04515,5
91,-2.383949,3
78,-2.066695,4
92,-2.113273,5
177,2.125416,7
127,-2.408939,3
193,-2.033804,6
66,-2.09899,2
114,-1.179347,1
73,-1.524253,1
175,2.263538,7
55,-1.771163,1
108,-1.169517,1
50,-2.325679,2
196,-2.045996,6
50,-2.37202,2
138,-2.077816,5
57,-2.215046,2
142,-2.056155,5
44,-2.384657,2
124,-1.980977,4
161,-2.198939,6
93,-2.136215,5
189,-2.050282,6
41,-2.404745,2
73,-1.996907,4
104,-2.128231,5
67,-2.076662,4
219,2.148363,7
164,2.459806,7
88,-2.132027,4
248,2.341677,7
75,-1.590164,1
67,-1.524771,1
68,-1.700324,1
133,-2.094395,3
163,2.001681,7
16,-2.302468,2
201,-2.06786,6
183,-1.981911,6
216,2.209309,7
152,0,5
61,-2.039459,5
198,-2.064888,6
87,-2.013382,4
96,-1.676921,1
82,-1.971781,4
195,-2.052705,6
156,2.84342,7
74,-1.646671,1
117,-1.353896,1
179,-1.978657,6
204,2.24441,7
87,-2.422127,3
224,1.860191,7
80,-1.962646,4
191,2.122422,7
21,-2.364884,2
117,-0.983947,1
190,2.252231,7
223,1.910945,7
229,2.557458,7
142,-2.094395,3
135,-2.094395,3
122,-2.074838,4
186,-2.046307,6
84,-1.598867,1
177,-1.940423,6
107,-2.492965,3
201,1.909255,7
80,-2.138901,5
81,-1.472378,1
89,-2.048461,4
57,-1.739017,1
141,-2.075071,5
87,-2.312874,2
112,-2.244772,5
201,-1.969456,6
203,-2.034642,6
122,-2.128423,4
16,-2.232895,2
162,-2.029312,4
115,-2.094392,4
122,-2.035377,4
145,0,5
222,2.280922,7
188,-2.016443,6
40,-2.308766,2
43,-2.247952,2
50,-2.28828,2
184,2.128646,7
84,-2.305729,3
183,-1.974959,6
