@relation segment

@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
13.333333,2.555556,9.888889,1
3.333333,4.444445,3.111111,1
16.777779,-1.888889,19.444445,1
1.777778,0.888889,5.222222,1
16.88889,-5.111111,21.88889,1
18.555555,-8.222222,27.777779,1
3.666667,-4.222222,9.777778,1
15.888889,-1.444444,16.88889,1
2.666667,5.666666,1.333333,1
16.555555,-1.666667,17.666666,1
16.444445,-1.333333,18.666666,1
15.444445,0.222222,14.222222,1
3.777778,2.666667,5.333334,1
2,4.777778,2.777778,1
3.111111,3.444444,4.111111,1
3.333333,3,4.666666,1
5.111111,-5.888889,13.111111,1
14.666667,-1.777778,17.555555,1
13.555555,0.222222,15.222222,1
15.666667,0.888889,15.555555,1
3,6,0.666667,1
16.333334,-2,17.666666,1
3.666667,4,3.666667,1
16.11111,-0.777778,17.222221,1
19.777779,-4.888889,24.444445,1
14.888889,0.777778,14.777778,1
14.111111,1.333333,13.666667,1
14.555555,-1.333333,17.666666,1
3.888889,5.111111,2.444444,1
12.444445,-0.111111,15.888889,1
17.555555,-2.555556,21.11111,1
3.333333,5.444445,2.444444,1
16.333334,-1.444444,17.555555,1
15.777778,-2.666667,18.666666,1
15.444445,-1,18,1
12.777778,2.666667,11,1
15.555555,-2.111111,17.88889,1
3.555556,-4,9.666667,1
17.444445,-4.111111,20.88889,1
13.333333,-2.555556,16.777779,1
17.333334,-2.888889,20.11111,1
3.666667,4,4.333334,1
2,0.333333,6.333334,1
3.888889,4,3.333333,1
3.555556,4.777778,2.777778,1
14.888889,-6.333334,22.666666,1
16.666668,-1.666667,18.666666,1
2.777778,4.555555,2.222222,1
20.222221,-8.444445,28.222221,1
13.444445,2,12,1
16.11111,-2.666667,19.666666,1
2.666667,3.555556,2.888889,1
20.222221,-5.555555,24.11111,1
2.222222,4.888889,0.222222,1
17.666668,-4.222222,23.444445,1
3.777778,3.555556,4.555555,1
3.777778,4.777778,3.111111,1
15.333333,-0.777778,15.555555,1
3.222222,5.222222,2.555556,1
16.555555,-3.888889,22.11111,1
15.444445,0.777778,14.777778,1
3,3.666667,3.333333,1
18,-3.555556,21.11111,1
20.444445,-8.888889,29.11111,1
3,4.777778,2.777778,1
20.11111,-12.888889,33.77778,1
17.555555,-4.333334,21,1
21.666666,-9.222222,29.444445,1
16.555555,-1.444444,19.222221,1
14.333333,-2.444444,18.222221,1
3.666667,3.333333,5,1
15.111111,-0.444444,14.888889,1
15.111111,1.888889,12.555555,1
4.222222,5.444445,1.777778,1
13.888889,1.888889,13.555555,1
3.888889,4.666666,3.666667,1
3,4.555555,3.222222,1
3.333333,4.111111,3.777778,1
3,3.111111,3.777778,1
2.888889,4.444445,2.444444,1
16.88889,-2.222222,19.777779,1
3,4.444445,2.777778,1
18.555555,-1.777778,19.88889,1
18,-0.888889,18.444445,1
3,4.666666,2.666667,1
3,3.111111,3.777778,1
3.333333,5.777778,1.777778,1
13.111111,2.777778,11.777778,1
13.333333,1.888889,11.888889,1
3.555556,5.666666,2,1
3.777778,4.666666,3,1
15.777778,-1.888889,18.11111,1
14.888889,0.444444,14.444445,1
2.555556,4.555555,2.555556,1
4.111111,4.555555,3.555556,1
20.333334,-6.222222,25.444445,1
13.444445,2.888889,10.555555,1
14.555555,2.555556,11.888889,1
3.777778,4.666666,3,1
2.666667,4.666666,2.666667,1
3,5.333334,2.666667,1
3.777778,4.666666,3,1
16.222223,-0.222222,15.777778,1
15.777778,-3,20,1
12.555555,5.333334,8.666667,1
16.11111,-4.222222,21.11111,1
16.555555,-4.111111,20.222221,1
16.666668,-7.777778,25.555555,1
13.222222,2.666667,12.666667,1
4,4.444445,3.777778,1
16.666668,-1.444444,18.88889,1
3,4.444445,2.777778,1
18.555555,-1.444444,20.222221,1
3.222222,3.555556,3.888889,1
3.555556,3.888889,4.222222,1
17.88889,-5.555555,22.777779,1
16.333334,0.888889,16.88889,1
2.888889,1.666667,5,1
16.444445,-4.111111,20.555555,1
3.555556,3,4.666666,1
3.555556,2.333333,5.666666,1
10.333334,4.777778,7.777778,1
2.888889,5.222222,2.222222,1
14.666667,-1.222222,16.777779,1
2.333334,6.333334,0.666667,1
3.111111,3.444444,4.111111,1
3.333333,4.444445,3.111111,1
13.444445,2.444444,13.111111,1
3.888889,2.777778,5.444445,1
19.444445,-7.333334,27.666666,1
10.111111,7.222222,6.555555,1
3.444444,3.555556,3.888889,1
3.222222,4.111111,3.111111,1
3.777778,4.777778,3.111111,1
20.222221,-6.777778,25.555555,1
3.666667,4.111111,3.111111,1
4.555555,2.777778,4.444445,1
3.666667,3.111111,4.777778,1
3,4.333334,3.333333,1
18,-2.222222,21.11111,1
20.333334,-6.222222,25.444445,1
17.555555,-1.666667,20,1
3.222222,5.222222,2.888889,1
13.444445,2.888889,10.555555,1
3.666667,4.333334,2.666667,1
4.666667,3.777778,4.111111,1
3.444444,3.222222,4.888889,1
3.555556,3.444444,4.444445,1
19.777779,-4.888889,24.444445,1
13.666667,1.555556,13.555555,1
18.11111,-2.333333,19.666666,1
19.11111,-3.222222,21.444445,1
3.444444,3.888889,3.222222,1
16.777779,-2.111111,17.88889,1
2.777778,5.555555,1.222222,1
17.555555,-5.333334,23,1
14,-4,18.666666,1
3.444444,1.666667,5.333334,1
17.88889,-4,21.666666,1
15.333333,-3.777778,20.555555,1
13.888889,0.444444,15.111111,1
3.777778,4.555555,2.888889,1
2.555556,5.111111,1.444444,1
19.444445,-9.222222,28.11111,1
12.555555,5.888889,8.222222,1
3.333333,5.777778,1.777778,1
3.666667,4,3.666667,1
3.222222,3.333333,4.666666,1
18.666668,-3.555556,22.11111,1
16.222223,0.666667,16.333334,1
13.111111,2.777778,11.777778,1
13.888889,3.777778,11.444445,1
3.555556,4.444445,3.444444,1
3.666667,4.777778,2.111111,1
20.11111,-8.777778,27.88889,1
3.888889,5,3.333333,1
1.888889,-0.777778,7.555555,1
16.333334,-1.444444,17.555555,1
2.666667,4.555555,2.555556,1
2.333334,4.333334,2.333333,1
1.888889,3.777778,2.777778,1
15.444445,-2.777778,19.222221,1
3.555556,4.333334,3.333333,1
14,-0.888889,15.777778,1
15.888889,-0.222222,16.444445,1
11.555555,2.444444,11.444445,1
3,5.666666,2.333333,1
