@relation segment

@attribute Region-centroid-row numeric
@attribute Short-line-density-5 numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
66,0,1.5,18.555555,24,-15.666667,-1.569253,1
101,0,1.777778,18.333334,19.88889,-13.111111,-1.21111,1
107,0.111111,3.333333,19.444445,23,-15.555555,-1.370369,1
92,0,2.166667,18.777779,23.777779,-15.444445,-1.548296,1
112,0,0.555555,7.111111,7.222222,-7.444445,-1.058277,1
60,0,2.888889,24.666666,35.22222,-19.222221,-1.776113,1
118,0,0.444445,7.555555,7.666666,-8.111111,-1.076198,1
64,0,2.388889,22,28.88889,-17.777779,-1.625668,1
89,0,3.666667,21.666666,28.444445,-16.333334,-1.625587,1
128,0,0.333333,7.333334,7.222222,-7.888889,-1.005054,1
124,0,0.888889,7.111111,7.111111,-7.333334,-1.037663,1
111,0,0.611111,7.666666,6.888889,-8.111111,-0.872666,1
98,0.111111,1.888889,21,25.88889,-15.333333,-1.528895,1
85,0,1.777778,18.88889,21.88889,-14.555555,-1.386867,1
138,0,0.5,6.777778,5.444445,-6.888889,-0.722894,1
124,0,0.611111,6.888889,5.666666,-7,-0.752669,1
123,0,0.5,7.555555,6.666666,-7.777778,-0.837598,1
130,0,0.666667,7.444445,6.666666,-7.666666,-0.871495,1
91,0.111111,2.555556,19.777779,24.555555,-14.555555,-1.55225,1
86,0.111111,1.222222,24.222221,35,-18.777779,-1.804829,1
75,0,2.222222,23.333334,34.77778,-18.555555,-1.8356,1
56,0,2.722222,26.11111,37.666668,-19.555555,-1.819915,1
95,0,0.944444,21.333334,26.666666,-15.555555,-1.567327,1
69,0,1.88889,23.444445,34.444447,-19.666666,-1.79139,1
54,0,2.722222,22.777779,32.555557,-18.444445,-1.760752,1
132,0,0.222222,7.111111,6.111111,-7.444445,-0.808383,1
118,0.222222,3.444444,21.555555,29,-15.222222,-1.707392,1
113,0,0.277778,7.222222,7.777778,-8.111111,-1.175454,1
123,0,0.388889,8,6.777778,-7.666666,-0.761648,1
108,0,1.611111,19,19.88889,-14,-1.169517,1
86,0.111111,3.555556,23.333334,30.222221,-17.777779,-1.60859,1
83,0,3.611111,19.11111,23.222221,-14.555555,-1.456819,1
88,0.111111,1.722222,21.444445,26.333334,-16.444445,-1.512555,1
111,0,1.333333,19.777779,22.222221,-14.222222,-1.333792,1
60,0,2.166666,22.444445,31,-17.666666,-1.713134,1
84,0,1.611111,23.555555,30,-17.555555,-1.598867,1
51,0,2.666667,22.666666,35.11111,-18.88889,-1.873032,1
117,0,0.555556,6.333334,7.555555,-7,-1.353896,1
94,0.222222,3.666667,20.666668,27.333334,-16.666666,-1.627145,1
67,0,1.833333,22.555555,27.88889,-17.777779,-1.524771,1
84,0,1.611111,23.555555,30,-17.555555,-1.598867,1
85,0.111111,3.944444,20.444445,28.11111,-17,-1.659879,1
116,0,1.555556,21.222221,27.555555,-16.11111,-1.632243,1
138,0,0.833333,7.333334,6.555555,-7.222222,-0.862108,1
41,0.111111,1.666667,20.777779,29.777779,-16.777779,-1.77166,1
139,0,0.833333,7.555555,7.222222,-7.666666,-0.965946,1
91,0,2.166666,22,28.777779,-17.444445,-1.630409,1
104,0,4,20.555555,28.666666,-16.11111,-1.72879,1
130,0,0.833333,8.555555,8.666667,-7.888889,-1.056659,1
86,0,1.666667,23.555555,31.333334,-18.88889,-1.650844,1
108,0,1.388889,19,21.11111,-14.333333,-1.302133,1
145,0,0.611111,5.555555,4,-5.111111,-0.57094,1
137,0,1.111111,7.777778,6.444445,-7.555555,-0.744272,1
114,0,0.833333,7,7.444445,-8,-1.151837,1
117,0,0.5,6.888889,7.444445,-7.666666,-1.179692,1
126,0,0.444445,7.444445,6.777778,-8,-0.895807,1
64,0,1.666666,17.555555,25.11111,-14.666667,-1.755505,1
102,0,1.944444,18.555555,21.88889,-13.777778,-1.447037,1
149,0,1.055556,5.555555,11.888889,-7.222222,-2.018631,1
135,0,0.888889,7.111111,6.444445,-7.555555,-0.892179,1
126,0,0.666667,8.777778,8.222222,-7.222222,-0.913675,1
134,0,0.666667,6.444445,5.222222,-6.555555,-0.730465,1
111,0,0.444445,7,7,-8,-1.041434,1
63,0,1.5,17.222223,23.666666,-14.222222,-1.683847,1
104,0,2.666666,20.88889,28.333334,-17,-1.669752,1
114,0,1,7.555555,7.444445,-7.666666,-1.0108,1
