@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,11,13-14,16,19-20'

@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
197,44.22222,43,-16.11111,-19.777779,-2.022274,6
120,44.77778,42.444443,-9.222222,-16.222221,-1.910735,4
97,46,43.555557,-5.888889,-13.222222,-1.840735,4
152,1,0.666667,-1.555556,-2.555556,-1.933239,5
89,21.666666,16.88889,-2,-16.333334,-1.625587,1
124,0.222222,1.222222,-6.888889,-3.888889,-2.267462,3
238,6.333334,13.888889,-7.777778,14.888889,2.126063,7
157,18.222221,19.222221,-14.777778,-11.777778,-2.169368,4
75,22,16.88889,-2.222222,-17.555555,-1.641882,1
15,133.88889,137.44444,-19.222221,-8.555555,-2.330563,2
125,41.666668,39.444443,-5.111111,-11.777778,-1.840579,4
108,41.77778,46.555557,-24.11111,-9.777778,-2.360491,3
61,4.666667,4.333334,-7.222222,-8.222222,-2.048717,5
163,34.555557,37.444443,-16.333334,-7.666666,-2.51749,6
154,0,0,0,0,0,5
172,38,37.77778,-13,-13.666667,-2.126558,6
13,137.11111,139.44444,-14.111111,-7.111111,-2.276767,2
125,1.555556,2.444444,-7.111111,-4.444445,-2.234241,3
193,53.666668,54,-23.222221,-22.222221,-2.109375,6
25,60.666668,61.666668,-29.333334,-26.333334,-2.13042,4
131,0,0,0,0,0,5
187,11.666667,19.222221,-6.222222,16.444445,1.941465,7
191,23.555555,22.444445,-5.222222,-8.555555,-1.858264,6
87,55.77778,56,-24.777779,-24.11111,-2.105073,4
94,16,15.888889,-12.666667,-13,-2.084893,5
151,0,0,-0.333333,-0.333333,-2.094395,5
142,1.666667,2.666667,-6.555555,-3.555556,-2.280603,3
44,17.333334,13.666667,-4.222222,-15.222222,-1.753726,1
20,98.44444,107.111115,-39.77778,-13.777778,-2.385213,2
167,11.666667,13.777778,-7.222222,-0.888889,-3.015081,7
134,1.111111,1.333333,-5.555555,-4.888889,-2.133095,5
113,6.888889,3,4.111111,-7.555555,-0.989308,1
68,24.222221,20.444445,-8.888889,-20.222221,-1.848523,1
126,7.444445,3.111111,5,-8,-0.895807,1
212,6,11.333333,-6.111111,9.888889,2.242649,7
95,21.333334,16.222223,-0.222222,-15.555555,-1.567327,1
240,10.888889,18.555555,-9.777778,13.222222,2.392487,7
101,126.44444,131.11111,-25.444445,-11.444445,-2.328735,2
114,0.111111,0.777778,-5.222222,-3.222222,-2.222661,3
177,45,42.333336,-13.333333,-21.333334,-1.942662,6
120,7.777778,3.333333,5.444445,-7.888889,-0.820403,1
223,13.222222,22.88889,-9.888889,19.11111,2.119546,7
113,7.222222,3.444444,3.222222,-8.111111,-1.175454,1
67,112.333336,117.888885,-31.666666,-15,-2.317188,2
83,74.55556,80.44444,-48.22222,-30.555555,-2.239053,2
181,13.555555,21.444445,-8.222222,15.444445,2.141428,7
56,115.888885,121.44444,-30.333334,-13.666667,-2.326783,2
58,112.55556,119,-31.333334,-12,-2.365385,2
242,19.222221,30.555555,-14.555555,19.444445,2.395778,7
140,17.88889,18.88889,-15.333333,-12.333333,-2.167262,4
131,0,0,0,0,0,5
61,4.666667,4.333334,-7.222222,-8.222222,-2.048717,5
124,35.77778,35.555557,-15.444445,-16.11111,-2.076967,4
141,6,7,-11.555555,-8.555555,-2.191662,5
106,19.555555,14.111111,1.333333,-15,-1.48458,1
29,119.22222,123.22222,-27.666666,-15.666667,-2.271128,2
107,26.88889,24.88889,-7,-13,-1.877159,4
186,45.666668,44.333332,-13.222222,-17.222221,-2.028812,6
144,0.111111,0.111111,-1,-1,-2.094395,5
123,0.111111,0.444444,-2.888889,-1.888889,-2.16921,3
117,0,0,0,0,0,3
18,114,120.888885,-34.88889,-14.222222,-2.352184,2
47,116,121.44444,-31.11111,-14.777778,-2.315792,2
26,131,133.11111,-17.666666,-11.333333,-2.230725,2
215,18.11111,30.666666,-17.11111,20.555555,2.471757,7
125,7.222222,3.444444,4.111111,-7.222222,-0.944272,1
58,20,15.444445,-2.777778,-16.444445,-1.685074,1
47,129,131.88889,-20.222221,-11.555555,-2.262555,2
125,0.444444,1,-4,-2.333333,-2.237562,3
192,51.77778,50.555557,-19,-22.666666,-2.034048,6
120,0.111111,0.333333,-4.222222,-3.555556,-2.133095,3
103,0.111111,0.666667,-6.111111,-4.444445,-2.185466,3
179,31.333334,31,-12.444445,-13.444445,-2.0752,6
92,23.11111,17.555555,-1.666667,-18.333334,-1.637777,1
115,20.555555,15.111111,1.888889,-14.444445,-1.440963,1
240,9.777778,17.333334,-7.111111,15.555555,2.043865,7
89,2.888889,2.666667,-0.666667,-1.333333,-1.890484,5
197,49.11111,47.666668,-19,-23.333334,-2.024321,6
38,113.333336,119.55556,-34.555557,-15.888889,-2.322923,2
141,0.111111,0.888889,-4.333334,-2,-2.285991,3
142,0,0,0,0,0,5
179,9.777778,16.222223,-6.111111,13.222222,2.04457,7
211,13.777778,20.666668,-7.777778,12.888889,2.239034,7
199,15.222222,23.222221,-8.222222,15.777778,2.129513,7
92,74.888885,80.66667,-46.333332,-29,-2.242802,2
165,12.888889,22.666666,-13.333333,16,2.471197,7
99,11.222222,11.444445,-12.777778,-12.111111,-2.112503,5
36,4.777778,4.777778,-8.222222,-8.222222,-2.097293,5
73,45.666668,42.11111,-1.888889,-12.555555,-1.681589,4
91,2.444444,4.222222,-11.444445,-6.111111,-2.282744,3
188,27.444445,26.555555,-9.444445,-12.111111,-2.014509,6
124,1.444444,1.666667,-4.666666,-4,-2.118937,3
128,0,0,-2.222222,-2.222222,-2.094395,3
185,44,42.444443,-15.111111,-19.777779,-2.006186,6
68,38.333336,35.11111,-0.777778,-10.444445,-1.624846,4
143,7.555555,3,5.666666,-8,-0.796918,1
115,21.333334,16.777779,-2.111111,-15.777778,-1.619549,1
88,0.666667,1.555556,-7.888889,-5.222222,-2.216544,3
162,19.555555,29.88889,-14.888889,16.11111,2.557389,7
57,59.444443,58.22222,-18.777779,-22.444445,-2.030703,4
103,17.666668,11.666667,4.555555,-13.444445,-1.219211,1
60,19.333334,14.666667,-1.777778,-15.777778,-1.650048,1
250,6.555555,13.777778,-8,13.666667,2.192935,7
195,11.666667,20.11111,-9.222222,16.11111,2.193764,7
48,127.55556,130.88889,-21.88889,-11.888889,-2.278428,2
159,25.222221,23.555555,-2.666667,-7.666666,-1.802554,4
93,10.444445,10.555555,-13.111111,-12.777778,-2.102707,5
211,16.11111,26.222221,-13.222222,17.11111,2.416354,7
58,96.333336,104.44444,-38.22222,-13.888889,-2.375207,2
124,7.444445,3.333333,4.222222,-8.111111,-1.02473,1
207,50.444443,49.88889,-19.11111,-20.777779,-2.062724,6
246,9.555555,8.555555,0.444444,-2.555556,-1.190561,7
152,1,0.666667,-1.555556,-2.555556,-1.933239,5
184,28.777779,28.333334,-8.777778,-10.111111,-2.215464,6
232,6.555555,12.666667,-6.777778,11.555555,2.201318,7
111,6.888889,3,4.444445,-7.222222,-0.897859,1
133,41.555557,41.88889,-21.333334,-20.333334,-2.111789,4
90,4.777778,6.555555,-12.666667,-7.333334,-2.266389,3
58,76.888885,82.66667,-47.444443,-30.11111,-2.239301,2
81,77.22222,80.888885,-44.88889,-33.88889,-2.187399,2
61,20.333334,16.11111,-4.222222,-16.88889,-1.737293,1
68,17.666668,12.444445,-0.111111,-15.777778,-1.563972,1
26,98.333336,107.44444,-41.666668,-14.333333,-2.38614,2
180,9.666667,18.777779,-12.555555,14.777778,2.487917,7
143,0.888889,2.222222,-9.888889,-5.888889,-2.257412,3
141,7.888889,11.555555,-14.333333,-3.333333,-2.451571,3
123,0,0.333333,-4.555555,-3.555556,-2.164094,3
133,7.777778,3.666667,4,-8.333333,-1.077659,1
126,16.11111,16.88889,-13.333333,-11,-2.158805,4
114,11.444445,12.111111,-14.222222,-12.222222,-2.141659,5
185,40.666668,39.22222,-12.888889,-17.222221,-2.004988,6
64,21.777779,17.88889,-5.555555,-17.222221,-1.756712,1
72,115.333336,120.77778,-30.666666,-14.333333,-2.32084,2
188,45.444443,43.77778,-14.888889,-19.88889,-1.995072,6
237,11.111111,18.333334,-9.111111,12.555555,2.37843,7
75,35.77778,35.11111,-11.777778,-13.777778,-2.036435,4
101,39,39,-18.11111,-18.11111,-2.094303,4
130,0.666667,0,-1.555556,-3.555556,-1.861154,5
185,11.555555,17.555555,-4.222222,13.777778,1.83885,7
48,112.22222,116.77778,-30.444445,-16.777779,-2.278604,2
111,19.777779,15.111111,-0.444444,-14.444445,-1.58144,1
38,100.44444,108.55556,-39.11111,-14.777778,-2.370002,2
138,7,3,4.666666,-7.333334,-0.880521,1
101,19.666668,13.888889,1.888889,-15.444445,-1.457591,1
124,35.88889,33.666668,-8.111111,-14.777778,-1.907502,4
126,4.888889,8.444445,-15.888889,-5.222222,-2.449839,3
191,52.88889,51.555557,-20.555555,-24.555555,-2.03548,6
83,45.666668,44,-11.333333,-16.333334,-1.973615,4
185,45.444443,43.88889,-14.333333,-19,-2.007175,6
235,12,18.222221,-9.222222,9.444445,2.586018,7
203,7.444445,15.444445,-7,17,1.984785,7
118,7.555555,3.555556,3.888889,-8.111111,-1.076198,1
156,16.777779,17,-12.666667,-12,-2.109365,4
83,19.777779,21.555555,-10.555555,-5.222222,-2.321343,3
82,11.888889,12.111111,-10,-9.333333,-2.102722,5
45,111.111115,116.111115,-31.222221,-16.222221,-2.292668,2
131,0,0,0,0,0,5
171,41,40,-14.333333,-17.333334,-2.032929,6
112,52.22222,51.88889,-20.777779,-21.777779,-2.078463,4
13,134.88889,140,-20.11111,-4.777778,-2.449265,2
55,90,95.111115,-39.22222,-23.88889,-2.251012,2
102,1,2.666667,-9.111111,-4.111111,-2.316112,3
15,90.888885,97.55556,-46.88889,-26.88889,-2.266452,2
62,5,4.777778,-7.888889,-8.555555,-2.066953,5
143,6.777778,2.777778,4,-8,-1.048222,1
188,27.333334,26.555555,-9.888889,-12.222222,-2.03822,6
174,49.444443,48.22222,-20.222221,-23.88889,-2.037351,6
100,51.555557,50.22222,-16.777779,-20.777779,-2.024061,4
124,0,0,-2,-2,-2.094395,3
249,12.222222,14.777778,-3.444444,4.222222,2.563437,7
90,2.555556,5.111111,-7.333334,0.333333,-2.639389,3
186,43.77778,41.666668,-14,-20.333334,-1.973056,6
136,2.888889,3.111111,-5.888889,-5.222222,-2.123905,4
245,11.111111,18.444445,-9.333333,12.666667,2.395431,7
183,49.22222,47.22222,-16.555555,-22.555555,-1.991701,6
62,20.777779,15.666667,-1.333333,-16.666666,-1.620398,1
201,14.666667,25.11111,-13.444445,17.88889,2.389747,7
130,1,1,-2.222222,-2.222222,-2.094395,5
71,72.77778,79.111115,-49.11111,-30.11111,-2.249475,2
183,49.666668,47.88889,-18.222221,-23.555555,-2.005196,6
126,6.444445,2.555556,4.555555,-7.111111,-0.877707,1
109,1.444444,3,-8.555555,-3.888889,-2.283787,3
105,45.666668,44,-13.555555,-18.555555,-1.991964,4
112,19.444445,19.333334,-12.777778,-13.111111,-2.085248,5
191,44.666668,43.11111,-13.555555,-18.222221,-1.998993,6
134,1,0.666667,-3.333333,-4.333334,-2.013143,5
197,56.22222,55.666668,-21,-22.666666,-2.06802,6
147,20.555555,22.444445,-20,-14.333333,-2.204575,4
115,10.666667,11.333333,-12.222222,-10.222222,-2.151625,5
132,29.555555,30.444445,-17,-14.333333,-2.146969,4
240,17,28.555555,-12.444445,22.222221,2.175522,7
63,96.22222,104.44444,-38.11111,-13.444445,-2.382438,2
80,36.333336,34.555557,-10.111111,-15.444445,-1.962646,4
176,53.333332,51.88889,-20.88889,-25.222221,-2.030648,6
102,0.555556,1.888889,-8.444445,-4.444445,-2.275159,3
166,12.333333,22.222221,-13.888889,15.777778,2.515826,7
142,0.111111,0.222222,-1.333333,-1,-2.159563,3
108,11.333333,11.666667,-9.555555,-8.555555,-2.127161,5
102,37,36.88889,-17.333334,-17.666666,-2.088579,4
88,3.555556,6.444445,-12.666667,-4,-2.394493,3
223,12.666667,20,-6.222222,15.777778,1.966536,7
137,7.777778,3.333333,5.777778,-7.555555,-0.744272,1
190,44.22222,42.444443,-14,-19.333334,-1.986307,6
78,70.77778,76.77778,-26.666666,-8.666667,-2.411645,3
55,101,107.77778,-38,-17.666666,-2.319697,2
129,54.22222,55,-24.555555,-22.222221,-2.126989,4
49,117,122.111115,-31.222221,-15.888889,-2.297839,2
68,49.22222,48.666668,-21.222221,-22.88889,-2.069541,4
144,0,0,-3.444444,-3.444444,-2.094395,3
176,46,44,-14.333333,-20.333334,-1.98088,6
101,5.777778,9.222222,-13.222222,-2.888889,-2.44804,3
40,114,119.77778,-33.333332,-16,-2.313685,2
192,52.555557,51.333332,-21,-24.666666,-2.038177,6
134,41.88889,41.77778,-21.11111,-21.444445,-2.086914,4
149,0,0,-0.111111,-0.111111,-2.094395,5
18,97.22222,108.666664,-44.666668,-10.333333,-2.45498,2
79,10.555555,11.444445,-10.888889,-8.222222,-2.175843,5
136,0.111111,0.222222,-3,-2.666667,-2.110974,3
185,52.22222,51.77778,-20.777779,-22.11111,-2.073869,6
85,14.555555,15.333333,-13.111111,-10.777778,-2.160912,5
89,27.333334,26.777779,-13.111111,-14.777778,-2.046542,4
185,14.666667,24.222221,-12,16.666666,2.361827,7
90,11.888889,12.333333,-14.333333,-13,-2.125976,5
136,8.333334,4.111111,4.555555,-8.111111,-0.963931,1
237,17.555555,29.444445,-14,21.666666,2.280289,7
139,3.222222,2.888889,-6,-7,-2.04457,5
189,54.77778,53.88889,-21.88889,-24.555555,-2.054084,6
137,0,0,-0.777778,-0.777778,-2.094395,3
141,0,0,-0.555556,-0.555556,-2.094395,5
174,50.444443,49.88889,-22.222221,-23.88889,-2.069045,6
72,51.333332,51.22222,-23,-23.333334,-2.090221,4
