@relation segment

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Vedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
18,145,0.388889,5.555555,2.222222,0.600529,-0.57094,1
122,106,1.611111,22,17.222223,0.423346,-1.695804,1
42,56,1.055555,21.11111,16.88889,0.440708,-1.759414,1
151,114,0.611111,7.555555,3.666667,0.537919,-1.0108,1
2,89,1.222222,18.777779,14.222222,0.402507,-1.544214,1
14,117,0.333333,6.333334,3.444444,0.543651,-1.353896,1
34,137,0.5,7.777778,3.333333,0.573633,-0.744272,1
147,69,2.055556,23.444445,19.11111,0.44486,-1.79139,1
178,122,0.555555,7.333334,3.333333,0.549603,-0.942559,1
95,57,1.833333,24.666666,19.777779,0.425691,-1.739017,1
78,69,1.5,22,18.444445,0.431547,-1.811203,1
89,107,1.444444,19.88889,13.888889,0.394656,-1.357871,1
146,124,0.5,7.444445,3.333333,0.563492,-1.02473,1
98,119,1.444445,21.333334,16.11111,0.408211,-1.57896,1
127,118,1.722222,21.555555,17.666668,0.390398,-1.707392,1
7,34,2,18.222221,14.888889,0.466345,-1.823148,1
115,130,0.555555,8.555555,4.666667,0.481594,-1.056659,1
120,108,0.611111,21,16.555555,0.412134,-1.683529,1
90,101,0.888889,20.333334,14.888889,0.404038,-1.520125,1
240,145,0.388889,5.333334,1.888889,0.655556,-0.959485,1
57,117,0.444445,7.666666,3.888889,0.510362,-0.983947,1
65,54,1.777778,22.777779,18.444445,0.432167,-1.760752,1
23,142,0.388889,6.555555,2.777778,0.574735,-0.829712,1
77,78,2.222223,24,18.555555,0.401965,-1.610448,1
18,145,0.388889,5.555555,2.222222,0.600529,-0.57094,1
31,62,1.833334,20.555555,15.777778,0.419469,-1.650123,1
140,125,0.277778,7.333334,3.555556,0.545635,-1.121818,1
231,123,0.666667,7.111111,3.444444,0.531746,-0.988413,1
11,108,1.333333,19,12.888889,0.388756,-1.302133,1
149,92,1.222222,23.11111,17.555555,0.420973,-1.637777,1
196,134,0.555556,7.444445,3.666667,0.529982,-0.966318,1
97,77,1.222222,24.11111,19.11111,0.407623,-1.677308,1
136,77,1.888889,24.555555,20.222221,0.413217,-1.768872,1
101,72,2.5,23.555555,20.11111,0.436895,-1.846158,1
34,115,0.5,7.333334,3.666667,0.541887,-1.175454,1
21,53,0.888889,20.88889,16.333334,0.404138,-1.662177,1
39,111,0.722222,7,3.444444,0.562919,-1.175773,1
89,68,4.055556,17.666668,12.444445,0.462002,-1.563972,1
23,55,2.222222,21.666666,17.555555,0.43507,-1.771163,1
16,117,0.277778,6.888889,3.333333,0.553571,-1.179692,1
145,102,0.888889,22.11111,17.333334,0.417763,-1.68544,1
146,140,1.055556,7.888889,3.777778,0.537017,-0.909267,1
55,128,0.333333,6.888889,2.777778,0.593915,-0.688601,1
75,75,2.833334,23.333334,19.777779,0.429663,-1.8356,1
42,63,1.5,20.333334,17.11111,0.422651,-1.813886,1
100,111,1.611111,19.777779,15.111111,0.391701,-1.58144,1
2,98,2,18.333334,13.333333,0.356724,-1.360437,1
26,91,2,19.777779,14.888889,0.394157,-1.55225,1
29,81,2.611111,20.11111,15.222222,0.412662,-1.566335,1
154,120,0.444444,7.777778,3.333333,0.569444,-0.820403,1
38,41,1.777778,20.777779,16.88889,0.432047,-1.77166,1
69,75,2.111111,22,16.88889,0.423501,-1.641882,1
147,111,0.388889,7,3,0.59127,-1.041434,1
2,44,2.166667,17.333334,13.666667,0.457681,-1.753726,1
40,85,1.111111,20.777779,15.444445,0.428735,-1.603957,1
228,143,0.5,6.666666,3,0.556437,-0.914813,1
76,135,0.444445,6.888889,2.666667,0.613757,-0.692028,1
82,109,0.722223,19.222221,13.111111,0.376024,-1.276562,1
81,98,1.222223,21,15.777778,0.389147,-1.528895,1
30,102,1.222222,20.333334,15.444445,0.381059,-1.555097,1
2,44,2.166667,17.333334,13.666667,0.457681,-1.753726,1
29,111,0.388889,6.888889,3,0.564153,-0.897859,1
155,140,0.444444,6.555555,2.888889,0.564153,-0.783647,1
97,126,1.055556,7.666666,3.777778,0.551587,-1.118131,1
7,114,1.166667,16.11111,10.333334,0.408644,-1.179347,1
151,143,0.388889,7.555555,3,0.60119,-0.796918,1
4,40,1.333334,15.666667,12.555555,0.46306,-1.783602,1
186,130,0.5,6.888889,2.888889,0.587963,-0.889024,1
13,142,0.388889,6.222222,2.333334,0.630159,-0.776334,1
35,96,2.111111,20.777779,16.666668,0.399499,-1.676921,1
201,135,0.555555,7.111111,3,0.599427,-0.892179,1
69,85,3.111111,20.444445,15.777778,0.437404,-1.659879,1
84,51,1.777778,22.666666,19.444445,0.446118,-1.873032,1
140,125,0.277778,7.333334,3.555556,0.545635,-1.121818,1
144,118,0.555556,7.555555,3.666667,0.56433,-1.134543,1
109,126,0.833333,8.777778,4.888889,0.450309,-0.913675,1
141,68,1.444444,24.222221,20.444445,0.445652,-1.848523,1
31,106,1.611111,19.555555,14.111111,0.403224,-1.48458,1
97,130,0.722222,7.333334,3.333333,0.570106,-0.963048,1
