@relation segment

@attribute Region-centroid-row numeric
@attribute Rawblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
67,27.88889,-1.524771,1
129,7.555555,-0.843904,1
149,11.888889,-2.018631,1
84,30,-1.598867,1
140,7.333334,-0.909267,1
140,6.888889,-0.91962,1
92,30.333334,-1.637777,1
57,36.22222,-1.837675,1
118,6.666666,-0.960827,1
118,29,-1.707392,1
60,24.777779,-1.623392,1
128,6.666666,-0.985811,1
143,6.444445,-0.796918,1
129,7.333334,-0.932783,1
102,21.88889,-1.447037,1
118,7.666666,-1.076198,1
122,6.888889,-0.942559,1
116,27.555555,-1.632243,1
100,25.555555,-1.519702,1
113,7.777778,-1.175454,1
111,7,-1.065066,1
124,7.222222,-0.987873,1
101,25,-1.520125,1
135,4.777778,-0.807848,1
145,4,-0.57094,1
79,21,-1.453114,1
110,6.333334,-1.539762,1
81,28.777779,-1.606794,1
68,28.444445,-1.700324,1
116,20,-1.162844,1
63,27.777779,-1.72683,1
62,27.222221,-1.650123,1
116,7,-1.099624,1
63,29.666666,-1.813886,1
92,23.777779,-1.548296,1
113,6.666666,-0.942558,1
89,28.444445,-1.625587,1
133,7.777778,-0.924817,1
143,6.222222,-0.914813,1
111,6.333334,-0.897859,1
90,32.22222,-1.705942,1
89,30.444445,-1.664008,1
62,37.666668,-1.888408,1
141,6.222222,-0.843732,1
85,21.88889,-1.386867,1
142,5.222222,-0.675123,1
86,31.333334,-1.650844,1
42,31.11111,-1.842494,1
107,22.88889,-1.357871,1
128,5.444445,-0.688601,1
50,30,-1.741254,1
113,25.444445,-1.585609,1
55,31.11111,-1.771163,1
130,8.666667,-1.056659,1
61,24.222221,-1.591206,1
134,6.666666,-0.806042,1
77,34.444447,-1.768872,1
145,4,-0.57094,1
111,24.88889,-1.58144,1
118,7,-0.87829,1
131,6.666666,-0.804846,1
71,29.666666,-1.66796,1
51,35.11111,-1.873032,1
123,6.888889,-0.988413,1
72,35.444447,-1.807866,1
147,11,-1.783388,1
80,31.555555,-1.620451,1
69,32.555557,-1.811203,1
111,7,-1.041434,1
126,8,-1.118131,1
60,25.777779,-1.650048,1
107,20.666668,-1.312499,1
60,31,-1.713134,1
103,22.777779,-1.334127,1
108,21.11111,-1.302133,1
108,21.11111,-1.302133,1
84,30,-1.598867,1
56,30.222221,-1.759414,1
73,24.11111,-1.524253,1
67,25.88889,-1.623202,1
101,26.777779,-1.558599,1
116,8.222222,-1.19107,1
104,28.666666,-1.72879,1
124,5.666666,-0.752669,1
96,27.333334,-1.530686,1
85,21.88889,-1.386867,1
130,6.222222,-0.889024,1
91,28.777779,-1.630409,1
113,16.88889,-0.9757,1
74,30.555555,-1.66658,1
114,20.11111,-1.176662,1
102,29.777779,-1.68544,1
128,6.666666,-0.985811,1
34,27.88889,-1.823148,1
85,27.11111,-1.603957,1
124,7.444445,-1.011484,1
138,6.333334,-0.880521,1
81,24.666666,-1.472378,1
74,26.88889,-1.554234,1
113,25.444445,-1.585609,1
113,6.333334,-0.851202,1
100,28.444445,-1.623301,1
66,38.22222,-1.844993,1
116,8.444445,-1.233945,1
115,24.11111,-1.440963,1
124,8.777778,-1.157082,1
146,6.777778,-1.258358,1
88,28.444445,-1.653787,1
147,9.222222,-1.50837,1
108,19.88889,-1.169517,1
66,29.88889,-1.733544,1
107,23,-1.370369,1
54,32.555557,-1.760752,1
118,6.666666,-1.053347,1
139,7.222222,-0.965946,1
118,27.333334,-1.620749,1
124,7.111111,-1.037663,1
95,26.666666,-1.567327,1
111,5.555555,-1.43724,1
89,23.88889,-1.544214,1
121,7.444445,-0.914324,1
109,20,-1.131204,1
68,23,-1.563972,1
40,23.333334,-1.783602,1
75,34.77778,-1.8356,1
65,26.777779,-1.665853,1
130,6.666666,-0.871495,1
129,7.333334,-0.932783,1
138,5.444445,-0.722894,1
138,6.555555,-0.862108,1
69,34.444447,-1.79139,1
131,6.111111,-0.850783,1
89,27.777779,-1.611365,1
90,29.11111,-1.622331,1
119,27.333334,-1.57896,1
63,23.666666,-1.683847,1
118,6.222222,-1.047198,1
126,8.222222,-0.913675,1
147,6.666666,-1.475643,1
140,5.555555,-0.783647,1
56,25.444445,-1.622211,1
113,6.666666,-0.989308,1
59,34.333336,-1.836328,1
98,25.88889,-1.528895,1
143,6.777778,-1.048222,1
111,7,-1.181388,1
59,28.777779,-1.680812,1
55,31.11111,-1.771163,1
104,28.333334,-1.669752,1
