@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exblue-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
88,2.944445,15.666667,20.222221,0.424904,1
88,2.888889,16.666668,18.88889,0.413308,1
89,3.666667,16.88889,18.333334,0.403687,1
149,0.722222,3.555556,9.666667,0.578339,1
135,0.888889,3,2.777778,0.599427,1
72,1.777778,20.11111,27.88889,0.436895,1
121,0.611111,3.777778,3.111111,0.528219,1
64,2.888888,17.88889,22.777779,0.424819,1
124,1,4.222222,5.111111,0.531173,1
60,1.055555,14.333333,16.333334,0.419248,1
123,0.444444,2.333334,2.333333,0.61164,1
122,0.5,3.444444,4,0.551808,1
64,2.388889,16.555555,19.222221,0.426923,1
146,0.666667,2.888889,5,0.571429,1
102,2.611111,17.333334,20.11111,0.417763,1
67,1.555556,17.555555,21.11111,0.429897,1
77,4.444445,19.11111,21.444445,0.407623,1
91,2.555556,14.888889,14.444445,0.394157,1
90,1.333334,13.444445,12,0.38846,1
138,0.833333,3.333333,2.444444,0.543871,1
102,1.333333,15.444445,14.222222,0.381059,1
123,0.888889,4.555555,4.444445,0.475,1
141,0.777778,3,2.444444,0.574074,1
122,0.777778,3.333333,3.111111,0.549603,1
134,0.777778,3.666667,3.111111,0.529982,1
81,2.722222,15.222222,16.88889,0.412662,1
94,3.666667,15.666667,18.333334,0.427811,1
63,1.944444,17.11111,21.88889,0.422651,1
116,0.888889,16.88889,18,0.398448,1
116,1.555556,16.333334,17.555555,0.407364,1
124,0.388889,3.333333,3.888889,0.563492,1
125,0.666667,3.444444,3.111111,0.529762,1
122,0.555556,3.222222,3.111111,0.551587,1
110,2.666667,13.444445,10.555555,0.368848,1
92,1.777778,17.11111,20.666666,0.422223,1
131,0.333333,3,0.666667,0.581349,1
142,1.277778,2.333334,1.888889,0.630159,1
120,3.222222,18.444445,20.333334,0.394863,1
147,0.722222,2.222222,8.555555,0.698445,1
113,0.277778,3.444444,4.888889,0.563492,1
75,2.222222,19.777779,26.444445,0.429663,1
142,1.5,2.333334,0.666667,0.662037,1
111,0.611111,3,2.777778,0.564153,1
114,0.833333,3.222222,4.666666,0.56746,1
45,3.277778,16.444445,20.555555,0.428167,1
145,0.722222,3,3.777778,0.564153,1
124,0.666667,3.555556,3.444444,0.550044,1
129,0.666667,3.777778,3,0.540123,1
116,1.166667,3.555556,4.666666,0.544733,1
95,0.944444,16.222223,15.777778,0.390436,1
77,3.055556,20.222221,24.11111,0.413217,1
118,0.666667,3.666667,5,0.56433,1
117,0.5,3.333333,4.666666,0.553571,1
123,0.666667,4,3.777778,0.524471,1
64,1.388889,17.666668,23.444445,0.446354,1
132,0.944444,3.555556,1.444444,0.529982,1
124,0.611111,2.777778,1.666667,0.595899,1
44,2.38889,13.666667,19.444445,0.457681,1
71,2.833333,16.777779,20.666666,0.43357,1
85,3.944444,15.777778,20,0.437404,1
61,0.833333,17.88889,20.777779,0.415751,1
56,1.333334,14.666667,16.777779,0.422689,1
