@relation segment

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Hedge-mean numeric
@attribute Intensity-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
67,9,2.444445,20,-16.333334,-1.623202,1
126,9,0.666667,7.296296,-7.222222,-0.913675,1
111,9,0.611111,5.925926,-8.111111,-0.872666,1
55,9,1.777777,23.444445,-17.666666,-1.771163,1
141,9,0.777778,5.407407,-7.222222,-0.843732,1
124,9,0.444444,5.111111,-7.333334,-0.877707,1
54,9,2.722222,24.592592,-18.444445,-1.760752,1
79,9,2.111111,16.814816,-14.111111,-1.453114,1
69,9,1.611111,24.333334,-17.666666,-1.811203,1
74,9,1.388889,21.148148,-16.777779,-1.554234,1
56,9,1.333333,22.74074,-17.555555,-1.759414,1
118,9,0.777778,5,-7.333334,-1.047198,1
86,9,1.222222,26.481482,-18.777779,-1.804829,1
70,9,1.722222,26.037037,-19.11111,-1.74518,1
118,9,1.055556,5.62963,-7.222222,-0.960827,1
111,9,0.5,5.444445,-7.666666,-1.181388,1
92,9,2.166667,18.703703,-15.444445,-1.548296,1
103,9,1.833333,21.851852,-16.555555,-1.634396,1
107,9,3.333333,18.62963,-15.555555,-1.370369,1
114,9,0.666667,5.259259,-6.444445,-0.91061,1
116,9,0.444445,6.481482,-8.444445,-1.19107,1
102,9,1.944444,17.925926,-13.777778,-1.447037,1
142,9,1.722222,4.814815,-7.111111,-0.675123,1
111,9,2.555555,3.814815,-6.111111,-1.43724,1
116,9,0.333333,5.62963,-7.555555,-1.099624,1
71,9,4.5,22.333334,-17,-1.636863,1
130,9,1.055556,5.851852,-7.555555,-0.963048,1
135,9,0.888889,5.518518,-7.555555,-0.892179,1
136,9,1,6.259259,-7.444445,-0.924607,1
117,9,1,21.222221,-15,-1.574477,1
117,9,0.5,5.888889,-7.666666,-1.179692,1
62,9,1.833333,21.185184,-16.222221,-1.650123,1
57,9,2.111111,26.296297,-19.555555,-1.739017,1
40,9,1.111112,17.185184,-13.888889,-1.783602,1
118,9,2.277778,21.11111,-16,-1.620749,1
83,9,2.444445,19.444445,-15.333333,-1.507007,1
57,9,2.111111,26.296297,-19.555555,-1.739017,1
59,9,2.055555,23.851852,-17.555555,-1.699326,1
108,9,0.944444,21.925926,-16.11111,-1.683529,1
131,9,1.333333,5.333334,-7,-0.850783,1
147,9,0.722222,4.592593,-7.111111,-1.561754,1
55,9,1.777777,23.444445,-17.666666,-1.771163,1
142,9,1.5,4.666666,-7,-0.604864,1
110,9,2.666667,17.925926,-13.444445,-1.345096,1
73,9,1.611112,20.62963,-15.888889,-1.675465,1
116,9,1.555556,21.703703,-16.11111,-1.632243,1
60,9,2.166666,23.777779,-17.666666,-1.713134,1
128,9,0.666667,5.555555,-7.333334,-0.985811,1
85,9,1.777778,17.962963,-14.555555,-1.386867,1
124,9,0.888889,5.888889,-7.333334,-1.037663,1
136,9,0.444444,5.62963,-6.888889,-0.896533,1
87,9,2.722222,17.333334,-13.666667,-1.318373,1
137,9,1.111111,5.851852,-7.555555,-0.744272,1
41,9,1.666667,22.481482,-16.777779,-1.77166,1
140,9,1,6.333334,-7.666666,-0.909267,1
103,9,1.888889,18.962963,-15.222222,-1.334127,1
107,9,1.888889,18.88889,-15,-1.357871,1
81,9,1.333333,22.703703,-17.11111,-1.606794,1
88,9,2.888889,22.148148,-16.444445,-1.653787,1
86,9,1.722222,18.592592,-14.777778,-1.541502,1
124,9,0.611111,5.111111,-7,-0.752669,1
124,9,0.388889,6.037037,-8.111111,-1.02473,1
75,9,0.722222,21.333334,-16.666666,-1.590164,1
66,9,1.5,18.666666,-15.666667,-1.569253,1
80,9,2.5,26,-19.333334,-1.773594,1
80,9,3,24.814816,-18.777779,-1.620451,1
143,9,0.666667,4.518518,-7.555555,-0.87829,1
60,9,1.055555,19.333334,-15,-1.623392,1
145,9,0.5,4.074074,-6.555555,-0.959485,1
44,9,2.38889,18.74074,-15.222222,-1.753726,1
45,9,3.277778,21.925926,-16.444445,-1.73537,1
72,9,1.666666,26.222221,-20.333334,-1.807866,1
113,9,2.944444,20.25926,-14.777778,-1.585609,1
134,9,0.666667,4.740741,-6.555555,-0.730465,1
114,9,1,6.222222,-7.666666,-1.0108,1
91,9,2.166666,22.481482,-17.444445,-1.630409,1
136,9,1,6.259259,-7.444445,-0.924607,1
83,9,3.611111,18.74074,-14.555555,-1.456819,1
90,9,1.333334,18.11111,-14,-1.425885,1
124,9,0.833333,6.222222,-7.666666,-1.011484,1
67,9,2.111111,27.148148,-20.11111,-1.768356,1
115,9,2.222223,16.555555,-13,-1.54801,1
117,9,1,6.444445,-8,-1.233256,1
95,9,0.944444,21.407408,-15.555555,-1.567327,1
124,9,0.611111,6,-8,-0.987873,1
131,9,0.333333,5.222222,-6.666666,-0.621222,1
86,9,3.555556,23.814816,-17.777779,-1.60859,1
109,9,1.944444,17.25926,-14.111111,-1.131204,1
123,9,0.666667,6.740741,-8.222222,-0.985729,1
116,9,0.444445,6.481482,-8.444445,-1.19107,1
108,9,1.388889,17.666666,-14.333333,-1.302133,1
111,9,0.444445,5.666666,-8,-1.041434,1
65,9,2.333334,20.814816,-15.777778,-1.665853,1
119,9,2.555556,21.592592,-16.444445,-1.57896,1
101,9,1.722222,20.074074,-15.555555,-1.520125,1
123,9,0.888889,6.962963,-7.222222,-1.18068,1
129,9,0.888889,6.666666,-8,-0.843904,1
131,9,0.777778,5.185185,-6.888889,-0.874641,1
138,9,0.833333,5.740741,-7.222222,-0.862108,1
118,9,0.555556,5.481482,-6.777778,-1.053347,1
135,9,0.833333,5,-7,-0.692028,1
88,9,1.722222,21.148148,-16.444445,-1.512555,1
147,9,0.5,4.148148,-6.777778,-1.475643,1
147,9,0.777778,6.777778,-8.666667,-1.783388,1
93,9,2.111111,20.37037,-14.777778,-1.730306,1
63,9,1.944444,22.37037,-15.777778,-1.813886,1
75,9,2.222222,25.962963,-18.555555,-1.8356,1
