@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,12,19-20'

@attribute Region-centroid-row numeric
@attribute Rawblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
173,52.88889,-1.998857,6
51,25.666666,-1.68129,1
115,29.444445,-2.14867,5
64,25.11111,-1.755505,1
130,3.333333,-2.239029,3
64,38,-2.593825,3
123,8,-0.985729,1
96,7.777778,-2.244482,3
184,54.444443,-1.930196,6
120,47.77778,-2.046753,4
153,3.888889,-2.221716,5
144,1,-1.90427,5
139,1.333333,-2.094395,3
83,24.444445,-1.507007,1
57,140.44444,-2.362514,2
109,21,-1.276562,1
51,140.22223,-2.306687,2
78,51.88889,-1.886072,4
195,76.66667,-2.037116,6
189,72.44444,-2.101326,6
191,79.55556,-2.062286,6
235,8,2.310758,7
47,128.77779,-2.271072,2
13,88.111115,-2.154989,4
242,10.777778,2.386597,7
68,68.22222,-1.984308,4
117,8.222222,-1.233256,1
83,26.88889,-2.178321,5
133,0,0,3
45,28.777779,-1.73537,1
129,1.555556,-2.094395,3
27,146.55556,-2.264532,2
188,76,-2.079095,6
92,30,-1.653926,1
79,49.666668,-1.984583,4
192,59.22222,-2.020234,6
238,10.666667,2.046683,7
63,10.555555,-2.04457,5
137,2.222222,-2.123254,3
134,1.555556,-2.094395,5
134,3.111111,-2.094395,5
161,51.11111,-2.316506,6
187,72.55556,-2.013524,6
99,118,-2.207756,2
234,4.444445,2.193568,7
13,128.44444,-2.28708,2
184,11,1.937892,7
34,21,-2.162383,5
66,118.77778,-2.235701,2
116,4.888889,-2.018925,5
79,53.88889,-1.918888,4
90,22.11111,-1.425885,1
187,68,-2.009615,6
103,45.22222,-2.102607,4
104,26.11111,-2.150638,5
24,61.22222,-2.186797,4
119,4.222222,-2.11372,3
190,41.11111,-2.020042,6
133,9,-2.048,5
116,37.11111,-2.177507,5
67,35.88889,-1.768356,1
208,14.444445,2.310932,7
220,6.444445,2.09315,7
34,21,-2.162383,5
176,11.777778,2.340618,7
196,58.555557,-2.074616,6
128,25.88889,-2.3163,3
73,26.777779,-1.675465,1
194,76.22222,-2.042718,6
17,87.333336,-2.075161,4
154,28.555555,-2.142529,4
62,0,0,5
12,143.11111,-2.402917,2
123,3.666667,-2.16176,3
24,137.77779,-2.307914,2
194,60.333332,-2.071876,6
175,13.555555,2.242196,7
137,6.444445,-0.744272,1
88,10.111111,-2.396657,3
50,80.333336,-2.107785,4
121,68.66667,-2.126943,4
187,74.111115,-2.03348,6
219,13.555555,2.358696,7
29,126.333336,-2.257217,2
121,40.555557,-2.024268,4
50,125.77778,-2.337296,2
142,5.777778,-0.829712,1
96,8,-2.268209,3
81,18.88889,-2.388561,3
135,2.333334,-2.094395,5
90,6.888889,-2.164323,3
156,15.555555,2.363581,7
12,11.333333,-2.057978,5
196,75.66667,-2.048736,6
184,17.11111,2.524273,7
73,10.666667,-2.355641,3
162,53.666668,-2.391681,6
122,7.333334,-1.05144,1
25,142.22223,-2.36518,2
190,70,-2.112087,6
125,7.666666,-1.121818,1
194,15.333333,2.126516,7
15,132,-2.389025,2
60,30,-1.709389,1
115,22.88889,-2.45904,3
121,23.444445,-2.235355,3
139,22.555555,-1.702833,3
108,48.22222,-2.080474,4
108,28.222221,-1.683529,1
106,1.666667,-2.094395,3
112,36.22222,-2.200156,5
141,0,0,5
51,140.77779,-2.330465,2
204,17.11111,2.348728,7
189,33,-2.101002,6
236,12.444445,2.32063,7
247,12.444445,2.55309,7
58,138.77779,-2.349269,2
34,142,-2.357272,2
92,23.333334,-1.408242,1
70,77,-2.070832,4
81,116.44444,-2.18233,2
83,17,-2.150257,5
97,5.555555,-2.191382,3
192,58.11111,-2.016578,6
67,75.888885,-2.109804,4
86,35,-1.804829,1
71,138.33334,-2.301203,2
147,8.444445,-1.584341,4
140,7.333334,-0.909267,1
198,74,-2.050575,6
173,69.55556,-2.04172,6
25,142.33334,-2.354552,2
39,142.88889,-2.352961,2
115,8.555555,-1.210357,1
127,1.888889,-2.094395,3
197,12.777778,2.628208,7
195,57.333332,-2.101377,6
119,6.777778,-2.587228,3
114,7.444445,-1.0108,1
235,15.888889,2.670771,7
104,23.222221,-1.446641,1
196,11.444445,1.789167,7
191,60.555557,-2.040515,6
182,47.333332,-1.868277,6
159,45,-2.549349,6
125,79.111115,-1.9632,4
245,6,1.756645,7
101,147.22223,-2.328735,2
31,16.555555,-2.171949,5
190,60.666668,-1.987599,6
64,31.88889,-1.724894,1
154,46.555557,-2.20265,4
182,52.555557,-1.919167,6
217,9,2.006642,7
29,142.88889,-2.271128,2
131,0,0,5
47,121.44444,-2.223218,2
111,35.88889,-2.202667,5
156,25.444445,2.864931,7
182,72.44444,-1.99159,6
116,6,-2.313013,3
218,12.666667,2.382684,7
64,126.22222,-2.355443,2
145,33.333336,-1.934686,4
33,128.66667,-2.408019,2
92,15.555555,-2.096705,5
185,39.666668,-2.085272,6
196,15.111111,2.511766,7
149,8.666667,-1.985703,1
118,26.555555,-2.14718,5
124,2,-2.094395,3
55,139.33334,-2.308179,2
216,5,2.079295,7
142,0.333333,-2.094395,5
99,56,-1.567463,4
240,19.777779,2.141811,7
135,6,-1.958546,5
212,9,1.974495,7
117,3.555556,-2.094395,3
152,0,0,5
193,50,-1.995801,6
110,21.444445,-1.345096,1
116,56.555557,-2.038624,4
136,7.222222,-0.924607,1
61,128.33334,-2.367396,2
169,25,2.479064,7
125,73.77778,-2.112723,4
127,41,-1.67677,4
103,6.222222,-2.497929,3
54,126.111115,-2.33633,2
32,70.88889,-2.042422,4
65,73.888885,-2.041901,4
40,140.55556,-2.270219,2
80,119.333336,-2.228712,2
91,8,-2.186723,3
138,6.555555,-0.862108,1
54,132.44444,-2.079152,2
75,65.44444,-2.356754,3
139,3.222222,-1.803071,5
167,15.666667,1.971572,7
115,56.333332,-2.021125,4
109,8.444445,-2.283787,3
120,28.666666,-2.177417,5
180,21.444445,2.453831,7
42,74.55556,-2.125735,4
99,11.555555,-2.318885,3
124,56.333332,-2.127801,4
122,7.222222,-0.83212,1
59,140.44444,-2.308637,2
95,7.222222,-2.348987,3
155,11,-2.115567,5
82,22.444445,-2.170632,5
222,13.666667,2.557309,7
23,141.66667,-2.37055,2
216,13.666667,2.447547,7
73,70.111115,-2.251254,3
87,21,-1.318373,1
123,5.333334,-0.853547,1
66,46.333332,-1.748546,4
116,7,-1.099624,1
102,73.44444,-2.102047,4
236,10.777778,2.267197,7
160,57.11111,-2.113792,6
201,72.22222,-1.997736,6
28,79.111115,-2.144507,4
139,60.444443,-2.044238,4
138,7.222222,-2.071242,5
