@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,7,10,20'

@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Intensity-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
178,0.547722,59.62963,6
111,0.240741,5.407407,1
81,267.45554,21.333334,3
115,0.32963,1.222222,5
246,1.917754,17.518518,7
249,1.28889,14.740741,7
60,2.329629,26.74074,1
101,0.385185,20.074074,1
224,3.707406,15.185185,7
90,6.945556,65.18519,4
120,0.344444,1.925926,3
140,0.443053,8.333333,3
81,0.240743,112.92593,2
196,1.333334,47.25926,6
87,6.618995,43.333332,4
107,2.251853,16.74074,5
28,0.074075,110.48148,2
131,0.074074,5.185185,1
19,0.389681,127.51852,2
188,2.313409,61.25926,6
87,1.259042,64.03704,4
53,0.285188,134.77777,2
216,0.651852,14.555555,7
94,2.374074,15.62963,5
205,1.586985,56.074074,6
143,0.389682,0.407407,3
95,3.62963,9.518518,3
78,0.355555,36.11111,4
40,0,0,5
193,0.750308,41.703705,6
175,0.788811,23.74074,7
107,13.407408,7.962963,3
115,0.488889,2.703704,3
94,0.760117,9.111111,5
43,1.1,125.25926,2
181,0.385186,19.925926,7
187,1.936969,49.48148,6
130,0.740741,13.037037,4
133,0.300001,9.851851,5
116,0.477778,6.111111,1
34,0.122222,105.48148,2
104,1.772214,18.518518,5
218,0.744444,13.703704,7
145,4.534641,13.444445,3
181,2.16453,41.25926,6
40,0.62063,125.14815,2
49,0.433335,126.18519,2
14,0.807371,113.81481,2
115,3.10555,26.037037,3
91,2.029629,22.481482,1
59,3.5,21.814816,1
196,1.861898,52.48148,6
219,2.237724,13.222222,7
170,0.785184,19.555555,7
45,0.729629,101.22222,2
128,0.888194,49.925926,4
190,0.854184,51.074074,6
115,3.407407,29.481482,5
140,7.032464,27.666666,4
16,0.298143,112.96296,2
111,0.151852,5.666666,1
62,0.501849,66.77778,4
158,3.674074,8.37037,4
120,1.274074,1.333333,3
175,0.522223,33,6
93,0,0,5
240,1.638654,20.444445,7
137,0.501848,1.148148,3
106,0.596296,23.037037,1
126,0.374074,6.481482,1
137,0.107407,0.666667,3
20,1.020168,65.18519,4
161,0.518519,41.814816,6
244,2.195113,12.259259,7
188,1.496296,29.962963,6
160,4.044447,22.851852,4
98,0.712325,1.518519,3
195,2.091428,47.666668,6
147,0,0,5
18,0.088889,114.14815,2
100,0.266666,22.222221,1
59,0.951851,23.851852,1
91,0.196296,2.62963,3
123,0.088889,5.814815,1
70,0.177776,112.51852,2
160,4.044447,22.851852,4
130,2.533333,21.37037,4
91,0.385186,24.074074,5
118,0.062963,5.481482,1
113,0.240741,5.481482,1
136,0.062963,2.074074,5
87,0.240741,11.148149,5
83,0.136083,17.074074,5
91,0.827758,104.888885,2
77,0.574135,107.62963,2
160,0.843274,28.037037,7
70,8.767999,18.592592,3
124,0.074074,5.888889,1
97,0.651852,2.62963,3
18,0.691216,113.77778,2
152,0.033333,1.407407,5
83,6.077768,66.25926,4
80,0.711111,40.51852,4
76,1.420746,2.444444,3
144,0,0,5
123,0.620633,59.333332,4
150,0,0,5
187,2.167948,58,6
135,0.272166,1.407407,5
136,0,0,3
31,0.385183,126.81481,2
190,6.874074,29.62963,6
100,83.351845,8.148149,3
233,1.148268,12.481482,7
115,0.162963,2.740741,3
75,749.76294,38.037037,3
187,1.515354,59.37037,6
143,0.344444,5.296296,1
191,2.786874,60.25926,6
215,2.033333,12.407408,7
235,1.455513,25.88889,7
81,0.646932,105.92593,2
21,4.574081,65.888885,4
93,0.250924,20.925926,5
30,0.272164,113.25926,2
187,1.123816,60.444443,6
119,1.574075,29.481482,5
31,1.496296,135.92592,2
34,1.223231,54.25926,4
154,0.172133,0.074074,5
79,40.862957,32.77778,3
91,1.540741,3.259259,3
135,0.240741,0.962963,3
42,0.151851,22.592592,1
149,4.577775,21.37037,4
89,9.555554,10.481482,3
124,0.074074,5.888889,1
164,0.403687,11.333333,7
148,0.843274,1.777778,5
91,5.051852,5.62963,3
78,1.007408,30.185184,4
92,44.774082,15.407408,5
177,0.7,24.518518,7
127,0.501849,2.740741,3
193,2.465315,57.814816,6
66,0.255557,114.22222,2
114,0.788889,14.518518,1
73,0.72963,19.074074,1
175,4.21111,23.777779,7
55,3.674073,23.444445,1
108,0.433333,17.11111,1
50,0.544332,122.07407,2
196,1.501851,47.77778,6
50,1.003694,109.25926,2
138,0.166667,2.666667,5
57,0.418515,135.96297,2
142,0.136083,1.222222,5
44,2.094083,122.59259,2
124,9.544442,43.148148,4
161,0.729634,40.444443,6
93,0.459468,19.88889,5
189,1.485184,30,6
41,0.327731,109.703705,2
73,0.32963,58.814816,4
104,0.547723,19.62963,5
67,0.298141,64.74074,4
219,3.496297,5.592593,7
164,0.534027,19.814816,7
88,0.349603,67.25926,4
248,0.833333,13.444445,7
75,0.32963,21.333334,1
67,1.007407,22.25926,1
68,1.485186,21.592592,1
133,0.018519,0.481482,3
163,0.928958,19.814816,7
16,0.162962,102.51852,2
201,2.69155,43.962963,6
183,1.916788,52.62963,6
216,0.699998,16.555555,7
152,0,0,5
61,0.136083,6.888889,5
198,2.88033,58.074074,6
87,327.26297,31.703703,4
96,1.007407,21.74074,1
82,0.462964,44.88889,4
195,2.277915,47.703705,6
156,0.389682,24.25926,7
74,1.555556,22.407408,1
117,0.133333,5.777778,1
179,1.282359,50.555557,6
204,1.69203,19.407408,7
