@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Hedge-sd numeric
@attribute Exred-mean numeric
@attribute Value-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
54,2.722222,4.329629,-5.444445,32.555557,0.432167,1
80,3,3.866667,-1.444444,31.555555,0.412094,1
69,1.611111,1.44074,-7,32.555557,0.431547,1
62,1.833333,0.966668,-1.888889,27.222221,0.419469,1
124,0.388889,0.107407,4.222222,7.666666,0.563492,1
111,2.555555,0.385187,0.888889,5.555555,0.715608,1
120,0.444445,0.118518,5.444445,7.777778,0.569444,1
66,1.5,1.01111,-0.333333,24,0.437855,1
56,2.722222,1.574072,-7.555555,37.666668,0.41394,1
50,1,0.488889,-4.111111,30,0.418746,1
122,0.5,0.3,3.666667,7.666666,0.551808,1
125,0.666667,0.177778,4.111111,7.333334,0.529762,1
64,1.388889,0.462963,-4.222222,31.88889,0.446354,1
145,0.611111,0.374074,4.888889,5.555555,0.600529,1
106,0.722222,1.174074,1.333333,23.666666,0.403224,1
62,3.388889,6.374074,-10.777778,37.666668,0.450305,1
121,2,2.444443,-4.333334,30.11111,0.415524,1
130,0.666667,0.577778,5,7.555555,0.575397,1
118,0.722222,0.196296,4.777778,7.666666,0.537698,1
116,0.888889,0.074074,-2.333333,28.11111,0.398448,1
140,1,0.577778,4.666666,8.222222,0.537017,1
128,0.666667,0.311111,4,7.111111,0.561508,1
66,2.944444,3.885185,-9.222222,38.22222,0.430558,1
108,0.944444,0.151852,-2.777778,28.222221,0.412134,1
138,0.833333,0.3,4.777778,7.333334,0.543871,1
117,1,0.311111,2.666667,8.222222,0.53858,1
77,4.444445,6.56296,-3.222222,32.333336,0.407623,1
60,1.055555,0.062963,-1.333333,24.777779,0.419248,1
147,0.777778,0.562963,-4,11,0.643678,1
59,2.944445,2.55185,-8.222222,34.333336,0.459427,1
104,4,2.000002,-4.111111,28.666666,0.421395,1
68,2.166667,0.877779,-8.888889,36.88889,0.445652,1
124,0.611111,0.107407,4.333334,7.777778,0.571649,1
57,1.944445,1.974073,-8.444445,36.22222,0.440509,1
129,0.666667,0.177778,4.666666,8.222222,0.540123,1
136,1,0.444444,4.555555,8,0.529541,1
124,0.388889,0.107407,4.222222,7.666666,0.563492,1
51,2.666667,0.888889,-9.222222,35.11111,0.446118,1
89,3.666667,4.044442,-2,28.444445,0.403687,1
102,2.611111,1.485186,-2.888889,29.777779,0.417763,1
34,1.5,2.033333,-6.333334,27.88889,0.466345,1
135,1.055556,0.374074,5.222222,7.444445,0.565476,1
135,0.888889,0.074074,4.777778,7.444445,0.599427,1
133,0.5,0.077778,5,8.444445,0.53858,1
113,0.277778,0.151852,3.222222,7.888889,0.563492,1
134,0.722222,0.062963,5.333334,7.888889,0.577601,1
122,0.777778,0.118519,4.444445,7.444445,0.549603,1
67,2.444445,3.185185,-1.333333,25.88889,0.436939,1
71,2.833333,2.077779,-2.666667,29.666666,0.43357,1
83,3.611111,2.374072,1.111111,23.333334,0.399927,1
114,0.666667,0.044444,3.888889,6.666666,0.534392,1
90,1.333334,1.822224,2,22.11111,0.38846,1
45,3.277778,1.44074,-4.111111,28.777779,0.428167,1
113,2.944444,1.529629,-0.777778,25.444445,0.396589,1
126,0.444445,0.251852,5,7.444445,0.581349,1
101,2.222222,0.651852,1.888889,23.555555,0.410267,1
108,1.388889,0.951852,4,21.11111,0.388756,1
118,2.277778,4.285184,-2.666667,27.333334,0.416884,1
61,3.111111,7.185185,-0.888889,24.222221,0.419522,1
104,2.666666,3.555556,-2.666667,28.333334,0.430399,1
103,2.277778,2.151852,4.555555,19.444445,0.398903,1
78,2,5.86667,-1.777778,31.222221,0.401965,1
72,1.666666,0.577776,-7.333334,35.444447,0.450926,1
121,0.611111,0.107407,4.777778,8,0.528219,1
111,0.611111,0.151852,4.444445,6.888889,0.564153,1
85,3.944444,9.440739,-3,28.11111,0.437404,1
95,0.944444,0.551851,-0.222222,26.666666,0.390436,1
128,0.888889,0.207407,5.888889,7.888889,0.563713,1
145,0.722222,0.062963,3.111111,7,0.564153,1
77,3.055556,5.618516,-5.555555,34.444447,0.413217,1
96,2.777778,3.362961,0.666667,27.333334,0.406451,1
86,3.555556,2.162964,-1.444444,30.222221,0.405541,1
144,0.722222,0.32963,3.555556,6.222222,0.574603,1
113,2.777778,2.785182,7.222222,18.333334,0.451359,1
100,2.666667,3.644445,0.777778,25.555555,0.394331,1
136,0.444444,0.074074,4.444445,7.222222,0.535714,1
98,1.055555,0.551853,2.555556,20.777779,0.356724,1
85,1.777778,0.962963,2.777778,21.88889,0.399751,1
92,2.166667,1.277778,0.222222,23.777779,0.42886,1
126,0.666667,0.355555,4.444445,8.888889,0.450309,1
118,0.444445,0.162963,3.888889,7.777778,0.543871,1
90,2,0.399999,-3.555556,32.22222,0.420598,1
135,0.833333,0.122222,5.666666,6.888889,0.613757,1
51,1.611111,2.107407,-2.444444,25.666666,0.442861,1
56,1.333334,1.022222,-1.222222,25.444445,0.422689,1
126,0.611111,0.418519,6.777778,7.666666,0.623016,1
89,1.666667,3.688889,-2.333333,30.444445,0.405022,1
69,1.88889,2.562964,-6.666666,34.444447,0.44486,1
131,0.333333,0.088889,6,7.222222,0.581349,1
103,1.111111,1.54074,2.666667,22.555555,0.410306,1
70,1.833333,1.144442,-2,30.11111,0.406015,1
88,2.944445,1.040741,-5.444445,27.333334,0.424904,1
107,1.888889,2.740741,3,23,0.394656,1
125,0.666667,0.311111,3.444444,7.777778,0.545635,1
92,1.388889,2.240742,-2,30,0.414356,1
123,0.666667,0.266667,4.444445,8.444445,0.524471,1
145,0.611111,0.374074,4.888889,5.555555,0.600529,1
140,0.666667,0.088889,4.666666,6.666666,0.564153,1
111,0.611111,0.151852,5.222222,7.666666,0.581349,1
114,0.833333,0.122222,3.333333,7.444445,0.56746,1
134,0.388889,0.062963,4.444445,7,0.587302,1
130,0.833333,0.566666,3.777778,9,0.481594,1
109,1.333334,0.800001,4.333334,21,0.376024,1
124,0.611111,0.062963,5.333334,6.888889,0.595899,1
63,1.5,0.700001,-2.555556,23.666666,0.435021,1
143,0.444445,0.074074,4.555555,6.666666,0.595238,1
75,1.5,2.21111,-2.222222,29.333334,0.423501,1
114,3.888888,3.762962,5.333334,20.555555,0.393691,1
88,1.722222,3.396294,0.888889,26.333334,0.405118,1
142,1.5,0.522222,6.333334,6.777778,0.662037,1
57,2.111111,1.718517,-4.888889,34.444447,0.425691,1
53,2.833333,3.011111,-12.888889,38.333336,0.474773,1
139,0.833333,0.522222,4.333334,7.555555,0.532628,1
124,1,0.444444,3.444444,9,0.531173,1
129,0.888889,0.874074,5.333334,8.444445,0.530556,1
104,3.055556,5.040743,0.111111,24.88889,0.380367,1
119,2.555556,5.585183,-0.777778,27.333334,0.408211,1
81,1.333333,2.399998,-1.111111,28.777779,0.409201,1
109,1.944444,2.729629,5.888889,20.444445,0.384997,1
139,0.777778,0.207407,3.666667,6.888889,0.566799,1
44,2.38889,1.529629,-4.222222,25.222221,0.457681,1
140,1,0.577778,4.666666,8.222222,0.537017,1
75,3.777778,8.296293,-2.555556,31.666666,0.40212,1
98,1.888889,3.229632,0.333333,25.88889,0.389147,1
115,0.333333,0.177778,3,8.666667,0.53858,1
70,1.722222,2.196296,-4.777778,34,0.421281,1
116,0.444445,0.207407,3.222222,8.333334,0.559171,1
130,1.055556,0.685185,4.444445,7.666666,0.570106,1
134,0.666667,0.444444,5.111111,6.444445,0.603704,1
136,1,0.444444,4.555555,8,0.529541,1
86,1.222222,1.318518,-6.777778,35,0.421495,1
126,0.555556,0.074074,4.555555,6.555555,0.611111,1
125,0.666667,0.311111,3.444444,7.777778,0.545635,1
113,2.944444,1.529629,-0.777778,25.444445,0.396589,1
60,2.444445,1.94074,-3.888889,30,0.446636,1
120,3.222222,4.029627,-4.666666,30.444445,0.394863,1
147,0.722222,0.418518,-1.444444,7.666666,0.698445,1
102,1.333333,0.8,0.222222,25,0.381059,1
132,0.222222,0.162963,5.222222,7.111111,0.593254,1
74,1.388889,0.907407,-0.444444,26.88889,0.419204,1
124,0.666667,0.311111,4.444445,7.888889,0.550044,1
92,2.5,0.877778,-0.888889,24.11111,0.401025,1
123,0.5,0.122222,5.222222,7.555555,0.573413,1
142,0.944444,0.374074,4.555555,6.555555,0.574735,1
107,1.777778,1.540741,6.222222,19.777779,0.399311,1
116,4.777777,3.096297,2.444444,21.222221,0.447187,1
55,1.777777,0.785185,-5.333334,31.11111,0.43507,1
139,0.833333,0.522222,4.333334,7.555555,0.532628,1
122,0.5,0.166667,5.111111,8.111112,0.520062,1
53,1.166667,0.433333,-2,27.444445,0.404138,1
123,0.388889,0.062963,5.666666,8,0.555776,1
63,1.944444,2.462962,-6.111111,29.666666,0.422651,1
115,0.333333,0.133333,4.666666,8.444445,0.53858,1
80,2.5,1.9,-6,34.444447,0.432471,1
87,2.722222,4.374074,2.666667,21.11111,0.391731,1
92,1.777778,0.651851,-3.333333,29.777779,0.422223,1
147,0.5,0.077778,-0.777778,7,0.713228,1
89,2.555556,3.496296,-0.555556,23.88889,0.402507,1
145,0.5,0.122222,3.777778,5.444445,0.655556,1
84,1.611111,2.285188,-0.888889,30,0.398791,1
66,2.166667,5.144446,-4.222222,29.88889,0.438246,1
113,0.777778,0.207407,4.555555,7.111111,0.579365,1
111,0.5,0.122222,3,7.222222,0.60119,1
128,0.388889,0.151852,5.555555,6.888889,0.593915,1
107,3.333333,2.266665,2.444444,23.11111,0.413785,1
73,1.611112,2.507408,-2.555556,26.777779,0.426973,1
142,1.277778,0.151852,4.888889,6.333334,0.630159,1
118,0.666667,0.4,3.333333,8.444445,0.56433,1
123,0.888889,1.096297,2.777778,8.444445,0.475,1
65,2.333334,2.355557,-2.111111,26.777779,0.419418,1
117,1,0.444445,-0.333333,26.333334,0.382629,1
116,1.555556,0.874074,-1.444444,27.555555,0.407364,1
149,1.055556,0.507407,-5.888889,11.888889,0.578708,1
40,1.111112,2.118518,-4.555555,23.333334,0.46306,1
141,0.777778,0.385185,4.777778,7,0.574074,1
117,1.611111,2.151851,2.333333,24.11111,0.381277,1
93,2.111111,9.140738,-4.444445,26.777779,0.419233,1
108,1.388889,0.951852,4,21.11111,0.388756,1
60,2.888889,2.874074,-6.222222,35.22222,0.4223,1
83,2.444445,0.429631,0.333333,24.444445,0.410073,1
140,0.5,0.388889,4.333334,7.555555,0.513889,1
114,1,0.533333,4,7.888889,0.537919,1
136,0.666667,0.088889,4.555555,8.666667,0.526235,1
101,1.277778,1.218518,-0.222222,26.777779,0.404792,1
60,2.166666,1.366668,-4,31,0.420823,1
103,1.833333,2.166668,-1.888889,28,0.416239,1
101,1.777778,0.607407,4.222222,20.222221,0.376852,1
115,2.222223,4.96296,-2.666667,21.88889,0.425538,1
128,0.666667,0.488889,5.333334,7.444445,0.597443,1
81,2.722222,3.751853,-1.111111,26.11111,0.412662,1
124,0.444444,0.02963,4.666666,6.777778,0.608466,1
118,3.444444,9.496296,-3.555556,29,0.390398,1
149,0.722222,0.151852,-4,8.666667,0.578339,1
86,1.722222,1.307409,-0.111111,23.555555,0.417916,1
137,1.111111,0.474074,5.777778,7.777778,0.573633,1
64,1.666666,1.422222,-4,25.11111,0.441092,1
85,1.777778,0.962963,2.777778,21.88889,0.399751,1
95,2.499999,7.188887,0,26.222221,0.388363,1
60,1.277778,0.729629,-1.777778,25.777779,0.430484,1
129,0.666667,0.177778,4.666666,8.222222,0.540123,1
145,0.722222,0.062963,3.111111,7,0.564153,1
110,1.944444,2.374073,0.333333,6.333334,0.708333,1
132,0.944444,0.32963,5.111111,7.555555,0.529982,1
116,0.444445,0.207407,3.222222,8.333334,0.559171,1
130,0.388889,0.151852,4.666666,7,0.587963,1
131,1.333333,0.711111,4.666666,7.222222,0.592813,1
142,1.722222,0.151852,5.888889,6.777778,0.646164,1
134,0.777778,0.296296,4.111111,7.777778,0.529982,1
129,1.111111,0.296296,4.777778,8.222222,0.541887,1
115,4.166667,4.211112,-2.111111,28,0.397362,1
122,0.333333,0.177778,4.333334,7.222222,0.581349,1
111,1.055556,0.507407,3.555556,7.333334,0.566138,1
74,2.166667,2.477778,-3.111111,30.555555,0.420252,1
64,2.888888,4.34074,-5.555555,31.222221,0.424819,1
92,2.333333,3.822222,-1.666667,30.333334,0.420973,1
112,0.555555,0.162963,3.555556,7.555555,0.544092,1
115,0.777778,0.607407,3.111111,8,0.541887,1
101,1.277778,1.218518,-0.222222,26.777779,0.404792,1
44,2.38889,1.529629,-4.222222,25.222221,0.457681,1
86,1.666667,2.577779,-2.222222,31.333334,0.424597,1
143,0.444444,0.162963,4,7,0.601852,1
133,0.5,0.077778,5,8.444445,0.53858,1
122,0.555556,0.118519,4.111111,7.222222,0.551587,1
116,0.555555,0.207407,2.777778,8.555555,0.546517,1
56,1.5,1.277777,-4.777778,31.333334,0.43596,1
102,2.611111,1.485186,-2.888889,29.777779,0.417763,1
133,1.166667,0.211111,4,8.222222,0.558201,1
106,2.111111,3.14074,0,25.11111,0.408155,1
101,1.611111,0.596295,-2.666667,29.222221,0.432819,1
117,0.5,0.211111,3,7.444445,0.553571,1
149,0.722222,0.151852,-4,8.666667,0.578339,1
92,2,1.022222,2.555556,23.333334,0.376574,1
75,2.222222,3.718518,-7.888889,34.77778,0.429663,1
103,1.888889,1.096296,3.777778,22.777779,0.388385,1
63,2.111111,3.096295,-3.777778,27.777779,0.44725,1
61,0.833333,0.388889,-3.222222,30.666666,0.415751,1
67,2.444445,3.185185,-1.333333,25.88889,0.436939,1
95,0.944444,0.551851,-0.222222,26.666666,0.390436,1
111,0.888889,0.429629,2.888889,7.888889,0.562919,1
111,0.888889,0.429629,2.888889,7.888889,0.562919,1
61,1.555555,1.940741,-4.222222,28.777779,0.437042,1
77,2.444445,6.029632,-3.111111,31.555555,0.415737,1
90,5.111111,3.274074,-1.888889,29.11111,0.420486,1
116,1.555556,0.874074,-1.444444,27.555555,0.407364,1
85,2.500001,0.655555,-1,27.11111,0.428735,1
147,0.722222,0.107407,-1.111111,9.555555,0.652248,1
149,1,1.244444,-4.222222,8.777778,0.588163,1
79,2.111111,0.518519,1.555556,21,0.422337,1
110,2.666667,1.022223,2.888889,21.444445,0.368848,1
146,0.666667,0.266667,1.666667,6.888889,0.571429,1
118,1.055556,0.107407,4.111111,7.111111,0.545635,1
123,0.444444,0.118519,4.333334,6,0.61164,1
128,0.333333,0.044444,4.111111,7.666666,0.563713,1
116,0.333333,0.133333,3.444444,7.333334,0.575397,1
100,1.222222,1.140741,1.777778,26,0.401042,1
143,0.5,0.033333,5.666666,7.555555,0.60119,1
107,1.611111,1.92963,3.444444,20.777779,0.395253,1
143,0.666667,0.133333,4.777778,6.111111,0.674074,1
114,0.444444,0.074074,2,7.333334,0.603175,1
88,2.888889,2.385183,-2.444444,28.444445,0.413308,1
114,1.944444,0.596297,0.444444,24.666666,0.394964,1
138,0.5,0.077778,5.444445,6.777778,0.603836,1
116,0.333333,0.133333,3.444444,7.333334,0.575397,1
131,0.777778,0.207407,4.777778,7.555555,0.515873,1
64,2.388889,3.440744,-1.444444,28.88889,0.426923,1
115,3.888889,2.829631,1.888889,24.11111,0.375321,1
94,3.666667,2.888891,-1.666667,27.333334,0.427811,1
104,1.5,1.322222,1.555556,23.222221,0.410009,1
130,1,0.666667,5.444445,8.444445,0.501014,1
56,1.333333,1.6,-4.888889,30.222221,0.440708,1
112,1,0.088889,2.333333,8.111112,0.559171,1
135,0.666667,0.355555,4.555555,5.666666,0.647222,1
113,0.444444,0.118519,4.111111,6.888889,0.566138,1
68,2.388889,1.218517,-0.111111,23,0.462002,1
58,1.388889,2.285186,-2.777778,27.333334,0.434743,1
118,0.777778,0.074074,3.666667,6.666666,0.617063,1
67,2.111111,1.229631,-6.111111,35.88889,0.429308,1
