@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,10,12,14,19-20'

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
130,0.888889,2.555556,-2.666667,-2.123254,3
83,26.518518,33.22222,-9.555555,-2.063242,4
182,54.925926,68.111115,-16.444445,-1.980348,6
128,5.925926,6.444445,5.888889,-0.7213,1
201,61.62963,76.44444,-20.222221,-2.034119,6
117,1.074074,3.111111,-3.222222,-2.132635,3
41,0.703704,1.222222,-0.444444,-1.84512,5
176,50.666668,62.666668,-14,-1.95141,6
72,93.44444,117.111115,-42.666668,-2.22578,2
180,22.333334,21.444445,-12,2.453831,7
114,5.444445,7.333334,2,-1.314533,1
161,15.740741,14.333333,-9.888889,2.345133,7
142,4.666666,4.888889,6.333334,-0.604864,1
125,6.185185,7.666666,3.444444,-1.121818,1
120,19.074074,33.11111,-25.555555,-2.231261,3
95,7.62963,10.777778,-2.555556,-1.749258,5
169,12.814815,9.777778,-6.444445,1.993183,7
38,58,74.333336,-24,-2.078504,4
190,53.592594,66.88889,-18.777779,-2.052546,6
113,21.592592,27.88889,-10.444445,-2.163633,5
146,5.111111,6.777778,1.666667,-1.258358,1
147,4.592593,7.444445,-1.444444,-1.561754,1
63,8.962963,14,-7.888889,-2.121837,5
31,114.96296,132.55556,-39.22222,-2.384877,2
127,16.37037,26.444445,-16.444445,-2.035808,3
144,1,3,-3,-2.094395,3
187,11.62963,9.666667,-6.888889,2.156639,7
36,7.925926,13.666667,-8.777778,-2.107303,5
146,10.592592,15.666667,-7.777778,-2.108911,4
38,64.62963,78.44444,-19.222221,-2.038824,4
204,57.88889,72,-19.333334,-2.038543,6
35,127.55556,142.55556,-30.333334,-2.311049,2
108,23.703703,30.444445,-11.111111,-2.154391,5
197,50.333332,62.22222,-17,-2.071221,6
122,5.62963,6.666666,4.111111,-0.964797,1
180,60.074074,75.44444,-20.555555,-2.022148,6
121,6.407407,7.444445,4.777778,-0.914324,1
101,21.296297,26.777779,-0.222222,-1.558599,1
90,22.62963,29.11111,-1.888889,-1.622331,1
117,45.88889,58.444443,-19,-2.09948,4
18,112.111115,130.44444,-44.666668,-2.45498,2
80,24.814816,31.555555,-1.444444,-1.620451,1
147,7.703704,9.888889,-3.777778,-2.064514,3
88,22.148148,28.444445,-2.444444,-1.653787,1
137,0.925926,2.666667,-2.444444,-2.056155,5
57,98.59259,121.55556,-43.77778,-2.264402,2
195,16.037037,13.333333,-4.777778,1.94304,7
155,8.740741,12.888889,-6.222222,-2.079296,5
40,17.185184,23.333334,-4.555555,-1.783602,1
80,68.77778,79.55556,-25.333334,-2.434193,3
101,21.296297,26.777779,-0.222222,-1.558599,1
71,125.96296,140.88889,-31.222221,-2.339758,2
120,3.518518,6.555555,-7.222222,-2.433795,3
111,57.77778,71.66667,-19.333334,-2.045165,4
30,123.333336,139.66667,-31.666666,-2.27951,2
115,6.296296,7.888889,3.111111,-1.175454,1
107,54,64.44444,-13.666667,-2.003607,4
129,2.296296,2.555556,0.444444,-1.101394,5
137,3.703704,7.111111,-4.777778,-2.058451,5
39,127.07407,142.44444,-32.22222,-2.336025,2
17,44.592594,54,-12.777778,-2.030048,4
118,21.11111,27.333334,-2.666667,-1.620749,1
162,41.48148,50.555557,-17.444445,-2.335371,6
116,18.74074,29.555555,-20.88889,-2.259967,3
160,23.25926,23.444445,-16.444445,2.642597,7
71,22.777779,29.666666,-2.666667,-1.66796,1
102,58.22222,69.66667,-14.333333,-1.985584,4
122,6.62963,11.333333,-9.888889,-2.349017,3
186,12.074074,10.777778,-8.222222,2.31952,7
71,31.851852,40.22222,-18.88889,-2.401825,3
83,90.62963,116.888885,-48.22222,-2.239053,2
158,21.037037,29,-12.777778,-2.142701,4
187,15.222222,12.777778,-6,2.038483,7
49,124.03704,140.44444,-32.77778,-2.303412,2
176,22.185184,19.777779,-9.555555,2.179845,7
76,51.77778,61.555557,-12.333333,-1.989922,4
118,0.037037,0.111111,-0.111111,-2.094395,3
56,126,140.66667,-30.333334,-2.326783,2
161,42.037037,52.22222,-18.11111,-2.282295,6
209,22.518518,20.88889,-14.555555,2.389391,7
118,0.925926,2.555556,-2.777778,-2.17128,3
124,3,5.888889,-4.666666,-2.118937,3
200,56.37037,69.66667,-17.777779,-2.021172,6
94,20.037037,28.666666,-12.777778,-2.084255,5
124,2.518518,6.111111,-6.888889,-2.267462,3
182,34.51852,42.22222,-8.888889,-1.943038,6
64,5.703704,10.333334,-6.111111,-2.015428,5
109,41.814816,53.666668,-17.11111,-2.068644,4
90,113.111115,128.33334,-22.333334,-2.078418,2
73,43.51852,53,-14.222222,-2.096415,4
70,26.037037,34,-4.777778,-1.74518,1
116,23.407408,31.444445,-12.222222,-2.104978,5
191,15.185185,14.888889,-9.222222,2.545329,7
54,134.33333,145.55556,-20.333334,-2.231555,2
104,20.185184,24.88889,0.111111,-1.555376,1
196,50.074074,62.22222,-17.222221,-2.054753,6
134,1.851852,3.888889,-2.555556,-1.997796,5
183,19.851852,19,-15.888889,2.506807,7
110,50.666668,60.444443,-13.666667,-2.032518,4
160,40.88889,51.77778,-20.333334,-2.335837,6
15,129.25926,144,-32.77778,-2.38244,2
64,62,78.111115,-25,-2.118087,4
131,5.962963,6.666666,4.777778,-0.804846,1
98,52.851852,64.66667,-15.888889,-2.025773,4
156,23.703703,25.444445,-19.11111,2.864931,7
111,34.11111,42.22222,-11.333333,-2.005742,4
190,47.48148,58.666668,-15.111111,-2.025942,6
95,4.62963,9.222222,-10.888889,-2.429449,3
162,19,17.333334,-9.666667,2.291415,7
165,35.814816,42.88889,-15.111111,-2.470153,6
88,12.259259,21.11111,-14.111111,-2.136677,5
30,8.481482,13.111111,-7.111111,-2.05997,5
152,1.37037,2.333334,-1.111111,-2.007351,5
120,3.740741,7.666666,-6.888889,-2.180291,3
66,93.44444,117.333336,-43,-2.224845,2
247,21.925926,25.11111,-2.444444,-1.755483,7
239,15.148149,14.555555,-8.777778,2.482445,7
141,3.259259,7.666666,-8.444445,-2.257122,3
102,44.037037,52.666668,-19.777779,-2.416817,3
161,19.037037,17,-11.777778,2.292736,7
194,58.962963,71.55556,-18.222221,-2.081891,6
161,41.962963,51.22222,-16.222221,-2.38829,6
221,12.111111,8.111112,-5.666666,1.877146,7
44,123.81481,138.11111,-31.11111,-2.367282,2
121,53.666668,66.88889,-20.333334,-2.110233,4
202,58,71,-18,-2.045943,6
186,49.444443,61.11111,-14.333333,-1.974394,6
118,55.074074,66.333336,-14.888889,-2.007117,4
111,5.703704,7,3.555556,-1.065066,1
18,137.88889,147.88889,-19.333334,-2.27511,2
147,6.777778,11,-4,-1.783388,1
80,10.037037,15.111111,-10.444445,-2.326257,3
200,53.555557,67.333336,-21.333334,-2.116733,6
74,101.85185,123.22222,-38.22222,-2.220553,2
164,23.148148,19.11111,-4.111111,1.798302,7
163,41.666668,51.333332,-18.666666,-2.384441,6
206,16.074074,14.555555,-7.555555,2.252368,7
249,8.555555,7.555555,-1.666667,1.917421,7
181,11.666667,9.777778,-8,2.206642,7
33,110.59259,128.66667,-41.444443,-2.408019,2
90,113.48148,128.55556,-22.777779,-2.097815,2
211,10.814815,7.666666,-5.777778,1.940832,7
144,0,0,0,0,5
152,26.555555,37.666668,-18.666666,-2.165731,4
110,31.62963,39.333336,-13.222222,-2.187242,5
178,19.555555,18.11111,-7.666666,2.274128,7
123,6.962963,8.444445,2.777778,-1.18068,1
89,14.222222,22.11111,-12,-2.107311,5
89,18.037037,25.11111,-10.777778,-2.102295,5
90,7.185185,12.111111,-6.222222,-1.989546,5
121,3.407408,6,-6.888889,-2.519165,3
176,56.925926,71.44444,-19.444445,-2.021784,6
102,63.48148,77.111115,-20.11111,-2.083043,4
104,63.62963,76.55556,-16.222221,-1.986567,4
87,17.11111,23.444445,-14.666667,-2.418074,3
57,123.55556,139,-34,-2.376054,2
186,54.962963,67.88889,-17.555555,-2.028618,6
114,29.814816,47.22222,-34.444443,-2.295381,3
15,68.96296,86.888885,-28.88889,-2.145323,4
65,123,140,-34,-2.303991,2
198,48.703705,61,-17.777779,-2.070717,6
116,22.11111,28.11111,-2.333333,-1.670314,1
184,31.518518,38.77778,-11.222222,-2.183125,6
120,1,3,-3,-2.094395,3
145,3.925926,4,4.888889,-0.57094,1
178,23.814816,21.11111,-10.777778,2.190305,7
85,18.925926,26.88889,-13.111111,-2.160912,5
149,0,0,0,0,5
27,122.666664,138.66667,-33.333332,-2.334512,2
86,18.592592,23.555555,-0.111111,-1.541502,1
126,11.185185,20,-17.88889,-2.313534,3
98,1.407407,4.111111,-4.222222,-2.11372,3
148,0,0,0,0,5
29,128.48148,142.77777,-28.444445,-2.29776,2
246,15.37037,13.111111,-8.444445,2.170543,7
134,0.037037,0.111111,-0.111111,-2.094395,3
153,0,0,0,0,5
197,49.74074,61.444443,-16.222221,-2.043399,6
34,72.888885,89.111115,-23.666666,-2.078154,4
107,22.555555,36,-28.666666,-2.354617,3
241,14.333333,14,-10.333333,2.544142,7
152,0.777778,1.666667,-1.333333,-2.094395,5
32,59.48148,70.88889,-15.777778,-2.042422,4
58,93.14815,118.77778,-47.444443,-2.246316,2
59,25.074074,34.333336,-8.222222,-1.836328,1
147,27.296297,38.666668,-19.222221,-2.174468,4
93,3,7.222222,-7.333334,-2.18361,3
130,5.333334,6.222222,4.666666,-0.889024,1
141,0.703704,1.777778,-1.111111,-1.921217,5
226,7.851852,6.555555,-6.222222,2.259398,7
163,40.444443,48.555557,-16.333334,-2.392741,6
126,36.185184,43,-7.888889,-1.942179,4
202,15.148149,14,-10.444445,2.401137,7
242,14.814815,15.666667,-10.444445,2.835614,7
78,106.85185,125.666664,-40.88889,-2.368082,2
103,21.851852,28,-1.888889,-1.634396,1
76,42.296295,54.11111,-18.88889,-2.139002,4
113,1.407407,3.444444,-3.888889,-2.237562,3
45,108.96296,126.888885,-39.22222,-2.371807,2
157,24.296297,24.222221,-15.222222,2.604303,7
243,6.481482,4.888889,-4.111111,2.033629,7
18,138.62962,147.55556,-15.888889,-2.214612,2
145,61.11111,76.77778,-26,-2.166151,4
78,24.592592,31.222221,-1.777778,-1.610448,1
135,1.925926,4.444445,-2.777778,-1.931332,5
195,48.851852,60.666668,-16.88889,-2.063044,6
157,21.444445,30,-13.666667,-2.1343,4
80,7.074074,12.444445,-12.555555,-2.417517,3
14,117,134.11111,-38.333332,-2.390383,2
132,38.77778,49.22222,-16.666666,-2.129523,4
114,25.814816,34.666668,-14.444445,-2.15274,5
237,7.481482,5.111111,-4.111111,1.938468,7
124,5.111111,6,4.666666,-0.877707,1
201,53.703705,67.22222,-19.777779,-2.075226,6
41,135.22223,145.88889,-20.333334,-2.270225,2
40,110.703705,129,-43.444443,-2.434692,2
122,2.259259,5.222222,-5.111111,-2.173204,3
88,20.592592,27.333334,-5.444445,-1.785147,1
197,54.851852,68,-17.88889,-2.033505,6
152,3.592592,5.777778,-2.777778,-1.997796,5
137,0.740741,1.777778,-1.222222,-2.007606,5
118,0.703704,2,-2.111111,-2.132635,3
182,43.62963,52.88889,-9.888889,-1.904978,6
182,58.962963,73.333336,-18.222221,-1.992052,6
50,23.037037,30,-4.111111,-1.741254,1
139,16.37037,23.666666,-11.777778,-2.118223,4
140,2.888889,3.333333,-0.666667,-2.094395,5
35,37.592594,47.444443,-15.777778,-2.138762,4
90,113.48148,128.55556,-22.777779,-2.097815,2
11,143.44444,150.88889,-19.666666,-2.521648,2
182,55.851852,69.111115,-17.222221,-2.001558,6
