@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,10,14,16-17,20'

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
173,43.592594,-12.111111,-15.777778,52.88889,6
51,19.592592,-2.444444,-15.777778,25.666666,1
115,22.962963,-10.555555,-8.888889,29.444445,5
64,18.88889,-4,-14.666667,25.11111,1
130,1.37037,-3.777778,-2.111111,3.333333,3
64,31,-19,-2,38,3
123,6.740741,4.444445,-8.222222,8.444445,1
96,3.555556,-8,-4.666666,7.777778,3
184,45.22222,-10.333333,-17.333334,54.444443,6
120,39.333332,-11.666667,-13.666667,47.77778,4
153,3.37037,-1.111111,-0.444444,3.888889,5
144,0.666667,-0.333333,-0.666667,1,5
139,0.444444,-1.333333,-1.333333,1.333333,3
83,19.444445,0.333333,-15.333333,24.444445,1
57,126.111115,-31,-12,140.44444,2
109,17.777779,4.333334,-14,21,1
51,126.333336,-28,-13.666667,140.22223,2
78,43.814816,-8.111111,-16.11111,51.88889,4
195,61.592594,-20.777779,-24.444445,76.66667,6
189,58.407406,-21.222221,-20.88889,72.44444,6
191,63,-23.666666,-26,79.55556,6
235,9.185185,-7.222222,10.777778,12.777778,7
47,107.111115,-41.666668,-23.333334,128.77779,2
13,70.37037,-29.11111,-24.11111,88.111115,4
242,11.740741,-9.222222,12.111111,15.777778,7
68,56.77778,-14.333333,-20,68.22222,4
117,6.444445,2.666667,-8,8.222222,1
83,18.222221,-14.666667,-11.333333,26.88889,5
133,0,0,0,0,3
45,21.925926,-4.111111,-16.444445,28.777779,1
129,0.518518,-1.555556,-1.555556,1.555556,3
27,138.07408,-16.555555,-8.888889,146.55556,2
188,61.074074,-21.88889,-22.88889,76,6
92,23.444445,-2,-17.666666,30,1
79,41.407406,-10.222222,-14.555555,49.666668,4
192,47.51852,-15.555555,-19.555555,59.22222,6
238,13.62963,-7.555555,16.444445,19.11111,7
63,6.074074,-6.222222,-7.222222,10.555555,5
137,0.777778,-2.333333,-2,2.222222,3
134,0.518518,-1.555556,-1.555556,1.555556,5
134,1.037037,-3.111111,-3.111111,3.111111,5
161,41.48148,-16.444445,-12.444445,51.22222,6
187,58.666668,-18.333334,-23.333334,72.55556,6
99,93.40741,-43.22222,-30.555555,118,2
234,5.740741,-5.222222,9.111111,8.777778,7
13,104.111115,-47.666668,-25.333334,128.44444,2
184,14.222222,-5.666666,15.333333,19.333334,7
34,14.444445,-11,-8.666667,21,5
66,95.111115,-43.333332,-27.666666,118.77778,2
116,1.962963,-3.888889,-4.888889,4.888889,5
79,45.814816,-8.777778,-15.444445,53.88889,4
90,18.11111,2,-14,22.11111,1
187,54.77778,-17.333334,-22.333334,68,6
103,35.62963,-14.555555,-14.222222,45.22222,4
104,19.777779,-10.333333,-8.666667,26.11111,5
24,49.185184,-20.555555,-15.555555,61.22222,4
119,1.444444,-4.333334,-4,4.222222,3
190,32.962963,-10.888889,-13.555555,41.11111,6
133,5.37037,-5.111111,-5.777778,9,5
116,29.814816,-12.444445,-9.444445,37.11111,5
67,27.148148,-6.111111,-20.11111,35.88889,1
208,16.074074,-10.222222,15.111111,21.11111,7
220,8.185185,-4.888889,10.111111,11.555555,7
34,14.444445,-11,-8.666667,21,5
176,13,-8.666667,12.333333,17.11111,7
196,47.25926,-16.444445,-17.444445,58.555557,6
128,16.481482,-19.11111,-9.111111,25.88889,3
73,20.62963,-2.555556,-15.888889,26.777779,1
194,61.555557,-20.333334,-23.666666,76.22222,6
17,71.18519,-23.555555,-24.88889,87.333336,4
154,19.703703,-14.444445,-12.111111,28.555555,4
62,0,0,0,0,5
12,127.44444,-35.666668,-11.333333,143.11111,2
123,1.481481,-3.777778,-2.777778,3.666667,3
24,121.62963,-32.555557,-15.888889,137.77779,2
194,48.62963,-16.88889,-18.222221,60.333332,6
175,15.37037,-8.777778,14.222222,20.11111,7
137,5.851852,5.777778,-7.555555,7.777778,1
88,5.259259,-11.111111,-3.444444,10.111111,3
50,65.111115,-23.333334,-22.333334,80.333336,4
121,54.962963,-21.555555,-19.555555,68.66667,4
187,59.37037,-20.11111,-24.11111,74.111115,6
219,14.888889,-10.333333,14.333333,19.666668,7
29,103.25926,-43.444443,-25.777779,126.333336,2
121,32.37037,-11.111111,-13.444445,40.555557,4
50,107.44444,-38.333332,-16.666666,125.77778,2
142,5.037037,4.555555,-6.777778,6.555555,1
96,3.777778,-8.333333,-4.333334,8,3
81,12.481482,-14.444445,-4.777778,18.88889,3
135,0.777778,-2.333333,-2.333333,2.333334,5
90,2.814815,-6.777778,-5.444445,6.888889,3
156,16.925926,-10.444445,14.555555,21.777779,7
12,6.259259,-7.111111,-8.111111,11.333333,5
196,61.592594,-19.777779,-22.444445,75.66667,6
184,17.62963,-12.222222,13.777778,22.222221,7
73,5.814815,-10.444445,-4.111111,10.666667,3
162,43.22222,-19.333334,-12,53.666668,6
122,6,3.666667,-7.666666,7.666666,1
25,126.03704,-35.11111,-13.444445,142.22223,2
190,57.333332,-19,-19,70,6
125,6.185185,3.444444,-7.888889,7.777778,1
194,18.555555,-10.666667,20.333334,25.333334,7
15,113.74074,-40.88889,-13.888889,132,2
60,22.62963,-3.888889,-18.222221,30,1
115,14.777778,-19,-5.333334,22.88889,3
121,14.962963,-16.222221,-9.222222,23.444445,3
139,18.074074,-6.222222,-7.222222,23.88889,3
108,40,-12,-12.666667,48.22222,4
108,21.925926,-2.777778,-16.11111,28.222221,1
106,0.555556,-1.666667,-1.666667,1.666667,3
112,28.851852,-12.888889,-9.222222,36.22222,5
141,0,0,0,0,5
51,122.96296,-36.88889,-16.555555,140.77779,2
204,19,-14,19.666666,25.555555,7
189,26.444445,-9,-10.666667,33,6
236,13.962963,-9.555555,14.111111,18.666668,7
247,12.62963,-9.222222,9.777778,15.888889,7
58,122,-35.666668,-14.666667,138.77779,2
34,125.48148,-35.444443,-14.111111,142,2
92,19.37037,2.555556,-14.444445,23.333334,1
70,61.11111,-23,-24.666666,77,4
81,90.40741,-44.22222,-33.88889,116.44444,2
83,9.888889,-11.666667,-9.666667,17,5
97,2.111111,-6,-4.333334,5.555555,3
192,45.962963,-16.222221,-20.222221,58.11111,6
67,60.74074,-23.222221,-22.222221,75.888885,4
86,26.481482,-6.777778,-18.777779,35,1
71,122.18519,-32.22222,-16.222221,138.33334,2
147,6.259259,-1.444444,-5.111111,8.666667,4
140,6.333334,4.666666,-7.666666,8.222222,1
198,59.77778,-20,-22.666666,74,6
173,55.185184,-19.88889,-23.222221,69.55556,6
25,128,-30.666666,-12.333333,142.33334,2
39,127.51852,-32.88889,-13.222222,142.88889,2
115,6.777778,3,-8.333333,8.666667,1
127,0.62963,-1.888889,-1.888889,1.888889,3
197,12.851851,-7.222222,7.444445,15.333333,7
195,46.555557,-16.333334,-16,57.333332,6
119,4.37037,-6.777778,-0.444444,6.777778,3
114,6.222222,4,-7.666666,7.888889,1
235,15.62963,-11.555555,10.777778,19.222221,7
104,18.703703,1.555556,-15.111111,23.222221,1
196,15.333333,-3.666667,15.333333,20.444445,7
191,49.22222,-15.666667,-18.333334,60.555557,6
182,39.851852,-7.888889,-14.555555,47.333332,6
159,35.77778,-16,-11.666667,45.444443,6
125,66.25926,-15.444445,-23.11111,79.111115,4
245,6.407407,-0.555556,1.777778,7.222222,7
101,134.92592,-25.444445,-11.444445,147.22223,2
31,11.259259,-8.777778,-7.111111,16.555555,5
190,49.48148,-14.111111,-19.444445,60.666668,6
64,24.074074,-4.222222,-19.222221,31.88889,1
154,33,-23.666666,-17,46.555557,4
182,43.592594,-9.777778,-17.11111,52.555557,6
217,11.925926,-6.444445,15.222222,17,7
29,128.44444,-27.666666,-15.666667,142.88889,2
131,0,0,0,0,5
47,97.111115,-43.666668,-29.333334,121.44444,2
111,28.74074,-12.555555,-8.888889,35.88889,5
156,23.703703,-19.11111,13.888889,28.333334,7
182,58,-18.333334,-25,72.44444,6
116,3,-6.333334,-2.666667,6,3
218,13.703704,-9.111111,12.222222,17.777779,7
64,108.77778,-37.333332,-15,126.22222,2
145,26.777779,-7.666666,-12,33.333336,4
33,110.59259,-41.444443,-12.777778,128.66667,2
92,9.962963,-8.555555,-8.222222,15.555555,5
185,32.555557,-10,-11.333333,39.666668,6
196,15.703704,-9.777778,11.555555,19.555555,7
149,5.444445,-4,-5.666666,8.666667,1
118,19.407408,-11.555555,-9.888889,26.555555,5
124,0.666667,-2,-2,2,3
55,124.111115,-30.666666,-15,139.33334,2
216,7.074074,-5.888889,12.111111,11.111111,7
142,0.111111,-0.333333,-0.333333,0.333333,5
99,51.88889,0,-12.333333,56,4
240,22.481482,-8.777778,16.88889,28.11111,7
135,2.888889,-3.666667,-5.666666,6,5
212,12.296296,-6.888889,16.777779,17.88889,7
117,1.333333,-3.333333,-3.333333,3.555556,3
152,0,0,0,0,5
193,41.185184,-11.222222,-15.222222,50,6
110,17.925926,2.888889,-13.444445,21.444445,1
116,46.814816,-13.444445,-15.777778,56.555557,4
136,6.259259,4.555555,-7.444445,8,1
61,109.07407,-41.88889,-15.888889,128.33334,2
169,25.962963,-15.222222,18.11111,32,7
125,58.22222,-24,-22.666666,73.77778,4
127,36.51852,-1.888889,-11.555555,41,4
103,3.851852,-5.888889,-1.222222,6.222222,3
54,108.85185,-36.22222,-15.555555,126.111115,2
32,59.48148,-15.777778,-18.444445,70.88889,4
65,60.148148,-19.11111,-22.11111,73.888885,4
40,124.62963,-30.555555,-17.222221,140.55556,2
80,96.333336,-41.666668,-27.333334,119.333336,2
91,3.259259,-8.111111,-6.111111,8,3
138,5.740741,4.777778,-7.222222,7.333334,1
54,116.77778,-23,-24,132.44444,2
75,55,-22.666666,-8.666667,65.44444,3
139,1.37037,-1.444444,-4.111111,3.222222,5
167,19.037037,-6.777778,16.88889,24.666666,7
115,46.74074,-12.888889,-15.888889,56.333332,4
109,4.296296,-8.555555,-3.888889,8.444445,3
120,21.555555,-12,-9.333333,28.666666,5
180,22.333334,-12,14.666667,27.222221,7
42,58.88889,-24.666666,-22.333334,74.55556,4
99,6.740741,-9.888889,-4.555555,11.555555,3
124,43.51852,-20.222221,-18.222221,56.333332,4
122,6.407407,5.111111,-7.555555,8.111112,1
59,126.14815,-28.777779,-14.111111,140.44444,2
95,3.518518,-7.888889,-3.222222,7.222222,3
155,7.296296,-5.888889,-5.222222,11,5
82,15.518518,-11.555555,-9.222222,22.444445,5
222,14,-9.666667,10.666667,17.555555,7
23,124.44444,-37.666668,-14,141.66667,2
216,14.555555,-11,13.666667,19.11111,7
73,46.666668,-43.666668,-26.666666,70.111115,3
87,17.333334,2.666667,-13.666667,21.11111,1
123,4.555555,4.333334,-6.666666,6,1
66,41.62963,-3.222222,-10.888889,46.333332,4
116,5.62963,3.444444,-7.555555,7.333334,1
102,58.37037,-23.11111,-22.11111,73.44444,4
236,12.518518,-8.888889,14.111111,17.222223,7
160,43.925926,-20.444445,-19.11111,57.11111,6
201,58.703705,-17.444445,-23.11111,72.22222,6
28,62.407406,-26.88889,-23.222221,79.111115,4
139,48.22222,-17,-19.666666,60.444443,4
138,3.555556,-5.333334,-5.666666,7.222222,5
108,16.925926,-10.111111,-9.444445,23.444445,5
116,2.814815,-6.777778,-1.777778,5.666666,3
102,20.25926,0.222222,-14.444445,25,1
