@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,13-14,19-20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
185,3.055555,43.11111,-12,-1.95277,6
85,3.944444,15.777778,-3,-1.659879,1
83,12.888889,11.444445,-16.11111,-2.274205,3
11,2.166667,139.44444,-19.333334,-2.401587,2
94,1.000001,105.111115,-18.88889,-2.015307,2
42,0.999999,31.777779,-14,-2.029552,4
182,2.555556,40.11111,-11.111111,-1.930048,6
167,2.055555,17.11111,-5.111111,2.305729,7
19,1.444445,38.77778,-21.555555,-2.133676,4
89,1.111111,6,-6.333334,-2.043884,5
81,2.722222,15.222222,-1.111111,-1.566335,1
194,5.388889,36.333336,-12.555555,-2.037568,6
208,1.833333,24.555555,-11.111111,2.396771,7
46,1.777779,121.111115,-30.11111,-2.304436,2
52,0.777777,104.666664,-31.88889,-2.229685,2
194,1.888889,20.444445,-10.666667,2.593107,7
169,1.944444,21.333334,-11.444445,2.44578,7
200,6.055555,50.88889,-19.11111,-2.02885,6
146,1.111111,8.111112,-7.777778,-2.108911,4
122,0,0,-1,-2.094395,3
46,1.333332,110.111115,-41.22222,-2.395028,2
17,1.444445,62.555557,-24.222221,-2.098521,4
192,2.888889,13.777778,-3.888889,1.908457,7
182,3.999999,50.11111,-17.555555,-1.978495,6
207,0.888889,16.555555,-7.777778,2.217263,7
244,1.111111,17.222223,-9.777778,2.391736,7
149,0,0,0,0,5
63,1.5,13.333333,-2.555556,-1.683847,1
57,0.888889,116.666664,-33,-2.297173,2
163,18.166666,37.444443,-16.333334,-2.51749,6
201,4.333332,51.444443,-20.333334,-2.042514,6
14,0.611113,108.55556,-41.22222,-2.408968,2
90,0.722222,2.666667,-7.111111,-2.073429,5
186,1.166667,21.11111,-5.111111,1.863654,7
19,0.888888,109.44444,-39.77778,-2.375985,2
88,0.500001,102.666664,-27.11111,-2.139239,2
195,3.166667,53.555557,-19.88889,-2.020938,6
128,0.666667,3.111111,4,-0.985811,1
182,8.666666,26.666666,-7.666666,-2.217735,6
96,0.944444,50.333332,-3.111111,-1.720468,4
128,0.388889,2.777778,5.555555,-0.688601,1
143,1.222221,43.333332,-22.11111,-2.108995,4
100,1.444445,48.88889,-15.111111,-2.00619,4
147,0,0,0,0,5
117,1.111111,27.333334,-11.444445,-2.088914,4
131,0.722222,0.222222,-1.444444,-2.056155,5
191,2.888887,53.555557,-22.777779,-2.05611,6
197,4.555555,17.444445,-9.222222,2.164262,7
62,1.888887,118.77778,-33.444443,-2.343404,2
193,2.222222,54,-23.222221,-2.109375,6
76,7.833334,12.666667,-15.222222,-2.523325,3
86,1.166669,100.333336,-38.666668,-2.343789,2
116,1.555556,16.333334,-1.444444,-1.632243,1
152,0,0,0,0,5
132,1.722222,1,-3.888889,-2.152432,3
92,2.277778,6.444445,-12.666667,-2.452176,3
208,2.499999,25.333334,-9.333333,2.102212,7
138,2.388889,48,-16.555555,-2.029656,4
85,2.388889,3.333333,-5.888889,-2.369864,3
152,0,0,0,0,5
41,1.666667,16.88889,-5.111111,-1.77166,1
91,25.277779,41.77778,-17.555555,-2.320272,3
111,1,12.333333,-11.666667,-2.100671,5
188,3.055555,54,-21.666666,-2.074028,6
100,2.666667,15.444445,0.777778,-1.519702,1
186,1.777777,41.666668,-14,-1.973056,6
66,0.944445,45.77778,-11.444445,-1.961254,4
130,1,4.222222,5.444445,-0.764077,1
180,9.166667,27.333334,-8.777778,-2.217095,6
39,0.777776,118.333336,-30.88889,-2.268113,2
159,1.611111,18.88889,-0.555556,-1.596679,4
239,2.333333,13.777778,-8.111111,2.426379,7
134,1.611111,6.555555,-15.111111,-2.343004,3
116,4.777777,11.555555,2.444444,-1.162844,1
149,0.722222,3.555556,-4,-1.985703,1
79,1.166667,3.888889,-10.888889,-2.339798,3
107,3.333333,13.444445,2.444444,-1.370369,1
177,1.444444,24.555555,-11.444445,2.413262,7
161,11.5,36.333336,-15.333333,-2.198939,6
104,22.111109,17.555555,-11.222222,-2.42507,3
154,2,23.333334,-19.777779,-2.191073,4
101,1.611111,16.555555,-2.666667,-1.674318,1
62,0.666667,3.666667,-6.888889,-2.034152,5
44,2.111113,50.333332,-25.666666,-2.102652,4
42,0.611111,24.11111,-11.444445,-2.061006,4
68,18.277777,42.88889,-25.88889,-2.308656,3
54,0.833335,105,-36.333332,-2.345744,2
172,1.666667,24.222221,-7.666666,2.083854,7
124,11.166668,47.88889,-14.333333,-2.017379,4
195,2.055556,12.333333,-6.555555,2.187022,7
100,2.555556,2.888889,-9.444445,-2.28054,3
187,6.222222,48.88889,-18.777779,-2.04388,6
189,2.611111,28.666666,-11.333333,-2.064273,6
124,1,4.222222,3.444444,-1.157082,1
180,3.277778,27.555555,-9.444445,2.113918,7
33,0.722221,104.22222,-40.666668,-2.290421,2
123,0.444444,0.111111,-2.111111,-2.123254,3
238,2.666666,21.777779,-8.333333,2.337472,7
68,0.722224,101.55556,-39.444443,-2.333212,2
137,2.61111,33.555557,-6.111111,-1.940975,4
110,0.777778,2.444444,-4.333334,-2.021228,5
105,0.944445,13.111111,-7.555555,-2.161571,5
26,1.888885,132.88889,-16.777779,-2.182567,2
89,2.944445,16.555555,-1.666667,-1.611365,1
125,1.055556,13.888889,-22.333334,-2.241956,3
129,0.111111,0,-1.555556,-2.094395,3
185,2.388889,17.555555,-4.222222,1.83885,7
194,3.222223,39.555557,-14.555555,-2.046998,6
