@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,13,15,18,20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exblue-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
153,0.111111,0,2.222222,0.888889,5
145,0.222222,0.111111,2,0.527778,5
142,2,0.888889,5.555555,0.769444,5
173,1.444445,24.777779,-8.333333,0.349656,7
122,0.333333,3,3.333333,0.581349,1
145,1.777778,2.111111,7.111111,0.656614,5
249,2.777778,15.888889,-7.222222,0.533307,7
199,5.611111,48.11111,42.333332,0.312414,6
103,1.777778,54.333332,36.555557,0.259607,4
41,1.111115,133.55556,30.222221,0.112421,2
123,0.5,0.222222,6.444445,1,3
188,2.333333,48.555557,40,0.296294,6
250,1.444444,13.777778,-5.666666,0.56339,7
134,1.111112,22.333334,32.22222,0.457752,5
111,1.944444,14.333333,36.22222,0.679513,3
211,2.166666,23.11111,-4.888889,0.375552,7
200,3.777779,52.555557,46.22222,0.312541,6
135,1.11111,28.555555,24.88889,0.308824,4
102,1.777779,44.555557,37.88889,0.307007,4
184,0.777778,15.888889,-5.888889,0.405556,7
61,0.722222,4.222222,16,0.66626,5
94,0.222222,0.111111,6.111111,0.977778,5
174,2.888889,24.333334,-3.888889,0.381867,7
85,0.888887,91.77778,64.55556,0.275467,2
116,1.555556,16.333334,17.555555,0.407364,1
189,2.666667,29.444445,26,0.309884,6
86,0.277778,8.111112,26.333334,0.630928,5
60,1.055556,118.666664,44,0.175844,2
162,13.388888,38.77778,27.444445,0.285523,6
141,0.055556,0,0.222222,0.111111,5
136,0.222222,0.888889,9.666667,0.84709,5
155,7.722223,6.222222,13.222222,0.300624,5
73,0.777777,42.11111,14.444445,0.176156,4
176,3.444444,46.22222,42,0.318137,6
83,1.666666,44,29.11111,0.260605,4
133,0.5,3.444444,10.888889,0.630471,5
77,1.277776,131.88889,34.22222,0.127385,2
184,1.333333,24.88889,-3.666667,0.38821,7
215,4.722222,29.444445,-1.444444,0.420767,7
44,1.611109,42.555557,30.555555,0.271987,4
193,4.055555,42.77778,36.333332,0.303144,6
42,1.166669,133.33334,31.11111,0.115302,2
210,1.222222,22.666666,-4.444445,0.403938,7
141,0,0,0,0,5
188,3.111112,29,24,0.299865,6
169,1.833333,25,-2.777778,0.396121,7
149,1.055556,5.111111,13.111111,0.578708,1
113,2.777778,10.111111,6.555555,0.451359,1
186,2,42.333336,34.77778,0.307257,6
120,0.5,0.333333,7.666666,1,3
195,3.944445,49.88889,39,0.28836,6
64,0.666667,34.666668,30.333334,0.310101,4
78,2.944444,26.333334,21.444445,0.300208,4
116,0.444445,3.666667,5.222222,0.559171,1
226,2.388889,17.555555,-11.666667,0.54833,7
115,0.333333,3.888889,3.666667,0.53858,1
49,0.722225,100.666664,60,0.246491,2
17,1.277779,121.55556,47.22222,0.189464,2
79,2.111111,12.111111,12.555555,0.422337,1
180,3.833332,43.666668,35.77778,0.300918,6
73,1.722222,3.111111,14.444445,0.822507,3
110,2.277777,13.444445,35.333332,0.680787,3
194,2.277778,43.11111,35.77778,0.300853,6
88,0.333333,4.666667,14.666667,0.61791,5
53,0.944443,35.77778,24.666666,0.264564,4
237,1.777778,8.777778,-3.888889,0.541266,7
78,2.555556,38.444443,24.222221,0.258916,4
135,0.555555,0.888889,8.111111,0.888007,5
95,3,3.888889,12.777778,0.794108,3
198,1.5,19.777779,-8.333333,0.411573,7
111,0.555555,25.777779,21.444445,0.315484,5
211,1.666667,18.666668,-0.666667,0.335421,7
93,0.222222,13.444445,27.555555,0.511905,5
50,1.333334,53.77778,44.77778,0.304774,4
81,22.111109,41,27.666666,0.366946,3
114,0.666667,3.111111,2.555556,0.534392,1
41,1.888889,115.333336,52.22222,0.206392,2
35,1.055555,61.22222,47.666668,0.287488,4
52,0.777777,104.666664,52.77778,0.218379,2
133,0.111111,0,3.555556,1,5
111,0.944444,0.333333,6.777778,1,3
70,8.777778,32.11111,23.11111,0.273358,4
127,1.055556,13.666667,37.555557,0.701476,3
69,4.333333,10.333334,14.777778,0.604281,3
189,5.888889,25.555555,20.777779,0.297413,6
177,1.666667,43.77778,36.11111,0.306215,6
144,0,0,0,0,5
28,1.444441,117.888885,48.444443,0.199513,2
249,4.555555,23.666666,-7,0.398397,7
95,1.111111,2.222222,4.888889,0.874074,3
129,0.666667,3.777778,3,0.540123,1
136,0.388889,0.111111,3.555556,0.962963,3
92,2.166667,13.555555,15.222222,0.42886,1
182,0.611111,24.666666,-5.333334,0.314897,7
176,1,23.333334,-4.444445,0.35207,7
