@relation segment

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
68,117,19.88889,2.333333,12.666667,1
194,118,6.259259,3.888889,4.222222,1
89,107,18.88889,3,12,1
192,142,4.666666,6.333334,0.666667,1
90,101,20.074074,0.777778,14.777778,1
97,126,6.481482,3.555556,4.555555,1
112,114,5.259259,3.888889,2.555556,1
29,111,5.407407,4.444445,2.777778,1
33,117,6.444445,2.666667,5.333334,1
107,129,6.666666,5.333334,2.666667,1
95,100,21.074074,1.777778,14.777778,1
141,62,27.37037,-10.777778,30.88889,1
34,137,5.851852,5.777778,1.777778,1
39,60,22.62963,-3.888889,22.11111,1
97,75,24.851852,-2.555556,20.444445,1
149,117,21.222221,-0.333333,15.333333,1
33,149,5.444445,-4,9.666667,1
72,118,5.481482,3.222222,3.555556,1
18,145,3.925926,4.888889,0.222222,1
127,121,23.11111,-4.333334,21,1
85,56,26.444445,-9.333333,28.666666,1
196,129,6.333334,4.666666,3,1
159,111,5.925926,5.222222,2.888889,1
147,69,25.666666,-6.666666,26.333334,1
24,58,20.925926,-2.777778,19.222221,1
88,71,22.333334,-1.666667,18.666666,1
140,125,6.185185,3.444444,4.444445,1
136,77,26.407408,-5.555555,24.11111,1
60,131,5.222222,6,0.666667,1
31,62,21.185184,-1.888889,18.11111,1
34,115,6.296296,3.111111,4.777778,1
229,124,5.888889,3.666667,3.666667,1
9,92,19.074074,-0.888889,15.111111,1
23,86,18.592592,-0.111111,14.888889,1
6,51,19.592592,-2.444444,18.222221,1
137,66,28.407408,-9.222222,29.444445,1
13,73,19.074074,0.444444,15.111111,1
22,60,19.925926,-1.777778,17.555555,1
23,113,14.703704,7.222222,6.555555,1
79,57,26.814816,-8.444445,28.222221,1
29,111,5.407407,4.444445,2.777778,1
100,111,19.925926,-0.444444,14.888889,1
137,94,21.222221,-1.666667,18.333334,1
11,108,17.666666,4,10.333333,1
69,59,23.851852,-3.555556,21.11111,1
1,115,16.555555,-2.666667,15.666667,1
67,64,22.481482,-1.444444,19.222221,1
75,67,22.25926,0.888889,16.88889,1
13,149,5.518518,-4.222222,9.777778,1
149,92,23.666666,-1.666667,20,1
67,118,21.11111,-2.666667,18.666666,1
23,55,23.444445,-5.333334,23,1
145,101,22.444445,-2.666667,20.333334,1
14,138,4.962963,5.444445,1.444444,1
2,98,17.481482,2.555556,9.888889,1
105,139,6.111111,4.333334,3.333333,1
85,101,21.296297,-0.222222,16.444445,1
133,96,21.88889,0.666667,16.333334,1
40,85,21.11111,-1,18,1
98,135,5.703704,5.222222,2.222222,1
161,136,5.62963,4.444445,2.444444,1
4,40,17.185184,-4.555555,18.444445,1
115,130,7.296296,3.777778,4.111111,1
70,71,22.777779,-2.666667,20.666666,1
69,75,22.74074,-2.222222,19.777779,1
35,96,21.74074,-2.888889,18.11111,1
121,60,26.74074,-6.222222,25.444445,1
14,134,5.296296,4.444445,2.777778,1
26,67,20,-1.333333,17.666666,1
62,123,5.814815,5.222222,2.555556,1
55,128,5.037037,5.555555,1.222222,1
79,95,21.11111,0,15.333333,1
105,110,4.222222,0.333333,6.333334,1
65,75,21.333334,-0.666667,17.333334,1
71,90,22.62963,-1.888889,19.444445,1
139,86,26.481482,-6.777778,25.555555,1
71,113,5.481482,4.888889,2.555556,1
100,124,7.074074,3.444444,5.111111,1
78,69,24.333334,-7,24.666666,1
95,57,26.296297,-4.888889,24.444445,1
69,92,19.37037,2.555556,11.888889,1
29,125,5.851852,4.111111,3.111111,1
76,135,5,5.666666,1.333333,1
140,103,21.851852,-1.888889,18.444445,1
19,63,20.925926,-3.777778,20.555555,1
69,74,23.592592,-3.111111,20.88889,1
114,121,6.407407,4.777778,3.111111,1
34,128,5.666666,5.333334,2.666667,1
35,42,22.592592,-7.777778,25.555555,1
76,81,22.703703,-1.111111,18.222221,1
30,56,23.703703,-4.777778,22.88889,1
226,141,5.407407,4.777778,2.444444,1
78,108,17.11111,5.666666,8.333333,1
10,61,18.962963,-0.888889,15.777778,1
216,126,4.925926,4.555555,2.555556,1
196,124,6.222222,4,3.666667,1
101,72,26.481482,-8.777778,27.88889,1
90,111,18.62963,3.444444,10.777778,1
8,102,17.925926,1.888889,11.888889,1
217,122,6,3.666667,4,1
120,136,6.259259,4.555555,2.888889,1
120,108,21.925926,-2.777778,18.88889,1
2,44,18.74074,-4.222222,19.444445,1
178,128,5.925926,5.888889,1.555556,1
22,116,5.62963,3.444444,4.111111,1
26,67,20,-1.333333,17.666666,1
154,128,5.962963,4.111111,3.777778,1
11,108,17.666666,4,10.333333,1
142,100,22.222221,-1.333333,18.666666,1
70,60,23.777779,-4,21.666666,1
101,80,24.814816,-1.444444,20.222221,1
33,104,20.185184,0.111111,14.111111,1
237,135,4.148148,4.555555,1.888889,1
96,84,23.851852,-0.888889,18.444445,1
33,149,5.444445,-4,9.666667,1
151,147,6.037037,-1.111111,9.555555,1
97,130,5.851852,4.444445,3.111111,1
42,59,21.814816,-3.111111,20.88889,1
219,134,4.740741,5.111111,1.444444,1
80,95,21.407408,-0.222222,15.777778,1
91,115,19.925926,1.888889,12.555555,1
81,98,20.88889,0.333333,15,1
37,114,17.222221,5.333334,8.666667,1
88,115,22.037037,-2.111111,17.88889,1
89,68,17.703703,-0.111111,15.888889,1
178,122,5.851852,4.444445,3.111111,1
84,51,25.74074,-9.222222,28.11111,1
23,147,4.592593,-1.444444,8.555555,1
196,129,6.333334,4.666666,3,1
66,101,19.037037,1.888889,13.555555,1
17,64,18.88889,-4,18.666666,1
120,136,6.259259,4.555555,2.888889,1
238,118,5,3.666667,3.666667,1
7,114,14.518518,4.777778,7.777778,1
199,140,6,4.333334,2.666667,1
2,44,18.74074,-4.222222,19.444445,1
141,68,27.185184,-8.888889,29.11111,1
76,64,23.62963,-5.555555,22.777779,1
127,120,23.666666,-4.666666,20.333334,1
23,55,23.444445,-5.333334,23,1
13,103,16.148148,4.555555,8.888889,1
2,89,18.962963,-0.555556,14.777778,1
239,122,5.555555,4.333334,3.333333,1
80,116,21.703703,-1.444444,17.555555,1
188,133,6.666666,5,3.333333,1
14,66,18.666666,-0.333333,16,1
69,85,21.444445,-3,20,1
127,118,22.74074,-3.555556,18.777779,1
231,123,5.814815,3.888889,3.222222,1
222,114,5.444445,2,5.666666,1
16,117,5.888889,3,4.666666,1
86,74,22.407408,-2.222222,19.444445,1
82,109,17.777779,4.333334,9.666667,1
155,140,5,4.666666,1.666667,1
133,67,27.148148,-6.111111,26.222221,1
14,117,5.777778,1.666667,5.333334,1
149,64,24.074074,-4.222222,23.444445,1
122,91,22.481482,-1.444444,18.88889,1
144,118,6.444445,3.333333,5,1
39,111,6.037037,2.888889,4.888889,1
121,123,6.962963,2.777778,4.444445,1
23,142,5.037037,4.555555,2.222222,1
89,89,21.88889,-1.666667,17.666666,1
5,92,18.703703,0.222222,15.222222,1
108,130,6.62963,5.444445,1.777778,1
95,131,5.333334,4.666666,2.333333,1
141,89,23.88889,-2.333333,19.666666,1
104,124,6.185185,4.444445,3.444444,1
85,70,23.666666,-2,19.333334,1
30,102,20.25926,0.222222,14.222222,1
121,113,20.25926,-0.777778,15.555555,1
14,60,19.333334,-1.333333,16.333334,1
34,83,19.444445,0.333333,15,1
29,100,20.62963,0.777778,14.777778,1
73,103,18.333334,2.666667,12.666667,1
225,143,5.444445,4,4,1
80,116,21.703703,-1.444444,17.555555,1
134,104,21.777779,-2.666667,19.666666,1
85,101,21.296297,-0.222222,16.444445,1
228,143,5.296296,4.111111,2.777778,1
75,149,7.518518,-5.888889,13.111111,1
29,81,20.481482,-1.111111,16.88889,1
65,54,24.592592,-5.444445,23.88889,1
109,126,7.296296,4.444445,2.777778,1
28,131,5.185185,4.444445,2.444444,1
75,59,25.074074,-8.222222,27.777779,1
228,114,5.888889,3.333333,4.666666,1
146,124,6.037037,4.222222,3.888889,1
138,133,6.444445,4,4.333334,1
96,115,6.777778,3,5.333334,1
151,143,5.666666,5.666666,2.333333,1
104,122,6.407407,5.111111,2.444444,1
145,102,23.074074,-2.888889,20.11111,1
140,125,6.185185,3.444444,4.444445,1
121,113,20.25926,-0.777778,15.555555,1
23,88,20.592592,-5.444445,20.222221,1
156,123,6.111111,5.666666,2,1
96,84,23.851852,-0.888889,18.444445,1
104,136,6.814815,4.555555,3.555556,1
146,124,6.037037,4.222222,3.888889,1
75,103,18.962963,3.777778,11.444445,1
80,124,5.111111,4.666666,2.666667,1
21,53,21.555555,-2,17.666666,1
27,68,21.592592,-3.444444,20.555555,1
5,101,16.925926,4.222222,8.888889,1
145,102,23.074074,-2.888889,20.11111,1
96,80,26,-6,25.333334,1
138,116,6.481482,3.222222,5.222222,1
186,130,5.333334,4.666666,2.666667,1
138,116,6.481482,3.222222,5.222222,1
19,147,4.148148,-0.777778,7.555555,1
88,88,22.148148,-2.444444,18.88889,1
77,78,24.592592,-1.777778,19.88889,1
98,104,18.703703,1.555556,13.555555,1
131,86,24.296297,-2.222222,21.11111,1
177,131,5.962963,4.777778,2.111111,1
189,115,6.666666,4.666666,3.666667,1
88,89,22.333334,-2,18.333334,1
38,41,22.481482,-5.111111,21.88889,1
40,73,20.62963,-2.555556,18.444445,1
14,110,17.925926,2.888889,10.555555,1
35,132,5.37037,5.222222,2.222222,1
83,114,19.851852,0.444444,14.444445,1
38,146,5.111111,1.666667,5,1
32,45,21.925926,-4.111111,20.555555,1
6,90,18.11111,2,12,1
147,92,23.444445,-2,19.666666,1
125,56,28.62963,-7.555555,27.11111,1
151,138,5.444445,4.666666,2.666667,1
19,55,21.037037,-1.444444,16.88889,1
101,130,5.777778,5,2.666667,1
176,118,6.074074,4.777778,2.777778,1
145,90,24.851852,-3.555556,22.11111,1
12,56,19.851852,-1.222222,16.777779,1
239,143,4.518518,4.777778,2.777778,1
86,88,21.148148,0.888889,15.555555,1
147,111,5.666666,4,4,1
41,61,21.74074,-4.222222,21.11111,1
138,133,6.444445,4,4.333334,1
32,113,6.148148,3.222222,4.888889,1
18,138,5.740741,4.777778,2.444444,1
122,106,23.037037,-3.111111,20.555555,1
4,87,17.333334,2.666667,11,1
176,132,5.740741,5.111111,1.444444,1
148,116,6.111111,3,4.666666,1
37,126,5.777778,5,3,1
31,106,19.11111,1.333333,13.666667,1
59,111,5.444445,3,4.666666,1
39,111,6.037037,2.888889,4.888889,1
24,83,18.74074,1.111111,13.444445,1
217,145,5.296296,3.111111,3.777778,1
35,62,21.222221,-1.333333,18,1
96,92,22.88889,-3.333333,20.666666,1
24,65,20.814816,-2.111111,17.88889,1
16,128,5.555555,4,3.333333,1
151,114,6.222222,4,3.666667,1
34,137,5.851852,5.777778,1.777778,1
140,116,22.11111,-2.333333,18,1
28,112,5.925926,3.555556,3.888889,1
67,61,23.74074,-3.222222,20.777779,1
16,128,5.555555,4,3.333333,1
108,123,6.740741,4.444445,3.777778,1
75,75,25.962963,-7.888889,26.444445,1
38,112,6.222222,2.333333,5.666666,1
89,53,27.074074,-12.888889,33.77778,1
18,138,5.740741,4.777778,2.444444,1
177,129,6.407407,4.777778,3.111111,1
2,63,18.074074,-2.555556,16.777779,1
97,86,23.814816,-1.444444,19.222221,1
108,113,5.518518,4.111111,3.444444,1
64,74,21.148148,-0.444444,17.222221,1
80,95,21.407408,-0.222222,15.777778,1
15,123,4.555555,4.333334,2.333333,1
136,139,5.333334,3.666667,3.333333,1
27,50,23.037037,-4.111111,20.88889,1
136,70,26.037037,-4.777778,23.88889,1
25,116,16.185184,2.444444,11.444445,1
65,143,5.037037,4.555555,2.555556,1
183,111,5.703704,3.555556,3.888889,1
7,34,20.333334,-6.333334,22.666666,1
69,81,19.851852,1.444444,14.444445,1
193,142,4.814815,5.888889,1.222222,1
29,66,22.62963,-4.222222,21.777779,1
150,113,5.592593,4.555555,3.222222,1
57,117,6.333334,4,3.333333,1
99,107,18.62963,2.444444,13.111111,1
117,147,6.777778,-4,12.666667,1
154,120,5.962963,5.444445,2.444444,1
94,67,23.74074,-2.555556,21.11111,1
14,110,17.925926,2.888889,10.555555,1
146,140,6.333334,4.666666,3,1
146,72,26.222221,-7.333334,27.666666,1
8,79,16.814816,1.555556,12.555555,1
58,122,5.62963,4.111111,3.111111,1
229,124,5.888889,3.666667,3.666667,1
30,124,6,4.333334,3.666667,1
26,91,19.74074,0.111111,14.444445,1
18,13,140.25926,-17.777779,26.555555,2
242,57,92.92593,-49.444443,79.22222,2
63,33,111.333336,-40.666668,62,2
125,46,124.55556,-35.333332,49.333332,2
183,29,103.25926,-43.444443,69.22222,2
94,13,141.59259,-20.11111,24.88889,2
112,30,113.25926,-37.444443,50.555557,2
108,59,126.14815,-28.777779,42.88889,2
67,40,110.03704,-44.11111,56.88889,2
82,51,123.18519,-34.22222,47.11111,2
83,54,109.96296,-37.22222,52.444443,2
121,62,125.40741,-27.222221,40.11111,2
51,15,132.22223,-27.666666,39.333332,2
238,55,113.666664,-38,55.666668,2
238,25,116.25926,-37.77778,52.555557,2
72,31,135.92592,-18.11111,28.88889,2
78,30,112.96296,-40.88889,54.444443,2
25,18,114.14815,-35.11111,54.555557,2
104,41,112.111115,-39.333332,51.666668,2
226,83,90.62963,-48.22222,78.77778,2
188,42,108.92593,-39.77778,51.88889,2
91,19,126.666664,-33.666668,47.333332,2
122,11,143.44444,-19.666666,22.333334,2
49,40,125.111115,-33.333332,49.333332,2
70,44,122.59259,-31.777779,42.88889,2
142,33,110.59259,-41.444443,54.22222,2
9,94,113.18519,-18.88889,43.11111,2
95,47,107.111115,-41.666668,65,2
152,18,112.111115,-44.666668,55,2
233,64,92.81481,-46.77778,77.55556,2
220,39,113,-40.666668,54.333332,2
81,67,122.888885,-31.666666,46.666668,2
155,20,111.703705,-39.77778,53.555557,2
17,18,125.62963,-34.88889,49.11111,2
84,40,127.40741,-29.88889,44.444443,2
156,32,136.2963,-19.555555,30.11111,2
77,36,111.92593,-41.11111,55.22222,2
177,85,93.55556,-43,73.333336,2
175,14,113.81481,-41.11111,54.88889,2
162,14,112.74074,-41.22222,53.77778,2
64,49,108.888885,-35.333332,60,2
112,35,127.55556,-30.333334,45,2
112,77,107.62963,-41.22222,52.77778,2
235,46,114.62963,-41.22222,54.77778,2
65,70,112.51852,-25.555555,45.77778,2
67,71,125.96296,-31.222221,44.77778,2
221,50,122.07407,-36.555557,53.11111,2
92,62,123.48148,-33.444443,47.555557,2
78,62,110.03704,-27.777779,48.88889,2
230,12,119.03704,-35.444443,48.88889,2
96,13,131.77777,-29,39,2
231,49,120.703705,-37.77778,55.88889,2
62,26,112.22222,-41.666668,56,2
104,68,105.77778,-32,57.333332,2
79,58,109.07407,-38.22222,52.11111,2
169,98,92.333336,-45,73.666664,2
210,47,97.111115,-43.666668,73,2
189,39,124.18519,-30.88889,48.444443,2
37,25,126.03704,-35.11111,48.555557,2
66,41,109.703705,-43.77778,57.555557,2
58,58,123,-31.333334,43.333332,2
120,74,101.85185,-38.22222,64.111115,2
93,46,126.03704,-30.11111,44.88889,2
143,20,127.333336,-31.666666,46,2
181,15,140.2963,-19.222221,27.777779,2
26,90,113.111115,-22.333334,45.666668,2
