@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,6,11,13,18-20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Vedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
248,153,0.277778,0,0,0.888889,-2.094395,5
184,145,0.722222,0.333333,0.111111,0.527778,-1.920944,5
54,142,0.722222,0.888889,0.888889,0.769444,-2.094395,5
48,173,1.166667,16.444445,24.777779,0.349656,2.099557,7
239,122,0.277778,7,3,0.581349,-0.953435,1
184,145,0.944445,2.333334,2.111111,0.656614,-2.036506,5
209,249,2.444444,7.555555,15.888889,0.533307,2.156779,7
50,199,3.222223,49.11111,48.11111,0.312414,-2.045431,6
41,103,2.444445,56,54.333332,0.259607,-2.00292,4
98,41,1.722227,130.66667,133.55556,0.112421,-2.268529,2
122,123,0.611111,0,0.222222,1,-2.142674,3
175,188,2.999999,49.666668,48.555557,0.296294,-2.039667,6
200,250,2.277778,6.555555,13.777778,0.56339,2.192935,7
187,134,3,20.333334,22.333334,0.457752,-2.21646,5
115,111,0.555556,9.666667,14.333333,0.679513,-2.333318,3
135,211,1.888888,14.444445,23.11111,0.375552,2.327545,7
62,200,2.277777,54.11111,52.555557,0.312541,-2.026586,6
182,135,4.222222,28.555555,28.555555,0.308824,-2.093203,4
236,102,1.055556,46.22222,44.555557,0.307007,-2.009854,4
233,184,0.5,9.777778,15.888889,0.405556,2.128646,7
203,61,0.166667,4.444445,4.222222,0.66626,-2.068204,5
243,94,0.666667,0.222222,0.111111,0.977778,-2.071242,5
6,174,1.888889,15.111111,24.333334,0.381867,2.395018,7
119,85,0.499999,88.77778,91.77778,0.275467,-2.186342,2
80,116,1.5,21.222221,16.333334,0.407364,-1.632243,1
20,189,1.722223,30.11111,29.444445,0.309884,-2.044277,6
235,86,0.277778,7.777778,8.111112,0.630928,-2.120153,5
172,60,0.833333,114,118.666664,0.175844,-2.293386,2
181,162,2.666665,36.444443,38.77778,0.285523,-2.327482,6
180,141,0.055556,0,0,0.111111,-2.094395,5
94,136,0.222222,1,0.888889,0.84709,-2.071242,5
66,155,3.722222,5.888889,6.222222,0.300624,-2.147622,5
140,73,1.722221,45.666668,42.11111,0.176156,-1.681589,4
250,176,1.611112,47.11111,46.22222,0.318137,-2.052258,6
83,83,0.777779,46,44,0.260605,-1.958524,4
54,133,1.555556,3.666667,3.444444,0.630471,-2.048,5
174,77,1.000002,128.55556,131.88889,0.127385,-2.277146,2
157,184,1.277778,15.222222,24.88889,0.38821,2.419445,7
200,215,1.555556,17.11111,29.444445,0.420767,2.561049,7
227,44,0.555555,42.88889,42.555557,0.271987,-2.070466,4
236,193,2.666665,43.333332,42.77778,0.303144,-2.065421,6
101,42,1.111115,130.44444,133.33334,0.115302,-2.26361,2
160,210,1.611111,13.777778,22.666666,0.403938,2.386452,7
189,141,0,0,0,0,0,5
45,188,2.444445,29.666666,29,0.299865,-2.04072,6
148,169,1.055555,15.111111,25,0.396121,2.467752,7
75,149,0.5,5.555555,5.111111,0.578708,-2.018631,1
23,113,0.722222,17.11111,10.111111,0.451359,-0.9757,1
165,186,2.555555,45.11111,42.333336,0.307257,-1.940813,6
235,120,0.444444,0,0.333333,1,-2.156366,3
115,195,3.833334,51.333332,49.88889,0.28836,-2.015595,6
51,64,17.5,35.22222,34.666668,0.310101,-2.030269,4
153,78,9.388889,27.11111,26.333334,0.300208,-2.017779,4
138,116,0.611111,7.555555,3.666667,0.559171,-1.19107,1
170,226,1.555555,10.111111,17.555555,0.54833,1.872506,7
189,115,0.166667,8.222222,3.888889,0.53858,-0.965144,1
64,49,0.944447,97.111115,100.666664,0.246491,-2.211659,2
216,17,0.666665,115,121.55556,0.189464,-2.348415,2
8,79,1.277778,17.333334,12.111111,0.422337,-1.453114,1
88,180,1.499999,45.22222,43.666668,0.300918,-2.008719,6
217,73,0.888889,1.777778,3.111111,0.822507,-2.268176,3
117,110,2.333333,9.222222,13.444445,0.680787,-2.321226,3
244,194,1.722222,44.444443,43.11111,0.300853,-2.021838,6
188,88,0.666667,5.111111,4.666667,0.61791,-2.035769,5
167,53,1.277777,36.88889,35.77778,0.264564,-2.00456,4
23,237,1.666667,4.222222,8.777778,0.541266,2.180526,7
37,78,1.000001,41.11111,38.444443,0.258916,-1.886072,4
94,135,2.277778,0.777778,0.888889,0.888007,-2.110974,5
49,95,1.666667,2.222222,3.888889,0.794108,-2.326455,3
76,198,1.777778,12.111111,19.777779,0.411573,2.055672,7
142,111,1.111111,24.555555,25.777779,0.315484,-2.202667,5
233,211,2.666667,12.444445,18.666668,0.335421,2.554965,7
57,93,0.388889,13.222222,13.444445,0.511905,-2.110457,5
102,50,1.611112,53,53.77778,0.304774,-2.129479,4
127,81,24.33333,34.88889,41,0.366946,-2.476481,3
112,114,0.722222,6.555555,3.111111,0.534392,-0.91061,1
230,41,0.888891,110.22222,115.333336,0.206392,-2.280803,2
40,35,0.722223,61.77778,61.22222,0.287488,-2.0742,4
60,52,0.722223,101,104.666664,0.218379,-2.229685,2
203,133,0.111111,0,0,1,-2.094395,5
72,111,0.5,0,0.333333,1,-2.139494,3
209,70,2.222223,33.666668,32.11111,0.273358,-1.960582,4
47,127,1.166667,9,13.666667,0.701476,-2.326275,3
227,69,3.611111,6.888889,10.333334,0.604281,-2.481874,3
47,189,2.277777,26.777779,25.555555,0.297413,-1.954574,6
62,177,1.277779,46.333332,43.77778,0.306215,-1.956005,6
226,144,0,0,0,0,0,5
186,28,0.944443,111,117.888885,0.199513,-2.35398,2
154,249,3.5,14.666667,23.666666,0.398397,2.214996,7
14,95,1.333333,0.666667,2.222222,0.874074,-2.552724,3
196,129,0.833333,7.888889,3.777778,0.540123,-0.932783,1
106,136,0.333333,0.111111,0.111111,0.962963,-2.094395,3
5,92,1.333333,18.777779,13.555555,0.42886,-1.548296,1
196,182,1.166666,16.88889,24.666666,0.314897,2.271693,7
245,176,1.000001,15.111111,23.333334,0.35207,2.332243,7
177,129,0.444444,8,3.777778,0.541887,-0.912766,1
127,121,1.666666,21.666666,17.555555,0.415524,-1.740736,1
14,66,1.555555,18.555555,13.444445,0.437855,-1.569253,1
79,104,0.944445,59.77778,58.11111,0.254697,-2.007832,4
36,145,0.277778,0.333333,0.777778,0.251852,-2.53095,3
136,139,0.666667,6.555555,3,0.566799,-1.004936,1
9,92,1.388889,18.777779,14.333333,0.401025,-1.570588,1
134,29,0.777777,98.55556,107.111115,0.245093,-2.373206,2
128,144,0,0,0,0,0,5
220,39,0.666668,99.44444,108.44444,0.241459,-2.393564,2
57,177,0.944445,15.777778,24.555555,0.35899,2.413262,7
24,15,0.833335,61,61.77778,0.30227,-2.124981,4
150,94,1.111111,80.888885,85.77778,0.321505,-2.227114,2
53,176,1.944445,45.444443,43.333332,0.302421,-1.97757,6
177,190,0.944445,47.333332,45.333332,0.297733,-1.985899,6
242,65,0.555555,6.111111,6.333334,0.583461,-2.121878,5
8,21,0.611112,113.44444,120.888885,0.203582,-2.362526,2
188,35,1.222223,114.44444,119.111115,0.183109,-2.282923,2
2,114,0.833333,0.777778,0.555556,0.881481,-2.02703,3
107,129,0.555556,8.444445,4,0.530556,-0.843904,1
34,128,0.444444,7.444445,3,0.597443,-0.837598,1
94,80,2.166665,51.22222,51.666668,0.290834,-2.116351,4
218,64,1.5,6.111111,5.333334,0.579142,-1.965246,5
209,191,3.055555,43.88889,42.11111,0.279764,-1.964901,6
184,145,0.722222,0.333333,0.111111,0.527778,-1.920944,5
193,125,5.055556,32.333336,32.444447,0.321825,-2.100687,4
41,77,1.777778,1.222222,3.555556,0.891608,-2.354881,3
