@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8-9,14,17-18,20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Hedge-sd numeric
@attribute Exred-mean numeric
@attribute Value-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
178,1.111109,0.544331,-21.555555,75.22222,0.318996,6
111,0.611111,0.151852,4.444445,6.888889,0.564153,1
81,9.222222,205.36296,-22,30.555555,0.595282,3
115,0.166667,0.033333,-2.333333,2.888889,0.933333,5
246,2.999999,1.988857,-9.888889,22.88889,0.391548,7
249,1.5,0.611111,-11.888889,18.11111,0.406212,7
60,2.888889,2.874074,-6.222222,35.22222,0.4223,1
101,1.722222,1.885187,0.777778,25,0.404038,1
224,3.611111,5.618522,-10.555555,20.555555,0.443375,7
90,1.277777,0.879814,-22.555555,79.77778,0.278345,4
120,1.055556,0.462963,-5.111111,4.444445,0.962963,3
140,1.777778,1.047042,-13.666667,14,0.73447,3
81,0.888891,0.429629,-21.777779,128.88889,0.19308,2
196,2.222222,1.148268,-16.444445,58.555557,0.294238,6
87,1.555557,1.695309,-16.333334,54.88889,0.319706,4
107,2.055556,2.818519,-14.888889,25.777779,0.547173,5
28,1.222221,0.429626,-37.77778,131.11111,0.253299,2
131,0.777778,0.207407,4.444445,6.666666,0.566138,1
19,0.944443,0.680416,-32.88889,143.11111,0.185539,2
188,5,3.747592,-18.444445,75.66667,0.300242,6
87,1.166667,0.623611,-24.777779,80.333336,0.3097,4
53,0.833333,0.700008,-19.666666,145.77777,0.121119,2
216,2.166666,1.144444,-11,19.11111,0.431696,7
94,1.222222,0.962962,-15.222222,24.88889,0.57666,5
205,2.388889,2.489238,-18.88889,69.77778,0.303912,6
143,0.277778,0.136083,-1.222222,1.222222,0.777778,3
95,2.666666,3.555556,-14.222222,15.444445,0.698902,3
78,4.333334,6.355548,-14.333333,46,0.33971,4
40,0,0,0,0,0,5
193,3.388888,2.489236,-11.444445,50.666668,0.278387,6
175,1.166666,0.888194,-15.222222,28.777779,0.351487,7
107,6.777779,23.185177,-10.222222,13,0.730592,3
115,1.388889,0.685185,-6.444445,5.666666,0.917989,3
94,0.611111,0.490653,-9.666667,15.222222,0.619713,5
43,1.111111,0.740737,-28.777779,140.22223,0.174948,2
181,0.888889,1.096296,-12.111111,25.11111,0.366581,7
187,5.111111,3.538151,-14.444445,60.88889,0.297341,6
130,9.777778,21.762964,-9.444445,18.88889,0.548124,4
