@relation segment

@attribute Region-centroid-row numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
123,-0.761648,1
134,-0.806042,1
101,-1.558599,1
117,-0.983947,1
68,-1.700324,1
111,-1.58144,1
40,-1.783602,1
98,-1.528895,1
110,-1.345096,1
89,-1.664008,1
118,-0.87829,1
113,-1.175454,1
57,-1.739017,1
118,-1.053347,1
135,-0.692028,1
63,-1.683847,1
113,-0.989308,1
114,-1.179347,1
102,-1.68544,1
71,-1.66796,1
55,-1.771163,1
44,-1.753726,1
116,-1.233945,1
88,-1.785147,1
74,-1.646671,1
126,-1.118131,1
92,-1.637777,1
66,-1.844993,1
75,-1.8356,1
64,-1.756712,1
121,-1.740736,1
125,-1.121818,1
56,-1.622211,1
91,-1.55225,1
108,-1.302133,1
102,-1.68544,1
140,-0.783647,1
133,-0.924817,1
116,-1.632243,1
113,-0.9757,1
77,-1.768872,1
124,-1.157082,1
111,-0.897859,1
94,-1.627145,1
62,-1.888408,1
103,-1.634396,1
116,-1.163245,1
100,-1.623301,1
143,-0.914813,1
85,-1.659879,1
77,-1.68954,1
109,-1.131204,1
106,-1.55762,1
86,-1.60859,1
111,-1.43724,1
133,-1.077659,1
56,-1.819915,1
83,-1.456819,1
112,-1.273992,1
147,-1.783388,1
130,-0.764077,1
116,-1.670314,1
119,-1.57896,1
141,-0.843732,1
70,-1.74518,1
72,-1.807866,1
124,-0.95784,1
75,-1.641882,1
129,-0.932783,1
96,-1.530686,1
65,-1.665853,1
120,-1.76489,1
88,-1.653787,1
115,-0.965144,1
60,-1.623392,1
123,-1.18068,1
92,-1.548296,1
80,-1.620451,1
81,-1.566335,1
131,-0.850783,1
81,-1.472378,1
74,-1.554234,1
122,-0.942559,1
124,-1.02473,1
71,-1.636863,1
110,-1.539762,1
138,-0.722894,1
138,-0.862108,1
63,-1.72683,1
143,-0.87829,1
111,-1.175773,1
112,-1.058277,1
115,-1.619549,1
116,-1.162844,1
80,-1.773594,1
138,-0.880521,1
107,-1.312499,1
95,-1.555549,1
131,-0.874641,1
111,-1.333792,1
104,-1.555376,1
57,-1.739017,1
103,-1.397414,1
134,-0.912631,1
147,-1.50837,1
117,-1.574477,1
145,-0.57094,1
126,-0.877707,1
128,-0.837598,1
145,-0.959485,1
95,-1.567327,1
81,-1.606794,1
114,-1.314533,1
92,-1.570588,1
124,-1.02473,1
55,-1.771163,1
89,-1.611365,1
67,-1.623202,1
135,-0.787376,1
116,-1.099624,1
147,-1.561754,1
114,-0.91061,1
118,-1.707392,1
101,-1.674318,1
124,-1.037663,1
136,-0.896533,1
53,-1.662177,1
117,-1.420087,1
115,-1.440963,1
129,-0.843904,1
114,-1.176662,1
59,-1.699326,1
111,-1.175773,1
126,-0.895807,1
101,-1.21111,1
85,-1.386867,1
96,-1.676921,1
67,-1.524771,1
70,-1.649603,1
53,-1.937482,1
120,-0.820403,1
75,-1.652768,1
66,-1.569253,1
68,-1.563972,1
131,-0.804846,1
69,-1.79139,1
62,-1.650123,1
41,-1.77166,1
90,-1.705942,1
139,-1.004936,1
145,-1.068968,1
66,-1.733544,1
111,-1.181388,1
130,-0.871495,1
61,-1.737293,1
64,-1.625668,1
58,-1.685074,1
107,-1.370369,1
116,-1.093148,1
130,-0.963048,1
107,-1.131973,1
144,-0.969119,1
107,-1.357871,1
89,-1.544214,1
122,-0.964797,1
68,-1.848523,1
62,-1.620398,1
106,-1.695804,1
98,-1.360437,1
149,-1.985703,1
88,-1.512555,1
123,-0.988413,1
102,-1.447037,1
114,-1.151837,1
67,-1.623202,1
108,-1.302133,1
89,-1.625587,1
142,-0.675123,1
59,-1.680812,1
51,-1.873032,1
128,-0.985811,1
124,-0.987873,1
103,-1.219211,1
75,-1.590164,1
61,-1.700913,1
128,-0.985811,1
118,-1.076198,1
44,-1.753726,1
117,-1.353896,1
136,-0.963931,1
56,-1.863182,1
124,-1.011484,1
137,-0.744272,1
54,-1.760752,1
113,-0.851202,1
61,-1.591206,1
55,-1.634416,1
135,-0.807848,1
114,-1.508658,1
142,-0.776334,1
108,-1.169517,1
101,-1.520125,1
129,-0.912766,1
143,-0.796918,1
135,-0.892179,1
126,-0.612886,1
77,-1.677308,1
126,-0.913675,1
139,-0.965946,1
116,-1.632243,1
72,-1.846158,1
118,-0.960827,1
69,-1.811203,1
86,-1.650844,1
134,-0.730465,1
56,-1.748835,1
90,-1.622331,1
73,-1.524253,1
146,-1.258358,1
131,-0.621222,1
125,-0.944272,1
57,-1.837675,1
34,-1.823148,1
86,-1.541502,1
128,-0.7213,1
60,-1.776113,1
85,-1.603957,1
111,-0.897859,1
128,-0.688601,1
133,-0.924817,1
117,-1.179692,1
101,-1.457591,1
113,-1.585609,1
103,-1.334127,1
145,-0.57094,1
136,-0.924607,1
111,-1.065066,1
140,-0.91962,1
121,-0.914324,1
143,-1.048222,1
134,-0.966318,1
143,-0.907416,1
142,-0.604864,1
123,-0.837598,1
113,-1.585609,1
84,-1.598867,1
128,-1.005054,1
113,-0.942558,1
122,-0.953435,1
104,-1.72879,1
100,-1.477019,1
132,-0.808383,1
67,-1.670171,1
101,-1.558599,1
84,-1.598867,1
124,-1.037663,1
104,-1.669752,1
74,-1.66658,1
116,-1.19107,1
50,-1.741254,1
116,-1.19107,1
130,-1.056659,1
118,-1.620749,1
133,-1.077659,1
56,-1.759414,1
42,-1.842494,1
115,-1.54801,1
100,-1.519702,1
115,-1.175454,1
78,-1.610448,1
149,-2.009108,1
140,-0.909267,1
91,-1.630409,1
132,-0.726018,1
60,-1.776113,1
95,-1.567327,1
59,-1.836328,1
85,-1.386867,1
93,-1.730306,1
139,-0.965946,1
118,-1.047198,1
60,-1.650048,1
111,-0.872666,1
