@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,16-17,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
237,9,9.333333,8.888889,7
210,9,-21.555555,64.333336,6
140,9,-5.444445,6.111111,5
236,9,14.111111,17.222223,7
246,9,24.666666,34.11111,7
40,9,-0.777778,1.555556,5
157,9,16.666666,23.88889,7
140,9,-8.666667,32.333336,4
146,9,0,0,3
107,9,-3.666667,5.333334,3
85,9,-14.555555,21.88889,1
128,9,-20.777779,67.111115,4
121,9,-14.444445,49.444443,4
71,9,-23.333334,122.44444,2
192,9,-16.333334,65,6
119,9,-16.444445,27.333334,1
35,9,-14.222222,141.33334,2
220,9,13.777778,19.222221,7
183,9,-12.111111,39.11111,6
109,9,-14.111111,20.444445,1
123,9,-10.222222,26.333334,4
57,9,-19.555555,34.444447,1
39,9,-7.888889,14.333333,5
92,9,-6.333334,18.666668,3
95,9,-5.777778,7.444445,3
182,9,-14.222222,42.22222,6
183,9,-22.11111,66.55556,6
226,9,14.555555,18.333334,7
137,9,-3.333333,3.777778,5
111,9,-9.333333,26.222221,5
85,9,-14.555555,21.88889,1
225,9,15.444445,21.333334,7
144,9,-6.444445,6.222222,1
189,9,17.777779,23.222221,7
49,9,-11.111111,44.11111,4
188,9,-20.222221,62.11111,6
162,9,-10.333333,51.333332,6
235,9,14.666667,15.777778,7
138,9,-9.222222,19.222221,5
219,9,11.555555,17.222223,7
189,9,-20.666666,63.333332,6
65,9,-27.666666,121.111115,2
51,9,-14.222222,127,2
89,9,-5.888889,6.444445,3
81,9,-22.333334,74.44444,4
94,9,-13.333333,30.444445,5
208,9,13.777778,20.777779,7
113,9,-16.666666,44.22222,3
89,9,-10.666667,24.555555,5
134,9,-7.222222,7.777778,1
209,9,-18.666666,60.77778,6
201,9,-20.777779,67.22222,6
81,9,-15.444445,51.555557,4
93,9,-30.555555,112.111115,2
146,9,-19.444445,55.88889,4
108,9,-0.555556,3.333333,3
53,9,-24.777779,130.22223,2
107,9,-13.888889,20.777779,1
133,9,-8.333333,8.444445,1
84,9,-10.444445,31.333334,5
179,9,-18.88889,59.77778,6
89,9,-5.888889,6.444445,3
138,9,-3.666667,3.222222,5
113,9,-7.666666,34.88889,5
82,9,-15.666667,48.444443,4
116,9,-13.222222,41.666668,4
116,9,-8.222222,8.555555,1
21,9,-12.777778,142.88889,2
65,9,-11.111111,64.44444,4
123,9,-17.222221,34.22222,4
180,9,-18,59,6
138,9,-4.888889,24.777779,3
93,9,-24.88889,79.22222,4
41,9,-1.111111,1.222222,5
87,9,-3.111111,5.666666,3
201,9,-12.555555,49,6
190,9,-21.11111,66.88889,6
120,9,-16.222221,56.333332,4
17,9,-12.222222,143.88889,2
102,9,-18.333334,62.333332,4
159,9,-7.666666,29.555555,4
39,9,-23.444445,132,2
28,9,-11.777778,130.66667,2
19,9,-21.88889,130.22223,2
183,9,-17.555555,52,6
51,9,-16.555555,141.11111,2
105,9,-5.111111,8.333334,3
121,9,-0.888889,6,3
215,9,19.222221,29.444445,7
131,9,-2.222222,2.777778,5
28,9,-12.888889,131.22223,2
189,9,-11.111111,38.555557,6
65,9,-22.88889,72.66667,4
86,9,-6.444445,10.888889,5
46,9,-23.222221,128.88889,2
192,9,-24.88889,72.111115,6
90,9,-5.888889,7.888889,3
193,9,-24,75.111115,6
11,9,-2.666667,150.88889,2
145,9,-5.111111,5.555555,1
105,9,-9.222222,34,5
218,9,12.333333,12.555555,7
238,9,12.555555,17.444445,7
107,9,-3.666667,4.555555,3
238,9,11.777778,12.444445,7
162,9,13.333333,29.555555,7
103,9,-21.333334,72.66667,4
185,9,-19.777779,60.666668,6
177,9,13.555555,20.777779,7
77,9,-18.222221,32.333336,1
109,9,-9.222222,37.11111,5
143,9,0,0,5
99,9,-4.777778,5.555555,3
251,9,6.333334,22.777779,7
109,9,-20.11111,122.22222,2
189,9,-11.111111,38,6
150,9,0,0,5
189,9,13.333333,16.444445,7
20,9,-13.666667,140.55556,2
93,9,-21.88889,128,2
106,9,-4.666666,7.888889,3
106,9,-2.555556,4.888889,3
135,9,-7.555555,7.444445,1
183,9,15.111111,23.222221,7
193,9,14.444445,21,7
36,9,-12.222222,146.11111,2
135,9,-1.444444,1.444444,5
74,9,-25.88889,123.22222,2
119,9,-14.222222,48.22222,4
107,9,-14.444445,19.777779,1
188,9,-21.11111,61.77778,6
77,9,-18.11111,31.555555,1
98,9,-13.333333,37.11111,4
110,9,-3.666667,4.444445,3
122,9,-12.111111,28.333334,3
187,9,-20.11111,60.11111,6
60,9,-19.222221,35.22222,1
148,9,-0.111111,0.111111,5
25,9,-12.333333,142.33334,2
120,9,-6.555555,12.777778,3
152,9,13.888889,29.666666,7
154,9,-4.888889,7.666666,5
211,9,9.666667,18.666668,7
106,9,-15.333333,25.11111,1
114,9,-9.222222,34.444447,5
80,9,-24.222221,127.333336,2
190,9,-18,57.77778,6
27,9,-12.222222,146.55556,2
63,9,-15.777778,29.666666,1
196,9,-24.222221,79.111115,6
142,9,-6.777778,6.333334,1
96,9,-6.111111,8.555555,3
197,9,18.88889,27.555555,7
134,9,-17.777779,58.22222,4
126,9,-7.555555,7.666666,1
80,9,-10.222222,23.222221,5
136,9,-4.666666,5.777778,5
69,9,-22.666666,73.22222,4
138,9,-2.333333,2.333334,3
189,9,-25.444445,74.888885,6
122,9,-3.777778,4.444445,3
133,9,-4.333334,3.555556,5
145,9,-6.555555,5.444445,1
131,9,-1.555556,1.555556,3
111,9,-6.111111,5.555555,1
104,9,-19,68.22222,4
128,9,-14.111111,43.77778,4
214,9,11.555555,10.666667,7
158,9,17.11111,27.88889,7
131,9,-0.666667,0.666667,5
139,9,-7.666666,7.555555,1
140,9,-7.666666,8.222222,1
90,9,-8.111111,11.222222,5
43,9,-14.777778,140.55556,2
113,9,-2.555556,2.777778,3
82,9,-2.444444,10.222222,3
56,9,-17.555555,30.222221,1
18,9,-10.888889,147.55556,2
93,9,-11.888889,22.88889,5
184,9,-18.11111,58.666668,6
185,9,-21.222221,71.111115,6
148,9,-14.555555,41.555557,4
176,9,-22.444445,67,6
189,9,-20,60.88889,6
138,9,-2.888889,9.333334,3
23,9,-14.333333,139.77779,2
143,9,-2,1.777778,5
215,9,17.11111,22.88889,7
118,9,-7.222222,7.111111,1
133,9,0,0,3
145,9,-6.888889,7,1
124,9,-7,6.888889,1
107,9,-11,145.22223,2
104,9,-16.11111,28.666666,1
138,9,-1.777778,2.777778,3
96,9,-30.11111,115.666664,2
104,9,-20.88889,69.55556,4
246,9,21.222221,29.88889,7
207,9,-20,64.88889,6
15,9,-8.666667,150.11111,2
176,9,-20.222221,61,6
194,9,17.777779,26.11111,7
116,9,-7.555555,7.333334,1
28,9,-23.222221,79.111115,4
195,9,-17.777779,59.22222,6
199,9,10.111111,17.88889,7
221,9,15.111111,19.11111,7
134,9,-7.666666,7.888889,1
154,9,-2.555556,3,5
236,9,16.88889,22.222221,7
33,9,-22.666666,130.55556,2
34,9,-9.555555,20.88889,5
66,9,-10.777778,47.77778,4
32,9,-23.11111,132.55556,2
156,9,17.222221,24,7
126,9,-11,28.666666,4
95,9,-11.888889,28.777779,5
133,9,-2.222222,2.222222,3
33,9,-15.777778,45.555557,4
47,9,-11,145.77777,2
101,9,-18.11111,57.11111,4
125,9,-9.666667,24.777779,4
119,9,-16.222221,56,4
110,9,-14.555555,40.444443,5
106,9,-5.222222,6.111111,3
189,9,-22.88889,75.44444,6
116,9,-7.555555,6.888889,1
98,9,-0.111111,3.555556,3
93,9,-14.777778,26.777779,1
24,9,-12.222222,141.66667,2
133,9,-2.555556,2.777778,3
