@relation segment

@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Intensity-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
117,0.207407,19.88889,1
102,1.851851,17.925926,1
138,0.562963,5.740741,1
124,0.107407,6,1
122,0.133333,6,1
114,0.062963,5.444445,1
77,1.851852,25.185184,1
118,1.529629,22.74074,1
60,1.396297,23.777779,1
124,0.162963,5.111111,1
131,0.162963,5.333334,1
115,2.388889,16.555555,1
117,0.255556,21.222221,1
145,0.151852,4.074074,1
141,0.433333,5.407407,1
131,0.42963,5.962963,1
69,2.907408,25.666666,1
149,0.251852,5.444445,1
113,0.255556,5.592593,1
140,0.118519,5,1
81,1.674073,22.703703,1
34,3.688889,20.333334,1
90,0.577778,24.851852,1
103,0.32963,18.333334,1
117,0.122222,6.444445,1
90,2.074072,22.62963,1
124,0.166667,6.037037,1
107,0.344445,16.703703,1
126,0.118519,5.407407,1
145,0.018518,3.925926,1
107,2.029629,18.62963,1
92,0.488889,18.703703,1
73,1.085185,20.62963,1
59,0.774073,25.074074,1
90,0.596296,18.11111,1
116,0.151852,6.481482,1
86,1.274074,26.481482,1
96,1.022222,21.88889,1
108,0.8,17.666666,1
53,1.718519,27.074074,1
61,0.507407,23.74074,1
60,0.3,19.925926,1
53,0.518518,21.555555,1
50,0.462963,23.037037,1
139,0.107407,6.111111,1
101,0.329629,19.037037,1
57,3.411111,26.296297,1
85,8.207409,21.444445,1
45,3.174073,21.925926,1
133,0.266667,6.666666,1
124,0.122222,5.111111,1
115,0.388889,6.296296,1
61,1.574074,21.74074,1
138,0.562963,5.740741,1
142,0.122222,4.666666,1
112,0.418518,5.925926,1
128,0.3,5.962963,1
68,1.007408,27.185184,1
134,0.062963,5.296296,1
58,0.162963,20.925926,1
122,0.118518,5.851852,1
120,0.02963,5.962963,1
113,0.996296,14.703704,1
88,3.2,20.592592,1
92,2.418516,19.074074,1
132,0.077778,5.37037,1
98,0.42963,20.88889,1
108,0.640741,21.925926,1
125,0.062963,5.851852,1
128,0.077778,5.555555,1
66,3.040741,28.407408,1
136,0.418519,6.259259,1
92,0.429631,23.444445,1
71,1.807406,22.777779,1
121,0.118518,6.407407,1
129,0.251852,6.407407,1
142,0.062963,4.592593,1
114,2.018517,17.222221,1
107,1.940741,18.88889,1
95,3.733334,21.11111,1
113,1.52963,20.25926,1
116,1.633333,21.703703,1
130,0.507407,5.851852,1
62,0.833334,21.185184,1
78,2.34074,24.592592,1
44,2.388888,18.74074,1
114,0.062963,5.259259,1
60,1.140741,22.62963,1
51,1.999999,19.592592,1
63,1.574073,20.925926,1
84,1.277777,23.851852,1
116,0.107407,5.62963,1
61,3.185182,18.962963,1
129,0.433333,6.333334,1
111,0.374074,6.037037,1
126,0.211111,7.296296,1
110,5.351851,17.925926,1
110,0.122222,4.222222,1
115,0.033333,6.666666,1
137,0.166667,5.851852,1
60,0.785184,19.333334,1
91,2.177777,19.74074,1
111,0.311111,5.703704,1
92,2.977778,22.88889,1
133,0.266667,6.666666,1
86,0.651853,18.592592,1
143,0.044444,4.518518,1
57,1.618517,26.814816,1
113,0.077778,6.148148,1
122,0.062963,5.555555,1
147,0.133333,4.592593,1
89,2.907407,21.88889,1
104,1.840741,21.777779,1
125,0.062963,6.185185,1
72,0.507407,26.222221,1
108,0.8,17.666666,1
62,0.518519,21.222221,1
86,0.833333,23.814816,1
116,0.285185,22.11111,1
133,0.444444,6.444445,1
44,2.388888,18.74074,1
55,2.82963,21.037037,1
134,0.107407,4.740741,1
115,1.822221,22.037037,1
103,3.411113,21.851852,1
118,0.177778,5,1
83,4.918518,18.74074,1
64,2.118519,22.481482,1
130,0.122222,5.333334,1
122,0.107407,5.62963,1
114,1.129629,19.851852,1
67,0.88889,20,1
149,0.122222,7.518518,1
146,0.122222,5.111111,1
71,0.785185,22.333334,1
118,0.018518,5.62963,1
102,0.607408,23.074074,1
85,1.051853,17.962963,1
147,0.42963,6.037037,1
140,0.462963,6.333334,1
104,3.629631,18.703703,1
67,3.362964,23.74074,1
132,0.122222,5.740741,1
139,0.107407,6.111111,1
95,1.007408,21.407408,1
66,2.162962,22.62963,1
81,3.751853,20.481482,1
83,0.340741,19.444445,1
129,0.562963,6.666666,1
64,5.496297,23.62963,1
101,2.311111,16.925926,1
149,0.251852,5.444445,1
135,0.118519,5,1
136,0.122222,6.814815,1
128,0.077778,5.555555,1
130,0.596297,6.62963,1
128,0.044444,5.037037,1
114,0.196296,6.222222,1
135,0.296296,5.518518,1
123,2.474074,6.962963,1
115,1.440742,19.925926,1
85,1.051853,17.962963,1
114,0.062963,5.888889,1
77,1.496295,26.407408,1
102,0.607408,23.074074,1
103,0.596296,16.148148,1
55,3.674073,23.444445,1
79,2.285185,16.814816,1
116,0.196296,6.62963,1
75,4.611113,25.962963,1
106,2.518518,20,1
54,1.674073,24.592592,1
56,3.644444,28.62963,1
119,0.518519,21.592592,1
134,0.251852,6.074074,1
143,0.133333,5.037037,1
122,0.02963,6.407407,1
120,0.844445,23.666666,1
136,0.196296,5.62963,1
117,0.151852,5.888889,1
131,0.088889,5.222222,1
62,2.118518,27.37037,1
72,4.744444,26.481482,1
93,0.211111,20.37037,1
123,0.151852,6.111111,1
112,0.385185,6.222222,1
67,0.88889,20,1
94,0.8,21.222221,1
134,0.240741,5.888889,1
63,1.1,22.37037,1
113,0.207407,5.518518,1
111,1.466666,18.62963,1
143,0.062963,5.666666,1
136,0.418519,6.259259,1
138,0.122222,4.962963,1
116,0.151852,6.481482,1
74,0.577777,21.148148,1
100,0.107408,21.074074,1
74,9.940739,23.592592,1
142,0.107407,5.037037,1
80,4.162963,26,1
133,0.444444,6.444445,1
