@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R5,10,12,20'

@attribute Short-line-density-2 numeric
@attribute Intensity-mean numeric
@attribute Rawblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0,0.888889,2.555556,3
0,26.518518,33.22222,4
0,54.925926,68.111115,6
0,5.925926,6.444445,1
0,61.62963,76.44444,6
0,1.074074,3.111111,3
0,0.703704,1.222222,5
0,50.666668,62.666668,6
0,93.44444,117.111115,2
0,22.333334,21.444445,7
0,5.444445,7.333334,1
0,15.740741,14.333333,7
0,4.666666,4.888889,1
0,6.185185,7.666666,1
0,19.074074,33.11111,3
0,7.62963,10.777778,5
0,12.814815,9.777778,7
0,58,74.333336,4
0,53.592594,66.88889,6
0,21.592592,27.88889,5
0,5.111111,6.777778,1
0,4.592593,7.444445,1
0,8.962963,14,5
0,114.96296,132.55556,2
0,16.37037,26.444445,3
0,1,3,3
0,11.62963,9.666667,7
0,7.925926,13.666667,5
0,10.592592,15.666667,4
0,64.62963,78.44444,4
0,57.88889,72,6
0,127.55556,142.55556,2
0,23.703703,30.444445,5
0,50.333332,62.22222,6
0,5.62963,6.666666,1
0,60.074074,75.44444,6
0,6.407407,7.444445,1
0,21.296297,26.777779,1
0,22.62963,29.11111,1
0,45.88889,58.444443,4
0,112.111115,130.44444,2
0,24.814816,31.555555,1
0,7.703704,9.888889,3
0,22.148148,28.444445,1
0,0.925926,2.666667,5
0,98.59259,121.55556,2
0,16.037037,13.333333,7
0,8.740741,12.888889,5
0,17.185184,23.333334,1
0,68.77778,79.55556,3
0,21.296297,26.777779,1
0,125.96296,140.88889,2
0,3.518518,6.555555,3
0,57.77778,71.66667,4
0,123.333336,139.66667,2
0,6.296296,7.888889,1
0,54,64.44444,4
0,2.296296,2.555556,5
0,3.703704,7.111111,5
0,127.07407,142.44444,2
0.222222,44.592594,54,4
0,21.11111,27.333334,1
0,41.48148,50.555557,6
0,18.74074,29.555555,3
0,23.25926,23.444445,7
0,22.777779,29.666666,1
0,58.22222,69.66667,4
0.111111,6.62963,11.333333,3
0,12.074074,10.777778,7
0,31.851852,40.22222,3
0,90.62963,116.888885,2
0,21.037037,29,4
0,15.222222,12.777778,7
0,124.03704,140.44444,2
0,22.185184,19.777779,7
0,51.77778,61.555557,4
0,0.037037,0.111111,3
0,126,140.66667,2
0,42.037037,52.22222,6
0,22.518518,20.88889,7
0,0.925926,2.555556,3
0,3,5.888889,3
0,56.37037,69.66667,6
0,20.037037,28.666666,5
0,2.518518,6.111111,3
0,34.51852,42.22222,6
0,5.703704,10.333334,5
0,41.814816,53.666668,4
0,113.111115,128.33334,2
0,43.51852,53,4
0,26.037037,34,1
0,23.407408,31.444445,5
0,15.185185,14.888889,7
0,134.33333,145.55556,2
0,20.185184,24.88889,1
0,50.074074,62.22222,6
0,1.851852,3.888889,5
0,19.851852,19,7
0,50.666668,60.444443,4
0,40.88889,51.77778,6
0,129.25926,144,2
0,62,78.111115,4
0,5.962963,6.666666,1
0,52.851852,64.66667,4
0,23.703703,25.444445,7
0,34.11111,42.22222,4
0,47.48148,58.666668,6
0.111111,4.62963,9.222222,3
0,19,17.333334,7
0,35.814816,42.88889,6
0,12.259259,21.11111,5
0,8.481482,13.111111,5
0,1.37037,2.333334,5
0,3.740741,7.666666,3
0,93.44444,117.333336,2
0.222222,21.925926,25.11111,7
